企業名,会計年度,四半期,end_month_date,end_month_price
あらた,2018,Q1,2018-05-31,6790.0
あらた,2018,Q2,2018-08-31,5260.0
あらた,2018,Q3,2018-11-30,4930.0
あらた,2018,Q4,2019-02-28,4245.0
あらた,2019,Q1,2019-05-31,3760.0
あらた,2019,Q2,2019-08-30,3640.0
あらた,2019,Q3,2019-11-29,4310.0
あらた,2019,Q4,2020-02-28,4130.0
あらた,2020,Q1,2020-05-29,4555.0
あらた,2020,Q2,2020-08-31,5070.0
あらた,2020,Q3,2020-11-30,4960.0
あらた,2020,Q4,2021-02-26,4480.0
いすゞ自動車,2018,Q1,2018-05-31,1459.0
いすゞ自動車,2018,Q2,2018-08-31,1607.0
いすゞ自動車,2018,Q3,2018-11-30,1616.0
いすゞ自動車,2018,Q4,2019-02-28,1595.5
いすゞ自動車,2019,Q1,2019-05-31,1200.0
いすゞ自動車,2019,Q2,2019-08-30,1143.0
いすゞ自動車,2019,Q3,2019-11-29,1280.5
いすゞ自動車,2019,Q4,2020-02-28,1016.0
いすゞ自動車,2020,Q1,2020-05-29,1009.5
いすゞ自動車,2020,Q2,2020-08-31,1049.0
いすゞ自動車,2020,Q3,2020-11-30,1018.0
いすゞ自動車,2020,Q4,2021-02-26,1114.0
いなげや,2018,Q1,2018-05-31,1782.0
いなげや,2018,Q2,2018-08-31,1652.0
いなげや,2018,Q3,2018-11-30,1582.0
いなげや,2018,Q4,2019-02-28,1307.0
いなげや,2019,Q1,2019-05-31,1339.0
いなげや,2019,Q2,2019-08-30,1571.0
いなげや,2019,Q3,2019-11-29,1469.0
いなげや,2019,Q4,2020-02-28,1259.0
いなげや,2020,Q1,2020-05-29,1688.0
いなげや,2020,Q2,2020-08-31,1794.0
いなげや,2020,Q3,2020-11-30,2039.0
いなげや,2020,Q4,2021-02-26,1653.0
かどや製油,2018,Q1,2018-05-31,6150.0
かどや製油,2018,Q2,2018-08-31,6060.0
かどや製油,2018,Q3,2018-11-30,5840.0
かどや製油,2018,Q4,2019-02-28,5270.0
かどや製油,2019,Q1,2019-05-31,4235.0
かどや製油,2019,Q2,2019-08-30,3530.0
かどや製油,2019,Q3,2019-11-29,3840.0
かどや製油,2019,Q4,2020-02-28,3400.0
かどや製油,2020,Q1,2020-05-29,3715.0
かどや製油,2020,Q2,2020-08-31,3605.0
かどや製油,2020,Q3,2020-11-30,3880.0
かどや製油,2020,Q4,2021-02-26,4095.0
きんでん,2018,Q1,2018-05-31,1793.0
きんでん,2018,Q2,2018-08-31,1753.0
きんでん,2018,Q3,2018-11-30,1966.0
きんでん,2018,Q4,2019-02-28,1806.0
きんでん,2019,Q1,2019-05-31,1670.0
きんでん,2019,Q2,2019-08-30,1555.0
きんでん,2019,Q3,2019-11-29,1634.0
きんでん,2019,Q4,2020-02-28,1631.0
きんでん,2020,Q1,2020-05-29,1803.0
きんでん,2020,Q2,2020-08-31,1750.0
きんでん,2020,Q3,2020-11-30,1673.0
きんでん,2020,Q4,2021-02-26,1739.0
さくらインターネット,2018,Q1,2018-05-31,818.0
さくらインターネット,2018,Q2,2018-08-31,705.0
さくらインターネット,2018,Q3,2018-11-30,592.0
さくらインターネット,2018,Q4,2019-02-28,555.0
さくらインターネット,2019,Q1,2019-05-31,502.0
さくらインターネット,2019,Q2,2019-08-30,578.0
さくらインターネット,2019,Q3,2019-11-29,666.0
さくらインターネット,2019,Q4,2020-02-28,493.0
