,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q4,Q4,Q4,Q4,Overall,Overall,Overall,Overall
,MAE,MAPE,MSPE,Large Forecast Error,MAE,MAPE,MSPE,Large Forecast Error,MAE,MAPE,MSPE,Large Forecast Error,MAE,MAPE,MSPE,Large Forecast Error,MAE,MAPE,MSPE,Large Forecast Error
y_hat_rw,44.56492118525779,0.6683615292340964,0.5716936477768774,0.42549019607843136,27.76310944751145,0.5301637359952783,0.4090690422825584,0.2581699346405229,30.074531666734636,0.4992273855478592,0.3731368521738057,0.22483660130718955,48.67985462999691,0.6214199661906767,0.5148711443201467,0.3611111111111111,37.7706042323752,0.5797931542419776,0.46719267163834705,0.3174019607843137
y_hat_srw,27.454023177747633,0.5487012898386956,0.43765451245315035,0.2781045751633987,27.515537318437907,0.5057092871919543,0.39107857245022565,0.238562091503268,27.013772523746585,0.4615159040265312,0.3393041745909707,0.20490196078431372,47.73244857132781,0.5743515889753474,0.4664657530478131,0.3238562091503268,32.428945397814985,0.5225695175081322,0.40862575313553995,0.2613562091503268
y_hat_sarima_f,32.79059603136567,0.5498665856743341,0.43765356690594737,0.2954248366013072,25.806415594770854,0.4810420411847352,0.3629219431822015,0.22549019607843138,29.109442765590305,0.47737216439752606,0.3561732608797208,0.21633986928104576,47.52216008098741,0.5745756837626829,0.4655395666126504,0.3254901960784314,33.80715361817856,0.5207141187548194,0.40557208439513,0.2656862745098039
y_hat_sarima_g,37.81166166257452,0.5676977545787188,0.46052279249856637,0.3235294117647059,30.92105827873312,0.48084937422577173,0.3670143295616342,0.23954248366013073,34.154102723370585,0.4888393049760994,0.37121316368828744,0.23627450980392156,50.75190848925538,0.5710320901415866,0.4626183127457363,0.3196078431372549,38.409682788483394,0.5271046309805442,0.41534214962355614,0.2797385620915033
y_hat_sarima_br,36.571660130335545,0.5599045878392545,0.44566314766202886,0.2934640522875817,29.20774010793318,0.483048131178681,0.3625436016753055,0.22516339869281046,31.032669602849563,0.47236808915989226,0.349497410674754,0.21274509803921568,53.866431747789825,0.5664970666788761,0.4539333506178144,0.3026143790849673,37.66962539722703,0.520454468714176,0.40290937765747564,0.2584967320261438
y_hat_mlm1,67.85972294454632,0.6268088076864334,0.5282336149551855,0.3892156862745098,52.85707302653131,0.5561629989979694,0.44799143539997044,0.3209150326797386,51.51684255343008,0.5289410689138644,0.4149174663982491,0.27450980392156865,66.22212794038865,0.6046670399615066,0.500463359352559,0.35522875816993466,59.613941616224075,0.5791449788899435,0.47290146902649105,0.3349673202614379
y_hat_mlm2,64.94488167767845,0.6135891802454866,0.5139587790637796,0.3803921568627451,44.13225735408441,0.5502703581385399,0.44021317395687853,0.30947712418300655,78.12847040737114,0.5709325800623879,0.4632135118389229,0.32679738562091504,97.84424472790943,0.6261736224459465,0.5267206367484187,0.3869281045751634,71.26246354176087,0.5902414352230901,0.4860265254019999,0.3508986928104575
y_hat_mlm4,403.95953920009316,0.8213095599043293,0.7697359481836964,0.680718954248366,354.0420918801879,0.7991925435879709,0.740245456646498,0.6408496732026144,339.35973647265615,0.7909738139363748,0.7281838825223974,0.6215686274509804,297.10167706790116,0.7979620627535746,0.735124936048036,0.6300653594771242,348.6157611552096,0.8023594950455625,0.7433225558501569,0.6433006535947713
y_hat_ul1_i_tuned_simple,35.38442945498078,0.5926079891032022,0.4746571901094917,0.2905228758169935,31.074246265142513,0.5323154617688389,0.4030712387369204,0.21797385620915033,34.16897177868145,0.5213771172029167,0.3851449368692268,0.18562091503267975,45.94078279404154,0.5933988341397984,0.4747710940397815,0.280718954248366,36.642107573211575,0.5599248505536891,0.43441111493885515,0.24370915032679738
y_hat_ul2_i_tuned_simple,43.62299228562489,0.5766423847627636,0.46986694221497816,0.3352941176470588,37.37380303953084,0.5071346086934757,0.3919731672384808,0.2630718954248366,38.44408653660789,0.49961165324604156,0.3743289571710958,0.2235294117647059,51.496678054420784,0.5769983859024508,0.46600914300644,0.31699346405228757,42.7343899790461,0.5400967581511829,0.4255445524077487,0.2847222222222222
y_hat_uen_i_tuned_simple,34.18143334126729,0.5818811549363174,0.4632189370160978,0.2849673202614379,30.728786495920545,0.5202208163403962,0.3910969091519262,0.21535947712418302,33.01098048307351,0.5108209041045828,0.3726657894918587,0.1781045751633987,46.06894728852207,0.5930212914510227,0.4725861278980703,0.2781045751633987,35.997536902195854,0.5514860417080798,0.42489194088948823,0.23913398692810459
y_hat_umlp,50.83905945133982,0.6246925844498074,0.5160345328809176,0.34509803921568627,49.435998544239546,0.5802475128066812,0.4604896169065674,0.2830065359477124,49.70062990409794,0.5545285504175396,0.43018660638807776,0.2568627450980392,61.06381962622784,0.6278333134805256,0.5180360862917109,0.3411764705882353,52.75987688147629,0.5968254902886384,0.48118671061681845,0.3065359477124183
