,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q4,Q4,Q4,Q4,Overall,Overall,Overall,Overall
,MAE,MAPE,MSPE,Large Forecast Error,MAE,MAPE,MSPE,Large Forecast Error,MAE,MAPE,MSPE,Large Forecast Error,MAE,MAPE,MSPE,Large Forecast Error,MAE,MAPE,MSPE,Large Forecast Error
y_hat_rw,45.969847527901045,0.5883225465036858,0.46826811029666915,0.29259259259259257,31.963463286251244,0.4699560691859328,0.34838038906325164,0.22592592592592592,39.203113641485864,0.4443333908835784,0.31778042756393554,0.1814814814814815,58.32646148376082,0.6240777414061851,0.5257931855392002,0.37407407407407406,43.86572148484974,0.5316724369948455,0.41505552811576407,0.26851851851851855
y_hat_srw,36.199674844140105,0.4989568125198547,0.38184872447996643,0.24814814814814815,29.336110714301462,0.4500950462182126,0.33836951084965045,0.22962962962962963,41.10337037037037,0.45520486917137637,0.3318822324887373,0.2037037037037037,57.1449765909507,0.6045045783507861,0.4991400327979603,0.362962962962963,40.94603312994066,0.5021903265650575,0.3878101251540787,0.2611111111111111
y_hat_sarima_f,36.729629088258335,0.4938156294311944,0.38159381368385825,0.24814814814814815,25.789652482097363,0.42172322919563043,0.3097945209530734,0.2074074074074074,40.868012551902034,0.45575262493797436,0.3375095937800422,0.2111111111111111,55.41997907856169,0.6037958397301222,0.49263017426746725,0.337037037037037,39.701818300204856,0.49377183082373033,0.38038202567111024,0.25092592592592594
y_hat_sarima_g,37.4060486459402,0.5259918140395626,0.409794811973071,0.2740740740740741,30.129697506837733,0.4397083800181968,0.33504457847686736,0.22592592592592592,40.88135436820367,0.47027264618550463,0.3488227035749301,0.2222222222222222,56.1756690475085,0.611951670159485,0.5041427858990908,0.36666666666666664,41.14819239212253,0.5119811276006873,0.3994512199809898,0.2722222222222222
y_hat_sarima_br,36.007581375724136,0.5075674275601795,0.3905677472122718,0.22962962962962963,27.0727916206942,0.42865658414954505,0.31279912037358854,0.18888888888888888,36.535811914215316,0.44078890747590427,0.31722138430293,0.1925925925925926,51.260604261999305,0.5894514445745833,0.4773537307749394,0.31851851851851853,37.71919729315824,0.49161609094005304,0.3744854956659324,0.2324074074074074
y_hat_mlm1,50.16255169373748,0.5808369990498095,0.4652621712391971,0.3074074074074074,40.4398466779089,0.4866622084643594,0.3745885024058777,0.27037037037037037,46.292932679210864,0.49359302056655596,0.3760012816255953,0.23333333333333334,68.39633895289806,0.5999181394945514,0.49011899481462357,0.3592592592592593,51.32291750093883,0.5402525918938191,0.4264927375213234,0.29259259259259257
y_hat_mlm2,46.69254730334747,0.5506026080944912,0.4383993946531291,0.28888888888888886,39.24674279864582,0.4882127181263332,0.37596709537823886,0.25555555555555554,84.30787980672878,0.5144943221769942,0.39352852622020323,0.26296296296296295,67.86620193347319,0.6445922961116057,0.5517119476267887,0.43703703703703706,59.52834296054881,0.5494754861273561,0.43990174096958995,0.3111111111111111
y_hat_mlm4,259.03117900102546,0.7784806984374071,0.7147784088195057,0.6111111111111112,195.70521099131892,0.7843007597414597,0.7170512541638577,0.6037037037037037,207.78808060427355,0.7523125543573538,0.6785235182427228,0.5555555555555556,219.28980833418555,0.7844308715928846,0.7203740418096763,0.6111111111111112,220.45356973270088,0.7748812210322763,0.7076818057589408,0.5953703703703703
y_hat_ul1_i_tuned_simple,35.57839845344912,0.5340097848600189,0.40973954056807366,0.2518518518518518,27.98334922163514,0.43831921981871164,0.30477338540907856,0.17777777777777778,37.83022431077669,0.4700611564205284,0.3350835459192507,0.17407407407407408,44.70041341015091,0.5919562821027251,0.4732630947899839,0.31851851851851853,36.52309634900297,0.508586610800496,0.3807148916715967,0.23055555555555557
y_hat_ul2_i_tuned_simple,38.259973540021356,0.5201204189105879,0.4049329016191973,0.27037037037037037,31.597826730778213,0.4431719119068479,0.3199577732794703,0.21481481481481482,41.22183034695673,0.4656181748971375,0.33817736800681425,0.2,48.784783389846766,0.5957684801832545,0.4832118804213592,0.34074074074074073,39.96610350190077,0.5061697464744569,0.38656998083171024,0.2564814814814815
y_hat_uen_i_tuned_simple,35.199154017357145,0.5280734706954526,0.4025544855752514,0.24814814814814815,27.503166847646156,0.4302545448360261,0.297921788425069,0.17037037037037037,37.54738747582615,0.4649623352974081,0.3279375955444202,0.16296296296296298,44.468146720015376,0.5897885797547964,0.4701224936170337,0.3111111111111111,36.17946376521121,0.5032697326459209,0.3746340907904436,0.22314814814814815
y_hat_umlp,43.45898876326328,0.5887163669296114,0.46776112891682603,0.2814814814814815,35.52999702893417,0.5116513349637083,0.3796834657895082,0.22592592592592592,42.952519509851854,0.5118061526320007,0.37763273792661817,0.21481481481481482,53.38073370262822,0.6354389806704626,0.5247310448750415,0.34814814814814815,43.83055975116938,0.5619032087989457,0.43745209437699845,0.2675925925925926
y_hat_ml1_i_tuned_simple,25.639688694828592,0.4384109326721041,0.32136598649989306,0.1925925925925926,22.548621072179497,0.40110166296046423,0.2766014060752227,0.15185185185185185,30.39232995361703,0.3979878506356031,0.2831156500252078,0.1814814814814815,36.62624058414801,0.49411771410566124,0.38531928441540797,0.26666666666666666,28.80172007619328,0.43290454009345813,0.3166005817539329,0.19814814814814816
y_hat_ml2_i_tuned_simple,48.080199419903025,0.5148962499104484,0.40761103857219294,0.2851851851851852,41.747629519121645,0.501213180483377,0.39271480693238103,0.26666666666666666,45.03696320720839,0.4686438246025862,0.35517017670875983,0.23333333333333334,54.00745299400705,0.5547568525021467,0.4602428992855013,0.34444444444444444,47.218061285060024,0.5098775268746395,0.40393473037470873,0.2824074074074074
y_hat_men_i_tuned_simple,26.23759877720443,0.43396251005598785,0.31861356464051416,0.18518518518518517,23.758291957252947,0.40563702676523866,0.2795639968424663,0.15185185185185185,31.057336136348535,0.4120462956063424,0.2957183865128782,0.1814814814814815,39.393054033232154,0.5087962830361304,0.40052636986226814,0.2814814814814815,30.111570226009515,0.4401105288659249,0.3236055794645317,0.2
y_hat_mraf_i_tuned_simple,26.800093660695403,0.44788671612224795,0.32961761432616343,0.2037037037037037,22.74368776227809,0.3863558914644802,0.27525157981793397,0.18518518518518517,33.80835953211238,0.40161007411304733,0.28011404382557364,0.18518518518518517,40.161480078429115,0.5309076758997412,0.4141505928590776,0.28888888888888886,30.87840525837874,0.4416900893998792,0.32478345770718714,0.21574074074074073
y_hat_mmlp,41.59203822503301,0.5451953584699744,0.4257449819560396,0.29259259259259257,35.837329333699714,0.5109537152832758,0.388771120428348,0.25555555555555554,41.444962739892595,0.48765724302007624,0.35982125663590353,0.2111111111111111,54.20933036053293,0.6146388271871875,0.5039234196433643,0.34074074074074073,43.270915164789564,0.5396112859901284,0.41956519466591385,0.275
y_hat_ibes,29.13960038503302,0.4298644315121389,0.30298655406710095,0.16296296296296298,26.5273554209874,0.392776042861814,0.26518272841517276,0.14074074074074075,32.60029629629629,0.38750150637076247,0.25541808742315675,0.12962962962962962,36.847881988724836,0.4817827718881187,0.36701011309192855,0.2518518518518518,31.278783522760385,0.42298118815820845,0.2976493707493398,0.1712962962962963
