,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q4,Q4,Q4,Q4,Overall,Overall,Overall,Overall
,MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%)
y_hat_rw,45.9933667898988,0.5855239039016823,0.46548333388198576,29.166666666666668,31.891496542756958,0.46272589428497785,0.339909293767391,21.59090909090909,39.7340556181863,0.4434206850495596,0.317382851071022,18.181818181818183,58.948275002331144,0.6250001189299754,0.5280205845821957,37.878787878787875,44.141798488293304,0.5291676505415489,0.4126990158256486,26.704545454545453
y_hat_srw,35.856106848173596,0.4911309832950267,0.37234739142302437,23.863636363636363,29.426969291141653,0.44295191875872764,0.33031691687598347,22.348484848484848,41.8023106060606,0.45396195863195443,0.33080821558183204,20.454545454545457,57.353801816502596,0.6022076506749776,0.49608290172833536,35.984848484848484,41.10979714046961,0.4975631278401716,0.3823888564022938,25.66287878787879
y_hat_sarima_f,36.55916860557249,0.4867960947932942,0.37392611852419233,24.242424242424242,25.84573079336751,0.4142515953186596,0.3011764614847084,19.696969696969695,41.60254859692388,0.4570162376632748,0.3373596413970055,20.833333333333336,55.6222948871054,0.601527920313709,0.4900826073900252,33.33333333333333,39.90743572074231,0.4898979620222345,0.37563620719898283,24.526515151515152
y_hat_sarima_g,37.23978510279249,0.5218020410894941,0.40482447239744257,27.27272727272727,29.843491163320337,0.4274255023765244,0.32080125654967623,21.59090909090909,41.35195134211487,0.46659971321579313,0.3444318071366289,21.59090909090909,56.52606354590547,0.6068557335282171,0.4983574385338006,36.36363636363637,41.24032278853329,0.5056707475525072,0.3921037436543871,26.704545454545453
y_hat_sarima_br,35.76641012615092,0.49823169852490584,0.38017904178309736,22.727272727272727,27.110700502554018,0.41984372380716445,0.3025905956792796,18.181818181818183,36.92931945429754,0.433748813819653,0.30853978101601337,18.181818181818183,51.29963349679259,0.5829457760338481,0.47052880466556474,31.818181818181817,37.77651589494877,0.4836925030463929,0.36545955578598877,22.727272727272727
y_hat_ols1,49.69864627176497,0.5744552260040463,0.45789632237479,29.924242424242426,40.71012387885726,0.4809940010520872,0.3684346079098053,26.515151515151516,46.48367670666921,0.48674322859632857,0.36800099748493914,22.727272727272727,68.96918892044125,0.5965011488742871,0.48608720356118773,35.984848484848484,51.46540894443318,0.5346734011316873,0.4201047828326805,28.78787878787879
y_hat_ols2,46.88889071179131,0.5498011932116271,0.43820756203576705,29.166666666666668,39.07797705687665,0.4797729561858963,0.36554596399313183,24.62121212121212,85.48035846074383,0.5071592075967081,0.3852231374455903,25.37878787878788,68.06574761489426,0.6405280400736696,0.5475978220821316,43.56060606060606,59.878243461076515,0.5443153492669752,0.43414362138915513,30.681818181818183
y_hat_ols3,261.85184910827815,0.7768734967483457,0.712049659522492,60.60606060606061,197.85513977926772,0.7803977195303549,0.7123554455338138,59.84848484848485,207.1952042594092,0.7469326923561164,0.6716996101720315,54.92424242424242,218.95043396921162,0.7795315732199958,0.7140189063962601,60.22727272727273,221.46315677904164,0.7709338704637031,0.7025309054061493,58.90151515151515
y_hat_ul2,38.08801503606886,0.5156808559864541,0.3991357383798231,26.515151515151516,31.73950038808612,0.43465488012745584,0.3108765992323351,20.833333333333336,41.66989565578279,0.4629238314073249,0.33376102473894187,19.318181818181817,49.046342949499426,0.591535002374542,0.4792145041000355,34.090909090909086,40.1359385073593,0.5011986424739441,0.38074696661278384,25.189393939393938
y_hat_ul1,35.23684445224987,0.5287099317409477,0.4031548311409281,24.242424242424242,28.112328665549025,0.4305309131284132,0.2956310262796088,16.666666666666664,38.48015904940938,0.4712607114011419,0.33485014795197854,17.045454545454543,44.90394527225949,0.5870412564772236,0.4684143784411912,31.818181818181817,36.68331935986694,0.5043857031869317,0.3755125959534267,22.443181818181817
y_hat_uen,34.85561057588163,0.5219276936402554,0.3953667130611674,23.863636363636363,27.7059812049499,0.42431291164224555,0.29160264974512606,16.28787878787879,38.19379096414219,0.4657937222280233,0.32744207979100504,15.909090909090908,44.6396783717523,0.5844463042389935,0.46450690227051017,31.060606060606062,36.34876527918151,0.4991201579373794,0.3697295862169522,21.78030303030303
y_hat_uraf,34.1843834579883,0.5097523140291883,0.3893652885448552,26.136363636363637,28.67413666853161,0.412793311441365,0.28271531258834504,17.424242424242426,38.63599659512386,0.45975787934441964,0.32165377360277064,17.045454545454543,46.942368381076726,0.5677777595892621,0.4508954274877405,30.681818181818183,37.10922127568013,0.48752031610105884,0.3611574505559279,22.821969696969695
y_hat_umlp,43.27181853871624,0.5810864516018662,0.4584468811071217,27.27272727272727,35.82764313565237,0.5073495117219111,0.37497786525690274,21.96969696969697,43.47998892181818,0.5079684069617253,0.37261765966623284,20.833333333333336,54.03222217958189,0.6348564139385147,0.5246495406713986,35.22727272727273,44.15291819394217,0.5578151960560043,0.432672986675414,26.325757575757574
y_hat_ml2,48.2279239447571,0.5091071766567509,0.4020379291974587,28.030303030303028,41.86997598646934,0.49003594900834757,0.37922387579057043,25.37878787878788,44.906283401342655,0.4606270427528428,0.34605383911622484,22.348484848484848,54.34061437707303,0.5513947348640542,0.4568145339778239,34.090909090909086,47.336199427410534,0.5027912258204988,0.3960325445205195,27.46212121212121
y_hat_ml1,25.015099724316983,0.43187695030344875,0.31465406888002145,18.560606060606062,22.44147052273319,0.38929572337171736,0.2629108146926852,13.636363636363635,30.711147481782703,0.3908107866615647,0.2759158503962464,17.424242424242426,36.60460234620569,0.48808301083889677,0.378435986371631,26.136363636363637,28.69308001875964,0.4250166177939069,0.30797918008514596,18.939393939393938
y_hat_men,25.840691074079608,0.426237517458245,0.3102619189477119,18.181818181818183,24.04406332417477,0.40410585828599727,0.2773323555200125,14.772727272727273,31.335576460319917,0.40711845131796137,0.29122263190223047,17.803030303030305,39.37008558035051,0.5007933034029676,0.39194829462777403,27.65151515151515,30.1476041097312,0.43456378261629286,0.31769130024943226,19.602272727272727
y_hat_mraf,26.253075653615245,0.4388656246053995,0.3198925972301093,19.696969696969695,22.62816107852936,0.3746832197258039,0.2619689707679135,17.424242424242426,34.10705793846088,0.3962773972271687,0.2746389590456201,18.181818181818183,40.236087897762104,0.5262790616390125,0.40976855081148666,28.78787878787879,30.806095642091897,0.43402632579934614,0.3165672694637824,21.022727272727273
y_hat_mmlp,41.014984286586795,0.5356319610750718,0.4140820980736636,28.030303030303028,36.08378603192774,0.504683420186965,0.3807940997588859,25.0,41.30443065064773,0.48347127434406795,0.3549937385474721,20.454545454545457,54.145880556226864,0.6061527702419559,0.4931737014196838,32.95454545454545,43.137270381347285,0.5324848564620152,0.41076090944992627,26.609848484848484
y_hat_ibes,29.07000796954134,0.4263838584315585,0.29809095825371656,15.909090909090908,26.82331804419166,0.3900566832640704,0.2621409782324632,13.636363636363635,33.12507575757576,0.3854325130544211,0.25309603787977897,12.878787878787879,37.052530821801916,0.47855827523177236,0.36430242808835117,25.0,31.517733148277667,0.42010783249545564,0.2944076006135775,16.856060606060606
