,Max_error,Max_percentage_error,MAE,MAPE,MSPE,MAPE-UB,MSPE-UB,Large_error_rate
y_test,0,0,0,0,0,0,0,
y_hat_rw,1989.29,5895,38.74558566,4.313952874,7001.957272,0.584368267,0.472664814,12.57952284
y_hat_sarima_br,17667.44009,88978.1272,38.46817877,9.708306138,606873.6428,0.526984968,0.41068857,35.58676998
y_hat_sarima_f,3611.477871,2068.16662,34.8817955,2.823022159,1142.823507,0.526748864,0.412804993,9.41730699
y_hat_sarima_g,3370.115229,34626.00676,39.4094107,6.123333057,93472.21465,0.53406364,0.423390241,20.51391203
y_hat_umlp,8148.7146,134665.3,53.45290965,14.80676886,1391902.437,0.603028899,0.489030602,46.03019742
y_hat_ul1_i_tuned,4322.802063,21034.82612,37.35562801,4.471173477,35063.34669,0.566506436,0.442759402,16.4344189
y_hat_ul2_i_tuned,6374.325185,21034.82609,44.10966864,5.326720934,35475.46905,0.548208866,0.43507565,17.26610985
y_hat_mlm1,33025.10977,19193.22531,60.1261248,5.778863078,29555.80715,0.585543104,0.480526523,16.11499007
y_hat_mlm2,40758.24486,120789.4371,71.75213463,14.2850426,1118622.103,0.597032753,0.494134108,39.12338293
y_hat_mlm3,37297.95407,125258.1551,82.16874359,15.20963666,1203296.214,0.609443804,0.508960369,40.07338118
y_hat_mlm4,202488.0205,50075.35413,343.6872073,31.944189,513129.9481,0.805381063,0.747105899,49.05407913
y_hat_mmlp_it_tuned_optuna,11637.991,3937.5307,39.40202952,3.837378304,3237.605102,0.56683858,0.4527007,11.80642557
y_hat_ml1_default,13665.77166,2015.689502,53.0400805,4.050288394,1833.918321,0.536887192,0.436876311,12.08477231
y_hat_ml1_a10,6549.907406,6198.360889,38.1928151,3.884515024,6960.728876,0.489743816,0.382040701,13.86253121
y_hat_ml1_a20,6407.111982,6178.715154,35.63732671,3.635697474,5739.518948,0.48644531,0.376192573,13.32906749
y_hat_ml1_a100,5567.813775,5870.756027,32.21784683,3.045393702,3655.51977,0.493064607,0.377026263,11.31349308
y_hat_ml1_a1000,5567.813775,5870.756027,32.21784683,3.045393702,3655.51977,0.493064607,0.377026263,11.31349308
y_hat_ml1_i_tuned,6549.907406,5870.756027,29.54291997,2.16955789,2980.863745,0.471463958,0.356110812,8.710455701
y_hat_ml1_it_tuned_optuna,7481.814235,6198.361194,44.72542859,4.514581881,7265.82754,0.507979216,0.404484622,14.90288997
y_hat_ml2_a10,7930.703279,4629.917945,62.55387591,5.231970665,5275.155383,0.58631639,0.49055106,13.43535643
y_hat_ml2,14376.81141,7855.506568,82.48960184,6.789159419,8957.114922,0.626318093,0.535353032,15.74748406
y_hat_ml2_i_tuned,7930.703279,14011.15438,43.43787539,4.271451251,18003.39415,0.514150277,0.40703538,14.19194227
y_hat_men_default,6775.907286,6415.728611,50.88621128,4.868338051,8627.64846,0.545151305,0.44480415,14.35904573
y_hat_men_i_tuned,6511.645744,4491.734579,28.91741113,1.883392404,1847.730249,0.46322719,0.346951377,7.736377142
y_hat_mraf_default,2353.926129,26081.83072,27.76908096,4.102937029,52529.41627,0.468438701,0.351928085,17.14948118
y_hat_mraf_i_tuned,2484.39143,26081.83072,27.49044537,4.067308029,52534.2407,0.467038211,0.350889432,16.97023964
y_hat_msvm_default,2147.12045,9720.600176,37.14540155,2.883910495,7689.420274,0.59922507,0.468363328,10.58775502
