,Max_error,Max_percentage_error,MAE,MAPE,MSPE,MAPE-UB,MSPE-UB,Large_error_rate
y_test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
y_hat_rw,746.77,154.375,43.51178569983088,1.726186015654903,47.77783079531176,0.5282550141762895,0.4106509155309897,5.503614018217065
y_hat_sarima_br,610.8002347299478,226.12032526751278,37.4849896339617,1.623581413397633,74.89668738198084,0.48979639589070034,0.37322541193124176,5.880205075355929
y_hat_sarima_f,665.3123618595152,203.4465763204671,39.8422145488499,1.8269578094848056,82.12090220954288,0.4925393680183754,0.3799113455110933,6.301970262415114
y_hat_sarima_g,535.5101490124042,278.56758412566364,40.81927120567252,2.3179159432986465,147.9508785697782,0.5101694021631514,0.3982366178368598,7.690351684950056
y_hat_umlp,811.60685,410.90205000000003,43.65802605832094,1.8480155879640634,171.62007491978295,0.5593401581092383,0.4359819868275421,5.739772169249326
y_hat_men_a10,1046.344763519548,1598.7749891535514,48.44382768771412,3.655733850485318,2411.8544909084067,0.49877476801185067,0.3926806686283877,12.434351798714875
y_hat_men,1381.2873763341056,2858.9207643781046,63.18028388999749,5.59489025543751,7843.813957398817,0.544076356174316,0.44048317885961624,16.544992000841123
y_hat_men_i_tuned_simple,472.65047530362,463.76614851108445,30.107771783284964,1.642335864452128,238.1013046856661,0.43771710736839226,0.32112929326211026,7.1420046498518355
y_hat_ml1_a10,826.3931126078978,1372.8723382363985,46.764108832723316,3.3992389334034994,1825.8252496012822,0.48829130932171627,0.38333267002981497,11.673474621633206
y_hat_ml1_a100,656.774067503507,456.78786502682885,34.47937952615624,1.8480970502929557,213.21353679109748,0.4510448914864096,0.3401026774824647,6.927492730936345
y_hat_ml1_a1000,656.774067503507,456.78786502682885,34.47937952615624,1.8480970502929557,213.21353679109748,0.4510448914864096,0.3401026774824647,6.927492730936345
y_hat_ml1_a20,777.9717007962057,738.536733643501,42.096653991932385,2.577017475287962,604.1851649464654,0.4699501754609866,0.36478521615123527,9.261372779519625
y_hat_ml1,1242.408160797297,1897.7132758485257,63.72957481577772,5.2762137816568275,4321.48935025357,0.5357627121392776,0.43420845005791076,15.704062325292032
y_hat_ml1_i_tuned,800.0149894540097,340.54926096584023,37.679749421727934,1.6789263588669043,131.39426985302228,0.45970020420866464,0.34996152270063685,6.21021824364744
y_hat_ml1_i_tuned_simple,473.56249120647584,463.76614851108445,29.049254557121923,1.4409494929436675,203.94265109077745,0.4346251939983622,0.31853124501835295,6.130958228098812
y_hat_ml1_tuned_optuna,1117.1665964233705,1373.1149031441919,53.06242236336367,4.261465039364648,2610.9882925604343,0.5170719196963995,0.4141653989755965,13.35649729490522
y_hat_ml2_a10,2320.645754073044,2691.248594681902,79.87387475970334,6.18284879544723,7436.14228794411,0.5918244771705526,0.49519797566102947,16.06153489821472
y_hat_ml2,4341.9456448379,1812.3888934117917,100.36571731072414,7.179752464113373,5332.120467673686,0.617987568582631,0.5246651217371635,17.342508796416187
y_hat_ml2_i_tuned_simple,943.1014984815591,1271.608822252038,49.91413855708898,3.482447032007428,1639.561178537166,0.5160257530837393,0.41111904573517977,11.21480718655461
y_hat_mlgb,1193.341781554127,463.7661434279548,61.706525845894305,3.8551384011954113,611.3333444822302,0.5762568542855903,0.4471106266477161,13.059787237550674
y_hat_mlm1,3618.8141316312294,437.0909021395535,50.97958761775994,2.540453757920752,218.9212611267251,0.538468464042149,0.425337436816419,7.854059161751526
y_hat_mlm2,7057.24505033525,632.8493713143098,58.874671899478244,3.1461230577154273,535.3428668264575,0.549586898113502,0.44062033998290256,9.336986371911047
y_hat_mlm3,4743.024090574533,654.3410251121633,58.255291287698206,3.0843693042619957,562.7689703170344,0.5617297383384184,0.4552336896936634,8.865868252801075
y_hat_mlm4,13124.430657768617,2669.435713921351,223.58235010781502,11.398347282169713,8574.31115303162,0.7773048836717692,0.711313556231854,18.696771906613687
y_hat_mmlp,681.2486,1043.950875,43.74295974418727,2.589881291572167,944.1918338180043,0.5409857899209564,0.4230505731918335,8.353739746107669
y_hat_mraf,522.4966000000003,434.2461259009374,31.639741977461068,1.563620579506343,174.60865905805096,0.44646455589212103,0.33035781908101103,6.124252339975659
y_hat_mraf_i_tuned_simple_,508.5761400000066,367.8820275070521,31.37572952863846,1.500438939667048,129.39130974606024,0.44692652552487516,0.3313129448656989,5.832327212358693
y_hat_msvm,1194.5820536366452,382.17526763812606,47.30279600634088,1.7681274311268353,149.19764222233886,0.5337381300474784,0.3992879309955671,6.451503679116268
y_hat_ul1_i_tuned_simple,630.6921375776774,463.76614851108445,36.586394112196345,1.5729880643885719,194.59687146828423,0.5097420211804414,0.3832431278354131,5.511201069040211
y_hat_ul2_i_tuned_simple,729.792627846211,508.2826362854877,39.960469261519975,1.8649959047069957,238.4058859125089,0.5084600447787214,0.3909562587285769,6.2154194226368595
y_hat_ibes,720.98,118.5,32.120223174249396,1.2369914682643475,29.062518682503754,0.4283130928965997,0.3042419193131391,5.574809094937544
