企業名,会計年度,四半期,y_test - y_test,y_test - y_hat_rw,y_test - y_hat_sarima_br,y_test - y_hat_sarima_f,y_test - y_hat_sarima_g,y_test - y_hat_umlp,y_test - y_hat_mlm1,y_test - y_hat_mlm2,y_test - y_hat_mlm3,y_test - y_hat_mlm4
あらた,2018,Q1,0.0,36.08,-17.14573978628306,-17.02952062367487,-25.175361118897982,-5.837810000000005,-36.79350083386258,-8.070221781771195,-11.919605604374127,-158.43909514089364
あらた,2018,Q2,0.0,-14.980000000000004,10.542890410694838,10.441032575534066,-4.104504499368403,5.688609999999997,-2.0233856446375853,-66.5874511743728,-57.4306487034865,-95.5731351809612
あらた,2018,Q3,0.0,15.799999999999997,-13.146680359966453,-13.311232481831823,-13.04762318495537,-8.24496000000002,-12.179912504934023,21.69478094934105,21.329703409228145,197.03743570349775
あらた,2018,Q4,0.0,-7.019999999999996,38.99795078215081,39.22305127861728,33.79592720471979,19.864090000000004,26.6303270110388,-12.53359715930084,16.17711708269482,55.556364646776935
あらた,2019,Q1,0.0,17.629999999999995,-10.353963332094878,-8.283255063700324,-9.15446522733474,3.207339999999988,18.813376248691483,-9.331789107859919,-18.545355080424912,-20.206577401807778
あらた,2019,Q2,0.0,-15.08999999999999,3.9989595246012897,3.8776386595943677,-4.9215270225685686,-7.515010000000004,4.5352121691058755,-10.715887514566916,-16.059445433156483,-94.27132408644799
あらた,2019,Q3,0.0,12.170000000000002,-0.042254050513790276,0.2971941971151182,-10.509280304785477,-2.8411100000000005,-0.8519554273194245,15.726010941880915,12.574762780912067,-53.65812898423684
あらた,2019,Q4,0.0,-34.03,-23.77938207685348,-24.34864474023307,-16.028396912496845,-25.401899999999998,-30.87584292486801,-16.855145135025936,-16.258419495305205,-18.13767405306325
あらた,2020,Q1,0.0,65.32999999999998,40.22850482090918,40.83465349795341,30.292013060515032,41.094899999999996,27.940340283160907,44.030358067001984,34.22018871519363,-6.794771644695885
あらた,2020,Q2,0.0,-24.549999999999983,0.3095873176634143,1.6736591072527318,3.969582047723719,30.139740000000003,28.161719728419527,-36.90533785111421,-7.316960906899411,115.68724486203536
あらた,2020,Q3,0.0,32.66999999999999,25.8999943193744,27.88168358933528,17.95877089748791,26.605130000000003,31.807006107955644,52.70226990913952,28.65921514191004,25.67993725447249
