企業名,会計年度,四半期,|(y_test - y_test) / y_test|,|(y_test - y_hat_rw) / y_test|,|(y_test - y_hat_sarima_br) / y_test|,|(y_test - y_hat_sarima_f) / y_test|,|(y_test - y_hat_sarima_g) / y_test|,|(y_test - y_hat_umlp) / y_test|,|(y_test - y_hat_mlm1) / y_test|,|(y_test - y_hat_mlm2) / y_test|,|(y_test - y_hat_mlm3) / y_test|,|(y_test - y_hat_mlm4) / y_test|
あらた,2018,Q1,0.0,0.11713509496537884,0.026452482327416697,0.026095091377645385,0.05703026556959955,0.003066577102175722,0.12181371843137127,0.005860368376164623,0.012784323382030604,1.0
あらた,2018,Q2,0.0,0.0274348455367156,0.01358933725990655,0.013328024860347048,0.002059682906729842,0.003956318196021276,0.0005005370406585467,0.5420803632557164,0.403242535058256,1.0
あらた,2018,Q3,0.0,0.022117602563869933,0.015312851954380228,0.01569858153423074,0.015082963759504166,0.0060228352287161,0.013143535818595136,0.0416998425188327,0.04030820968883879,1.0
あらた,2018,Q4,0.0,0.00500582633637311,0.15448457708150756,0.15627312830493495,0.11601931221832237,0.04008103273341987,0.07203682339613049,0.015957065163875295,0.026582989030545554,0.31352284695911786
あらた,2019,Q1,0.0,0.022763927362265304,0.00785155743211266,0.005025099157426524,0.006137740535621239,0.0007534120598384767,0.025922450187836413,0.006377822047369393,0.02518911287646771,0.02990391737577599
あらた,2019,Q2,0.0,0.021989952079254152,0.0015443289766191458,0.0014520463403822292,0.0023390825629564936,0.0054538718495613266,0.001986282526087057,0.011089247987855867,0.024906166757957995,0.8582326201360099
あらた,2019,Q3,0.0,0.011410507524515577,1.3754996986350488e-07,6.804629065566614e-06,0.00850882823406504,0.0006218704245083159,5.591876266460551e-05,0.01905289404231246,0.012182134978301298,0.22181701436864806
あらた,2019,Q4,0.0,0.18139709994188605,0.08857426789071138,0.09286584774868453,0.04024265431672858,0.10107385853248972,0.14932897603874706,0.04450117050612208,0.04140598220950786,0.05153112542981039
あらた,2020,Q1,0.0,0.20235439511525846,0.0767282173178652,0.0790578637159133,0.043505443080475936,0.08006877446444957,0.03701269490687159,0.09191613616469055,0.05552034111415489,0.0021889561252902423
あらた,2020,Q2,0.0,0.04138399280664451,6.58105802136884e-06,0.0001923372521523165,0.001081979326409711,0.06237468998646934,0.05445625120107518,0.0935207040987769,0.003676130044946266,0.9189679255245936
あらた,2020,Q3,0.0,0.04538691960411581,0.028525402230040398,0.033057532083471675,0.013714679394127125,0.030099772287700555,0.04302075461105744,0.11811119977180828,0.03492697913324666,0.028042734218629045
あらた,2020,Q4,0.0,1.0,0.7107407007724368,0.5027724404874262,0.8073386651161913,0.034365823490009835,0.17584690035586853,0.9028108115187664,1.0,1.0
