企業名,会計年度,四半期,y_hat_ml1_a1000
あらた,2018,Q1,90.9817303493266
あらた,2018,Q2,87.97718447289134
あらた,2018,Q3,92.92090552262039
あらた,2018,Q4,76.679234859514
あらた,2019,Q1,101.09838740205723
あらた,2019,Q2,92.48129273299901
あらた,2019,Q3,103.48059651817935
あらた,2019,Q4,83.05924694608701
あらた,2020,Q1,121.74420126090887
あらた,2020,Q2,90.93510616703988
あらた,2020,Q3,111.46207160838966
あらた,2020,Q4,92.38736685283389
いすゞ自動車,2018,Q1,34.48675037519516
いすゞ自動車,2018,Q2,40.24980463362911
いすゞ自動車,2018,Q3,40.54694260330848
いすゞ自動車,2018,Q4,41.406365366776186
いすゞ自動車,2019,Q1,44.38016187520027
いすゞ自動車,2019,Q2,38.83912627433688
いすゞ自動車,2019,Q3,36.90373422305906
いすゞ自動車,2019,Q4,36.86641546174425
いすゞ自動車,2020,Q1,26.27156380607255
いすゞ自動車,2020,Q2,24.144270687207136
いすゞ自動車,2020,Q3,25.809600355723028
いすゞ自動車,2020,Q4,35.07506590257591
いなげや,2018,Q1,7.844760686476324
いなげや,2018,Q2,7.884430480447498
いなげや,2018,Q3,7.671900670700921
いなげや,2018,Q4,6.693512099146666
いなげや,2019,Q1,2.7311301688552305
いなげや,2019,Q2,2.0854771439477204
いなげや,2019,Q3,4.326591203530938
いなげや,2019,Q4,2.635598511172553
いなげや,2020,Q1,2.770616115333766
いなげや,2020,Q2,5.4608845659989065
いなげや,2020,Q3,7.730394783424962
いなげや,2020,Q4,7.814694265661886
かどや製油,2018,Q1,93.89116207191687
かどや製油,2018,Q2,112.41616879252187
かどや製油,2018,Q3,112.63416869744152
かどや製油,2018,Q4,79.62191584555222
かどや製油,2019,Q1,99.38761606083075
かどや製油,2019,Q2,61.03057566122153
かどや製油,2019,Q3,57.62410722633387
かどや製油,2019,Q4,29.600503195928795
かどや製油,2020,Q1,100.33398352762919
かどや製油,2020,Q2,85.56548102559839
かどや製油,2020,Q3,72.71546643614091
かどや製油,2020,Q4,61.95393812040535
きんでん,2018,Q1,10.232954932578785
きんでん,2018,Q2,27.084192488405044
きんでん,2018,Q3,30.449609305991444
きんでん,2018,Q4,54.39878830357972
きんでん,2019,Q1,10.190955678255303
きんでん,2019,Q2,25.310041106474376
きんでん,2019,Q3,33.26047576748706
きんでん,2019,Q4,64.38871589810573
きんでん,2020,Q1,24.517534504800466
きんでん,2020,Q2,32.04521247402501
きんでん,2020,Q3,39.50584741546699
きんでん,2020,Q4,62.231101760224476
さくらインターネット,2018,Q1,5.929042296936913
さくらインターネット,2018,Q2,-6.18530867184041
さくらインターネット,2018,Q3,14.44876343588723
さくらインターネット,2018,Q4,18.738222402432143
さくらインターネット,2019,Q1,12.482422462049005
さくらインターネット,2019,Q2,4.0033800468084415
さくらインターネット,2019,Q3,1.444901830573487
さくらインターネット,2019,Q4,3.613388511160384
さくらインターネット,2020,Q1,5.577652045114522
さくらインターネット,2020,Q2,1.3418403058017017
さくらインターネット,2020,Q3,6.059250775523938
さくらインターネット,2020,Q4,6.0267217584343955
たけびし,2018,Q1,36.096298130485174
たけびし,2018,Q2,36.21037275688001
たけびし,2018,Q3,37.67187122688611
たけびし,2018,Q4,38.77357240895218
たけびし,2019,Q1,33.72718556242536
たけびし,2019,Q2,34.770733104121746
たけびし,2019,Q3,30.490881395116702
たけびし,2019,Q4,31.970192871609314
たけびし,2020,Q1,24.28432970831733
たけびし,2020,Q2,21.481878694106797
たけびし,2020,Q3,23.36567955694249
たけびし,2020,Q4,29.53836443298068
なとり,2018,Q1,19.609617822453504
なとり,2018,Q2,19.857045229973078
なとり,2018,Q3,58.95959022967942
なとり,2018,Q4,-16.319531225236375
なとり,2019,Q1,20.446262099722038
なとり,2019,Q2,29.783241628261212
なとり,2019,Q3,67.49463043104294
なとり,2019,Q4,-23.217341847893945
なとり,2020,Q1,25.08994035450147
なとり,2020,Q2,22.4847786482218
なとり,2020,Q3,76.2186468112337
なとり,2020,Q4,-17.61057606910513
はせがわ,2018,Q1,-1.769872955626397
はせがわ,2018,Q2,15.938373119405298
はせがわ,2018,Q3,-2.0038564138350026
はせがわ,2018,Q4,7.329191588591385
はせがわ,2019,Q1,-5.173229843982185
はせがわ,2019,Q2,23.06759427064484
はせがわ,2019,Q3,-11.340980964296655
はせがわ,2019,Q4,-5.515886587154618
