企業名,会計年度,四半期,y_hat_ml1
あらた,2018,Q1,122.326022218767
あらた,2018,Q2,77.69526172503693
あらた,2018,Q3,98.55150559899496
あらた,2018,Q4,72.16187236196856
あらた,2019,Q1,109.14379413461972
あらた,2019,Q2,120.56313221451948
あらた,2019,Q3,124.96861976749275
あらた,2019,Q4,113.8974341339072
あらた,2020,Q1,148.9796856400346
あらた,2020,Q2,85.316926263685
あらた,2020,Q3,118.22933478174096
あらた,2020,Q4,107.01536999740794
いすゞ自動車,2018,Q1,42.44190406090283
いすゞ自動車,2018,Q2,22.116563558654747
いすゞ自動車,2018,Q3,55.6378755004432
いすゞ自動車,2018,Q4,26.373207447330937
いすゞ自動車,2019,Q1,46.62388881291194
いすゞ自動車,2019,Q2,3.578845498573473
いすゞ自動車,2019,Q3,38.62360804459127
いすゞ自動車,2019,Q4,16.800671292630224
いすゞ自動車,2020,Q1,6.365307691295977
いすゞ自動車,2020,Q2,29.076373731893412
いすゞ自動車,2020,Q3,52.36789664286613
いすゞ自動車,2020,Q4,31.34757882684122
いなげや,2018,Q1,10.09975017684622
いなげや,2018,Q2,-9.088976992479123
いなげや,2018,Q3,9.355970942988256
いなげや,2018,Q4,3.449798683546988
いなげや,2019,Q1,-26.5882589457782
いなげや,2019,Q2,-21.186271014288693
いなげや,2019,Q3,1.0622626650928524
いなげや,2019,Q4,-33.95152951762299
いなげや,2020,Q1,47.6096037373864
いなげや,2020,Q2,13.132528199846108
いなげや,2020,Q3,21.110077113542506
いなげや,2020,Q4,-46.97363889607665
かどや製油,2018,Q1,114.3013222650846
かどや製油,2018,Q2,156.49413684815
かどや製油,2018,Q3,122.97995691308743
かどや製油,2018,Q4,18.80846426040671
かどや製油,2019,Q1,191.29025644033285
かどや製油,2019,Q2,149.6495146189924
かどや製油,2019,Q3,51.05504145047922
かどや製油,2019,Q4,168.22616483292086
かどや製油,2020,Q1,92.01542684051822
かどや製油,2020,Q2,79.11300116574165
かどや製油,2020,Q3,54.100326216628375
かどや製油,2020,Q4,30.162038855753075
きんでん,2018,Q1,7.638638140326954
きんでん,2018,Q2,27.976467645295283
きんでん,2018,Q3,34.24499386760488
きんでん,2018,Q4,69.12953309450171
きんでん,2019,Q1,14.255265144458937
きんでん,2019,Q2,31.694995110029023
きんでん,2019,Q3,43.21260672669165
きんでん,2019,Q4,68.01063358914574
きんでん,2020,Q1,14.677135267926555
きんでん,2020,Q2,34.8246786786717
きんでん,2020,Q3,41.63489265175456
きんでん,2020,Q4,66.86007349463796
さくらインターネット,2018,Q1,-126.7078349049857
さくらインターネット,2018,Q2,5.897455815940475
さくらインターネット,2018,Q3,14.263578362804807
さくらインターネット,2018,Q4,19.076554437218235
さくらインターネット,2019,Q1,12.479527903711574
さくらインターネット,2019,Q2,3.997653463490028
さくらインターネット,2019,Q3,1.5607040720516512
さくらインターネット,2019,Q4,2.6607096316549037
さくらインターネット,2020,Q1,5.760573457989025
さくらインターネット,2020,Q2,0.9861830019277537
さくらインターネット,2020,Q3,3.5258493325357003
さくらインターネット,2020,Q4,5.80827222655153
たけびし,2018,Q1,40.65736887363887
たけびし,2018,Q2,42.59134292449663
たけびし,2018,Q3,45.41706940840278
たけびし,2018,Q4,35.5028141341618
たけびし,2019,Q1,28.095230341216944
たけびし,2019,Q2,37.28062971578218
たけびし,2019,Q3,28.738965444714385
たけびし,2019,Q4,31.652956608811163
たけびし,2020,Q1,23.734141529400727
たけびし,2020,Q2,22.62856110807156
たけびし,2020,Q3,22.838023710608887
たけびし,2020,Q4,33.38856361811744
なとり,2018,Q1,22.50703160600186
なとり,2018,Q2,24.9212307158526
なとり,2018,Q3,62.92534848974656
なとり,2018,Q4,-15.928351298422836
なとり,2019,Q1,17.468809666889456
なとり,2019,Q2,28.939158344909806
なとり,2019,Q3,53.94408172450496
なとり,2019,Q4,-14.039966307365258
なとり,2020,Q1,22.42287740785558
