企業名,会計年度,四半期,y_hat_ml1_i_tuned
あらた,2018,Q1,89.6906200786226
あらた,2018,Q2,76.53945937146553
あらた,2018,Q3,92.85973694772218
あらた,2018,Q4,69.80896783650579
あらた,2019,Q1,117.0664848404938
あらた,2019,Q2,111.08960980628328
あらた,2019,Q3,109.8486385022411
あらた,2019,Q4,93.8058434683647
あらた,2020,Q1,136.7864232052827
あらた,2020,Q2,94.49464101110814
あらた,2020,Q3,120.14842169489928
あらた,2020,Q4,103.54471904293472
いすゞ自動車,2018,Q1,35.87246091701563
いすゞ自動車,2018,Q2,34.198107465889265
いすゞ自動車,2018,Q3,46.99255462791327
いすゞ自動車,2018,Q4,34.12754551833236
いすゞ自動車,2019,Q1,43.17757814925045
いすゞ自動車,2019,Q2,20.048470181120457
いすゞ自動車,2019,Q3,36.05781625174716
いすゞ自動車,2019,Q4,17.80532493162214
いすゞ自動車,2020,Q1,6.525605332519166
いすゞ自動車,2020,Q2,18.67874121426061
いすゞ自動車,2020,Q3,46.76749092327927
いすゞ自動車,2020,Q4,30.40370151227148
いなげや,2018,Q1,7.0492332973818055
いなげや,2018,Q2,6.255695718257886
いなげや,2018,Q3,7.766323290478464
いなげや,2018,Q4,5.681110973633956
いなげや,2019,Q1,1.121289079011362
いなげや,2019,Q2,-0.2216461566045637
いなげや,2019,Q3,3.130817028801914
いなげや,2019,Q4,0.7195148496356509
いなげや,2020,Q1,1.6279647472902852
いなげや,2020,Q2,5.988396179950104
いなげや,2020,Q3,7.865134359694435
いなげや,2020,Q4,7.499896260106732
かどや製油,2018,Q1,104.04312926161408
かどや製油,2018,Q2,150.17516120504354
かどや製油,2018,Q3,114.601458485138
かどや製油,2018,Q4,39.26134980808689
かどや製油,2019,Q1,141.37794011866782
かどや製油,2019,Q2,129.49247176607574
かどや製油,2019,Q3,36.94197037332887
かどや製油,2019,Q4,98.59476520707506
かどや製油,2020,Q1,82.15532367103708
かどや製油,2020,Q2,75.62030656122278
かどや製油,2020,Q3,54.20777662670518
かどや製油,2020,Q4,33.373177931736784
きんでん,2018,Q1,7.638638140326954
きんでん,2018,Q2,27.976467645295283
きんでん,2018,Q3,34.24499386760488
きんでん,2018,Q4,69.12953309450171
きんでん,2019,Q1,14.255265144458937
きんでん,2019,Q2,31.694995110029023
きんでん,2019,Q3,43.21260672669165
きんでん,2019,Q4,68.01063358914574
きんでん,2020,Q1,14.677135267926555
きんでん,2020,Q2,34.8246786786717
きんでん,2020,Q3,41.63489265175456
きんでん,2020,Q4,66.86007349463796
さくらインターネット,2018,Q1,5.929042296936913
さくらインターネット,2018,Q2,-6.18530867184041
さくらインターネット,2018,Q3,14.44876343588723
さくらインターネット,2018,Q4,18.738222402432143
さくらインターネット,2019,Q1,12.482422462049003
さくらインターネット,2019,Q2,4.0033800468084415
さくらインターネット,2019,Q3,1.444901830573487
さくらインターネット,2019,Q4,3.613388511160384
さくらインターネット,2020,Q1,5.577652045114522
さくらインターネット,2020,Q2,1.3418403058017017
さくらインターネット,2020,Q3,6.059250775523938
さくらインターネット,2020,Q4,6.026721758434396
たけびし,2018,Q1,40.65736887363887
たけびし,2018,Q2,42.59134292449663
たけびし,2018,Q3,45.41706940840278
たけびし,2018,Q4,35.5028141341618
たけびし,2019,Q1,28.095230341216944
たけびし,2019,Q2,37.28062971578218
たけびし,2019,Q3,28.738965444714385
たけびし,2019,Q4,31.652956608811163
たけびし,2020,Q1,23.734141529400727
たけびし,2020,Q2,22.62856110807156
たけびし,2020,Q3,22.838023710608887
たけびし,2020,Q4,33.38856361811744
なとり,2018,Q1,23.448182986228687
なとり,2018,Q2,22.76368693679972
なとり,2018,Q3,63.269777788204806
なとり,2018,Q4,-18.938820671732675
なとり,2019,Q1,17.68576566421762
なとり,2019,Q2,27.453830000403396
なとり,2019,Q3,57.35102241341575
なとり,2019,Q4,-14.055823612772722
なとり,2020,Q1,24.36155064142241
なとり,2020,Q2,29.34697202001434
なとり,2020,Q3,85.12018732888369
なとり,2020,Q4,-13.528187438207434
はせがわ,2018,Q1,-9.995938078905908
はせがわ,2018,Q2,25.06068361209493
はせがわ,2018,Q3,-3.3520531951458423
はせがわ,2018,Q4,-1.904144265489407
はせがわ,2019,Q1,-21.70647993418899
はせがわ,2019,Q2,21.412090605776925
はせがわ,2019,Q3,-20.327623641408422
はせがわ,2019,Q4,-28.085572679105468
はせがわ,2020,Q1,-18.822617504600288
はせがわ,2020,Q2,10.128226603847253
はせがわ,2020,Q3,0.3842166851897843
はせがわ,2020,Q4,5.071549648994022
はるやまホールディングス,2018,Q1,-3.4414768596781613
はるやまホールディングス,2018,Q2,-24.61233089599436
はるやまホールディングス,2018,Q3,22.36246110546587
はるやまホールディングス,2018,Q4,65.79552241119255
はるやまホールディングス,2019,Q1,-12.729223027654172
はるやまホールディングス,2019,Q2,-28.46247326450255
はるやまホールディングス,2019,Q3,2.96650746480416
はるやまホールディングス,2019,Q4,38.979452210689466
はるやまホールディングス,2020,Q1,-40.218185419537136
はるやまホールディングス,2020,Q2,-71.74445630768008
はるやまホールディングス,2020,Q3,-37.347445453031966
はるやまホールディングス,2020,Q4,-28.14094231856044
ぴあ,2018,Q1,24.323682263275924
ぴあ,2018,Q2,20.459391262366275
ぴあ,2018,Q3,11.66972528215885
ぴあ,2018,Q4,36.46610747699383
ぴあ,2019,Q1,18.740870924506893
ぴあ,2019,Q2,16.310805999216512
ぴあ,2019,Q3,-6.722879594202766
ぴあ,2019,Q4,16.35186635993213
ぴあ,2020,Q1,-50.62048915854737
ぴあ,2020,Q2,-79.58480711505251
ぴあ,2020,Q3,-29.692685877809176
ぴあ,2020,Q4,-75.33442436086048
やまや,2018,Q1,85.62493822673841
やまや,2018,Q2,68.50020922719132
やまや,2018,Q3,150.5534139139246
やまや,2018,Q4,55.412343470253774
やまや,2019,Q1,80.68358443808182
やまや,2019,Q2,61.09408662917076
やまや,2019,Q3,133.3128428189268
やまや,2019,Q4,7.218063277950947
やまや,2020,Q1,-108.20898633168132
やまや,2020,Q2,-28.982935553347005
やまや,2020,Q3,34.938123187724926
やまや,2020,Q4,-391.7667773051599
りらいあコミュニケーションズ,2018,Q1,19.287661446280083
りらいあコミュニケーションズ,2018,Q2,18.303189786161106
りらいあコミュニケーションズ,2018,Q3,18.25892395778173
りらいあコミュニケーションズ,2018,Q4,21.09652353342099
りらいあコミュニケーションズ,2019,Q1,5.144303881578193
りらいあコミュニケーションズ,2019,Q2,6.61166042422495
りらいあコミュニケーションズ,2019,Q3,8.585497519023097
りらいあコミュニケーションズ,2019,Q4,9.63596242350524
りらいあコミュニケーションズ,2020,Q1,10.39211688293548
りらいあコミュニケーションズ,2020,Q2,10.825738697457307
りらいあコミュニケーションズ,2020,Q3,10.829892137735444
りらいあコミュニケーションズ,2020,Q4,10.613774497661538
わかもと製薬,2018,Q1,0.5997222222222222
わかもと製薬,2018,Q2,0.7313888888888889
わかもと製薬,2018,Q3,0.5477777777777777
わかもと製薬,2018,Q4,0.6452777777777778
わかもと製薬,2019,Q1,0.4152777777777777
わかもと製薬,2019,Q2,0.2905555555555555
わかもと製薬,2019,Q3,-0.5833333333333331
わかもと製薬,2019,Q4,-0.4924999999999999
わかもと製薬,2020,Q1,-0.5677777777777778
わかもと製薬,2020,Q2,-0.4897222222222221
わかもと製薬,2020,Q3,-0.9772222222222222
わかもと製薬,2020,Q4,-0.8527777777777777
アイカ工業,2018,Q1,29.747790740348023
アイカ工業,2018,Q2,63.60853200428244
アイカ工業,2018,Q3,46.61135462982384
アイカ工業,2018,Q4,48.76208635840021
アイカ工業,2019,Q1,53.98549794131816
アイカ工業,2019,Q2,43.791501441344735
アイカ工業,2019,Q3,49.92295019654525
アイカ工業,2019,Q4,49.90388047600095
アイカ工業,2020,Q1,31.61594687584602
アイカ工業,2020,Q2,51.67549256557891
アイカ工業,2020,Q3,56.79103360505667
アイカ工業,2020,Q4,64.02048726074383
アイコム,2018,Q1,12.895626724531
アイコム,2018,Q2,20.341240322426835
アイコム,2018,Q3,26.78313861917958
アイコム,2018,Q4,112.38024439147684
アイコム,2019,Q1,-8.07304091465818
アイコム,2019,Q2,-4.6057665050010925
アイコム,2019,Q3,26.958552990552604
アイコム,2019,Q4,50.51721788421085
アイコム,2020,Q1,-20.94845330477064
アイコム,2020,Q2,-2.0101716035077217
アイコム,2020,Q3,29.07251860028805
アイコム,2020,Q4,50.13926005904948
アイシン,2018,Q1,173.14055469205016
アイシン,2018,Q2,52.47918614518106
アイシン,2018,Q3,91.7266653152124
アイシン,2018,Q4,130.9480274706415
アイシン,2019,Q1,115.85157198899552
アイシン,2019,Q2,-7.121236020220307
アイシン,2019,Q3,50.59513746473647
アイシン,2019,Q4,17.773473879964115
アイシン,2020,Q1,-202.2731761844
アイシン,2020,Q2,106.54767865563322
アイシン,2020,Q3,197.390317303248
アイシン,2020,Q4,102.7370331463464
アイダエンジニアリング,2018,Q1,26.595714316137897
アイダエンジニアリング,2018,Q2,9.98376117738539
アイダエンジニアリング,2018,Q3,6.967228665249252
アイダエンジニアリング,2018,Q4,20.44467455425628
アイダエンジニアリング,2019,Q1,14.06248995932527
アイダエンジニアリング,2019,Q2,23.35819465427252
アイダエンジニアリング,2019,Q3,16.94883286541054
アイダエンジニアリング,2019,Q4,25.32830250481203
アイダエンジニアリング,2020,Q1,3.848699018029137
アイダエンジニアリング,2020,Q2,18.96428429532682
アイダエンジニアリング,2020,Q3,11.90727840268849
アイダエンジニアリング,2020,Q4,23.562214314482205
アイチコーポレーション,2018,Q1,5.06419517805317
アイチコーポレーション,2018,Q2,18.58161875247778
アイチコーポレーション,2018,Q3,20.13016368887987
アイチコーポレーション,2018,Q4,23.883178831624495
アイチコーポレーション,2019,Q1,13.269113691731896
アイチコーポレーション,2019,Q2,17.444057340384248
アイチコーポレーション,2019,Q3,7.593742526997341
アイチコーポレーション,2019,Q4,19.83733721705844
アイチコーポレーション,2020,Q1,9.993870990195058
アイチコーポレーション,2020,Q2,17.52148755238846
アイチコーポレーション,2020,Q3,12.505083161185231
アイチコーポレーション,2020,Q4,23.29986062012109
アイティフォー,2018,Q1,3.7256075205743615
アイティフォー,2018,Q2,6.721360686516201
アイティフォー,2018,Q3,7.784057413355434
アイティフォー,2018,Q4,21.23052533647432
アイティフォー,2019,Q1,6.184705688358733
アイティフォー,2019,Q2,9.845109426359873
アイティフォー,2019,Q3,8.459947167626527
アイティフォー,2019,Q4,21.196310039786308
アイティフォー,2020,Q1,8.936462601239718
アイティフォー,2020,Q2,13.710960375369057
アイティフォー,2020,Q3,10.711617177004811
アイティフォー,2020,Q4,22.43630847131637
アイティメディア,2018,Q1,-2.149507041542506
アイティメディア,2018,Q2,8.112514228417467
アイティメディア,2018,Q3,3.59750234015263
アイティメディア,2018,Q4,-2.114073271570703
アイティメディア,2019,Q1,5.278672242059059
アイティメディア,2019,Q2,13.590833170587302
アイティメディア,2019,Q3,9.566441066322142
アイティメディア,2019,Q4,7.865706598935134
アイティメディア,2020,Q1,12.316021877457956
アイティメディア,2020,Q2,14.471056739654522
アイティメディア,2020,Q3,20.963253308854576
アイティメディア,2020,Q4,22.17944944281692
アイネス,2018,Q1,-5.470750968927773
アイネス,2018,Q2,16.351412598783938
アイネス,2018,Q3,5.046272021126539
アイネス,2018,Q4,22.099265171183404
アイネス,2019,Q1,15.269520645318542
アイネス,2019,Q2,25.521534157836708
アイネス,2019,Q3,-9.849548544007328
アイネス,2019,Q4,-121.13181988830348
アイネス,2020,Q1,17.74900216532967
アイネス,2020,Q2,24.580175981545224
アイネス,2020,Q3,43.472291501577615
アイネス,2020,Q4,54.6643686380773
アイネット,2018,Q1,12.068391342387145
アイネット,2018,Q2,26.22068117251149
アイネット,2018,Q3,29.89815779780361
アイネット,2018,Q4,19.72602787002924
アイネット,2019,Q1,24.787358737532145
アイネット,2019,Q2,37.603746909689846
アイネット,2019,Q3,26.585885137506462
アイネット,2019,Q4,21.42970159492313
アイネット,2020,Q1,4.017527867799572
アイネット,2020,Q2,28.458634983152933
アイネット,2020,Q3,28.737016655656333
アイネット,2020,Q4,30.25905412839507
アイホン,2018,Q1,23.037181569654408
アイホン,2018,Q2,52.063996336765456
アイホン,2018,Q3,24.99081632331675
アイホン,2018,Q4,56.47276478151995
アイホン,2019,Q1,21.426712917782183
アイホン,2019,Q2,61.276969475233535
アイホン,2019,Q3,19.65533323698396
アイホン,2019,Q4,58.49517058403856
アイホン,2020,Q1,-1.209865667491517
アイホン,2020,Q2,42.25609548331252
アイホン,2020,Q3,39.04947387153835
アイホン,2020,Q4,59.58195035998524
アイロムグループ,2018,Q1,34.33376655684232
アイロムグループ,2018,Q2,59.7389777799058
アイロムグループ,2018,Q3,32.944861950602856
アイロムグループ,2018,Q4,60.32063748926128
アイロムグループ,2019,Q1,23.46502502601348
アイロムグループ,2019,Q2,-11.532588226304211
アイロムグループ,2019,Q3,21.010121379010776
アイロムグループ,2019,Q4,59.64746841995498
アイロムグループ,2020,Q1,13.032048512519978
アイロムグループ,2020,Q2,41.514967298894135
アイロムグループ,2020,Q3,65.47477669815257
アイロムグループ,2020,Q4,25.1330440657696
アキレス,2018,Q1,31.43432807193666
アキレス,2018,Q2,24.988598323299627
アキレス,2018,Q3,28.55950334624413
アキレス,2018,Q4,5.890013258892711
アキレス,2019,Q1,11.96422977180504
アキレス,2019,Q2,2.6831284368959105
アキレス,2019,Q3,1.595060640932033
アキレス,2019,Q4,8.819141450602729
アキレス,2020,Q1,17.552289432728482
アキレス,2020,Q2,71.04302221044561
アキレス,2020,Q3,30.03785591743309
アキレス,2020,Q4,30.35306039932772
アクシアル　リテイリング,2018,Q1,63.38518534566552
アクシアル　リテイリング,2018,Q2,81.27825057593189
アクシアル　リテイリング,2018,Q3,94.328377291612
アクシアル　リテイリング,2018,Q4,51.89186556097445
アクシアル　リテイリング,2019,Q1,79.30943197273534
アクシアル　リテイリング,2019,Q2,72.47788420391561
アクシアル　リテイリング,2019,Q3,81.48602110616159
アクシアル　リテイリング,2019,Q4,55.820139456793925
アクシアル　リテイリング,2020,Q1,103.30772868738278
アクシアル　リテイリング,2020,Q2,96.93093910756268
アクシアル　リテイリング,2020,Q3,103.11423172688616
アクシアル　リテイリング,2020,Q4,41.61695797531177
アクセル,2018,Q1,-12.157038689550053
アクセル,2018,Q2,-6.534356888326279
アクセル,2018,Q3,-3.2277546759395
アクセル,2018,Q4,-11.800002314547791
アクセル,2019,Q1,0.7388603654179846
アクセル,2019,Q2,-6.622444070606797
アクセル,2019,Q3,14.127259801213986
アクセル,2019,Q4,-1.1185982733531503
アクセル,2020,Q1,27.66448990463712
アクセル,2020,Q2,-5.711342310691776
アクセル,2020,Q3,8.350342309500828
アクセル,2020,Q4,16.43176628196464
アジアパイルホールディングス,2018,Q1,14.986661165567424
アジアパイルホールディングス,2018,Q2,19.35787255384995
アジアパイルホールディングス,2018,Q3,22.32434384751656
アジアパイルホールディングス,2018,Q4,25.813566503800672
