企業名,会計年度,四半期,y_hat_ml2_i_tuned_simple
あらた,2018,Q1,91.34489658139758
あらた,2018,Q2,68.82997819607183
あらた,2018,Q3,83.8646647292975
あらた,2018,Q4,74.00142815811182
あらた,2019,Q1,115.83982423857952
あらた,2019,Q2,115.30162986312371
あらた,2019,Q3,111.03857537848032
あらた,2019,Q4,105.95437866020328
あらた,2020,Q1,153.90051949154926
あらた,2020,Q2,93.22817666861471
あらた,2020,Q3,126.89809680615303
あらた,2020,Q4,107.82063308729224
いすゞ自動車,2018,Q1,35.197180090248175
いすゞ自動車,2018,Q2,27.736777050329795
いすゞ自動車,2018,Q3,51.82186545250924
いすゞ自動車,2018,Q4,37.6405304561482
いすゞ自動車,2019,Q1,47.64385155882904
いすゞ自動車,2019,Q2,12.880079601368033
いすゞ自動車,2019,Q3,41.058315628287644
いすゞ自動車,2019,Q4,17.949983015511947
いすゞ自動車,2020,Q1,11.508750628807263
いすゞ自動車,2020,Q2,21.71758447784009
いすゞ自動車,2020,Q3,41.0826199583818
いすゞ自動車,2020,Q4,30.200479343493452
いなげや,2018,Q1,2.501428690119859
いなげや,2018,Q2,-0.7783078599747029
いなげや,2018,Q3,15.285472189814229
いなげや,2018,Q4,8.401552850219204
いなげや,2019,Q1,-14.85017032078095
いなげや,2019,Q2,-12.188179193028198
いなげや,2019,Q3,7.899665925142678
いなげや,2019,Q4,-28.366914826397462
いなげや,2020,Q1,8.70765771663958
いなげや,2020,Q2,15.570628997965187
いなげや,2020,Q3,23.540103520161864
いなげや,2020,Q4,-5.462136292341668
かどや製油,2018,Q1,110.84279853033476
かどや製油,2018,Q2,151.13156699415936
かどや製油,2018,Q3,119.49375698630111
かどや製油,2018,Q4,48.662145047817546
かどや製油,2019,Q1,147.8362451768966
かどや製油,2019,Q2,125.79317301696184
かどや製油,2019,Q3,34.4734267809194
かどや製油,2019,Q4,62.77385893180718
かどや製油,2020,Q1,76.72695581799678
かどや製油,2020,Q2,79.12941624439199
かどや製油,2020,Q3,47.66623912620737
かどや製油,2020,Q4,34.99024783693255
きんでん,2018,Q1,7.181366859407046
きんでん,2018,Q2,26.91108832779807
きんでん,2018,Q3,34.78979869834027
きんでん,2018,Q4,70.99180870077767
きんでん,2019,Q1,15.417096133950285
きんでん,2019,Q2,33.22078124164
きんでん,2019,Q3,43.08024064195263
きんでん,2019,Q4,68.02793411584443
きんでん,2020,Q1,17.362569560728616
きんでん,2020,Q2,35.050937592505576
きんでん,2020,Q3,43.23110733849352
きんでん,2020,Q4,69.93073428183305
さくらインターネット,2018,Q1,3.3317922338285095
さくらインターネット,2018,Q2,-5.853756297538565
さくらインターネット,2018,Q3,3.9144529622992454
さくらインターネット,2018,Q4,4.556219688361519
さくらインターネット,2019,Q1,4.5032314617531695
さくらインターネット,2019,Q2,1.69651083680706
さくらインターネット,2019,Q3,2.7135060026726237
さくらインターネット,2019,Q4,8.587877608410043
さくらインターネット,2020,Q1,3.948827680528976
さくらインターネット,2020,Q2,2.10925595431077
さくらインターネット,2020,Q3,4.041218572340964
さくらインターネット,2020,Q4,5.102867854172724
たけびし,2018,Q1,45.569642738139976
たけびし,2018,Q2,41.39847882752997
たけびし,2018,Q3,35.02901890585895
たけびし,2018,Q4,41.93445267900762
たけびし,2019,Q1,35.31559553003558
たけびし,2019,Q2,39.67360741145285
たけびし,2019,Q3,22.607000816945742
たけびし,2019,Q4,25.436454832823927
たけびし,2020,Q1,17.6486487643582
たけびし,2020,Q2,25.92003354734652
たけびし,2020,Q3,19.463322194149953
たけびし,2020,Q4,28.182544986688697
なとり,2018,Q1,19.266223930352044
なとり,2018,Q2,23.19162714221262
なとり,2018,Q3,62.34612263533755
なとり,2018,Q4,-14.690533893410763
なとり,2019,Q1,17.398659708620357
なとり,2019,Q2,30.662899378473206
なとり,2019,Q3,53.23222550891491
なとり,2019,Q4,-16.921683341036953
なとり,2020,Q1,20.18035600270209
なとり,2020,Q2,29.105899550570374
なとり,2020,Q3,84.32012060477668
なとり,2020,Q4,-14.124517243397554
はせがわ,2018,Q1,-9.167915649974248
はせがわ,2018,Q2,22.56879793502752
はせがわ,2018,Q3,-2.537733861402515
はせがわ,2018,Q4,-9.107167058760226
はせがわ,2019,Q1,-21.617161439948205
はせがわ,2019,Q2,15.24365624749015
はせがわ,2019,Q3,-28.946832499087407
はせがわ,2019,Q4,-39.98041314160395
はせがわ,2020,Q1,-20.522911819257303
はせがわ,2020,Q2,7.536311757843421
はせがわ,2020,Q3,-0.7979468339169671
はせがわ,2020,Q4,1.5194591234156576
はるやまホールディングス,2018,Q1,2.21663788365575
はるやまホールディングス,2018,Q2,-20.621473522761534
はるやまホールディングス,2018,Q3,30.232832799756608
はるやまホールディングス,2018,Q4,69.74621541741854
はるやまホールディングス,2019,Q1,-20.027777690087433
はるやまホールディングス,2019,Q2,-15.877685004604132
はるやまホールディングス,2019,Q3,-3.382621076217916
はるやまホールディングス,2019,Q4,25.132203673302257
はるやまホールディングス,2020,Q1,-70.29946112802288
はるやまホールディングス,2020,Q2,-100.51958215909883
はるやまホールディングス,2020,Q3,-28.702949063193522
はるやまホールディングス,2020,Q4,-43.521521651895185
ぴあ,2018,Q1,35.707335624460114
ぴあ,2018,Q2,18.540121659644
ぴあ,2018,Q3,10.545309079818026
ぴあ,2018,Q4,6.94800374779599
ぴあ,2019,Q1,4.382789293154561
ぴあ,2019,Q2,26.03773854709786
ぴあ,2019,Q3,-10.46780705038486
ぴあ,2019,Q4,35.585352224811174
ぴあ,2020,Q1,-182.07301236927987
ぴあ,2020,Q2,-100.48889882158367
ぴあ,2020,Q3,36.41936474113111
ぴあ,2020,Q4,-22.32393285129183
やまや,2018,Q1,93.6600947476237
やまや,2018,Q2,83.72838902488962
やまや,2018,Q3,172.2386281566222
やまや,2018,Q4,50.594981965928746
やまや,2019,Q1,66.7968422679701
やまや,2019,Q2,27.325476490251972
やまや,2019,Q3,130.8856947984234
やまや,2019,Q4,-28.467383889014997
やまや,2020,Q1,-142.42455614823453
やまや,2020,Q2,-9.32520648474749
やまや,2020,Q3,-124.41684911987414
やまや,2020,Q4,-241.1038143984382
りらいあコミュニケーションズ,2018,Q1,11.6640967986012
りらいあコミュニケーションズ,2018,Q2,10.20818991227777
りらいあコミュニケーションズ,2018,Q3,11.776326356324637
りらいあコミュニケーションズ,2018,Q4,18.72923425378363
りらいあコミュニケーションズ,2019,Q1,-72.08534241486322
りらいあコミュニケーションズ,2019,Q2,-9.157386091693905
りらいあコミュニケーションズ,2019,Q3,-51.82716187938201
りらいあコミュニケーションズ,2019,Q4,-18.49473682600552
りらいあコミュニケーションズ,2020,Q1,5.721039972593139
りらいあコミュニケーションズ,2020,Q2,13.444784623704326
りらいあコミュニケーションズ,2020,Q3,-2.6041651862468083
りらいあコミュニケーションズ,2020,Q4,-18.575746352815557
わかもと製薬,2018,Q1,2.5794723429862607
わかもと製薬,2018,Q2,0.3615986215217113
わかもと製薬,2018,Q3,3.472218214362755
わかもと製薬,2018,Q4,1.093513981438491
わかもと製薬,2019,Q1,-1.301069488943586
わかもと製薬,2019,Q2,-8.480925889346453
わかもと製薬,2019,Q3,-10.56903284371383
わかもと製薬,2019,Q4,-12.219208331117152
わかもと製薬,2020,Q1,-4.103074574304346
わかもと製薬,2020,Q2,-9.217213316855982
わかもと製薬,2020,Q3,3.3742156510473325
わかもと製薬,2020,Q4,-3.8465436765432726
アイカ工業,2018,Q1,38.55182098616896
アイカ工業,2018,Q2,63.721360822927466
アイカ工業,2018,Q3,60.562668106513755
アイカ工業,2018,Q4,56.85785731101095
アイカ工業,2019,Q1,50.205340550282614
アイカ工業,2019,Q2,46.44925090747466
アイカ工業,2019,Q3,44.54453846530692
アイカ工業,2019,Q4,53.16588014350209
アイカ工業,2020,Q1,26.049473151798168
アイカ工業,2020,Q2,29.458322061982358
アイカ工業,2020,Q3,63.529004958539986
アイカ工業,2020,Q4,68.84475550656477
アイコム,2018,Q1,15.759093720007456
アイコム,2018,Q2,29.982428281508682
アイコム,2018,Q3,40.27292957235197
アイコム,2018,Q4,133.35420147535595
アイコム,2019,Q1,-15.020663217785682
アイコム,2019,Q2,24.244540999909248
アイコム,2019,Q3,43.327844830840846
アイコム,2019,Q4,46.40304962174706
アイコム,2020,Q1,-18.882597281526955
アイコム,2020,Q2,-17.83325498357921
アイコム,2020,Q3,46.26490360179177
アイコム,2020,Q4,57.55251283604302
アイシン,2018,Q1,212.7662633987577
アイシン,2018,Q2,30.204185265250885
アイシン,2018,Q3,104.54600007638803
アイシン,2018,Q4,128.73285474960596
アイシン,2019,Q1,123.68959714863954
アイシン,2019,Q2,-32.69156030326077
アイシン,2019,Q3,24.502523033142488
アイシン,2019,Q4,6.01517366990376
アイシン,2020,Q1,-216.30318167790884
アイシン,2020,Q2,154.47266436866084
アイシン,2020,Q3,208.10681783425252
アイシン,2020,Q4,130.79564570170072
アイダエンジニアリング,2018,Q1,5.836232367221584
アイダエンジニアリング,2018,Q2,2.9902085707717276
アイダエンジニアリング,2018,Q3,5.335525436324964
アイダエンジニアリング,2018,Q4,25.543840312957386
アイダエンジニアリング,2019,Q1,2.5522499936693954
アイダエンジニアリング,2019,Q2,17.548560148917232
アイダエンジニアリング,2019,Q3,13.811376761213324
アイダエンジニアリング,2019,Q4,27.9836894371973
アイダエンジニアリング,2020,Q1,-1.1380849091535623
アイダエンジニアリング,2020,Q2,42.26424169498154
アイダエンジニアリング,2020,Q3,13.5781249557551
アイダエンジニアリング,2020,Q4,16.678744523316453
アイチコーポレーション,2018,Q1,5.633309258841294
アイチコーポレーション,2018,Q2,20.596304963000765
アイチコーポレーション,2018,Q3,17.462867933977726
アイチコーポレーション,2018,Q4,22.56785047327705
アイチコーポレーション,2019,Q1,12.07069328572533
アイチコーポレーション,2019,Q2,20.268789617515168
アイチコーポレーション,2019,Q3,11.260544968837154
アイチコーポレーション,2019,Q4,17.610909021184046
アイチコーポレーション,2020,Q1,9.425282237842682
アイチコーポレーション,2020,Q2,17.535576124040023
アイチコーポレーション,2020,Q3,12.832110267043289
アイチコーポレーション,2020,Q4,21.27694244393795
アイティフォー,2018,Q1,4.375141319029535
アイティフォー,2018,Q2,5.677351885458082
アイティフォー,2018,Q3,8.290060204932225
アイティフォー,2018,Q4,23.812395458018216
アイティフォー,2019,Q1,3.340815310830827
アイティフォー,2019,Q2,7.799196600253389
アイティフォー,2019,Q3,9.766832010926773
アイティフォー,2019,Q4,20.126024991933022
アイティフォー,2020,Q1,6.750586907279292
アイティフォー,2020,Q2,14.378060868496414
アイティフォー,2020,Q3,10.96659387613093
アイティフォー,2020,Q4,22.520685064689104
アイティメディア,2018,Q1,7.69216537935273
アイティメディア,2018,Q2,6.161445100054761
アイティメディア,2018,Q3,6.493932389352484
アイティメディア,2018,Q4,11.957914841761946
アイティメディア,2019,Q1,5.411334538371011
アイティメディア,2019,Q2,8.812820070414475
アイティメディア,2019,Q3,8.999423818469445
アイティメディア,2019,Q4,11.70603884731939
アイティメディア,2020,Q1,10.863609400813598
アイティメディア,2020,Q2,15.754060646835207
アイティメディア,2020,Q3,18.31395078907166
アイティメディア,2020,Q4,20.524075414674215
アイネス,2018,Q1,-3.004556261630081
アイネス,2018,Q2,15.370016890327388
アイネス,2018,Q3,-1.24191485598464
アイネス,2018,Q4,16.41307035397697
アイネス,2019,Q1,13.134777716270662
アイネス,2019,Q2,20.214159085220523
アイネス,2019,Q3,3.4994533035210225
アイネス,2019,Q4,-83.98803598683658
アイネス,2020,Q1,30.294763521246047
アイネス,2020,Q2,38.23023715834344
アイネス,2020,Q3,70.75219440363652
アイネス,2020,Q4,56.13878305696677
アイネット,2018,Q1,14.373413746565689
アイネット,2018,Q2,24.310140337992493
