企業名,会計年度,四半期,rolling_sample,pruned_trials,complete_trials,best_trial_val_error,best_trial_params,final_train_epochs,final_train_min_loss,y_test,y_hat
あらた,2018,Q1,0,194,106,0.05293123796582222,"dict_items([('hidden_units', 383), ('learning_rate', 0.45833361244103826)])",26,"tensor(1254.8608, grad_fn=<MseLossBackward>)",105.42,17.355686
あらた,2018,Q2,1,165,135,0.05514140427112579,"dict_items([('hidden_units', 468), ('learning_rate', 0.3549181810316067)])",62,"tensor(1413.1719, grad_fn=<MseLossBackward>)",90.44,29.419876
あらた,2018,Q3,2,205,95,0.03925320878624916,"dict_items([('hidden_units', 198), ('learning_rate', 0.9972480899955597)])",17,"tensor(1603.9780, grad_fn=<MseLossBackward>)",106.24,5.9571614
あらた,2018,Q4,3,186,114,0.03248995169997215,"dict_items([('hidden_units', 679), ('learning_rate', 0.2829094482277919)])",30,"tensor(1643.4656, grad_fn=<MseLossBackward>)",99.22,39.801723
あらた,2019,Q1,4,215,85,0.03330313786864281,"dict_items([('hidden_units', 810), ('learning_rate', 0.2125256705326783)])",26,"tensor(1722.2632, grad_fn=<MseLossBackward>)",116.85,25.324846
あらた,2019,Q2,5,201,99,0.0319753997027874,"dict_items([('hidden_units', 637), ('learning_rate', 0.27259599498707837)])",21,"tensor(1869.1699, grad_fn=<MseLossBackward>)",101.76,52.425133
あらた,2019,Q3,6,186,114,0.005987886339426041,"dict_items([('hidden_units', 516), ('learning_rate', 0.3861343961229409)])",9,"tensor(2048.3557, grad_fn=<MseLossBackward>)",113.93,8.10436
あらた,2019,Q4,7,182,118,0.0074433255940675735,"dict_items([('hidden_units', 635), ('learning_rate', 0.32173228056992087)])",9,"tensor(2079.9282, grad_fn=<MseLossBackward>)",79.9,15.116727
あらた,2020,Q1,8,210,90,0.017129428684711456,"dict_items([('hidden_units', 844), ('learning_rate', 0.21846956890418134)])",17,"tensor(1990.8433, grad_fn=<MseLossBackward>)",145.23,36.149544
あらた,2020,Q2,9,179,121,0.032145362347364426,"dict_items([('hidden_units', 638), ('learning_rate', 0.33625756005952157)])",9,"tensor(2279.9734, grad_fn=<MseLossBackward>)",120.68,13.962666
