企業名,会計年度,四半期,rolling_sample,pruned_trials,complete_trials,best_trial_val_error,best_trial_params,final_train_epochs,final_train_min_loss,y_test,y_hat
あらた,2018,Q1,0,57,43,0.05301101505756378,"dict_items([('hidden_units', 960), ('learning_rate', 0.16008648169542528)])",9,"tensor(308.3252, grad_fn=<MseLossBackward>)",105.42,60.607697
あらた,2018,Q2,1,53,47,0.055946458131074905,"dict_items([('hidden_units', 792), ('learning_rate', 0.19937109364892225)])",9,"tensor(321.2754, grad_fn=<MseLossBackward>)",90.44,75.81898
あらた,2018,Q3,2,58,42,0.03924653306603432,"dict_items([('hidden_units', 893), ('learning_rate', 0.19903562262131388)])",9,"tensor(293.8550, grad_fn=<MseLossBackward>)",106.24,61.267445
あらた,2018,Q4,3,56,44,0.032579854130744934,"dict_items([('hidden_units', 803), ('learning_rate', 0.22519528400772357)])",9,"tensor(392.9936, grad_fn=<MseLossBackward>)",99.22,66.71174
あらた,2019,Q1,4,44,56,0.03344171866774559,"dict_items([('hidden_units', 567), ('learning_rate', 0.29719325383639705)])",294,"tensor(0.1850, grad_fn=<MseLossBackward>)",116.85,108.4271
あらた,2019,Q2,5,60,40,0.03210943564772606,"dict_items([('hidden_units', 734), ('learning_rate', 0.23107745740040178)])",373,"tensor(0.0351, grad_fn=<MseLossBackward>)",101.76,109.59029
あらた,2019,Q3,6,55,45,0.0061647105030715466,"dict_items([('hidden_units', 335), ('learning_rate', 0.5845053855112099)])",84,"tensor(80.3239, grad_fn=<MseLossBackward>)",113.93,99.48858
あらた,2019,Q4,7,57,43,0.007510208059102297,"dict_items([('hidden_units', 912), ('learning_rate', 0.21432532299782386)])",22,"tensor(195.9119, grad_fn=<MseLossBackward>)",79.9,108.104
あらた,2020,Q1,8,49,51,0.01713074930012226,"dict_items([('hidden_units', 963), ('learning_rate', 0.20391727014454217)])",14,"tensor(434.6830, grad_fn=<MseLossBackward>)",145.23,126.28752
あらた,2020,Q2,9,56,44,0.03217219188809395,"dict_items([('hidden_units', 998), ('learning_rate', 0.20425118639878326)])",14,"tensor(419.8862, grad_fn=<MseLossBackward>)",120.68,126.200424
あらた,2020,Q3,10,58,42,0.03538134694099426,"dict_items([('hidden_units', 892), ('learning_rate', 0.22722366794022303)])",355,"tensor(1.8974, grad_fn=<MseLossBackward>)",153.35,117.782646
あらた,2020,Q4,11,54,46,0.04962187632918358,"dict_items([('hidden_units', 976), ('learning_rate', 0.2180143210373307)])",14,"tensor(493.0287, grad_fn=<MseLossBackward>)",61.403446,122.105125
いすゞ自動車,2018,Q1,0,59,41,0.035604383796453476,"dict_items([('hidden_units', 740), ('learning_rate', 0.06653264171949717)])",192,"tensor(0.2541, grad_fn=<MseLossBackward>)",48.38,36.51058
いすゞ自動車,2018,Q2,1,60,40,0.05018766596913338,"dict_items([('hidden_units', 883), ('learning_rate', 0.05816566581403403)])",21,"tensor(48.0898, grad_fn=<MseLossBackward>)",24.15,29.579592
いすゞ自動車,2018,Q3,2,65,35,0.06394615024328232,"dict_items([('hidden_units', 728), ('learning_rate', 0.06575741578369931)])",11,"tensor(66.0616, grad_fn=<MseLossBackward>)",50.86,27.46748
いすゞ自動車,2018,Q4,3,58,42,0.07837608456611633,"dict_items([('hidden_units', 962), ('learning_rate', 0.053885598607896844)])",16,"tensor(73.2179, grad_fn=<MseLossBackward>)",26.43,39.46758
いすゞ自動車,2019,Q1,4,65,35,0.07554654031991959,"dict_items([('hidden_units', 622), ('learning_rate', 0.08240622053623095)])",233,"tensor(8.7300e-08, grad_fn=<MseLossBackward>)",37.13,49.48501
いすゞ自動車,2019,Q2,5,68,32,0.07192477583885193,"dict_items([('hidden_units', 205), ('learning_rate', 0.24580300161477667)])",7,"tensor(100.1478, grad_fn=<MseLossBackward>)",16.88,50.709385
いすゞ自動車,2019,Q3,6,59,41,0.1391270011663437,"dict_items([('hidden_units', 229), ('learning_rate', 0.17197001263331935)])",12,"tensor(111.6366, grad_fn=<MseLossBackward>)",37.38,31.799292
いすゞ自動車,2019,Q4,7,63,37,0.12054448574781418,"dict_items([('hidden_units', 726), ('learning_rate', 0.05226603449596068)])",146,"tensor(0.0011, grad_fn=<MseLossBackward>)",18.75,28.230473
いすゞ自動車,2020,Q1,8,62,38,0.13224446773529053,"dict_items([('hidden_units', 184), ('learning_rate', 0.24573079398355255)])",17,"tensor(89.1604, grad_fn=<MseLossBackward>)",-13.23,38.44253
