企業名,会計年度,四半期,y_hat_men,best_hyparam
あらた,2018,Q1,89.69062007862281,[10.  1.]
あらた,2018,Q2,76.53945937146517,[10.  1.]
あらた,2018,Q3,92.8597369477221,[10.  1.]
あらた,2018,Q4,69.80896783650579,[10.  1.]
あらた,2019,Q1,117.0664848404933,[10.  1.]
あらた,2019,Q2,111.08960980628353,[10.  1.]
あらた,2019,Q3,109.84863850224129,[10.  1.]
あらた,2019,Q4,93.80584346836517,[10.  1.]
あらた,2020,Q1,136.78642320528257,[10.  1.]
あらた,2020,Q2,94.4946410111082,[10.  1.]
あらた,2020,Q3,120.14842169489982,[10.  1.]
あらた,2020,Q4,103.54471904293496,[10.  1.]
いすゞ自動車,2018,Q1,34.97240076908402,[10.   0.9]
いすゞ自動車,2018,Q2,34.69901645862116,[10.   0.9]
いすゞ自動車,2018,Q3,45.44720249450097,[10.   0.9]
いすゞ自動車,2018,Q4,37.70261258801135,[10.   0.9]
いすゞ自動車,2019,Q1,42.34299409247668,[10.   0.9]
いすゞ自動車,2019,Q2,21.89554436807331,[10.   0.9]
いすゞ自動車,2019,Q3,36.58061667799461,[10.   0.9]
いすゞ自動車,2019,Q4,19.400194611796636,[10.   0.9]
いすゞ自動車,2020,Q1,7.593881930138887,[10.   0.9]
いすゞ自動車,2020,Q2,17.397640861419216,[10.   0.9]
いすゞ自動車,2020,Q3,45.21962406983735,[10.   0.9]
いすゞ自動車,2020,Q4,31.1853056534448,[10.   0.9]
いなげや,2018,Q1,2.2945228159255286,[1000.    0.]
いなげや,2018,Q2,4.262172598281797,[1000.    0.]
いなげや,2018,Q3,8.244802658988206,[1000.    0.]
いなげや,2018,Q4,5.332307523099015,[1000.    0.]
いなげや,2019,Q1,-2.0220451804820314,[1000.    0.]
いなげや,2019,Q2,-1.5904509422922075,[1000.    0.]
いなげや,2019,Q3,1.8859394812263162,[1000.    0.]
いなげや,2019,Q4,-2.304048266116567,[1000.    0.]
いなげや,2020,Q1,-0.6485161750265007,[1000.    0.]
いなげや,2020,Q2,8.632693758034794,[1000.    0.]
いなげや,2020,Q3,14.313652426410858,[1000.    0.]
いなげや,2020,Q4,7.520875499196492,[1000.    0.]
かどや製油,2018,Q1,134.01809464785083,[0.01 1.  ]
かどや製油,2018,Q2,161.875271224554,[0.01 1.  ]
かどや製油,2018,Q3,93.78067689798445,[0.01 1.  ]
かどや製油,2018,Q4,31.502610250388898,[0.01 1.  ]
かどや製油,2019,Q1,173.41775415495863,[0.01 1.  ]
かどや製油,2019,Q2,166.40819913377345,[0.01 1.  ]
かどや製油,2019,Q3,51.954382848885416,[0.01 1.  ]
かどや製油,2019,Q4,142.24247387024116,[0.01 1.  ]
かどや製油,2020,Q1,39.21242622607724,[0.01 1.  ]
かどや製油,2020,Q2,38.89008359301579,[0.01 1.  ]
かどや製油,2020,Q3,36.155213276295854,[0.01 1.  ]
かどや製油,2020,Q4,30.121183084074573,[0.01 1.  ]
きんでん,2018,Q1,7.360951435526573,[1.  0.8]
きんでん,2018,Q2,27.65799121257946,[1.  0.8]
きんでん,2018,Q3,34.548953824645565,[1.  0.8]
きんでん,2018,Q4,69.47736307588501,[1.  0.8]
きんでん,2019,Q1,14.695694085764327,[1.  0.8]
きんでん,2019,Q2,31.542248740950804,[1.  0.8]
きんでん,2019,Q3,43.1080206314856,[1.  0.8]
きんでん,2019,Q4,67.4604797928952,[1.  0.8]
きんでん,2020,Q1,14.678528003947278,[1.  0.8]
きんでん,2020,Q2,35.19072309451011,[1.  0.8]
きんでん,2020,Q3,42.0270383340705,[1.  0.8]
きんでん,2020,Q4,67.15328305884735,[1.  0.8]
さくらインターネット,2018,Q1,5.929042296937965,[100.   1.]
さくらインターネット,2018,Q2,-6.185308671841362,[100.   1.]
さくらインターネット,2018,Q3,14.448763435888168,[100.   1.]
さくらインターネット,2018,Q4,18.73822240243264,[100.   1.]
さくらインターネット,2019,Q1,12.482422462049005,[100.   1.]
さくらインターネット,2019,Q2,4.0033800468084415,[100.   1.]
さくらインターネット,2019,Q3,1.444901830573487,[100.   1.]
さくらインターネット,2019,Q4,3.613388511160384,[100.   1.]
さくらインターネット,2020,Q1,5.577652045114522,[100.   1.]
さくらインターネット,2020,Q2,1.3418403058017638,[100.   1.]
さくらインターネット,2020,Q3,6.059250775523937,[100.   1.]
さくらインターネット,2020,Q4,6.026721758434394,[100.   1.]
たけびし,2018,Q1,42.182300959817155,[0.001 0.9  ]
たけびし,2018,Q2,43.06404630785835,[0.001 0.9  ]
たけびし,2018,Q3,41.941765143842275,[0.001 0.9  ]
たけびし,2018,Q4,40.42906381846291,[0.001 0.9  ]
たけびし,2019,Q1,32.49036840363965,[0.001 0.9  ]
たけびし,2019,Q2,39.142466474389266,[0.001 0.9  ]
たけびし,2019,Q3,24.178563118098168,[0.001 0.9  ]
たけびし,2019,Q4,23.984994632487087,[0.001 0.9  ]
たけびし,2020,Q1,23.88027382995267,[0.001 0.9  ]
たけびし,2020,Q2,25.751978808423985,[0.001 0.9  ]
たけびし,2020,Q3,20.567011563734127,[0.001 0.9  ]
たけびし,2020,Q4,26.390505730934706,[0.001 0.9  ]
なとり,2018,Q1,24.25949214601578,[10.  1.]
なとり,2018,Q2,22.300399559184697,[10.  1.]
なとり,2018,Q3,64.32069669262756,[10.  1.]
なとり,2018,Q4,-18.56086469827316,[10.  1.]
なとり,2019,Q1,17.48775010806635,[10.  1.]
なとり,2019,Q2,26.593110713039064,[10.  1.]
なとり,2019,Q3,60.54286068264301,[10.  1.]
なとり,2019,Q4,-14.840432138736597,[10.  1.]
なとり,2020,Q1,25.857963750026467,[10.  1.]
なとり,2020,Q2,27.600301586105765,[10.  1.]
なとり,2020,Q3,84.0056775085129,[10.  1.]
なとり,2020,Q4,-14.37704854828231,[10.  1.]
はせがわ,2018,Q1,-9.75987580792048,[1.  0.2]
はせがわ,2018,Q2,24.09545165804245,[1.  0.2]
はせがわ,2018,Q3,-4.394337533182664,[1.  0.2]
はせがわ,2018,Q4,-4.485718156775135,[1.  0.2]
はせがわ,2019,Q1,-21.33343806066921,[1.  0.2]
はせがわ,2019,Q2,19.539785607614448,[1.  0.2]
はせがわ,2019,Q3,-24.15233856793202,[1.  0.2]
はせがわ,2019,Q4,-33.50747680077728,[1.  0.2]
はせがわ,2020,Q1,-20.617033607090434,[1.  0.2]
はせがわ,2020,Q2,9.941300782103013,[1.  0.2]
はせがわ,2020,Q3,-1.0952171654056997,[1.  0.2]
はせがわ,2020,Q4,2.577228124087611,[1.  0.2]
はるやまホールディングス,2018,Q1,-2.235559823005701,[100.    0.5]
はるやまホールディングス,2018,Q2,-24.47380713066056,[100.    0.5]
はるやまホールディングス,2018,Q3,22.87831786528257,[100.    0.5]
はるやまホールディングス,2018,Q4,65.62803295913811,[100.    0.5]
はるやまホールディングス,2019,Q1,-11.555530173534848,[100.    0.5]
はるやまホールディングス,2019,Q2,-28.85472753305543,[100.    0.5]
はるやまホールディングス,2019,Q3,4.2940551842680605,[100.    0.5]
はるやまホールディングス,2019,Q4,40.92394330756334,[100.    0.5]
はるやまホールディングス,2020,Q1,-38.103600313538486,[100.    0.5]
はるやまホールディングス,2020,Q2,-69.58303215616738,[100.    0.5]
はるやまホールディングス,2020,Q3,-35.98058269147788,[100.    0.5]
はるやまホールディングス,2020,Q4,-26.72576821502593,[100.    0.5]
ぴあ,2018,Q1,24.911825186620106,[1000.    0.]
ぴあ,2018,Q2,13.56839042505129,[1000.    0.]
ぴあ,2018,Q3,13.644220876449491,[1000.    0.]
ぴあ,2018,Q4,32.300742333411826,[1000.    0.]
ぴあ,2019,Q1,23.149009818780954,[1000.    0.]
ぴあ,2019,Q2,1.1112899108954117,[1000.    0.]
ぴあ,2019,Q3,-6.6632773560871605,[1000.    0.]
ぴあ,2019,Q4,6.0070583585307435,[1000.    0.]
ぴあ,2020,Q1,-22.848732003986846,[1000.    0.]
ぴあ,2020,Q2,-88.66703215310272,[1000.    0.]
