企業名,会計年度,四半期,y_hat_men
あらた,2018,Q1,125.76433812381865
あらた,2018,Q2,80.51025557036863
あらた,2018,Q3,100.26616380512144
あらた,2018,Q4,73.6809011372178
あらた,2019,Q1,108.06053764313556
あらた,2019,Q2,121.04110820524495
あらた,2019,Q3,125.9233144851015
あらた,2019,Q4,113.90053431648246
あらた,2020,Q1,149.62995063345446
あらた,2020,Q2,84.12781004242352
あらた,2020,Q3,118.36965915170364
あらた,2020,Q4,106.83788619620589
いすゞ自動車,2018,Q1,42.41769414432497
いすゞ自動車,2018,Q2,20.15419727613744
いすゞ自動車,2018,Q3,59.14319840727467
いすゞ自動車,2018,Q4,29.58792746051474
いすゞ自動車,2019,Q1,48.07141020706277
いすゞ自動車,2019,Q2,1.4712172396243697
いすゞ自動車,2019,Q3,37.43238422901808
いすゞ自動車,2019,Q4,20.108707048431967
いすゞ自動車,2020,Q1,7.928156067349064
いすゞ自動車,2020,Q2,32.898812902435154
いすゞ自動車,2020,Q3,53.78431211167678
いすゞ自動車,2020,Q4,33.65907489777695
いなげや,2018,Q1,8.476853594277657
いなげや,2018,Q2,-10.716940183004311
いなげや,2018,Q3,8.689344979395173
いなげや,2018,Q4,2.1096849581142934
いなげや,2019,Q1,-24.942731496727347
いなげや,2019,Q2,-21.34756284866982
いなげや,2019,Q3,-1.357172544402914
いなげや,2019,Q4,-35.88526504958246
いなげや,2020,Q1,54.41215745339737
いなげや,2020,Q2,14.11254627158118
いなげや,2020,Q3,16.856367141051663
いなげや,2020,Q4,-49.590613063297766
かどや製油,2018,Q1,117.6674412442323
かどや製油,2018,Q2,155.8426623452142
かどや製油,2018,Q3,125.70951091739948
かどや製油,2018,Q4,8.429190384465073
かどや製油,2019,Q1,188.4544525954528
かどや製油,2019,Q2,155.3582825929683
かどや製油,2019,Q3,47.8035515677455
かどや製油,2019,Q4,175.56613317103742
かどや製油,2020,Q1,94.83553746376498
かどや製油,2020,Q2,80.82485424055184
かどや製油,2020,Q3,55.62016652124071
かどや製油,2020,Q4,29.76888989592505
