企業名,会計年度,四半期,y_hat_men_i_tuned,best_hyparam
あらた,2018,Q1,89.6906200786226,[10.  1.]
あらた,2018,Q2,76.53945937146553,[10.  1.]
あらた,2018,Q3,92.85973694772218,[10.  1.]
あらた,2018,Q4,69.80896783650579,[10.  1.]
あらた,2019,Q1,117.0664848404938,[10.  1.]
あらた,2019,Q2,111.08960980628328,[10.  1.]
あらた,2019,Q3,109.8486385022411,[10.  1.]
あらた,2019,Q4,93.8058434683647,[10.  1.]
あらた,2020,Q1,136.7864232052827,[10.  1.]
あらた,2020,Q2,94.49464101110814,[10.  1.]
あらた,2020,Q3,120.14842169489927,[10.  1.]
あらた,2020,Q4,103.54471904293472,[10.  1.]
いすゞ自動車,2018,Q1,34.97240076908399,[10.   0.9]
いすゞ自動車,2018,Q2,34.69901645862119,[10.   0.9]
いすゞ自動車,2018,Q3,45.44720249450096,[10.   0.9]
いすゞ自動車,2018,Q4,37.702612588011405,[10.   0.9]
いすゞ自動車,2019,Q1,42.34299409247669,[10.   0.9]
いすゞ自動車,2019,Q2,21.895544368073278,[10.   0.9]
いすゞ自動車,2019,Q3,36.58061667799461,[10.   0.9]
いすゞ自動車,2019,Q4,19.400194611796646,[10.   0.9]
いすゞ自動車,2020,Q1,7.593881930138887,[10.   0.9]
いすゞ自動車,2020,Q2,17.397640861419216,[10.   0.9]
いすゞ自動車,2020,Q3,45.21962406983735,[10.   0.9]
いすゞ自動車,2020,Q4,31.1853056534448,[10.   0.9]
いなげや,2018,Q1,5.133452954611878,[10000.     0.]
いなげや,2018,Q2,4.983312112458373,[10000.     0.]
いなげや,2018,Q3,5.584435527573405,[10000.     0.]
いなげや,2018,Q4,5.324717479860142,[10000.     0.]
いなげや,2019,Q1,2.2581527332345637,[10000.     0.]
いなげや,2019,Q2,2.111213324401426,[10000.     0.]
いなげや,2019,Q3,2.517444679498549,[10000.     0.]
いなげや,2019,Q4,2.2275971046223937,[10000.     0.]
いなげや,2020,Q1,2.3768385746069427,[10000.     0.]
いなげや,2020,Q2,5.626522811126138,[10000.     0.]
いなげや,2020,Q3,7.252108139839141,[10000.     0.]
いなげや,2020,Q4,7.257109250167663,[10000.     0.]
かどや製油,2018,Q1,134.01809464784833,[0.01 1.  ]
かどや製油,2018,Q2,161.8752712245552,[0.01 1.  ]
かどや製油,2018,Q3,93.78067689798536,[0.01 1.  ]
かどや製油,2018,Q4,31.502610250390262,[0.01 1.  ]
かどや製油,2019,Q1,173.41775415496136,[0.01 1.  ]
かどや製油,2019,Q2,166.40819913377436,[0.01 1.  ]
かどや製油,2019,Q3,51.95438284888405,[0.01 1.  ]
かどや製油,2019,Q4,142.24247387023934,[0.01 1.  ]
かどや製油,2020,Q1,39.21242622607451,[0.01 1.  ]
かどや製油,2020,Q2,38.890083593016925,[0.01 1.  ]
かどや製油,2020,Q3,36.15521327629699,[0.01 1.  ]
かどや製油,2020,Q4,30.121183084075938,[0.01 1.  ]
きんでん,2018,Q1,7.360951435526573,[1.  0.8]
きんでん,2018,Q2,27.65799121257946,[1.  0.8]
きんでん,2018,Q3,34.548953824645565,[1.  0.8]
きんでん,2018,Q4,69.47736307588501,[1.  0.8]
きんでん,2019,Q1,14.695694085764327,[1.  0.8]
きんでん,2019,Q2,31.542248740950804,[1.  0.8]
きんでん,2019,Q3,43.1080206314856,[1.  0.8]
きんでん,2019,Q4,67.4604797928952,[1.  0.8]
きんでん,2020,Q1,14.678528003947278,[1.  0.8]
きんでん,2020,Q2,35.19072309451011,[1.  0.8]
きんでん,2020,Q3,42.0270383340705,[1.  0.8]
きんでん,2020,Q4,67.15328305884735,[1.  0.8]
さくらインターネット,2018,Q1,5.929042296936913,[100.   1.]
さくらインターネット,2018,Q2,-6.18530867184041,[100.   1.]
さくらインターネット,2018,Q3,14.44876343588723,[100.   1.]
さくらインターネット,2018,Q4,18.738222402432143,[100.   1.]
さくらインターネット,2019,Q1,12.482422462049005,[100.   1.]
さくらインターネット,2019,Q2,4.0033800468084415,[100.   1.]
さくらインターネット,2019,Q3,1.444901830573487,[100.   1.]
さくらインターネット,2019,Q4,3.613388511160384,[100.   1.]
