企業名,会計年度,四半期,y_hat_men_i_tuned_simple
あらた,2018,Q1,89.6906200786226
あらた,2018,Q2,76.53945937146553
あらた,2018,Q3,92.85973694772218
あらた,2018,Q4,69.80896783650579
あらた,2019,Q1,117.0664848404938
あらた,2019,Q2,111.08960980628328
あらた,2019,Q3,109.8486385022411
あらた,2019,Q4,93.8058434683647
あらた,2020,Q1,136.7864232052827
あらた,2020,Q2,94.49464101110814
あらた,2020,Q3,120.14842169489927
あらた,2020,Q4,103.54471904293472
いすゞ自動車,2018,Q1,34.97240076908399
いすゞ自動車,2018,Q2,34.69901645862119
いすゞ自動車,2018,Q3,45.44720249450096
いすゞ自動車,2018,Q4,37.702612588011405
いすゞ自動車,2019,Q1,42.34299409247669
いすゞ自動車,2019,Q2,21.895544368073278
いすゞ自動車,2019,Q3,36.58061667799461
いすゞ自動車,2019,Q4,19.400194611796646
いすゞ自動車,2020,Q1,7.593881930138887
いすゞ自動車,2020,Q2,17.397640861419216
いすゞ自動車,2020,Q3,45.21962406983735
いすゞ自動車,2020,Q4,31.1853056534448
いなげや,2018,Q1,2.294522815925518
いなげや,2018,Q2,4.2621725982817935
いなげや,2018,Q3,8.244802658988203
いなげや,2018,Q4,5.33230752309904
いなげや,2019,Q1,-2.0220451804820243
いなげや,2019,Q2,-1.5904509422922288
いなげや,2019,Q3,1.8859394812263375
いなげや,2019,Q4,-2.3040482661165598
いなげや,2020,Q1,-0.6485161750264936
いなげや,2020,Q2,8.632693758034836
いなげや,2020,Q3,14.313652426410847
いなげや,2020,Q4,7.520875499196496
かどや製油,2018,Q1,134.01809464784833
かどや製油,2018,Q2,161.8752712245552
かどや製油,2018,Q3,93.78067689798536
かどや製油,2018,Q4,31.502610250390262
かどや製油,2019,Q1,173.41775415496136
かどや製油,2019,Q2,166.40819913377436
かどや製油,2019,Q3,51.95438284888405
かどや製油,2019,Q4,142.24247387023934
かどや製油,2020,Q1,39.21242622607451
かどや製油,2020,Q2,38.890083593016925
かどや製油,2020,Q3,36.15521327629699
かどや製油,2020,Q4,30.121183084075938
きんでん,2018,Q1,7.360951435526573
きんでん,2018,Q2,27.65799121257946
きんでん,2018,Q3,34.548953824645565
きんでん,2018,Q4,69.47736307588501
きんでん,2019,Q1,14.695694085764327
きんでん,2019,Q2,31.542248740950804
きんでん,2019,Q3,43.1080206314856
きんでん,2019,Q4,67.4604797928952
きんでん,2020,Q1,14.678528003947278
きんでん,2020,Q2,35.19072309451011
きんでん,2020,Q3,42.0270383340705
きんでん,2020,Q4,67.15328305884735
さくらインターネット,2018,Q1,5.929042296936913
さくらインターネット,2018,Q2,-6.18530867184041
さくらインターネット,2018,Q3,14.44876343588723
さくらインターネット,2018,Q4,18.738222402432143
さくらインターネット,2019,Q1,12.482422462049005
さくらインターネット,2019,Q2,4.0033800468084415
さくらインターネット,2019,Q3,1.444901830573487
さくらインターネット,2019,Q4,3.613388511160384
さくらインターネット,2020,Q1,5.577652045114522
さくらインターネット,2020,Q2,1.3418403058017017
さくらインターネット,2020,Q3,6.059250775523938
さくらインターネット,2020,Q4,6.0267217584343955
たけびし,2018,Q1,42.18230095981721
たけびし,2018,Q2,43.06404630785812
たけびし,2018,Q3,41.941765143842474
たけびし,2018,Q4,40.429063818462396
たけびし,2019,Q1,32.49036840363999
たけびし,2019,Q2,39.14246647438881
たけびし,2019,Q3,24.178563118097827
たけびし,2019,Q4,23.984994632487485
たけびし,2020,Q1,23.880273829952444
たけびし,2020,Q2,25.751978808424326
たけびし,2020,Q3,20.56701156373458
たけびし,2020,Q4,26.390505730934706
なとり,2018,Q1,24.259492146015752
なとり,2018,Q2,22.300399559184683
なとり,2018,Q3,64.32069669262756
なとり,2018,Q4,-18.5608646982731
なとり,2019,Q1,17.48775010806623
なとり,2019,Q2,26.593110713039014
なとり,2019,Q3,60.54286068264302
なとり,2019,Q4,-14.840432138736572
なとり,2020,Q1,25.857963750026432
なとり,2020,Q2,27.600301586105743
なとり,2020,Q3,84.00567750851286
なとり,2020,Q4,-14.37704854828229
はせがわ,2018,Q1,-9.75987580792048
はせがわ,2018,Q2,24.095451658042492
はせがわ,2018,Q3,-4.394337533182679
はせがわ,2018,Q4,-4.485718156775093
はせがわ,2019,Q1,-21.333438060669096
はせがわ,2019,Q2,19.53978560761449
はせがわ,2019,Q3,-24.152338567932077
はせがわ,2019,Q4,-33.507476800777425
はせがわ,2020,Q1,-20.617033607090463
はせがわ,2020,Q2,9.941300782102985
はせがわ,2020,Q3,-1.0952171654056713
はせがわ,2020,Q4,2.5772281240876396
はるやまホールディングス,2018,Q1,-2.2355598230057154
はるやまホールディングス,2018,Q2,-24.473807130660575
はるやまホールディングス,2018,Q3,22.87831786528257
はるやまホールディングス,2018,Q4,65.62803295913801
はるやまホールディングス,2019,Q1,-11.555530173534791
はるやまホールディングス,2019,Q2,-28.854727533055467
はるやまホールディングス,2019,Q3,4.2940551842680605
はるやまホールディングス,2019,Q4,40.92394330756334
はるやまホールディングス,2020,Q1,-38.10360031353845
はるやまホールディングス,2020,Q2,-69.58303215616736
はるやまホールディングス,2020,Q3,-35.98058269147785
はるやまホールディングス,2020,Q4,-26.725768215026065
ぴあ,2018,Q1,24.91182518662
ぴあ,2018,Q2,13.568390425051069
ぴあ,2018,Q3,13.644220876449594
ぴあ,2018,Q4,32.30074233341166
ぴあ,2019,Q1,23.149009818780968
ぴあ,2019,Q2,1.1112899108953407
ぴあ,2019,Q3,-6.663277356087171
ぴあ,2019,Q4,6.007058358531129
ぴあ,2020,Q1,-22.84873200398703
ぴあ,2020,Q2,-88.66703215310272
ぴあ,2020,Q3,-33.16266977191703
ぴあ,2020,Q4,-39.765201818957436
やまや,2018,Q1,80.52423946167501
やまや,2018,Q2,62.55167211663066
やまや,2018,Q3,129.16459135166582
やまや,2018,Q4,56.75718942296021
やまや,2019,Q1,84.72405907720712
やまや,2019,Q2,67.27652575937839
やまや,2019,Q3,133.48727169795902
やまや,2019,Q4,29.506960943653027
やまや,2020,Q1,-10.114135250563066
やまや,2020,Q2,2.459926323208265
やまや,2020,Q3,45.4982824533833
やまや,2020,Q4,-346.27948478217945
りらいあコミュニケーションズ,2018,Q1,19.275339210742114
りらいあコミュニケーションズ,2018,Q2,18.871728099631007
りらいあコミュニケーションズ,2018,Q3,18.319783655186562
りらいあコミュニケーションズ,2018,Q4,17.515894766297674
りらいあコミュニケーションズ,2019,Q1,12.504228099631005
りらいあコミュニケーションズ,2019,Q2,12.33617254407545
りらいあコミュニケーションズ,2019,Q3,12.095616988519895
りらいあコミュニケーションズ,2019,Q4,12.367283655186561
りらいあコミュニケーションズ,2020,Q1,12.664228099631005
りらいあコミュニケーションズ,2020,Q2,12.314783655186561
りらいあコミュニケーションズ,2020,Q3,12.19361111111111
りらいあコミュニケーションズ,2020,Q4,12.34222222222222
わかもと製薬,2018,Q1,0.5997222222222222
わかもと製薬,2018,Q2,0.7313888888888889
わかもと製薬,2018,Q3,0.5477777777777777
わかもと製薬,2018,Q4,0.6452777777777778
わかもと製薬,2019,Q1,0.41527777777777775
わかもと製薬,2019,Q2,0.2905555555555555
わかもと製薬,2019,Q3,-0.5833333333333331
わかもと製薬,2019,Q4,-0.49249999999999994
わかもと製薬,2020,Q1,-0.5677777777777778
わかもと製薬,2020,Q2,-0.4897222222222221
わかもと製薬,2020,Q3,-0.9772222222222222
わかもと製薬,2020,Q4,-0.8527777777777777
アイカ工業,2018,Q1,45.209354641576304
アイカ工業,2018,Q2,57.39514016844671
アイカ工業,2018,Q3,65.53383313071079
アイカ工業,2018,Q4,60.69785438196143
アイカ工業,2019,Q1,49.49087813631693
アイカ工業,2019,Q2,49.06255304128341
アイカ工業,2019,Q3,44.884054815548474
アイカ工業,2019,Q4,52.708310248060585
アイカ工業,2020,Q1,36.05051135299123
アイカ工業,2020,Q2,35.76737636283063
アイカ工業,2020,Q3,63.03099545977726
アイカ工業,2020,Q4,65.28608008829465
アイコム,2018,Q1,19.39976468702025
アイコム,2018,Q2,24.061134882465616
アイコム,2018,Q3,25.598269754755677
アイコム,2018,Q4,95.02997369416738
アイコム,2019,Q1,4.979484233344671
アイコム,2019,Q2,17.243268989816293
アイコム,2019,Q3,37.94665851332692
アイコム,2019,Q4,59.9225309918986
アイコム,2020,Q1,-2.5606686941807197
アイコム,2020,Q2,6.454573273675457
アイコム,2020,Q3,20.411213635046142
アイコム,2020,Q4,48.11281618030468
アイシン,2018,Q1,171.58487525590346
アイシン,2018,Q2,52.59242402005967
アイシン,2018,Q3,99.7670616490239
アイシン,2018,Q4,122.90736248668803
アイシン,2019,Q1,122.65512061121488
アイシン,2019,Q2,-8.046260917351741
アイシン,2019,Q3,55.46642764393357
アイシン,2019,Q4,20.329467230737208
アイシン,2020,Q1,-176.2733223080719
アイシン,2020,Q2,84.4975146194942
アイシン,2020,Q3,202.448786174002
アイシン,2020,Q4,89.70017734112425
アイダエンジニアリング,2018,Q1,24.98591835629842
アイダエンジニアリング,2018,Q2,10.091927215985876
アイダエンジニアリング,2018,Q3,5.894219705279639
アイダエンジニアリング,2018,Q4,21.339912933872732
アイダエンジニアリング,2019,Q1,11.174504462584585
アイダエンジニアリング,2019,Q2,21.20673505439136
アイダエンジニアリング,2019,Q3,16.596311031258658
アイダエンジニアリング,2019,Q4,26.15742570174822
アイダエンジニアリング,2020,Q1,4.202749749726352
アイダエンジニアリング,2020,Q2,19.71887468229913
アイダエンジニアリング,2020,Q3,12.535936735381087
アイダエンジニアリング,2020,Q4,26.177600424259204
アイチコーポレーション,2018,Q1,5.359387517914088
アイチコーポレーション,2018,Q2,19.69222551536435
アイチコーポレーション,2018,Q3,18.2590345851891
アイチコーポレーション,2018,Q4,22.821344602198785
アイチコーポレーション,2019,Q1,11.607618141452836
アイチコーポレーション,2019,Q2,19.21386478420974
アイチコーポレーション,2019,Q3,9.895976715727697
アイチコーポレーション,2019,Q4,18.591314139591283
アイチコーポレーション,2020,Q1,9.715708872480056
アイチコーポレーション,2020,Q2,17.15973715742563
アイチコーポレーション,2020,Q3,13.015586933761844
アイチコーポレーション,2020,Q4,22.138506656330907
アイティフォー,2018,Q1,3.2944800240797907
アイティフォー,2018,Q2,6.080540677030456
アイティフォー,2018,Q3,6.959877336044322
アイティフォー,2018,Q4,20.147141430822714
アイティフォー,2019,Q1,5.848310890860766
アイティフォー,2019,Q2,9.813795472764312
アイティフォー,2019,Q3,8.608585155597815
アイティフォー,2019,Q4,20.255687665471907
アイティフォー,2020,Q1,8.151666213045473
アイティフォー,2020,Q2,12.584620332930866
アイティフォー,2020,Q3,10.400927284888486
アイティフォー,2020,Q4,21.370983717351436
アイティメディア,2018,Q1,-1.4321436366802232
アイティメディア,2018,Q2,8.090201974783668
アイティメディア,2018,Q3,4.020168953873224
アイティメディア,2018,Q4,-0.9150389713151981
アイティメディア,2019,Q1,7.22993426065392
アイティメディア,2019,Q2,11.286056437946712
アイティメディア,2019,Q3,9.141288409616735
アイティメディア,2019,Q4,9.991416293944695
アイティメディア,2020,Q1,10.948574483161593
アイティメディア,2020,Q2,15.750417398006977
アイティメディア,2020,Q3,22.23690545135088
アイティメディア,2020,Q4,23.45190273659513
アイネス,2018,Q1,1.3015944294468076
アイネス,2018,Q2,13.479230497399238
アイネス,2018,Q3,3.1083665960627362
アイネス,2018,Q4,21.851645244215494
アイネス,2019,Q1,2.6863247714850953
アイネス,2019,Q2,14.667894792903795
アイネス,2019,Q3,3.7542741988517747
アイネス,2019,Q4,4.464559973806413
アイネス,2020,Q1,22.935093335607107
アイネス,2020,Q2,13.983861378644042
アイネス,2020,Q3,18.005741762794848
アイネス,2020,Q4,20.748088040855258
アイネット,2018,Q1,13.99983368054015
アイネット,2018,Q2,25.33073482658733
アイネット,2018,Q3,28.91269310603002
アイネット,2018,Q4,23.803997681381247
アイネット,2019,Q1,21.5213099327882
アイネット,2019,Q2,31.192892369296658
アイネット,2019,Q3,24.77656306904487
アイネット,2019,Q4,24.55287204614679
アイネット,2020,Q1,1.3301930848706718
アイネット,2020,Q2,24.15079857547238
アイネット,2020,Q3,23.172817601417457
アイネット,2020,Q4,33.609313698263044
アイホン,2018,Q1,18.049765030728935
アイホン,2018,Q2,75.34513279099026
アイホン,2018,Q3,25.822387013806228
アイホン,2018,Q4,59.99772754968467
アイホン,2019,Q1,41.821433930851896
アイホン,2019,Q2,82.66039160023102
アイホン,2019,Q3,17.15138161511209
アイホン,2019,Q4,28.709770869453152
アイホン,2020,Q1,3.4734532570129524
アイホン,2020,Q2,57.93782240486847
アイホン,2020,Q3,46.082437676720986
アイホン,2020,Q4,12.479122540786161
アイロムグループ,2018,Q1,19.356768526903068
アイロムグループ,2018,Q2,47.61726963992362
アイロムグループ,2018,Q3,31.82035260302409
アイロムグループ,2018,Q4,46.25579713341089
アイロムグループ,2019,Q1,11.857515803470953
アイロムグループ,2019,Q2,3.527584952558371
アイロムグループ,2019,Q3,24.6104947874179
アイロムグループ,2019,Q4,44.680696726363884
アイロムグループ,2020,Q1,-0.002422607341983962
アイロムグループ,2020,Q2,44.80125637319924
アイロムグループ,2020,Q3,96.7336006061739
アイロムグループ,2020,Q4,2.9739863593073608
アキレス,2018,Q1,31.50902896802394
アキレス,2018,Q2,24.962532501085636
アキレス,2018,Q3,28.564737281395733
アキレス,2018,Q4,5.900451357092921
アキレス,2019,Q1,12.410975960751424
アキレス,2019,Q2,2.3397365222928506
アキレス,2019,Q3,1.8370322408167894
アキレス,2019,Q4,8.405483218108994
アキレス,2020,Q1,17.63202986485639
アキレス,2020,Q2,67.13184021559856
アキレス,2020,Q3,30.429024615572054
アキレス,2020,Q4,30.67513117887722
アクシアル　リテイリング,2018,Q1,62.345688820540886
アクシアル　リテイリング,2018,Q2,82.10592683403904
アクシアル　リテイリング,2018,Q3,91.45546235328888
アクシアル　リテイリング,2018,Q4,54.47236332660457
アクシアル　リテイリング,2019,Q1,80.73135480707846
アクシアル　リテイリング,2019,Q2,72.38848711833019
アクシアル　リテイリング,2019,Q3,83.64329162879105
アクシアル　リテイリング,2019,Q4,60.17417774956773
アクシアル　リテイリング,2020,Q1,101.27151992721562
アクシアル　リテイリング,2020,Q2,94.60469900985802
アクシアル　リテイリング,2020,Q3,97.38692088807423
アクシアル　リテイリング,2020,Q4,44.742473385089376
アクセル,2018,Q1,-12.085857110380722
アクセル,2018,Q2,-6.453510943474063
アクセル,2018,Q3,-3.1777600442615457
アクセル,2018,Q4,-11.372358067378002
アクセル,2019,Q1,1.1543960049995228
アクセル,2019,Q2,-6.701920787610643
アクセル,2019,Q3,14.34123071742112
アクセル,2019,Q4,-1.3755855540041964
アクセル,2020,Q1,28.08593316352362
アクセル,2020,Q2,-5.61519029072312
アクセル,2020,Q3,9.236766803379272
アクセル,2020,Q4,16.721286287203213
アジアパイルホールディングス,2018,Q1,9.018055555555556
アジアパイルホールディングス,2018,Q2,10.02582844087969
アジアパイルホールディングス,2018,Q3,11.426844456628586
