企業名,会計年度,四半期,y_hat_ml1_a10
あらた,2018,Q1,89.6906200786226
あらた,2018,Q2,76.53945937146553
あらた,2018,Q3,92.85973694772218
あらた,2018,Q4,69.80896783650579
あらた,2019,Q1,117.0664848404938
あらた,2019,Q2,111.08960980628328
あらた,2019,Q3,109.8486385022411
あらた,2019,Q4,93.8058434683647
あらた,2020,Q1,136.7864232052827
あらた,2020,Q2,94.49464101110814
あらた,2020,Q3,120.14842169489927
あらた,2020,Q4,103.54471904293472
いすゞ自動車,2018,Q1,34.75685917938623
いすゞ自動車,2018,Q2,34.935022907902045
いすゞ自動車,2018,Q3,44.91489041647158
いすゞ自動車,2018,Q4,38.26829533488486
いすゞ自動車,2019,Q1,41.57321191251495
いすゞ自動車,2019,Q2,22.45795666011177
いすゞ自動車,2019,Q3,36.68251177445359
いすゞ自動車,2019,Q4,19.747999067394275
いすゞ自動車,2020,Q1,7.6054136681513
いすゞ自動車,2020,Q2,16.697062312699344
いすゞ自動車,2020,Q3,44.807134610494174
いすゞ自動車,2020,Q4,31.88017447449334
いなげや,2018,Q1,2.082373701692923
いなげや,2018,Q2,1.5510937781936356
いなげや,2018,Q3,16.166475717514345
いなげや,2018,Q4,7.017940202432815
いなげや,2019,Q1,-8.815041268576557
いなげや,2019,Q2,-10.03137611095977
いなげや,2019,Q3,3.975688208110803
いなげや,2019,Q4,-19.121260069226352
いなげや,2020,Q1,7.568306057963447
いなげや,2020,Q2,15.955440930514655
いなげや,2020,Q3,34.41042365344285
いなげや,2020,Q4,5.345885532440263
かどや製油,2018,Q1,112.1945931626309
かどや製油,2018,Q2,142.95071484157648
かどや製油,2018,Q3,118.15222768678684
かどや製油,2018,Q4,60.837837829352054
かどや製油,2019,Q1,145.846668521457
かどや製油,2019,Q2,116.71888999206706
かどや製油,2019,Q3,54.937288616218716
かどや製油,2019,Q4,18.123937091310893
かどや製油,2020,Q1,76.51142920436158
かどや製油,2020,Q2,81.14602313837165
かどや製油,2020,Q3,55.8491981769901
かどや製油,2020,Q4,32.91055798941962
きんでん,2018,Q1,12.539092378527393
きんでん,2018,Q2,31.251515630706812
きんでん,2018,Q3,35.26957422454725
きんでん,2018,Q4,69.27666788795732
きんでん,2019,Q1,14.476749703387998
きんでん,2019,Q2,34.207512757677904
きんでん,2019,Q3,42.94728392495726
きんでん,2019,Q4,73.39729534658787
きんでん,2020,Q1,24.074630729088497
きんでん,2020,Q2,33.42066735565747
きんでん,2020,Q3,40.90476856629242
きんでん,2020,Q4,63.6805203152055
さくらインターネット,2018,Q1,5.801019693999123
さくらインターネット,2018,Q2,-6.2290159625226735
さくらインターネット,2018,Q3,14.25739710222544
さくらインターネット,2018,Q4,19.0430860166951
さくらインターネット,2019,Q1,12.478498288074153
さくらインターネット,2019,Q2,3.9979468159565243
さくらインターネット,2019,Q3,1.5638425762297476
さくらインターネット,2019,Q4,2.666371449105659
さくらインターネット,2020,Q1,5.746697285506674
さくらインターネット,2020,Q2,0.9743995710299735
さくらインターネット,2020,Q3,4.138442029431506
さくらインターネット,2020,Q4,4.5043359955306235
たけびし,2018,Q1,40.20652661909867
たけびし,2018,Q2,42.27980050652571
たけびし,2018,Q3,45.180758984650126
たけびし,2018,Q4,38.276740267887526
たけびし,2019,Q1,32.86111451862827
たけびし,2019,Q2,37.35203756959294
たけびし,2019,Q3,31.93285088031665
たけびし,2019,Q4,33.606694701605434
たけびし,2020,Q1,24.44789031124586
たけびし,2020,Q2,24.815413555214537
たけびし,2020,Q3,27.772914709653296
たけびし,2020,Q4,38.16984050872856
なとり,2018,Q1,24.259492146015752
なとり,2018,Q2,22.300399559184683
なとり,2018,Q3,64.32069669262756
なとり,2018,Q4,-18.5608646982731
なとり,2019,Q1,17.48775010806623
なとり,2019,Q2,26.593110713039014
なとり,2019,Q3,60.54286068264302
なとり,2019,Q4,-14.840432138736572
なとり,2020,Q1,25.857963750026432
なとり,2020,Q2,27.600301586105743
なとり,2020,Q3,84.00567750851286
なとり,2020,Q4,-14.37704854828229
はせがわ,2018,Q1,-3.998144603993623
はせがわ,2018,Q2,23.255991618694324
はせがわ,2018,Q3,-1.4599917255923245
はせがわ,2018,Q4,10.591993183413898
はせがわ,2019,Q1,-11.227359087443869
はせがわ,2019,Q2,24.635469293362092
はせがわ,2019,Q3,-18.148248196621097
はせがわ,2019,Q4,-15.710499563910048
はせがわ,2020,Q1,-29.92079910220292
はせがわ,2020,Q2,10.219413242950822
はせがわ,2020,Q3,1.6129432838586304
はせがわ,2020,Q4,5.559767491753835
はるやまホールディングス,2018,Q1,1.647314568959871
はるやまホールディングス,2018,Q2,-17.88715548682626
はるやまホールディングス,2018,Q3,30.839823101418972
はるやまホールディングス,2018,Q4,73.67784657388529
はるやまホールディングス,2019,Q1,-14.066683251058691
はるやまホールディングス,2019,Q2,-21.005295875227247
はるやまホールディングス,2019,Q3,-2.023824847255632
はるやまホールディングス,2019,Q4,25.872278191191313
はるやまホールディングス,2020,Q1,-67.88503333072742
はるやまホールディングス,2020,Q2,-94.22232535875541
はるやまホールディングス,2020,Q3,-39.50185240698042
はるやまホールディングス,2020,Q4,-50.94728120481918
ぴあ,2018,Q1,30.719707439764377
ぴあ,2018,Q2,10.652418034644759
ぴあ,2018,Q3,8.095111363962328
ぴあ,2018,Q4,13.467926052692349
ぴあ,2019,Q1,5.723355670379508
ぴあ,2019,Q2,20.417163151151293
ぴあ,2019,Q3,-17.478240971369942
ぴあ,2019,Q4,21.48851513769815
ぴあ,2020,Q1,-156.77505348007526
ぴあ,2020,Q2,-100.9356288539491
ぴあ,2020,Q3,-10.662908399521594
ぴあ,2020,Q4,-73.31220140576781
やまや,2018,Q1,84.94388009654762
やまや,2018,Q2,85.07967917263285
やまや,2018,Q3,174.54262458135634
やまや,2018,Q4,51.39480832479451
やまや,2019,Q1,67.78795955024377
やまや,2019,Q2,51.206797055906456
やまや,2019,Q3,130.7408417071215
やまや,2019,Q4,-16.64451159708301
やまや,2020,Q1,-165.90747852398255
やまや,2020,Q2,-24.236807479903952
やまや,2020,Q3,-83.13458023282928
やまや,2020,Q4,-255.49167732099352
りらいあコミュニケーションズ,2018,Q1,13.69912477056387
りらいあコミュニケーションズ,2018,Q2,12.744537077172712
りらいあコミュニケーションズ,2018,Q3,13.680570220280167
りらいあコミュニケーションズ,2018,Q4,19.528282353351425
りらいあコミュニケーションズ,2019,Q1,-31.59086831657492
りらいあコミュニケーションズ,2019,Q2,-5.162460291636322
りらいあコミュニケーションズ,2019,Q3,-39.4717483730759
りらいあコミュニケーションズ,2019,Q4,-8.935134946557845
りらいあコミュニケーションズ,2020,Q1,5.468380410352866
りらいあコミュニケーションズ,2020,Q2,22.60929041306077
りらいあコミュニケーションズ,2020,Q3,9.701273702459522
りらいあコミュニケーションズ,2020,Q4,-17.89377624861585
わかもと製薬,2018,Q1,1.078904822868806
わかもと製薬,2018,Q2,1.114542948977725
わかもと製薬,2018,Q3,1.325468235593214
わかもと製薬,2018,Q4,1.4928080826532826
わかもと製薬,2019,Q1,1.0507805428977726
わかもと製薬,2019,Q2,-1.043161037535178
わかもと製薬,2019,Q3,-5.380809642045207
わかもと製薬,2019,Q4,-4.430437676747099
わかもと製薬,2020,Q1,-3.9034048674087423
わかもと製薬,2020,Q2,-5.09779017029821
わかもと製薬,2020,Q3,1.3616765476176687
わかもと製薬,2020,Q4,-3.8066237607545146
アイカ工業,2018,Q1,48.58296198739827
アイカ工業,2018,Q2,48.94427557321217
アイカ工業,2018,Q3,55.58650701435605
アイカ工業,2018,Q4,54.75601748055776
アイカ工業,2019,Q1,51.0431014454635
アイカ工業,2019,Q2,53.58520148868704
アイカ工業,2019,Q3,56.3645357861436
アイカ工業,2019,Q4,55.20034632394411
アイカ工業,2020,Q1,44.76648888498703
アイカ工業,2020,Q2,46.459223720817185
アイカ工業,2020,Q3,47.948129139492906
アイカ工業,2020,Q4,42.37280397503949
アイコム,2018,Q1,12.575758640309672
アイコム,2018,Q2,24.59412341144352
アイコム,2018,Q3,38.76076576354379
アイコム,2018,Q4,125.98004679358817
アイコム,2019,Q1,-12.182766271356154
アイコム,2019,Q2,1.1950536988218872
アイコム,2019,Q3,33.05816555747168
アイコム,2019,Q4,60.177777572954255
アイコム,2020,Q1,-23.281107454868714
アイコム,2020,Q2,-8.106810766010007
アイコム,2020,Q3,48.75055303220391
アイコム,2020,Q4,56.645113172849676
アイシン,2018,Q1,199.0523995612271
アイシン,2018,Q2,39.34991160968801
アイシン,2018,Q3,96.83649538472433
アイシン,2018,Q4,126.14149923640541
アイシン,2019,Q1,122.82928095195147
アイシン,2019,Q2,-23.424936038167736
アイシン,2019,Q3,36.30762925176538
アイシン,2019,Q4,1.1435598120938408
アイシン,2020,Q1,-224.28961403708456
アイシン,2020,Q2,161.2979176259476
アイシン,2020,Q3,211.66797074822108
アイシン,2020,Q4,136.75484150400894
アイダエンジニアリング,2018,Q1,18.385519955396333
アイダエンジニアリング,2018,Q2,3.9157122651457428
アイダエンジニアリング,2018,Q3,9.434032975765492
アイダエンジニアリング,2018,Q4,14.910397307419597
アイダエンジニアリング,2019,Q1,15.38442477380736
アイダエンジニアリング,2019,Q2,21.898461895227328
アイダエンジニアリング,2019,Q3,17.909964686942075
アイダエンジニアリング,2019,Q4,22.359937075268046
アイダエンジニアリング,2020,Q1,7.33731725335712
アイダエンジニアリング,2020,Q2,15.408375296421273
アイダエンジニアリング,2020,Q3,10.548408534178641
アイダエンジニアリング,2020,Q4,20.60933081387289
アイチコーポレーション,2018,Q1,4.169375239577805
アイチコーポレーション,2018,Q2,19.348372240236113
アイチコーポレーション,2018,Q3,16.656718534443776
アイチコーポレーション,2018,Q4,23.101740404568325
アイチコーポレーション,2019,Q1,10.884400477155616
アイチコーポレーション,2019,Q2,19.451716617465806
アイチコーポレーション,2019,Q3,14.30310896805854
アイチコーポレーション,2019,Q4,18.512129589386987
アイチコーポレーション,2020,Q1,9.165165367326574
アイチコーポレーション,2020,Q2,17.736464728237053
アイチコーポレーション,2020,Q3,11.85681184668683
アイチコーポレーション,2020,Q4,19.941863435523913
アイティフォー,2018,Q1,3.239542189120474
アイティフォー,2018,Q2,6.3184432023591715
アイティフォー,2018,Q3,7.093289534435961
アイティフォー,2018,Q4,19.18205641798987
アイティフォー,2019,Q1,5.867322980420205
アイティフォー,2019,Q2,9.779527158441756
アイティフォー,2019,Q3,9.080992402011958
アイティフォー,2019,Q4,19.475748333329868
アイティフォー,2020,Q1,8.307754300465533
アイティフォー,2020,Q2,12.274784526299728
アイティフォー,2020,Q3,10.408847955981749
アイティフォー,2020,Q4,20.779220696643975
アイティメディア,2018,Q1,21.481664074570325
アイティメディア,2018,Q2,10.910911209426784
アイティメディア,2018,Q3,11.78145838995151
アイティメディア,2018,Q4,10.174147717158299
アイティメディア,2019,Q1,13.154192779369996
アイティメディア,2019,Q2,11.137918935766095
アイティメディア,2019,Q3,6.807162816625989
アイティメディア,2019,Q4,8.215705636597317
アイティメディア,2020,Q1,7.71675612864587
アイティメディア,2020,Q2,9.352817023342258
アイティメディア,2020,Q3,10.563774830560838
アイティメディア,2020,Q4,13.178766050425534
アイネス,2018,Q1,-5.74106397214984
アイネス,2018,Q2,15.832059287485471
アイネス,2018,Q3,2.4248791589102776
アイネス,2018,Q4,19.207445780604306
アイネス,2019,Q1,17.843089558542083
アイネス,2019,Q2,23.03927721345636
アイネス,2019,Q3,-11.607769301500785
アイネス,2019,Q4,-94.12177205961852
アイネス,2020,Q1,-35.15576063815155
アイネス,2020,Q2,29.88434940182156
アイネス,2020,Q3,56.90528505912663
アイネス,2020,Q4,68.24297268925231
アイネット,2018,Q1,11.179769521215377
アイネット,2018,Q2,22.79549410624584
アイネット,2018,Q3,19.89134464367862
アイネット,2018,Q4,30.50453807008232
アイネット,2019,Q1,16.07522329231586
アイネット,2019,Q2,32.18198118886602
アイネット,2019,Q3,27.00670687920332
アイネット,2019,Q4,30.859498060819966
アイネット,2020,Q1,19.98602718372846
アイネット,2020,Q2,25.079880506077213
アイネット,2020,Q3,17.449994524742053
アイネット,2020,Q4,28.191592867192263
アイホン,2018,Q1,27.95798247552294
アイホン,2018,Q2,67.06872066941625
アイホン,2018,Q3,24.273297913462116
アイホン,2018,Q4,58.68751372979027
アイホン,2019,Q1,32.78176316570388
アイホン,2019,Q2,76.99545658458358
アイホン,2019,Q3,24.268157833224986
アイホン,2019,Q4,39.900569725557915
アイホン,2020,Q1,1.342319689134289
アイホン,2020,Q2,57.77959439308789
アイホン,2020,Q3,50.07465028587646
アイホン,2020,Q4,37.13222175184838
アイロムグループ,2018,Q1,39.12603266945298
アイロムグループ,2018,Q2,61.889660738221366
アイロムグループ,2018,Q3,87.46408466749916
アイロムグループ,2018,Q4,154.00550971547656
アイロムグループ,2019,Q1,56.64140758334737
アイロムグループ,2019,Q2,-69.5500873357577
アイロムグループ,2019,Q3,-6.489565388847083
アイロムグループ,2019,Q4,42.2840487953789
アイロムグループ,2020,Q1,43.31715965719585
アイロムグループ,2020,Q2,32.43711208554522
アイロムグループ,2020,Q3,76.15515018460289
アイロムグループ,2020,Q4,29.45360287890668
アキレス,2018,Q1,39.09766212514307
アキレス,2018,Q2,23.086400184440283
アキレス,2018,Q3,33.89490097637058
アキレス,2018,Q4,-12.312712325680643
アキレス,2019,Q1,11.271129555137803
アキレス,2019,Q2,-3.709727321255107
アキレス,2019,Q3,-21.516402920246417
アキレス,2019,Q4,-5.709220015372676
アキレス,2020,Q1,48.505945353636854
アキレス,2020,Q2,76.79513350601945
アキレス,2020,Q3,29.38212184574249
アキレス,2020,Q4,-10.94742325988159
アクシアル　リテイリング,2018,Q1,64.13355123877757
アクシアル　リテイリング,2018,Q2,77.41152166372319
アクシアル　リテイリング,2018,Q3,83.17423975866922
アクシアル　リテイリング,2018,Q4,48.83371311782535
アクシアル　リテイリング,2019,Q1,72.64811908951837
アクシアル　リテイリング,2019,Q2,74.11057101409831
アクシアル　リテイリング,2019,Q3,81.61153462280109
アクシアル　リテイリング,2019,Q4,49.39246287598526
アクシアル　リテイリング,2020,Q1,92.34917163241697
アクシアル　リテイリング,2020,Q2,96.3197552849416
アクシアル　リテイリング,2020,Q3,104.3116040917883
アクシアル　リテイリング,2020,Q4,43.8144473048006
アクセル,2018,Q1,-12.085857110380722
アクセル,2018,Q2,-6.453510943474063
アクセル,2018,Q3,-3.1777600442615457
アクセル,2018,Q4,-11.372358067378002
アクセル,2019,Q1,1.1543960049995228
アクセル,2019,Q2,-6.701920787610643
アクセル,2019,Q3,14.34123071742112
アクセル,2019,Q4,-1.3755855540041964
アクセル,2020,Q1,28.08593316352362
アクセル,2020,Q2,-5.61519029072312
アクセル,2020,Q3,9.236766803379272
アクセル,2020,Q4,16.721286287203213
アジアパイルホールディングス,2018,Q1,17.110647305541075
アジアパイルホールディングス,2018,Q2,16.959297342875132
アジアパイルホールディングス,2018,Q3,28.85297565238732
