企業名,会計年度,四半期,y_hat_ml1_i_tuned_fine,best_hyparam
あらた,2018,Q1,89.48279970382808,[10.20861859]
あらた,2018,Q2,76.49109964963577,[10.20861859]
あらた,2018,Q3,92.71089246384417,[10.20861859]
あらた,2018,Q4,69.77897171745383,[10.20861859]
あらた,2019,Q1,116.94131279681591,[10.20861859]
あらた,2019,Q2,110.82399913034178,[10.20861859]
あらた,2019,Q3,109.76290852405651,[10.20861859]
あらた,2019,Q4,93.57826058507942,[10.20861859]
あらた,2020,Q1,136.6325227374076,[10.20861859]
あらた,2020,Q2,94.42605577050676,[10.20861859]
あらた,2020,Q3,120.09040462070013,[10.20861859]
あらた,2020,Q4,103.42052515672063,[10.20861859]
いすゞ自動車,2018,Q1,35.98432501979521,[6.81544881]
いすゞ自動車,2018,Q2,34.213326367004825,[6.81544881]
いすゞ自動車,2018,Q3,47.14228363560538,[6.81544881]
いすゞ自動車,2018,Q4,33.83864653094426,[6.81544881]
いすゞ自動車,2019,Q1,43.19724956547958,[6.81544881]
いすゞ自動車,2019,Q2,19.90068198644895,[6.81544881]
いすゞ自動車,2019,Q3,36.01947857041988,[6.81544881]
いすゞ自動車,2019,Q4,17.68587650279372,[6.81544881]
いすゞ自動車,2020,Q1,6.461729713767935,[6.81544881]
いすゞ自動車,2020,Q2,18.88402451653588,[6.81544881]
いすゞ自動車,2020,Q3,46.878490061851444,[6.81544881]
いすゞ自動車,2020,Q4,30.312833419018748,[6.81544881]
いなげや,2018,Q1,6.762675785806364,[172.69294817]
いなげや,2018,Q2,6.404722222222222,[172.69294817]
いなげや,2018,Q3,6.19,[172.69294817]
いなげや,2018,Q4,6.118333333333333,[172.69294817]
いなげや,2019,Q1,4.9494444444444445,[172.69294817]
いなげや,2019,Q2,4.54538928428763,[172.69294817]
いなげや,2019,Q3,5.006787679558494,[172.69294817]
いなげや,2019,Q4,4.890108713051207,[172.69294817]
いなげや,2020,Q1,4.897222222222222,[172.69294817]
いなげや,2020,Q2,6.317777777777777,[172.69294817]
いなげや,2020,Q3,6.699722222222222,[172.69294817]
いなげや,2020,Q4,7.260277777777777,[172.69294817]
かどや製油,2018,Q1,134.25254574646556,[0.00867357]
かどや製油,2018,Q2,164.41092939967757,[0.00867357]
かどや製油,2018,Q3,88.27232679093413,[0.00867357]
かどや製油,2018,Q4,37.77584616011063,[0.00867357]
かどや製油,2019,Q1,172.7534770845482,[0.00867357]
かどや製油,2019,Q2,163.1042249085126,[0.00867357]
かどや製油,2019,Q3,48.75399208950739,[0.00867357]
かどや製油,2019,Q4,134.0714293183596,[0.00867357]
かどや製油,2020,Q1,35.43661776616955,[0.00867357]
かどや製油,2020,Q2,27.02220357015358,[0.00867357]
かどや製油,2020,Q3,34.29255938262281,[0.00867357]
かどや製油,2020,Q4,32.43532146580446,[0.00867357]
きんでん,2018,Q1,7.449167540580767,[0.01299183]
きんでん,2018,Q2,25.73259941096,[0.01299183]
きんでん,2018,Q3,31.80322578877128,[0.01299183]
きんでん,2018,Q4,68.37857634467701,[0.01299183]
きんでん,2019,Q1,17.735094224065193,[0.01299183]
きんでん,2019,Q2,29.490136950956998,[0.01299183]
きんでん,2019,Q3,39.98227751181266,[0.01299183]
きんでん,2019,Q4,60.377682642361634,[0.01299183]
きんでん,2020,Q1,12.238594378063627,[0.01299183]
きんでん,2020,Q2,36.12173303809749,[0.01299183]
きんでん,2020,Q3,46.204079752384125,[0.01299183]
きんでん,2020,Q4,65.43440291346437,[0.01299183]
さくらインターネット,2018,Q1,3.887906774717022,[4375.77262779]
さくらインターネット,2018,Q2,-6.607483160791869,[4375.77262779]
さくらインターネット,2018,Q3,12.211327319709397,[4375.77262779]
さくらインターネット,2018,Q4,11.244546909777949,[4375.77262779]
さくらインターネット,2019,Q1,7.828472109966535,[4375.77262779]
さくらインターネット,2019,Q2,2.965698014102742,[4375.77262779]
さくらインターネット,2019,Q3,3.7301658828765465,[4375.77262779]
さくらインターネット,2019,Q4,6.110231308267254,[4375.77262779]
さくらインターネット,2020,Q1,2.2905890480824955,[4375.77262779]
さくらインターネット,2020,Q2,1.4044907998351217,[4375.77262779]
さくらインターネット,2020,Q3,6.391066561953352,[4375.77262779]
さくらインターネット,2020,Q4,6.393765423891637,[4375.77262779]
たけびし,2018,Q1,41.33567998278522,[0.00172309]
たけびし,2018,Q2,43.25172522101988,[0.00172309]
たけびし,2018,Q3,41.425191540839165,[0.00172309]
たけびし,2018,Q4,39.899864250931614,[0.00172309]
たけびし,2019,Q1,32.60192121292181,[0.00172309]
たけびし,2019,Q2,38.24636725961403,[0.00172309]
たけびし,2019,Q3,24.871695191104436,[0.00172309]
たけびし,2019,Q4,22.869376614979387,[0.00172309]
たけびし,2020,Q1,26.608056682395386,[0.00172309]
たけびし,2020,Q2,26.02968026430449,[0.00172309]
たけびし,2020,Q3,21.539504198412033,[0.00172309]
たけびし,2020,Q4,26.71972656531466,[0.00172309]
なとり,2018,Q1,23.49483271496236,[3.03773178]
なとり,2018,Q2,22.763197389306256,[3.03773178]
なとり,2018,Q3,63.273927256345814,[3.03773178]
なとり,2018,Q4,-18.93898834315076,[3.03773178]
なとり,2019,Q1,17.68513633362008,[3.03773178]
なとり,2019,Q2,27.441343992889056,[3.03773178]
なとり,2019,Q3,57.37731490375538,[3.03773178]
なとり,2019,Q4,-14.06842056681047,[3.03773178]
なとり,2020,Q1,24.379489835574034,[3.03773178]
なとり,2020,Q2,29.33046802028648,[3.03773178]
なとり,2020,Q3,85.11089879149712,[3.03773178]
なとり,2020,Q4,-13.528729473859917,[3.03773178]
はせがわ,2018,Q1,-10.242878380676657,[0.26897649]
はせがわ,2018,Q2,23.415765542625763,[0.26897649]
はせがわ,2018,Q3,-4.597102242418316,[0.26897649]
はせがわ,2018,Q4,-8.37400783730098,[0.26897649]
はせがわ,2019,Q1,-24.079757184233955,[0.26897649]
はせがわ,2019,Q2,18.680589131959636,[0.26897649]
はせがわ,2019,Q3,-23.25009639160318,[0.26897649]
はせがわ,2019,Q4,-35.886074551273055,[0.26897649]
はせがわ,2020,Q1,-20.224915890201714,[0.26897649]
はせがわ,2020,Q2,10.497550215117968,[0.26897649]
はせがわ,2020,Q3,1.7973968305216488,[0.26897649]
はせがわ,2020,Q4,3.3992987384792457,[0.26897649]
はるやまホールディングス,2018,Q1,-3.6725247155977456,[51.38744795]
はるやまホールディングス,2018,Q2,-24.576961745273422,[51.38744795]
はるやまホールディングス,2018,Q3,22.334728282722196,[51.38744795]
はるやまホールディングス,2018,Q4,65.77390825623368,[51.38744795]
はるやまホールディングス,2019,Q1,-12.53443391809138,[51.38744795]
はるやまホールディングス,2019,Q2,-28.504619621247386,[51.38744795]
はるやまホールディングス,2019,Q3,3.0116192401182715,[51.38744795]
はるやまホールディングス,2019,Q4,39.94143827655523,[51.38744795]
はるやまホールディングス,2020,Q1,-39.53129000654875,[51.38744795]
はるやまホールディングス,2020,Q2,-71.07280732217922,[51.38744795]
はるやまホールディングス,2020,Q3,-37.380318974657115,[51.38744795]
はるやまホールディングス,2020,Q4,-27.16609161657105,[51.38744795]
ぴあ,2018,Q1,24.524537987434158,[94.20323713]
ぴあ,2018,Q2,20.650763145216423,[94.20323713]
ぴあ,2018,Q3,12.205616128916262,[94.20323713]
ぴあ,2018,Q4,36.4750260890918,[94.20323713]
ぴあ,2019,Q1,18.942151932718893,[94.20323713]
ぴあ,2019,Q2,16.5591129700843,[94.20323713]
ぴあ,2019,Q3,-5.7742906598843895,[94.20323713]
ぴあ,2019,Q4,16.836155548375004,[94.20323713]
ぴあ,2020,Q1,-47.45356147077597,[94.20323713]
ぴあ,2020,Q2,-79.71296934835718,[94.20323713]
ぴあ,2020,Q3,-31.148004668790872,[94.20323713]
ぴあ,2020,Q4,-74.7947394197589,[94.20323713]
やまや,2018,Q1,87.32294274203818,[258.67063052]
やまや,2018,Q2,61.352980917409795,[258.67063052]
やまや,2018,Q3,131.9353041730423,[258.67063052]
