企業名,会計年度,四半期,y_hat_ml1_i_tuned_simple
あらた,2018,Q1,89.6906200786226
あらた,2018,Q2,76.53945937146553
あらた,2018,Q3,92.85973694772218
あらた,2018,Q4,69.80896783650579
あらた,2019,Q1,117.0664848404938
あらた,2019,Q2,111.08960980628328
あらた,2019,Q3,109.8486385022411
あらた,2019,Q4,93.8058434683647
あらた,2020,Q1,136.7864232052827
あらた,2020,Q2,94.49464101110814
あらた,2020,Q3,120.14842169489927
あらた,2020,Q4,103.54471904293472
いすゞ自動車,2018,Q1,34.75685917938623
いすゞ自動車,2018,Q2,34.935022907902045
いすゞ自動車,2018,Q3,44.91489041647158
いすゞ自動車,2018,Q4,38.26829533488486
いすゞ自動車,2019,Q1,41.57321191251495
いすゞ自動車,2019,Q2,22.45795666011177
いすゞ自動車,2019,Q3,36.68251177445359
いすゞ自動車,2019,Q4,19.747999067394275
いすゞ自動車,2020,Q1,7.6054136681513
いすゞ自動車,2020,Q2,16.697062312699344
いすゞ自動車,2020,Q3,44.807134610494174
いすゞ自動車,2020,Q4,31.88017447449334
いなげや,2018,Q1,6.514722222222222
いなげや,2018,Q2,6.404722222222222
いなげや,2018,Q3,6.19
いなげや,2018,Q4,6.118333333333333
いなげや,2019,Q1,4.9494444444444445
いなげや,2019,Q2,5.456666666666667
いなげや,2019,Q3,5.241944444444445
いなげや,2019,Q4,5.008333333333333
いなげや,2020,Q1,4.897222222222222
いなげや,2020,Q2,6.317777777777777
いなげや,2020,Q3,6.699722222222222
いなげや,2020,Q4,7.260277777777777
かどや製油,2018,Q1,134.01809464784833
かどや製油,2018,Q2,161.8752712245552
かどや製油,2018,Q3,93.78067689798536
かどや製油,2018,Q4,31.502610250390262
かどや製油,2019,Q1,173.41775415496136
かどや製油,2019,Q2,166.40819913377436
かどや製油,2019,Q3,51.95438284888405
かどや製油,2019,Q4,142.24247387023934
かどや製油,2020,Q1,39.21242622607451
かどや製油,2020,Q2,38.890083593016925
かどや製油,2020,Q3,36.15521327629699
かどや製油,2020,Q4,30.121183084075938
きんでん,2018,Q1,7.638638140326954
きんでん,2018,Q2,27.976467645295283
きんでん,2018,Q3,34.244993867604876
きんでん,2018,Q4,69.12953309450171
きんでん,2019,Q1,14.255265144458935
きんでん,2019,Q2,31.694995110029023
きんでん,2019,Q3,43.212606726691654
きんでん,2019,Q4,68.01063358914574
きんでん,2020,Q1,14.677135267926555
きんでん,2020,Q2,34.8246786786717
きんでん,2020,Q3,41.634892651754555
きんでん,2020,Q4,66.86007349463796
さくらインターネット,2018,Q1,5.929042296936913
さくらインターネット,2018,Q2,-6.18530867184041
さくらインターネット,2018,Q3,14.44876343588723
さくらインターネット,2018,Q4,18.738222402432143
さくらインターネット,2019,Q1,12.482422462049005
さくらインターネット,2019,Q2,4.0033800468084415
さくらインターネット,2019,Q3,1.444901830573487
さくらインターネット,2019,Q4,3.613388511160384
さくらインターネット,2020,Q1,5.577652045114522
さくらインターネット,2020,Q2,1.3418403058017017
さくらインターネット,2020,Q3,6.059250775523938
さくらインターネット,2020,Q4,6.0267217584343955
たけびし,2018,Q1,42.878492524188914
たけびし,2018,Q2,44.05845768024102
たけびし,2018,Q3,41.92237423722679
たけびし,2018,Q4,40.10669584327866
たけびし,2019,Q1,33.65827972662703
たけびし,2019,Q2,38.57760752417994
たけびし,2019,Q3,25.502196885685976
たけびし,2019,Q4,20.051219242638695
たけびし,2020,Q1,27.795649472376
たけびし,2020,Q2,26.920059314673722
たけびし,2020,Q3,22.52492742509571
たけびし,2020,Q4,27.281184491532258
なとり,2018,Q1,24.259492146015752
なとり,2018,Q2,22.300399559184683
なとり,2018,Q3,64.32069669262756
なとり,2018,Q4,-18.5608646982731
なとり,2019,Q1,17.48775010806623
なとり,2019,Q2,26.593110713039014
なとり,2019,Q3,60.54286068264302
なとり,2019,Q4,-14.840432138736572
なとり,2020,Q1,25.857963750026432
なとり,2020,Q2,27.600301586105743
なとり,2020,Q3,84.00567750851286
なとり,2020,Q4,-14.37704854828229
はせがわ,2018,Q1,-8.554705723865197
はせがわ,2018,Q2,24.502879695051604
はせがわ,2018,Q3,-0.3744849222973272
はせがわ,2018,Q4,-9.290360868307857
はせがわ,2019,Q1,-22.802356881718623
はせがわ,2019,Q2,15.524419340734283
はせがわ,2019,Q3,-27.036491740605896
はせがわ,2019,Q4,-39.35145028942475
はせがわ,2020,Q1,-21.95021635404001
はせがわ,2020,Q2,9.197752201092328
はせがわ,2020,Q3,-0.6822653472241882
はせがわ,2020,Q4,2.4485682377299725
はるやまホールディングス,2018,Q1,-2.1428074836985047
はるやまホールディングス,2018,Q2,-23.95259632805049
はるやまホールディングス,2018,Q3,24.4620074626649
はるやまホールディングス,2018,Q4,65.56814947178626
はるやまホールディングス,2019,Q1,-9.740549578811383
はるやまホールディングス,2019,Q2,-29.42827676658041
はるやまホールディングス,2019,Q3,5.290411356505576
はるやまホールディングス,2019,Q4,44.91591269136153
はるやまホールディングス,2020,Q1,-33.17586660996389
はるやまホールディングス,2020,Q2,-64.2698047688982
はるやまホールディングス,2020,Q3,-33.17178997088056
はるやまホールディングス,2020,Q4,-18.41688116455098
ぴあ,2018,Q1,24.80065864587861
ぴあ,2018,Q2,20.913828999972125
ぴあ,2018,Q3,12.980052172658887
ぴあ,2018,Q4,36.48717108012407
ぴあ,2019,Q1,19.20406431330281
ぴあ,2019,Q2,16.901630068283616
ぴあ,2019,Q3,-4.466160529831431
ぴあ,2019,Q4,17.238821375047493
ぴあ,2020,Q1,-43.08599443001678
ぴあ,2020,Q2,-79.89181465518963
ぴあ,2020,Q3,-31.495020235468523
ぴあ,2020,Q4,-74.04119819307965
やまや,2018,Q1,65.2229932416176
やまや,2018,Q2,56.46783510148884
やまや,2018,Q3,74.05317968059583
やまや,2018,Q4,65.57630186251359
やまや,2019,Q1,72.62489782871533
やまや,2019,Q2,67.03449529292975
やまや,2019,Q3,92.37389541183853
やまや,2019,Q4,58.45856262602628
やまや,2020,Q1,15.253115962084507
やまや,2020,Q2,18.464451061252078
やまや,2020,Q3,23.37693851304931
やまや,2020,Q4,-242.78168269499395
りらいあコミュニケーションズ,2018,Q1,19.275339210742114
りらいあコミュニケーションズ,2018,Q2,18.871728099631007
りらいあコミュニケーションズ,2018,Q3,18.319783655186562
りらいあコミュニケーションズ,2018,Q4,17.515894766297674
りらいあコミュニケーションズ,2019,Q1,12.504228099631005
りらいあコミュニケーションズ,2019,Q2,12.33617254407545
りらいあコミュニケーションズ,2019,Q3,12.095616988519895
りらいあコミュニケーションズ,2019,Q4,12.367283655186561
りらいあコミュニケーションズ,2020,Q1,12.664228099631005
りらいあコミュニケーションズ,2020,Q2,12.314783655186561
りらいあコミュニケーションズ,2020,Q3,12.19361111111111
りらいあコミュニケーションズ,2020,Q4,12.34222222222222
わかもと製薬,2018,Q1,0.5997222222222222
わかもと製薬,2018,Q2,0.7313888888888889
わかもと製薬,2018,Q3,0.5477777777777777
わかもと製薬,2018,Q4,0.6452777777777778
わかもと製薬,2019,Q1,0.41527777777777775
わかもと製薬,2019,Q2,0.2905555555555555
わかもと製薬,2019,Q3,-0.5833333333333331
わかもと製薬,2019,Q4,-0.49249999999999994
わかもと製薬,2020,Q1,-0.5677777777777778
わかもと製薬,2020,Q2,-0.4897222222222221
わかもと製薬,2020,Q3,-0.9772222222222222
わかもと製薬,2020,Q4,-0.8527777777777777
アイカ工業,2018,Q1,45.683551707524984
アイカ工業,2018,Q2,57.7205115940751
アイカ工業,2018,Q3,65.99477872188038
アイカ工業,2018,Q4,60.75323107715811
アイカ工業,2019,Q1,49.782043139123495
アイカ工業,2019,Q2,50.22849000336484
アイカ工業,2019,Q3,45.16349951353451
アイカ工業,2019,Q4,53.14400631015044
アイカ工業,2020,Q1,37.10852716306055
アイカ工業,2020,Q2,36.14441780071148
アイカ工業,2020,Q3,62.60007502038576
アイカ工業,2020,Q4,64.38353752999019
アイコム,2018,Q1,17.297335341736314
アイコム,2018,Q2,23.513742854937057
アイコム,2018,Q3,27.000098648012283
アイコム,2018,Q4,111.34554628688525
アイコム,2019,Q1,-5.512356106646173
アイコム,2019,Q2,1.774309516050991
アイコム,2019,Q3,37.87143659926133
アイコム,2019,Q4,53.89321690390062
アイコム,2020,Q1,-13.573258302743625
アイコム,2020,Q2,2.7448688656935687
アイコム,2020,Q3,27.131118428714785
アイコム,2020,Q4,51.33805508601945
アイシン,2018,Q1,167.27676924537616
アイシン,2018,Q2,64.05091383080578
アイシン,2018,Q3,109.72927038187869
アイシン,2018,Q4,113.34606465129366
アイシン,2019,Q1,116.5861566736102
アイシン,2019,Q2,7.232486570150964
アイシン,2019,Q3,61.0554318848485
アイシン,2019,Q4,34.20578794334055
アイシン,2020,Q1,-175.56767900533112
アイシン,2020,Q2,23.508925033721844
アイシン,2020,Q3,185.59141204057852
アイシン,2020,Q4,102.51197302544838
アイダエンジニアリング,2018,Q1,24.98591835629842
アイダエンジニアリング,2018,Q2,10.091927215985876
アイダエンジニアリング,2018,Q3,5.894219705279639
アイダエンジニアリング,2018,Q4,21.339912933872732
アイダエンジニアリング,2019,Q1,11.174504462584585
アイダエンジニアリング,2019,Q2,21.20673505439136
アイダエンジニアリング,2019,Q3,16.596311031258658
アイダエンジニアリング,2019,Q4,26.15742570174822
アイダエンジニアリング,2020,Q1,4.202749749726352
アイダエンジニアリング,2020,Q2,19.71887468229913
アイダエンジニアリング,2020,Q3,12.535936735381087
アイダエンジニアリング,2020,Q4,26.177600424259204
アイチコーポレーション,2018,Q1,5.812404467878768
アイチコーポレーション,2018,Q2,18.122873758849213
アイチコーポレーション,2018,Q3,21.90006766182782
アイチコーポレーション,2018,Q4,24.197824085928936
アイチコーポレーション,2019,Q1,14.34219325261315
アイチコーポレーション,2019,Q2,17.278300377634807
アイチコーポレーション,2019,Q3,6.1607124062551595
アイチコーポレーション,2019,Q4,20.367729091283937
アイチコーポレーション,2020,Q1,11.133760730671698
アイチコーポレーション,2020,Q2,16.66455316998874
アイチコーポレーション,2020,Q3,13.861992599541571
アイチコーポレーション,2020,Q4,24.361597310803592
アイティフォー,2018,Q1,4.964348837354095
アイティフォー,2018,Q2,6.865165917156608
アイティフォー,2018,Q3,8.941261906028856
アイティフォー,2018,Q4,23.55546042948935
アイティフォー,2019,Q1,5.7110868573727025
アイティフォー,2019,Q2,7.984906374945634
アイティフォー,2019,Q3,8.022723077051978
アイティフォー,2019,Q4,21.555447034565066
アイティフォー,2020,Q1,8.551636699778498
アイティフォー,2020,Q2,14.15917282379944
アイティフォー,2020,Q3,9.950471133145069
アイティフォー,2020,Q4,23.075297683289882
アイティメディア,2018,Q1,-2.013722518206464
アイティメディア,2018,Q2,8.154935576855905
アイティメディア,2018,Q3,3.8035690587101953
アイティメディア,2018,Q4,-1.787191771216726
アイティメディア,2019,Q1,5.894784000419861
アイティメディア,2019,Q2,12.959127116038076
アイティメディア,2019,Q3,9.158885214149421
アイティメディア,2019,Q4,9.708903855376434
アイティメディア,2020,Q1,11.241393170828388
アイティメディア,2020,Q2,15.639988438667096
アイティメディア,2020,Q3,22.221851321879782
アイティメディア,2020,Q4,23.675317929244102
アイネス,2018,Q1,9.582777777777778
アイネス,2018,Q2,9.5275
アイネス,2018,Q3,9.475555555555555
アイネス,2018,Q4,10.025277777777777
アイネス,2019,Q1,10.260833333333332
アイネス,2019,Q2,11.011388888888888
アイネス,2019,Q3,8.8475
アイネス,2019,Q4,13.409166666666668
アイネス,2020,Q1,11.960555555555553
アイネス,2020,Q2,12.272499999999999
アイネス,2020,Q3,11.668055555555556
アイネス,2020,Q4,12.413333333333334
アイネット,2018,Q1,13.99983368054015
アイネット,2018,Q2,25.33073482658733
アイネット,2018,Q3,28.91269310603002
アイネット,2018,Q4,23.803997681381247
アイネット,2019,Q1,21.5213099327882
アイネット,2019,Q2,31.192892369296658
アイネット,2019,Q3,24.77656306904487
アイネット,2019,Q4,24.55287204614679
アイネット,2020,Q1,1.3301930848706718
アイネット,2020,Q2,24.15079857547238
アイネット,2020,Q3,23.172817601417457
アイネット,2020,Q4,33.609313698263044
アイホン,2018,Q1,18.733428621147368
アイホン,2018,Q2,77.05042367123906
アイホン,2018,Q3,31.759734556458625
アイホン,2018,Q4,67.2427408319129
アイホン,2019,Q1,29.463793073990928
アイホン,2019,Q2,79.85932316540516
アイホン,2019,Q3,21.827904582161864
アイホン,2019,Q4,24.22334914508542
アイホン,2020,Q1,8.256320494091142
アイホン,2020,Q2,49.5281010866845
アイホン,2020,Q3,43.20570724224797
アイホン,2020,Q4,-9.48025521208774
アイロムグループ,2018,Q1,18.405418508531696
アイロムグループ,2018,Q2,47.981153982614316
アイロムグループ,2018,Q3,31.860503072074238
アイロムグループ,2018,Q4,44.74885694822884
アイロムグループ,2019,Q1,9.459879859693196
アイロムグループ,2019,Q2,4.057685065684922
アイロムグループ,2019,Q3,22.667940242220872
アイロムグループ,2019,Q4,43.91141793468922
アイロムグループ,2020,Q1,-3.843160793451098
アイロムグループ,2020,Q2,41.01772354430683
アイロムグループ,2020,Q3,134.10088884373437
アイロムグループ,2020,Q4,14.118031674990235
アキレス,2018,Q1,30.481366611764276
アキレス,2018,Q2,25.528517398936003
アキレス,2018,Q3,28.38555394121436
アキレス,2018,Q4,14.053688182328646
アキレス,2019,Q1,18.71089843898125
アキレス,2019,Q2,4.1588510740582
アキレス,2019,Q3,13.187282343640955
アキレス,2019,Q4,9.944126293204821
アキレス,2020,Q1,14.371674208142272
アキレス,2020,Q2,45.333151509180894
アキレス,2020,Q3,27.30478737767087
アキレス,2020,Q4,29.0451579631871
アクシアル　リテイリング,2018,Q1,64.13355123877757
アクシアル　リテイリング,2018,Q2,77.41152166372319
アクシアル　リテイリング,2018,Q3,83.17423975866922
アクシアル　リテイリング,2018,Q4,48.83371311782535
アクシアル　リテイリング,2019,Q1,72.64811908951837
アクシアル　リテイリング,2019,Q2,74.11057101409831
アクシアル　リテイリング,2019,Q3,81.61153462280109
アクシアル　リテイリング,2019,Q4,49.39246287598526
アクシアル　リテイリング,2020,Q1,92.34917163241697
アクシアル　リテイリング,2020,Q2,96.3197552849416
アクシアル　リテイリング,2020,Q3,104.3116040917883
アクシアル　リテイリング,2020,Q4,43.8144473048006
アクセル,2018,Q1,-12.085857110380722
アクセル,2018,Q2,-6.453510943474063
アクセル,2018,Q3,-3.1777600442615457
アクセル,2018,Q4,-11.372358067378002
アクセル,2019,Q1,1.1543960049995228
アクセル,2019,Q2,-6.701920787610643
アクセル,2019,Q3,14.34123071742112
アクセル,2019,Q4,-1.3755855540041964
アクセル,2020,Q1,28.08593316352362
アクセル,2020,Q2,-5.61519029072312
アクセル,2020,Q3,9.236766803379272
アクセル,2020,Q4,16.721286287203213
アジアパイルホールディングス,2018,Q1,9.018055555555556
アジアパイルホールディングス,2018,Q2,9.758611111111113
アジアパイルホールディングス,2018,Q3,10.498055555555558
アジアパイルホールディングス,2018,Q4,11.329444444444446
