企業名,会計年度,四半期,y_hat
あらた,2018,Q1,89.69301468804157
あらた,2018,Q2,76.8388860434928
あらた,2018,Q3,103.39005808508375
あらた,2018,Q4,69.99729639640321
あらた,2019,Q1,108.0170805824921
あらた,2019,Q2,142.86709265965783
あらた,2019,Q3,124.60310401341727
あらた,2019,Q4,113.15087343290611
あらた,2020,Q1,136.78825186113247
あらた,2020,Q2,94.49542892142546
あらた,2020,Q3,120.4116863003527
あらた,2020,Q4,104.94084988043251
いすゞ自動車,2018,Q1,44.48006167759804
いすゞ自動車,2018,Q2,17.588672518135624
いすゞ自動車,2018,Q3,66.77615848721535
いすゞ自動車,2018,Q4,18.93956374056995
いすゞ自動車,2019,Q1,46.34300230839351
いすゞ自動車,2019,Q2,13.282233230376114
いすゞ自動車,2019,Q3,35.30806705376975
いすゞ自動車,2019,Q4,16.50220915960553
いすゞ自動車,2020,Q1,6.188000734651151
いすゞ自動車,2020,Q2,25.06115973957977
いすゞ自動車,2020,Q3,45.979113390270314
いすゞ自動車,2020,Q4,31.585648989644902
いなげや,2018,Q1,10.119529322462547
いなげや,2018,Q2,1.550330345184559
いなげや,2018,Q3,16.166393549514908
いなげや,2018,Q4,7.018785017349412
いなげや,2019,Q1,-24.300458172952638
いなげや,2019,Q2,-37.97163615301784
いなげや,2019,Q3,3.976252368710295
いなげや,2019,Q4,-19.12602700466666
いなげや,2020,Q1,7.571877293621299
いなげや,2020,Q2,12.907069369896874
いなげや,2020,Q3,20.440317951709517
いなげや,2020,Q4,-23.581133256369228
かどや製油,2018,Q1,107.48114234388387
かどや製油,2018,Q2,148.94982405453538
かどや製油,2018,Q3,128.47490589958664
かどや製油,2018,Q4,55.02888371815453
かどや製油,2019,Q1,191.68694198414437
かどや製油,2019,Q2,116.72311194420311
かどや製油,2019,Q3,63.93318807416381
かどや製油,2019,Q4,18.14376026124971
かどや製油,2020,Q1,84.18177368773527
かどや製油,2020,Q2,79.02342210868053
かどや製油,2020,Q3,54.676362932137664
かどや製油,2020,Q4,33.53134297121036
きんでん,2018,Q1,7.429200450490949
きんでん,2018,Q2,25.843455819558265
きんでん,2018,Q3,32.40710573004026
きんでん,2018,Q4,68.8245480208843
きんでん,2019,Q1,17.391241003491984
きんでん,2019,Q2,34.160959168418685
きんでん,2019,Q3,39.81466985479068
きんでん,2019,Q4,61.22869563769327
きんでん,2020,Q1,14.14199111588588
きんでん,2020,Q2,35.460472988068666
きんでん,2020,Q3,46.19837014891752
きんでん,2020,Q4,65.32435193151491
さくらインターネット,2018,Q1,5.77825130249191
さくらインターネット,2018,Q2,1.7823790841061964
さくらインターネット,2018,Q3,14.257379679626162
さくらインターネット,2018,Q4,19.048022390259845
さくらインターネット,2019,Q1,12.551486688075599
さくらインターネット,2019,Q2,3.997849616607784
さくらインターネット,2019,Q3,-0.7234398052880895
さくらインターネット,2019,Q4,131.56839080297837
さくらインターネット,2020,Q1,5.768568223772789
さくらインターネット,2020,Q2,1.0068164721701365
