企業名,会計年度,四半期,y_hat_ml2,best_hyparam
あらた,2018,Q1,91.34489658135091,[1000]
あらた,2018,Q2,68.8299781961697,[1000]
あらた,2018,Q3,83.86466472908288,[1000]
あらた,2018,Q4,74.00142815794166,[1000]
あらた,2019,Q1,115.83982423864097,[1000]
あらた,2019,Q2,115.30162986321132,[1000]
あらた,2019,Q3,111.03857537854189,[1000]
あらた,2019,Q4,105.9543786600966,[1000]
あらた,2020,Q1,153.90051949174824,[1000]
あらた,2020,Q2,93.2281766683628,[1000]
あらた,2020,Q3,126.89809680604918,[1000]
あらた,2020,Q4,107.8206330872668,[1000]
いすゞ自動車,2018,Q1,35.197180090248175,[1000]
いすゞ自動車,2018,Q2,27.736777050329795,[1000]
いすゞ自動車,2018,Q3,51.821865452509236,[1000]
いすゞ自動車,2018,Q4,37.6405304561482,[1000]
いすゞ自動車,2019,Q1,47.643851558830235,[1000]
いすゞ自動車,2019,Q2,12.880079601367811,[1000]
いすゞ自動車,2019,Q3,41.05831562828723,[1000]
いすゞ自動車,2019,Q4,17.94998301551073,[1000]
いすゞ自動車,2020,Q1,11.508750628807263,[1000]
いすゞ自動車,2020,Q2,21.71758447784009,[1000]
いすゞ自動車,2020,Q3,41.0826199583818,[1000]
いすゞ自動車,2020,Q4,30.200479343493452,[1000]
いなげや,2018,Q1,2.5014286901199156,[1000]
いなげや,2018,Q2,-0.7783078599746744,[1000]
いなげや,2018,Q3,15.285472189814179,[1000]
いなげや,2018,Q4,8.40155285021914,[1000]
いなげや,2019,Q1,-14.850170320780887,[1000]
いなげや,2019,Q2,-12.18817919302796,[1000]
いなげや,2019,Q3,7.899665925142639,[1000]
いなげや,2019,Q4,-28.36691482639749,[1000]
いなげや,2020,Q1,8.70765771663934,[1000]
いなげや,2020,Q2,15.57062899796533,[1000]
いなげや,2020,Q3,23.54010352016202,[1000]
いなげや,2020,Q4,-5.462136292341711,[1000]
かどや製油,2018,Q1,110.84279853033439,[1000]
かどや製油,2018,Q2,151.1315669941589,[1000]
かどや製油,2018,Q3,119.49375698629702,[1000]
かどや製油,2018,Q4,48.66214504781723,[1000]
かどや製油,2019,Q1,147.83624517689523,[1000]
かどや製油,2019,Q2,125.79317301696923,[1000]
かどや製油,2019,Q3,34.473426780922,[1000]
かどや製油,2019,Q4,62.77385893181085,[1000]
かどや製油,2020,Q1,76.7269558179965,[1000]
かどや製油,2020,Q2,79.12941624439307,[1000]
かどや製油,2020,Q3,47.666239126209135,[1000]
かどや製油,2020,Q4,34.99024783693293,[1000]
きんでん,2018,Q1,7.181366859407046,[100]
きんでん,2018,Q2,26.91108832779807,[100]
きんでん,2018,Q3,34.78979869834027,[100]
きんでん,2018,Q4,70.99180870077767,[100]
きんでん,2019,Q1,15.417096133950285,[100]
きんでん,2019,Q2,33.22078124164,[100]
きんでん,2019,Q3,43.08024064195263,[100]
きんでん,2019,Q4,68.02793411584443,[100]
きんでん,2020,Q1,17.362569560728616,[100]
きんでん,2020,Q2,35.050937592505576,[100]
きんでん,2020,Q3,43.23110733849352,[100]
きんでん,2020,Q4,69.93073428183305,[100]
さくらインターネット,2018,Q1,3.331792250612356,[100]
さくらインターネット,2018,Q2,-5.8537563095949725,[100]
さくらインターネット,2018,Q3,3.9144529622992454,[100]
さくらインターネット,2018,Q4,4.556219688361519,[100]
さくらインターネット,2019,Q1,4.5032314617531695,[100]
さくらインターネット,2019,Q2,1.69651083680706,[100]
さくらインターネット,2019,Q3,2.7135060026726237,[100]
さくらインターネット,2019,Q4,8.587877608410043,[100]
さくらインターネット,2020,Q1,3.948827680528976,[100]
さくらインターネット,2020,Q2,2.109255954311026,[100]
さくらインターネット,2020,Q3,4.041218572341344,[100]
さくらインターネット,2020,Q4,5.102867854226097,[100]
たけびし,2018,Q1,45.56964273814009,[0.01]
たけびし,2018,Q2,41.39847882752997,[0.01]
たけびし,2018,Q3,35.02901890585855,[0.01]
たけびし,2018,Q4,41.93445267979024,[0.01]
たけびし,2019,Q1,35.31559552943406,[0.01]
たけびし,2019,Q2,39.67360741038863,[0.01]
たけびし,2019,Q3,22.607000837924716,[0.01]
たけびし,2019,Q4,25.436454824924,[0.01]
たけびし,2020,Q1,17.648648760309356,[0.01]
たけびし,2020,Q2,25.920033545623596,[0.01]
たけびし,2020,Q3,19.463322189660175,[0.01]
たけびし,2020,Q4,28.182544981478543,[0.01]
なとり,2018,Q1,19.26622393034822,[100]
なとり,2018,Q2,23.191627142213456,[100]
なとり,2018,Q3,62.34612263534231,[100]
なとり,2018,Q4,-14.690533893411423,[100]
