企業名,会計年度,四半期,y_hat_ml2
あらた,2018,Q1,97.26479337441704
あらた,2018,Q2,91.68891249302322
あらた,2018,Q3,47.58258604557726
あらた,2018,Q4,89.43004566495566
あらた,2019,Q1,110.72325350170456
あらた,2019,Q2,123.2059116834763
あらた,2019,Q3,101.98207394403305
あらた,2019,Q4,148.9193066548795
あらた,2020,Q1,187.0511599821752
あらた,2020,Q2,153.04602673035768
あらた,2020,Q3,139.02165054653722
あらた,2020,Q4,59.078396252986565
いすゞ自動車,2018,Q1,43.56362154044655
いすゞ自動車,2018,Q2,29.51618022751392
いすゞ自動車,2018,Q3,76.29936107227336
いすゞ自動車,2018,Q4,36.049933137426606
いすゞ自動車,2019,Q1,40.0017823641018
いすゞ自動車,2019,Q2,-12.653804110389729
いすゞ自動車,2019,Q3,29.35614656952888
いすゞ自動車,2019,Q4,18.74912937553236
いすゞ自動車,2020,Q1,15.169531631014426
いすゞ自動車,2020,Q2,47.41269575957163
いすゞ自動車,2020,Q3,93.59385502385756
いすゞ自動車,2020,Q4,63.96720376903928
いなげや,2018,Q1,-1.7948541088941887
いなげや,2018,Q2,-5.044264865300136
いなげや,2018,Q3,-18.47702436451594
いなげや,2018,Q4,-4.939854874785841
いなげや,2019,Q1,-13.286942975509952
いなげや,2019,Q2,-66.00045094653139
いなげや,2019,Q3,-31.757980970514403
いなげや,2019,Q4,-39.30539213548124
いなげや,2020,Q1,76.27041548646527
いなげや,2020,Q2,-34.13258730013614
いなげや,2020,Q3,7.759124082040842
いなげや,2020,Q4,-66.46342491206836
かどや製油,2018,Q1,142.3358542613244
かどや製油,2018,Q2,154.53713398266444
かどや製油,2018,Q3,129.11157362019037
かどや製油,2018,Q4,-21.058934328671512
かどや製油,2019,Q1,194.28873671408144
かどや製油,2019,Q2,102.09825548988807
かどや製油,2019,Q3,30.258227839141256
かどや製油,2019,Q4,213.4112204104697
かどや製油,2020,Q1,113.2390017552269
かどや製油,2020,Q2,94.2342222438919
