企業名,会計年度,四半期,y_hat_ml2_i_tuned,best_hyparam
あらた,2018,Q1,88.20962988438194,[100.]
あらた,2018,Q2,67.55018051928275,[100.]
あらた,2018,Q3,89.93174639341515,[100.]
あらた,2018,Q4,90.84313685351901,[100.]
あらた,2019,Q1,117.65809813850714,[100.]
あらた,2019,Q2,122.7513532462697,[100.]
あらた,2019,Q3,110.49092101770981,[100.]
あらた,2019,Q4,126.31682268304121,[100.]
あらた,2020,Q1,166.75681467179555,[100.]
あらた,2020,Q2,104.22849393689667,[100.]
あらた,2020,Q3,138.32072341666515,[100.]
あらた,2020,Q4,87.58291633808653,[100.]
いすゞ自動車,2018,Q1,41.56036425395614,[100.]
いすゞ自動車,2018,Q2,25.289885131080524,[100.]
いすゞ自動車,2018,Q3,60.374066549700004,[100.]
いすゞ自動車,2018,Q4,29.715538508242204,[100.]
いすゞ自動車,2019,Q1,48.44436129724109,[100.]
いすゞ自動車,2019,Q2,3.5870179057555482,[100.]
いすゞ自動車,2019,Q3,40.7784489070466,[100.]
いすゞ自動車,2019,Q4,17.989252566672434,[100.]
いすゞ自動車,2020,Q1,8.971822761425946,[100.]
いすゞ自動車,2020,Q2,33.9768623306493,[100.]
いすゞ自動車,2020,Q3,51.357275644397006,[100.]
いすゞ自動車,2020,Q4,34.394742710102605,[100.]
いなげや,2018,Q1,6.443246179438734,[100.]
いなげや,2018,Q2,-9.426870656600222,[100.]
いなげや,2018,Q3,12.791099442698695,[100.]
いなげや,2018,Q4,6.239512705434393,[100.]
いなげや,2019,Q1,-24.03155449527317,[100.]
いなげや,2019,Q2,-19.017522031481885,[100.]
いなげや,2019,Q3,1.5868653205991663,[100.]
いなげや,2019,Q4,-38.595265462071005,[100.]
いなげや,2020,Q1,41.96149479014517,[100.]
いなげや,2020,Q2,10.205529990158809,[100.]
いなげや,2020,Q3,18.76741343232466,[100.]
いなげや,2020,Q4,-36.24881367372632,[100.]
かどや製油,2018,Q1,113.15675319787678,[100.]
かどや製油,2018,Q2,155.74944514562355,[100.]
かどや製油,2018,Q3,125.48720930680344,[100.]
かどや製油,2018,Q4,17.696430711269244,[100.]
かどや製油,2019,Q1,177.47524754467136,[100.]
かどや製油,2019,Q2,142.2152144892867,[100.]
かどや製油,2019,Q3,39.749324833733255,[100.]
かどや製油,2019,Q4,153.97300586294412,[100.]
かどや製油,2020,Q1,92.04917744679781,[100.]
かどや製油,2020,Q2,80.73319137140663,[100.]
かどや製油,2020,Q3,52.354088107965495,[100.]
かどや製油,2020,Q4,28.09037784384261,[100.]
きんでん,2018,Q1,7.181366859407046,[100.]
きんでん,2018,Q2,26.91108832779807,[100.]
きんでん,2018,Q3,34.78979869834027,[100.]
きんでん,2018,Q4,70.99180870077767,[100.]
きんでん,2019,Q1,15.417096133950285,[100.]
きんでん,2019,Q2,33.22078124164,[100.]
きんでん,2019,Q3,43.08024064195263,[100.]
きんでん,2019,Q4,68.02793411584443,[100.]
きんでん,2020,Q1,17.362569560728616,[100.]
きんでん,2020,Q2,35.050937592505576,[100.]
きんでん,2020,Q3,43.23110733849352,[100.]
きんでん,2020,Q4,69.93073428183305,[100.]
さくらインターネット,2018,Q1,3.3317922338285095,[100.]
さくらインターネット,2018,Q2,-5.853756297538565,[100.]
さくらインターネット,2018,Q3,3.9144529622992454,[100.]
さくらインターネット,2018,Q4,4.556219688361519,[100.]
さくらインターネット,2019,Q1,4.5032314617531695,[100.]
さくらインターネット,2019,Q2,1.69651083680706,[100.]
さくらインターネット,2019,Q3,2.7135060026726237,[100.]
さくらインターネット,2019,Q4,8.587877608410043,[100.]
さくらインターネット,2020,Q1,3.948827680528976,[100.]
さくらインターネット,2020,Q2,2.10925595431077,[100.]
さくらインターネット,2020,Q3,4.041218572340964,[100.]
さくらインターネット,2020,Q4,5.102867854172724,[100.]
たけびし,2018,Q1,45.569642738139976,[0.01]
たけびし,2018,Q2,41.39847882752997,[0.01]
たけびし,2018,Q3,35.02901890585895,[0.01]
たけびし,2018,Q4,41.93445267900762,[0.01]
たけびし,2019,Q1,35.31559553003558,[0.01]
たけびし,2019,Q2,39.67360741145285,[0.01]
たけびし,2019,Q3,22.607000816945742,[0.01]
たけびし,2019,Q4,25.436454832823927,[0.01]
たけびし,2020,Q1,17.6486487643582,[0.01]
たけびし,2020,Q2,25.92003354734652,[0.01]
たけびし,2020,Q3,19.463322194149953,[0.01]
たけびし,2020,Q4,28.182544986688697,[0.01]
なとり,2018,Q1,19.58340370402152,[91.11627561]
なとり,2018,Q2,23.50970630816832,[91.11627561]
なとり,2018,Q3,62.34714633408182,[91.11627561]
なとり,2018,Q4,-14.68613829551842,[91.11627561]
なとり,2019,Q1,17.311554405177723,[91.11627561]
なとり,2019,Q2,30.614036132859184,[91.11627561]
なとり,2019,Q3,53.127917458116926,[91.11627561]
なとり,2019,Q4,-16.92936737080762,[91.11627561]
なとり,2020,Q1,19.87799850403385,[91.11627561]
なとり,2020,Q2,29.083697177014276,[91.11627561]
なとり,2020,Q3,84.32704946045962,[91.11627561]
なとり,2020,Q4,-14.13768904349464,[91.11627561]
はせがわ,2018,Q1,-9.209872767090204,[11.76811952]
はせがわ,2018,Q2,22.639657638786275,[11.76811952]
はせがわ,2018,Q3,-2.710965032459981,[11.76811952]
はせがわ,2018,Q4,-8.677473163366969,[11.76811952]
はせがわ,2019,Q1,-21.364438196827848,[11.76811952]
はせがわ,2019,Q2,15.58571525492033,[11.76811952]
はせがわ,2019,Q3,-28.56253278266857,[11.76811952]
はせがわ,2019,Q4,-39.59906876755289,[11.76811952]
はせがわ,2020,Q1,-20.3281501287899,[11.76811952]
はせがわ,2020,Q2,7.597791996987695,[11.76811952]
はせがわ,2020,Q3,-1.0217752625168828,[11.76811952]
はせがわ,2020,Q4,1.5061627193666425,[11.76811952]
はるやまホールディングス,2018,Q1,6.069781886750633,[100.]
はるやまホールディングス,2018,Q2,-30.873267459178805,[100.]
はるやまホールディングス,2018,Q3,33.74040990162371,[100.]
はるやまホールディングス,2018,Q4,72.41270776591841,[100.]
はるやまホールディングス,2019,Q1,-20.37944896036167,[100.]
はるやまホールディングス,2019,Q2,-1.692922703166488,[100.]
はるやまホールディングス,2019,Q3,2.65678007366472,[100.]
はるやまホールディングス,2019,Q4,12.08855494241729,[100.]
はるやまホールディングス,2020,Q1,-93.76593441718495,[100.]
はるやまホールディングス,2020,Q2,-105.82387731745706,[100.]
はるやまホールディングス,2020,Q3,-21.288190664025855,[100.]
はるやまホールディングス,2020,Q4,-45.82347441789552,[100.]
ぴあ,2018,Q1,35.81397053812593,[0.7924829]
ぴあ,2018,Q2,19.47075124149821,[0.7924829]
ぴあ,2018,Q3,11.102799662568682,[0.7924829]
ぴあ,2018,Q4,7.013009139473114,[0.7924829]
ぴあ,2019,Q1,4.5748389032389145,[0.7924829]
ぴあ,2019,Q2,25.93791906333886,[0.7924829]
ぴあ,2019,Q3,-10.545864075646488,[0.7924829]
ぴあ,2019,Q4,36.97942490769845,[0.7924829]
ぴあ,2020,Q1,-181.6281250034182,[0.7924829]
ぴあ,2020,Q2,-99.78898863560731,[0.7924829]
ぴあ,2020,Q3,38.55732759283111,[0.7924829]
ぴあ,2020,Q4,-20.365648099747595,[0.7924829]
やまや,2018,Q1,110.97281508785255,[100.]
やまや,2018,Q2,80.53634825551994,[100.]
やまや,2018,Q3,169.02002624081146,[100.]
やまや,2018,Q4,38.91313224888569,[100.]
やまや,2019,Q1,81.7401610028468,[100.]
やまや,2019,Q2,-48.17648842387939,[100.]
やまや,2019,Q3,134.5228889716349,[100.]
やまや,2019,Q4,-38.15244198460675,[100.]
やまや,2020,Q1,-144.83337955735885,[100.]
やまや,2020,Q2,50.24773648758702,[100.]
やまや,2020,Q3,-255.02006684716673,[100.]
やまや,2020,Q4,-176.70325465507096,[100.]
りらいあコミュニケーションズ,2018,Q1,9.705496999013086,[100.]
りらいあコミュニケーションズ,2018,Q2,9.885025529339414,[100.]
りらいあコミュニケーションズ,2018,Q3,10.894903322535209,[100.]
りらいあコミュニケーションズ,2018,Q4,18.987155175421897,[100.]
りらいあコミュニケーションズ,2019,Q1,-291.3365296503354,[100.]
りらいあコミュニケーションズ,2019,Q2,-4.488730162321161,[100.]
りらいあコミュニケーションズ,2019,Q3,-229.24172244209802,[100.]
りらいあコミュニケーションズ,2019,Q4,-230.75216435773106,[100.]
りらいあコミュニケーションズ,2020,Q1,18.219470387981602,[100.]
りらいあコミュニケーションズ,2020,Q2,53.73982241209111,[100.]
りらいあコミュニケーションズ,2020,Q3,22.45977800528101,[100.]
りらいあコミュニケーションズ,2020,Q4,-29.331442151337434,[100.]
わかもと製薬,2018,Q1,3.192863850896252,[100.]
わかもと製薬,2018,Q2,-0.954642174153788,[100.]
わかもと製薬,2018,Q3,2.582813691347525,[100.]
わかもと製薬,2018,Q4,-2.613336510954891,[100.]
わかもと製薬,2019,Q1,-4.632816269950153,[100.]
わかもと製薬,2019,Q2,-18.78099753698562,[100.]
わかもと製薬,2019,Q3,-14.69473592316793,[100.]
わかもと製薬,2019,Q4,-9.830000373390055,[100.]
わかもと製薬,2020,Q1,-11.443139297453063,[100.]
わかもと製薬,2020,Q2,-15.140715656554761,[100.]
わかもと製薬,2020,Q3,13.717683103890245,[100.]
わかもと製薬,2020,Q4,-10.439278559013978,[100.]
アイカ工業,2018,Q1,38.0235018670536,[0.05857021]
アイカ工業,2018,Q2,63.78376635190182,[0.05857021]
アイカ工業,2018,Q3,59.79666031087865,[0.05857021]
アイカ工業,2018,Q4,54.706443296289436,[0.05857021]
アイカ工業,2019,Q1,48.70352721011355,[0.05857021]
アイカ工業,2019,Q2,45.11666383840521,[0.05857021]
アイカ工業,2019,Q3,45.2428427788658,[0.05857021]
アイカ工業,2019,Q4,54.035598277578906,[0.05857021]
アイカ工業,2020,Q1,27.76348788668767,[0.05857021]
アイカ工業,2020,Q2,29.28782499362967,[0.05857021]
アイカ工業,2020,Q3,63.291056903447235,[0.05857021]
アイカ工業,2020,Q4,69.0901074394416,[0.05857021]
アイコム,2018,Q1,12.86951463177433,[100.]
アイコム,2018,Q2,32.96256190410524,[100.]
アイコム,2018,Q3,62.372583117329036,[100.]
アイコム,2018,Q4,149.91356894329243,[100.]
アイコム,2019,Q1,-17.939819807905756,[100.]
アイコム,2019,Q2,69.35684007011905,[100.]
アイコム,2019,Q3,43.40033942580557,[100.]
アイコム,2019,Q4,41.82074997131866,[100.]
アイコム,2020,Q1,-26.89856925969795,[100.]
