企業名,会計年度,四半期,y_hat_ml2_i_tuned_simple,best_hyparam
あらた,2018,Q1,91.34489658139758,[1000]
あらた,2018,Q2,68.82997819607183,[1000]
あらた,2018,Q3,83.8646647292975,[1000]
あらた,2018,Q4,74.00142815811182,[1000]
あらた,2019,Q1,115.83982423857952,[1000]
あらた,2019,Q2,115.30162986312371,[1000]
あらた,2019,Q3,111.03857537848032,[1000]
あらた,2019,Q4,105.95437866020328,[1000]
あらた,2020,Q1,153.90051949154926,[1000]
あらた,2020,Q2,93.22817666861471,[1000]
あらた,2020,Q3,126.89809680615303,[1000]
あらた,2020,Q4,107.82063308729224,[1000]
いすゞ自動車,2018,Q1,35.197180090248175,[1000]
いすゞ自動車,2018,Q2,27.736777050329795,[1000]
いすゞ自動車,2018,Q3,51.82186545250924,[1000]
いすゞ自動車,2018,Q4,37.6405304561482,[1000]
いすゞ自動車,2019,Q1,47.64385155882904,[1000]
いすゞ自動車,2019,Q2,12.880079601368033,[1000]
いすゞ自動車,2019,Q3,41.058315628287644,[1000]
いすゞ自動車,2019,Q4,17.949983015511947,[1000]
いすゞ自動車,2020,Q1,11.508750628807263,[1000]
いすゞ自動車,2020,Q2,21.71758447784009,[1000]
いすゞ自動車,2020,Q3,41.0826199583818,[1000]
いすゞ自動車,2020,Q4,30.200479343493452,[1000]
いなげや,2018,Q1,2.501428690119859,[1000]
いなげや,2018,Q2,-0.7783078599747029,[1000]
いなげや,2018,Q3,15.285472189814229,[1000]
いなげや,2018,Q4,8.401552850219204,[1000]
いなげや,2019,Q1,-14.85017032078095,[1000]
いなげや,2019,Q2,-12.188179193028198,[1000]
いなげや,2019,Q3,7.899665925142678,[1000]
いなげや,2019,Q4,-28.366914826397462,[1000]
いなげや,2020,Q1,8.70765771663958,[1000]
いなげや,2020,Q2,15.570628997965187,[1000]
いなげや,2020,Q3,23.540103520161864,[1000]
いなげや,2020,Q4,-5.462136292341668,[1000]
かどや製油,2018,Q1,110.84279853033476,[1000]
かどや製油,2018,Q2,151.13156699415936,[1000]
かどや製油,2018,Q3,119.49375698630111,[1000]
