企業名,会計年度,四半期,y_hat_mlgb
あらた,2018,Q1,28.214696360338067
あらた,2018,Q2,30.954696303647424
あらた,2018,Q3,33.28191859792504
あらた,2018,Q4,36.098862985149026
あらた,2019,Q1,38.883029685459206
あらた,2019,Q2,42.207751862911714
あらた,2019,Q3,44.80302970214851
あらた,2019,Q4,47.711085272538995
あらた,2020,Q1,49.96386309402684
あらた,2020,Q2,53.88525186582572
あらた,2020,Q3,57.02608520392742
あらた,2020,Q4,61.11302982374198
いすゞ自動車,2018,Q1,20.034453239705826
いすゞ自動車,2018,Q2,21.65028660164939
いすゞ自動車,2018,Q3,22.50417548418045
いすゞ自動車,2018,Q4,23.733064393202465
いすゞ自動車,2019,Q1,24.05834217203988
いすゞ自動車,2019,Q2,24.8861199816068
いすゞ自動車,2019,Q3,25.080008857780033
いすゞ自動車,2019,Q4,25.82500887579388
いすゞ自動車,2020,Q1,26.27195331785414
いすゞ自動車,2020,Q2,25.761120001475017
いすゞ自動車,2020,Q3,25.653342220518326
いすゞ自動車,2020,Q4,26.546397765477497
いなげや,2018,Q1,6.514722231361601
いなげや,2018,Q2,6.404722230301963
いなげや,2018,Q3,6.189999997615814
いなげや,2018,Q4,6.118333333068424
いなげや,2019,Q1,4.949444433053334
いなげや,2019,Q2,5.456666661633386
いなげや,2019,Q3,5.241944445504083
いなげや,2019,Q4,5.0083333651224775
いなげや,2020,Q1,4.897222254011366
いなげや,2020,Q2,6.317777805858189
いなげや,2020,Q3,6.699722250302632
いなげや,2020,Q4,7.260277814335293
かどや製油,2018,Q1,46.51611095004611
かどや製油,2018,Q2,48.64166651831733
かどや製油,2018,Q3,50.114999771118164
かどや製油,2018,Q4,51.032777574327255
かどや製油,2019,Q1,50.87361089388529
かどや製油,2019,Q2,52.30027757750617
かどや製油,2019,Q3,53.01722206009759
かどや製油,2019,Q4,53.31166646215651
かどや製油,2020,Q1,54.08333309491476
かどや製油,2020,Q2,54.830555253558686
かどや製油,2020,Q3,55.48999974462721
かどや製油,2020,Q4,56.25749977429708
きんでん,2018,Q1,20.20472225960758
きんでん,2018,Q2,20.27777781834205
きんでん,2018,Q3,20.401111113528412
きんでん,2018,Q4,21.171111120945877
きんでん,2019,Q1,22.431388869053787
きんでん,2019,Q2,22.590277765360142
きんでん,2019,Q3,23.036111077500713
きんでん,2019,Q4,23.838888871173065
きんでん,2020,Q1,25.051111076441074
きんでん,2020,Q2,25.123333282768726
きんでん,2020,Q3,25.752777696483665
きんでん,2020,Q4,26.97444437030289
さくらインターネット,2018,Q1,968.2715883039766
さくらインターネット,2018,Q2,912.3135319335593
さくらインターネット,2018,Q3,939.6304765823814
さくらインターネット,2018,Q4,826.8790868802203
さくらインターネット,2019,Q1,606.9752023302847
さくらインターネット,2019,Q2,537.7738101830085
さくらインターネット,2019,Q3,415.76464839941923
さくらインターネット,2019,Q4,312.93214514354867
さくらインターネット,2020,Q1,240.3679801043537
さくらインターネット,2020,Q2,93.85325896243255
さくらインターネット,2020,Q3,6.909722177518739
さくらインターネット,2020,Q4,6.859444401330418
たけびし,2018,Q1,22.298055427355898
たけびし,2018,Q2,23.48944428231981
たけびし,2018,Q3,24.364166524675156
たけびし,2018,Q4,25.623610999849106
たけびし,2019,Q1,26.015833192401463
たけびし,2019,Q2,26.289444314108955
たけびし,2019,Q3,26.6952776643965
たけびし,2019,Q4,26.89361098077562
たけびし,2020,Q1,27.045833190282185
たけびし,2020,Q2,27.30472207069397
たけびし,2020,Q3,27.333333200878567
たけびし,2020,Q4,27.679444339540268
なとり,2018,Q1,17.715833485126495
なとり,2018,Q2,18.01722235812081
なとり,2018,Q3,18.19444458352195
なとり,2018,Q4,18.796666814221275
なとり,2019,Q1,19.014444596237606
なとり,2019,Q2,18.750555733839672
なとり,2019,Q3,19.198611292574142
なとり,2019,Q4,19.54166680574417
なとり,2020,Q1,20.087777886125778
なとり,2020,Q2,20.429444558090633
なとり,2020,Q3,21.257777922683292
なとり,2020,Q4,22.850833541817135
はせがわ,2018,Q1,8.345833270086182
はせがわ,2018,Q2,8.542222163743443
はせがわ,2018,Q3,8.97166663573848
はせがわ,2018,Q4,8.780555524759823
はせがわ,2019,Q1,8.21638887292809
はせがわ,2019,Q2,8.044166629513105
はせがわ,2019,Q3,7.889722199903594
はせがわ,2019,Q4,7.157500000463592
はせがわ,2020,Q1,5.960277780890465
はせがわ,2020,Q2,5.431944428218736
はせがわ,2020,Q3,5.451388840874036
はせがわ,2020,Q4,5.701388840874036
はるやまホールディングス,2018,Q1,12.740278167857063
はるやまホールディングス,2018,Q2,12.416111472580168
はるやまホールディングス,2018,Q3,12.256111519204246
はるやまホールディングス,2018,Q4,11.411667085356182
はるやまホールディングス,2019,Q1,11.463611553112665
はるやまホールディングス,2019,Q2,12.095555944575203
はるやまホールディングス,2019,Q3,12.32888921433025
はるやまホールディングス,2019,Q4,11.986389216449526
はるやまホールディングス,2020,Q1,13.019166949722502
はるやまホールディングス,2020,Q2,10.388611492183474
はるやまホールディングス,2020,Q3,9.473611424366633
はるやまホールディングス,2020,Q4,6.7116670244269905
ぴあ,2018,Q1,8.576110993822416
ぴあ,2018,Q2,10.040277688039673
ぴあ,2018,Q3,10.419999925626648
ぴあ,2018,Q4,11.848611071705818
ぴあ,2019,Q1,12.355277732014656
ぴあ,2019,Q2,12.53305550581879
ぴあ,2019,Q3,12.83499994708432
ぴあ,2019,Q4,13.356666636135843
ぴあ,2020,Q1,12.421944424510002
ぴあ,2020,Q2,6.61777767042319
ぴあ,2020,Q3,3.8836110482613244
ぴあ,2020,Q4,2.415555488732126
やまや,2018,Q1,46.27893021371629
やまや,2018,Q2,47.9042079978519
やまや,2018,Q3,49.02781915664673
やまや,2018,Q4,51.75087457233005
やまや,2019,Q1,52.61476347181532
やまや,2019,Q2,53.257541285620796
やまや,2019,Q3,53.81365240944756
やまや,2019,Q4,54.19504139158461
やまや,2020,Q1,50.86448589960734
やまや,2020,Q2,48.80837485525343
やまや,2020,Q3,47.36115266217126
やまや,2020,Q4,26.595556060473125
りらいあコミュニケーションズ,2018,Q1,19.275339285532635
りらいあコミュニケーションズ,2018,Q2,18.87172818183899
りらいあコミュニケーションズ,2018,Q3,18.319783714082504
りらいあコミュニケーションズ,2018,Q4,17.51589478386773
りらいあコミュニケーションズ,2019,Q1,12.504227956136068
りらいあコミュニケーションズ,2019,Q2,12.336172368791368
りらいあコミュニケーションズ,2019,Q3,12.095616764492458
りらいあコミュニケーションズ,2019,Q4,12.367283397250706
りらいあコミュニケーションズ,2020,Q1,12.664227803548178
りらいあコミュニケーションズ,2020,Q2,12.314783361223009
りらいあコミュニケーションズ,2020,Q3,12.193610827128092
りらいあコミュニケーションズ,2020,Q4,12.342221948835585
わかもと製薬,2018,Q1,0.5997221925192409
わかもと製薬,2018,Q2,0.7313888627621863
わかもと製薬,2018,Q3,0.54777775456508
わかもと製薬,2018,Q4,0.6452777476774322
わかもと製薬,2019,Q1,0.41527774847216076
わかもと製薬,2019,Q2,0.2905555127395524
わかもと製薬,2019,Q3,-0.5833333772089746
わかもと製薬,2019,Q4,-0.4925000410940912
わかもと製薬,2020,Q1,-0.5677778174479803
わかもと製薬,2020,Q2,-0.48972226017051274
わかもと製薬,2020,Q3,-0.9772222754028108
わかもと製薬,2020,Q4,-0.8527778304285474
アイカ工業,2018,Q1,31.927222596274483
アイカ工業,2018,Q2,32.801667080985176
アイカ工業,2018,Q3,33.64388929473029
アイカ工業,2018,Q4,34.63833371798197
アイカ工業,2019,Q1,35.66944485240512
アイカ工業,2019,Q2,36.50222259097629
アイカ工業,2019,Q3,37.46694485346476
アイカ工業,2019,Q4,38.30194489161173
アイカ工業,2020,Q1,38.780278258853485
アイカ工業,2020,Q2,38.922778288523354
アイカ工業,2020,Q3,39.23027833302816
アイカ工業,2020,Q4,39.93055608537462
アイコム,2018,Q1,20.813610957728493
アイコム,2018,Q2,21.050555421246422
アイコム,2018,Q3,21.703055441379547
アイコム,2018,Q4,22.16638876332177
アイコム,2019,Q1,24.064444263776142
アイコム,2019,Q2,24.64611093203227
アイコム,2019,Q3,24.791110939449734
アイコム,2019,Q4,24.909722050031025
アイコム,2020,Q1,26.876944263776142
アイコム,2020,Q2,25.968333151605393
アイコム,2020,Q3,25.875555369589065
アイコム,2020,Q4,26.508610950575935
アイシン,2018,Q1,76.29418930742476
アイシン,2018,Q2,81.86530056264665
アイシン,2018,Q3,86.37974491384294
アイシン,2018,Q4,85.84780042701297
アイシン,2019,Q1,86.00641151269276
アイシン,2019,Q2,85.67418931590186
アイシン,2019,Q3,84.75224480364058
アイシン,2019,Q4,84.45113368829091
アイシン,2020,Q1,81.61280034648047
アイシン,2020,Q2,76.48863357967801
アイシン,2020,Q3,78.41446696387396
アイシン,2020,Q4,83.26391156514485
アイダエンジニアリング,2018,Q1,10.459166844685873
アイダエンジニアリング,2018,Q2,11.120000176959568
アイダエンジニアリング,2018,Q3,13.508333444595337
アイダエンジニアリング,2018,Q4,14.364444547229343
アイダエンジニアリング,2019,Q1,17.805277797910904
アイダエンジニアリング,2019,Q2,17.986111124356587
アイダエンジニアリング,2019,Q3,18.601666695541805
アイダエンジニアリング,2019,Q4,18.897500038146973
アイダエンジニアリング,2020,Q1,19.120555612776016
アイダエンジニアリング,2020,Q2,18.787222272819943
アイダエンジニアリング,2020,Q3,19.01222225692537
アイダエンジニアリング,2020,Q4,18.826666706138187
アイチコーポレーション,2018,Q1,8.58611106644902
アイチコーポレーション,2018,Q2,8.907499946860803
アイチコーポレーション,2018,Q3,9.097499951099357
アイチコーポレーション,2018,Q4,9.661388861015439
アイチコーポレーション,2019,Q1,10.353055543576678
アイチコーポレーション,2019,Q2,11.069166647270322
アイチコーポレーション,2019,Q3,11.314722193818953
アイチコーポレーション,2019,Q4,11.616388854260245
アイチコーポレーション,2020,Q1,12.096944401868516
アイチコーポレーション,2020,Q2,12.54277774050004
アイチコーポレーション,2020,Q3,12.983888828299111
アイチコーポレーション,2020,Q4,13.397777719837096
アイティフォー,2018,Q1,7.364166633950339
アイティフォー,2018,Q2,7.3372221820884285
アイティフォー,2018,Q3,7.496111075083415
アイティフォー,2018,Q4,7.681388858291838
アイティフォー,2019,Q1,7.940555522839229
アイティフォー,2019,Q2,7.954722182618247
アイティフォー,2019,Q3,8.237499962250391
アイティフォー,2019,Q4,8.351388848490185
アイティフォー,2020,Q1,8.694999956422382
アイティフォー,2020,Q2,8.766666620969772
アイティフォー,2020,Q3,9.001944379674065
アイティフォー,2020,Q4,9.277499924103418
アイティメディア,2018,Q1,-180.4891830748982
アイティメディア,2018,Q2,-105.80418578783672
アイティメディア,2018,Q3,-98.658352388276
アイティメディア,2018,Q4,-90.57085201475356
アイティメディア,2019,Q1,-72.98501874340906
アイティメディア,2019,Q2,-36.047518610954285
アイティメディア,2019,Q3,7.226925439304775
アイティメディア,2019,Q4,7.394147674242656
アイティメディア,2020,Q1,7.972480999098884
アイティメディア,2020,Q2,8.388314333226946
アイティメディア,2020,Q3,8.831092112594181
アイティメディア,2020,Q4,9.120536532666948
アイネス,2018,Q1,9.582777794864443
アイネス,2018,Q2,9.527500010199017
アイネス,2018,Q3,9.475555542442534
アイネス,2018,Q4,10.025277776850594
アイネス,2019,Q1,10.260833319690493
アイネス,2019,Q2,11.011388887961706
アイネス,2019,Q3,8.847500009669197
アイネス,2019,Q4,13.409166551298565
アイネス,2020,Q1,11.960555450783836
アイネス,2020,Q2,12.272499895758099
アイネス,2020,Q3,11.668055444955826
アイネス,2020,Q4,12.413333220614327
アイネット,2018,Q1,14.489319083177381
アイネット,2018,Q2,15.084874627076918
アイネット,2018,Q3,15.654874613301622
アイネット,2018,Q4,16.68570793709821
アイネット,2019,Q1,16.801263488415216
アイネット,2019,Q2,17.669874572505552
アイネット,2019,Q3,18.145152367237543
アイネット,2019,Q4,18.87348571750853
アイネット,2020,Q1,19.244319061438244
アイネット,2020,Q2,19.258207950327133
アイネット,2020,Q3,19.535707943969303
アイネット,2020,Q4,19.95459684398439
アイホン,2018,Q1,22.12138869944546
アイホン,2018,Q2,22.119999818503857
アイホン,2018,Q3,23.450833127730423
アイホン,2018,Q4,23.819999793337452
アイホン,2019,Q1,25.203333105478023
アイホン,2019,Q2,26.10527753084898
アイホン,2019,Q3,28.173888667590088
アイホン,2019,Q4,28.566944212549263
アイホン,2020,Q1,29.01638863897986
アイホン,2020,Q2,28.858610852724976
アイホン,2020,Q3,30.094166342582966
