企業名,会計年度,四半期,y_hat_mlm1
あらた,2018,Q1,142.21350083386255
あらた,2018,Q2,92.46338564463758
あらた,2018,Q3,118.41991250493402
あらた,2018,Q4,72.58967298896118
あらた,2019,Q1,98.03662375130853
あらた,2019,Q2,97.22478783089412
あらた,2019,Q3,114.78195542731942
あらた,2019,Q4,110.77584292486802
あらた,2020,Q1,117.28965971683908
あらた,2020,Q2,92.51828027158047
あらた,2020,Q3,121.54299389204436
あらた,2020,Q4,87.1524304563568
いすゞ自動車,2018,Q1,39.551685127269536
いすゞ自動車,2018,Q2,22.465440173192917
いすゞ自動車,2018,Q3,38.92440864424205
いすゞ自動車,2018,Q4,35.40519799043511
いすゞ自動車,2019,Q1,60.094518342857214
いすゞ自動車,2019,Q2,21.630186780710915
いすゞ自動車,2019,Q3,49.16038215286926
いすゞ自動車,2019,Q4,34.44184642094115
いすゞ自動車,2020,Q1,37.531840204729946
いすゞ自動車,2020,Q2,-91.16537069143027
いすゞ自動車,2020,Q3,26.68049478538319
いすゞ自動車,2020,Q4,27.628263539422733
いなげや,2018,Q1,2.219044785483675
いなげや,2018,Q2,-7.941248794969397
いなげや,2018,Q3,2.3993825315283175
いなげや,2018,Q4,-3.3416939350788653
いなげや,2019,Q1,-18.58739370873309
いなげや,2019,Q2,-24.522331251310334
いなげや,2019,Q3,0.28650894252655235
いなげや,2019,Q4,-33.3891696555487
いなげや,2020,Q1,-9.76333485809107
いなげや,2020,Q2,10.066868733401549
いなげや,2020,Q3,11.694915803750291
いなげや,2020,Q4,15.106265791014721
かどや製油,2018,Q1,28.520037639898874
かどや製油,2018,Q2,111.391011681441
かどや製油,2018,Q3,137.79114943938157
かどや製油,2018,Q4,89.11638283979755
かどや製油,2019,Q1,70.9609594968847
かどや製油,2019,Q2,59.96510140822602
かどや製油,2019,Q3,46.44789435388884
かどや製油,2019,Q4,11.531367161847584
かどや製油,2020,Q1,132.10040327997012
かどや製油,2020,Q2,71.1172799882429
かどや製油,2020,Q3,54.81821834283642
