企業名,会計年度,四半期,y_hat_mmlp_part5,best_hyparam
ＷＯＷＯＷ,2018,Q1,12.850660950303107,"[(16,), 1e-05]"
ＷＯＷＯＷ,2018,Q2,11.923290119993739,"[(16,), 1e-05]"
ＷＯＷＯＷ,2018,Q3,9.79611025405263,"[(16,), 1e-05]"
ＷＯＷＯＷ,2018,Q4,12.009710957025806,"[(16,), 1e-05]"
ＷＯＷＯＷ,2019,Q1,-0.421766027875064,"[(16,), 1e-05]"
ＷＯＷＯＷ,2019,Q2,0.15621635954456484,"[(16,), 1e-05]"
ＷＯＷＯＷ,2019,Q3,12.053697620678106,"[(16,), 1e-05]"
ＷＯＷＯＷ,2019,Q4,-0.20577571944702647,"[(16,), 1e-05]"
ＷＯＷＯＷ,2020,Q1,9.709543759576599,"[(16,), 1e-05]"
ＷＯＷＯＷ,2020,Q2,11.931866759708555,"[(16,), 1e-05]"
ＷＯＷＯＷ,2020,Q3,11.920049806514948,"[(16,), 1e-05]"
ＷＯＷＯＷ,2020,Q4,11.405772736016822,"[(16,), 1e-05]"
ＺＯＺＯ,2018,Q1,11.871572192515938,"[(16,), 0.001]"
ＺＯＺＯ,2018,Q2,12.014158735899745,"[(16,), 0.001]"
ＺＯＺＯ,2018,Q3,12.25989997309705,"[(16,), 0.001]"
ＺＯＺＯ,2018,Q4,10.672449284520043,"[(16,), 0.001]"
ＺＯＺＯ,2019,Q1,9.779352572096252,"[(16,), 0.001]"
ＺＯＺＯ,2019,Q2,9.78595635985588,"[(16,), 0.001]"
ＺＯＺＯ,2019,Q3,10.672066872256037,"[(16,), 0.001]"
ＺＯＺＯ,2019,Q4,8.856378511315537,"[(16,), 0.001]"
ＺＯＺＯ,2020,Q1,9.682132364111595,"[(16,), 0.001]"
ＺＯＺＯ,2020,Q2,8.873544779481726,"[(16,), 0.001]"
ＺＯＺＯ,2020,Q3,9.958226471959877,"[(16,), 0.001]"
ＺＯＺＯ,2020,Q4,9.720500633280702,"[(16,), 0.001]"
ｅＢＡＳＥ,2018,Q1,0.6202157889025104,"[(16,), 1e-05]"
ｅＢＡＳＥ,2018,Q2,0.3679569001933004,"[(16,), 1e-05]"
ｅＢＡＳＥ,2018,Q3,10.447212742503607,"[(16,), 1e-05]"
ｅＢＡＳＥ,2018,Q4,0.03737841233488002,"[(16,), 1e-05]"
ｅＢＡＳＥ,2019,Q1,0.6463249445358379,"[(16,), 1e-05]"
ｅＢＡＳＥ,2019,Q2,1.9207482508511415,"[(16,), 1e-05]"
ｅＢＡＳＥ,2019,Q3,10.54705463343535,"[(16,), 1e-05]"
ｅＢＡＳＥ,2019,Q4,9.4020257707916,"[(16,), 1e-05]"
ｅＢＡＳＥ,2020,Q1,9.220320991524263,"[(16,), 1e-05]"
ｅＢＡＳＥ,2020,Q2,4.119146329370864,"[(16,), 1e-05]"
ｅＢＡＳＥ,2020,Q3,4.284752316122142,"[(16,), 1e-05]"
ｅＢＡＳＥ,2020,Q4,3.9520096548936814,"[(16,), 1e-05]"
