企業名,会計年度,四半期,y_hat_mmlp
あらた,2018,Q1,17.355686
あらた,2018,Q2,29.419876
あらた,2018,Q3,5.9571614
あらた,2018,Q4,39.801723
あらた,2019,Q1,25.324846
あらた,2019,Q2,52.425133
あらた,2019,Q3,8.10436
あらた,2019,Q4,15.116727
あらた,2020,Q1,36.149544
あらた,2020,Q2,13.962666
あらた,2020,Q3,18.8175
あらた,2020,Q4,45.051815
いすゞ自動車,2018,Q1,25.933693
いすゞ自動車,2018,Q2,16.094257
いすゞ自動車,2018,Q3,26.79394
いすゞ自動車,2018,Q4,27.410284
いすゞ自動車,2019,Q1,22.989878
いすゞ自動車,2019,Q2,17.688648
いすゞ自動車,2019,Q3,35.576904
いすゞ自動車,2019,Q4,20.347357
いすゞ自動車,2020,Q1,20.603876
いすゞ自動車,2020,Q2,32.274117
いすゞ自動車,2020,Q3,29.624523
いすゞ自動車,2020,Q4,29.922379
いなげや,2018,Q1,8.0653105
いなげや,2018,Q2,7.892528
いなげや,2018,Q3,6.8230805
いなげや,2018,Q4,7.0393133
いなげや,2019,Q1,-5.8143125
いなげや,2019,Q2,-20.927343
いなげや,2019,Q3,6.132206
いなげや,2019,Q4,5.609745
いなげや,2020,Q1,6.139928
いなげや,2020,Q2,7.255159
いなげや,2020,Q3,7.4644
いなげや,2020,Q4,9.0909395
かどや製油,2018,Q1,54.57553
かどや製油,2018,Q2,20.421688
かどや製油,2018,Q3,63.746998
かどや製油,2018,Q4,58.857048
かどや製油,2019,Q1,57.200634
かどや製油,2019,Q2,62.313385
かどや製油,2019,Q3,67.334625
かどや製油,2019,Q4,67.44138
かどや製油,2020,Q1,63.552883
かどや製油,2020,Q2,62.653027
かどや製油,2020,Q3,88.72704
かどや製油,2020,Q4,90.24568
きんでん,2018,Q1,14.89962
きんでん,2018,Q2,25.56204
きんでん,2018,Q3,26.363485
きんでん,2018,Q4,16.341654
きんでん,2019,Q1,28.850132
きんでん,2019,Q2,30.33415
きんでん,2019,Q3,29.353027
きんでん,2019,Q4,16.191578
きんでん,2020,Q1,19.056837
きんでん,2020,Q2,37.64682
きんでん,2020,Q3,20.976385
きんでん,2020,Q4,18.764975
さくらインターネット,2018,Q1,223.87473
さくらインターネット,2018,Q2,111.258804
さくらインターネット,2018,Q3,27.814259
さくらインターネット,2018,Q4,94.45466
さくらインターネット,2019,Q1,44.596817
さくらインターネット,2019,Q2,50.242355
さくらインターネット,2019,Q3,42.402683
さくらインターネット,2019,Q4,37.401222
さくらインターネット,2020,Q1,5.2683964
さくらインターネット,2020,Q2,4.262936
さくらインターネット,2020,Q3,6.162476
さくらインターネット,2020,Q4,7.095244
たけびし,2018,Q1,18.179495
たけびし,2018,Q2,18.627491
たけびし,2018,Q3,32.706654
たけびし,2018,Q4,30.027956
たけびし,2019,Q1,18.24683
たけびし,2019,Q2,15.511425
たけびし,2019,Q3,17.081835
たけびし,2019,Q4,44.966984
たけびし,2020,Q1,42.830204
たけびし,2020,Q2,33.14739
たけびし,2020,Q3,43.13834
たけびし,2020,Q4,44.38707
なとり,2018,Q1,21.42446
なとり,2018,Q2,21.408585
なとり,2018,Q3,24.369349
なとり,2018,Q4,23.432508
なとり,2019,Q1,32.858242
なとり,2019,Q2,21.530537
なとり,2019,Q3,13.8147135
なとり,2019,Q4,15.996835
なとり,2020,Q1,19.047964
