企業名,会計年度,四半期,y_hat_mmlp
あらた,2018,Q1,60.607697
あらた,2018,Q2,75.81898
あらた,2018,Q3,61.267445
あらた,2018,Q4,66.71174
あらた,2019,Q1,108.4271
あらた,2019,Q2,109.59029
あらた,2019,Q3,99.48858
あらた,2019,Q4,108.104
あらた,2020,Q1,126.28752
あらた,2020,Q2,126.200424
あらた,2020,Q3,117.782646
あらた,2020,Q4,122.105125
いすゞ自動車,2018,Q1,36.51058
いすゞ自動車,2018,Q2,29.579592
いすゞ自動車,2018,Q3,27.46748
いすゞ自動車,2018,Q4,39.46758
いすゞ自動車,2019,Q1,49.48501
いすゞ自動車,2019,Q2,50.709385
いすゞ自動車,2019,Q3,31.799292
いすゞ自動車,2019,Q4,28.230473
いすゞ自動車,2020,Q1,38.44253
いすゞ自動車,2020,Q2,22.68854
いすゞ自動車,2020,Q3,25.798157
いすゞ自動車,2020,Q4,24.834833
いなげや,2018,Q1,-0.19476819
いなげや,2018,Q2,-0.77252287
いなげや,2018,Q3,20.15472
いなげや,2018,Q4,-0.44643125
いなげや,2019,Q1,-23.169111
いなげや,2019,Q2,-14.98756
いなげや,2019,Q3,3.820202
いなげや,2019,Q4,-54.637566
いなげや,2020,Q1,1.6000917
いなげや,2020,Q2,35.611298
いなげや,2020,Q3,23.423307
いなげや,2020,Q4,24.811235
かどや製油,2018,Q1,49.472862
かどや製油,2018,Q2,63.580936
かどや製油,2018,Q3,66.12389
かどや製油,2018,Q4,62.109535
かどや製油,2019,Q1,76.47127
かどや製油,2019,Q2,90.29406
かどや製油,2019,Q3,96.61017
かどや製油,2019,Q4,90.327255
かどや製油,2020,Q1,97.575455
かどや製油,2020,Q2,88.69609
かどや製油,2020,Q3,61.319096
かどや製油,2020,Q4,56.513905
きんでん,2018,Q1,9.868713
きんでん,2018,Q2,22.646286
きんでん,2018,Q3,24.448904
きんでん,2018,Q4,70.307846
きんでん,2019,Q1,13.519492
きんでん,2019,Q2,28.788242
きんでん,2019,Q3,27.081057
きんでん,2019,Q4,65.86124
きんでん,2020,Q1,23.809912
きんでん,2020,Q2,35.901646
きんでん,2020,Q3,33.9711
きんでん,2020,Q4,41.629314
さくらインターネット,2018,Q1,23.552382
さくらインターネット,2018,Q2,45.31028
さくらインターネット,2018,Q3,2.3380709
さくらインターネット,2018,Q4,5.318144
さくらインターネット,2019,Q1,90.97924
さくらインターネット,2019,Q2,0.9073855
さくらインターネット,2019,Q3,511.92142
さくらインターネット,2019,Q4,19.008406
さくらインターネット,2020,Q1,2631.9126
さくらインターネット,2020,Q2,1654.1836
さくらインターネット,2020,Q3,5.795567
さくらインターネット,2020,Q4,15.949714
たけびし,2018,Q1,19.18707
たけびし,2018,Q2,20.770002
たけびし,2018,Q3,21.62064
たけびし,2018,Q4,21.901367
たけびし,2019,Q1,41.60282
たけびし,2019,Q2,29.488905
たけびし,2019,Q3,32.41009
たけびし,2019,Q4,26.651367
たけびし,2020,Q1,24.06561
たけびし,2020,Q2,25.019585
たけびし,2020,Q3,31.391571
たけびし,2020,Q4,17.637182
なとり,2018,Q1,17.58479
なとり,2018,Q2,-0.55445474
なとり,2018,Q3,51.122913
なとり,2018,Q4,-17.456408
なとり,2019,Q1,44.67438
なとり,2019,Q2,36.731865
なとり,2019,Q3,60.398033
なとり,2019,Q4,-15.165751
なとり,2020,Q1,13.435854
なとり,2020,Q2,21.180702
なとり,2020,Q3,64.25652
なとり,2020,Q4,-13.881065
はせがわ,2018,Q1,3.7479005
はせがわ,2018,Q2,26.124662
はせがわ,2018,Q3,6.535405
はせがわ,2018,Q4,14.780645
はせがわ,2019,Q1,-0.8403251
はせがわ,2019,Q2,4.180232
はせがわ,2019,Q3,-12.089277
はせがわ,2019,Q4,-28.194265
はせがわ,2020,Q1,-36.714718
はせがわ,2020,Q2,-7.2957706
はせがわ,2020,Q3,-0.2336936
はせがわ,2020,Q4,15.348308
はるやまホールディングス,2018,Q1,8.53555
はるやまホールディングス,2018,Q2,-37.989025
はるやまホールディングス,2018,Q3,39.2079
はるやまホールディングス,2018,Q4,23.460127
はるやまホールディングス,2019,Q1,-15.581205
はるやまホールディングス,2019,Q2,-4.2292256
はるやまホールディングス,2019,Q3,6.600251
はるやまホールディングス,2019,Q4,49.40025
はるやまホールディングス,2020,Q1,-14.422982
はるやまホールディングス,2020,Q2,-44.14003
はるやまホールディングス,2020,Q3,-4.7106857
はるやまホールディングス,2020,Q4,-79.162445
ぴあ,2018,Q1,0.78458655
ぴあ,2018,Q2,15.082782
ぴあ,2018,Q3,7.792984
ぴあ,2018,Q4,13.537905
ぴあ,2019,Q1,15.102345
ぴあ,2019,Q2,8.076371
ぴあ,2019,Q3,12.108714
ぴあ,2019,Q4,8.067782
ぴあ,2020,Q1,-3.4592905
ぴあ,2020,Q2,-78.32866
ぴあ,2020,Q3,23.48304
ぴあ,2020,Q4,51.09852
やまや,2018,Q1,82.83941
やまや,2018,Q2,92.382324
やまや,2018,Q3,137.11736
やまや,2018,Q4,55.620506
やまや,2019,Q1,79.954796
やまや,2019,Q2,55.58419
やまや,2019,Q3,112.09484
やまや,2019,Q4,44.44704
やまや,2020,Q1,-23.284094
やまや,2020,Q2,32.728996
やまや,2020,Q3,87.47497
やまや,2020,Q4,-267.88672
りらいあコミュニケーションズ,2018,Q1,20.95507
りらいあコミュニケーションズ,2018,Q2,12.439809
りらいあコミュニケーションズ,2018,Q3,10.467562
りらいあコミュニケーションズ,2018,Q4,5.2767215
りらいあコミュニケーションズ,2019,Q1,14.284033
りらいあコミュニケーションズ,2019,Q2,27.411703
りらいあコミュニケーションズ,2019,Q3,-127.93302
りらいあコミュニケーションズ,2019,Q4,23.084225
りらいあコミュニケーションズ,2020,Q1,20.971308
りらいあコミュニケーションズ,2020,Q2,2.4601316
りらいあコミュニケーションズ,2020,Q3,-0.04573998
りらいあコミュニケーションズ,2020,Q4,6.77546
わかもと製薬,2018,Q1,-1.4043185
わかもと製薬,2018,Q2,-3.4012237
わかもと製薬,2018,Q3,0.9593088
わかもと製薬,2018,Q4,2.0087812
わかもと製薬,2019,Q1,-6.269009
わかもと製薬,2019,Q2,-10.277544
わかもと製薬,2019,Q3,-14.446204
わかもと製薬,2019,Q4,-25.112156
わかもと製薬,2020,Q1,-5.39057
