企業名,会計年度,四半期,y_hat_mraf,best_hyparam
あらた,2018,Q1,82.8566,[100 10]
あらた,2018,Q2,99.2047,[100 10]
あらた,2018,Q3,102.9536,[100 10]
あらた,2018,Q4,78.41089999999997,[100 10]
あらた,2019,Q1,95.9574,[100 10]
あらた,2019,Q2,103.53690000000006,[100 10]
あらた,2019,Q3,107.14360000000002,[100 10]
あらた,2019,Q4,102.77640000000004,[100 10]
あらた,2020,Q1,105.5123,[100 10]
あらた,2020,Q2,102.2705,[100 10]
あらた,2020,Q3,117.18749999999994,[100 10]
あらた,2020,Q4,110.61730000000006,[100 10]
いすゞ自動車,2018,Q1,33.855803226199214,[100 10]
いすゞ自動車,2018,Q2,30.480000000000008,[100 10]
いすゞ自動車,2018,Q3,34.23560000000002,[100 10]
いすゞ自動車,2018,Q4,31.0432,[100 10]
いすゞ自動車,2019,Q1,37.61300000000004,[100 10]
いすゞ自動車,2019,Q2,31.04150000000002,[100 10]
いすゞ自動車,2019,Q3,37.06550000000004,[100 10]
いすゞ自動車,2019,Q4,27.97950000000003,[100 10]
いすゞ自動車,2020,Q1,33.213100000000026,[100 10]
いすゞ自動車,2020,Q2,23.137103226199237,[100 10]
いすゞ自動車,2020,Q3,37.15520000000004,[100 10]
いすゞ自動車,2020,Q4,26.5415,[100 10]
いなげや,2018,Q1,-0.7312999999999998,[100 100]
いなげや,2018,Q2,7.375599999999999,[100 100]
いなげや,2018,Q3,13.6596,[100 100]
いなげや,2018,Q4,-4.774999999999998,[100 100]
いなげや,2019,Q1,-5.2035,[100 100]
いなげや,2019,Q2,2.2975000000000008,[100 100]
いなげや,2019,Q3,14.716699999999989,[100 100]
いなげや,2019,Q4,0.8896000000000004,[100 100]
いなげや,2020,Q1,6.646099999999998,[100 100]
いなげや,2020,Q2,9.4097,[100 100]
いなげや,2020,Q3,18.7624,[100 100]
いなげや,2020,Q4,2.7313999999999994,[100 100]
かどや製油,2018,Q1,86.13191999999994,[500 10]
かどや製油,2018,Q2,108.5216199999997,[500 10]
かどや製油,2018,Q3,97.35627999999974,[500 10]
かどや製油,2018,Q4,88.82337999999976,[500 10]
かどや製油,2019,Q1,60.712459999999744,[500 10]
かどや製油,2019,Q2,76.77583999999975,[500 10]
かどや製油,2019,Q3,77.56047999999998,[500 10]
かどや製油,2019,Q4,58.31865999999983,[500 10]
かどや製油,2020,Q1,75.93825999999994,[500 10]
かどや製油,2020,Q2,70.87385999999991,[500 10]
かどや製油,2020,Q3,55.01139999999978,[500 10]
かどや製油,2020,Q4,57.96337999999976,[500 10]
きんでん,2018,Q1,12.751799999999896,[2000 10]
きんでん,2018,Q2,28.343120000000425,[2000 10]
きんでん,2018,Q3,30.01247000000029,[2000 10]
きんでん,2018,Q4,56.58210500000124,[2000 10]
きんでん,2019,Q1,14.253459999999798,[2000 10]
きんでん,2019,Q2,30.929025000000685,[2000 10]
きんでん,2019,Q3,34.93791500000033,[2000 10]
きんでん,2019,Q4,53.84081500000042,[2000 10]
きんでん,2020,Q1,25.702384999999914,[2000 10]
きんでん,2020,Q2,43.47755500000034,[2000 10]
きんでん,2020,Q3,47.020875000000224,[2000 10]
きんでん,2020,Q4,58.99722499999914,[2000 10]
さくらインターネット,2018,Q1,2.875914999999976,[2000 10]
さくらインターネット,2018,Q2,4.63246000000002,[2000 10]
さくらインターネット,2018,Q3,15.720125000000158,[2000 10]
さくらインターネット,2018,Q4,90.90944999999977,[2000 10]
さくらインターネット,2019,Q1,4.003915000000029,[2000 10]
さくらインターネット,2019,Q2,8.013595000000091,[2000 10]
さくらインターネット,2019,Q3,5.974364999999952,[2000 10]
さくらインターネット,2019,Q4,9.59285000000004,[2000 10]
さくらインターネット,2020,Q1,2.714674999999967,[2000 10]
さくらインターネット,2020,Q2,1.108815000000001,[2000 10]
さくらインターネット,2020,Q3,2.223369999999996,[2000 10]
さくらインターネット,2020,Q4,3.327285000000024,[2000 10]
たけびし,2018,Q1,40.67320000000005,[100 10]
たけびし,2018,Q2,41.965900000000055,[100 10]
たけびし,2018,Q3,41.98690000000002,[100 10]
たけびし,2018,Q4,44.396199999999965,[100 10]
たけびし,2019,Q1,37.76000000000001,[100 10]
たけびし,2019,Q2,35.59970000000003,[100 10]
たけびし,2019,Q3,35.746100000000006,[100 10]
たけびし,2019,Q4,34.475500000000025,[100 10]
たけびし,2020,Q1,28.0255,[100 10]
たけびし,2020,Q2,26.622,[100 10]
たけびし,2020,Q3,25.530000000000005,[100 10]
たけびし,2020,Q4,35.69380000000003,[100 10]
なとり,2018,Q1,35.29793000000004,[1000 100]
なとり,2018,Q2,28.21571999999986,[1000 100]
なとり,2018,Q3,58.948470000000206,[1000 100]
なとり,2018,Q4,-21.79274999999993,[1000 100]
なとり,2019,Q1,26.10106999999968,[1000 100]
なとり,2019,Q2,29.67038999999985,[1000 100]
なとり,2019,Q3,60.65792000000036,[1000 100]
なとり,2019,Q4,-22.21607,[1000 100]
なとり,2020,Q1,31.423289999999916,[1000 100]
なとり,2020,Q2,21.875800000000048,[1000 100]
なとり,2020,Q3,61.18562000000064,[1000 100]
なとり,2020,Q4,-19.921729999999936,[1000 100]
はせがわ,2018,Q1,-5.5931,[100 10]
はせがわ,2018,Q2,32.00630000000003,[100 10]
はせがわ,2018,Q3,-3.6782999999999992,[100 10]
はせがわ,2018,Q4,7.782999999999996,[100 10]
はせがわ,2019,Q1,-5.888100000000004,[100 10]
はせがわ,2019,Q2,27.732900000000036,[100 10]
はせがわ,2019,Q3,-9.1237,[100 10]
はせがわ,2019,Q4,-5.5011,[100 10]
はせがわ,2020,Q1,-14.083499999999985,[100 10]
はせがわ,2020,Q2,20.68870000000002,[100 10]
はせがわ,2020,Q3,-3.806700000000004,[100 10]
はせがわ,2020,Q4,3.5011999999999994,[100 10]
はるやまホールディングス,2018,Q1,-0.3448000000000005,[100 10]
はるやまホールディングス,2018,Q2,-23.96400000000002,[100 10]
はるやまホールディングス,2018,Q3,33.053999999999974,[100 10]
はるやまホールディングス,2018,Q4,59.84749999999998,[100 10]
はるやまホールディングス,2019,Q1,-17.5519,[100 10]
はるやまホールディングス,2019,Q2,-25.44780000000001,[100 10]
はるやまホールディングス,2019,Q3,9.576100000000002,[100 10]
はるやまホールディングス,2019,Q4,45.63279999999997,[100 10]
はるやまホールディングス,2020,Q1,-17.0841,[100 10]
はるやまホールディングス,2020,Q2,-42.97030000000002,[100 10]
はるやまホールディングス,2020,Q3,-13.0395,[100 10]
はるやまホールディングス,2020,Q4,-2.696900000000001,[100 10]
ぴあ,2018,Q1,14.3178250000001,[2000 100]
ぴあ,2018,Q2,19.566244999999878,[2000 100]
ぴあ,2018,Q3,12.42162000000014,[2000 100]
ぴあ,2018,Q4,12.808995000000069,[2000 100]
ぴあ,2019,Q1,18.68603999999992,[2000 100]
ぴあ,2019,Q2,10.210074999999884,[2000 100]
ぴあ,2019,Q3,10.509429999999956,[2000 100]
ぴあ,2019,Q4,12.61845500000013,[2000 100]
ぴあ,2020,Q1,-2.6407299999999934,[2000 100]
ぴあ,2020,Q2,-32.847070000000066,[2000 100]
ぴあ,2020,Q3,-12.379985000000126,[2000 100]
ぴあ,2020,Q4,-50.530259999999785,[2000 100]
りらいあコミュニケーションズ,2018,Q1,12.750039999999965,[500 10]
りらいあコミュニケーションズ,2018,Q2,9.883239999999985,[500 10]
