企業名,会計年度,四半期,y_hat_mraf
あらた,2018,Q1,82.8566
あらた,2018,Q2,99.2047
あらた,2018,Q3,102.9536
あらた,2018,Q4,78.41089999999997
あらた,2019,Q1,95.9574
あらた,2019,Q2,103.53690000000006
あらた,2019,Q3,107.18840000000004
あらた,2019,Q4,102.70400000000004
あらた,2020,Q1,105.5123
あらた,2020,Q2,102.2705
あらた,2020,Q3,117.18749999999994
あらた,2020,Q4,110.61730000000006
いすゞ自動車,2018,Q1,33.855803226199214
いすゞ自動車,2018,Q2,30.480000000000008
いすゞ自動車,2018,Q3,34.23560000000002
いすゞ自動車,2018,Q4,31.0432
いすゞ自動車,2019,Q1,37.61300000000004
いすゞ自動車,2019,Q2,31.04150000000002
いすゞ自動車,2019,Q3,37.06550000000004
いすゞ自動車,2019,Q4,27.97950000000003
いすゞ自動車,2020,Q1,33.213100000000026
いすゞ自動車,2020,Q2,23.137103226199237
いすゞ自動車,2020,Q3,37.15520000000004
いすゞ自動車,2020,Q4,26.6776
いなげや,2018,Q1,-0.7312999999999998
いなげや,2018,Q2,7.375599999999999
いなげや,2018,Q3,13.6596
いなげや,2018,Q4,-4.774999999999998
いなげや,2019,Q1,-5.2035
いなげや,2019,Q2,2.2975000000000008
いなげや,2019,Q3,14.716699999999989
いなげや,2019,Q4,0.8896000000000004
いなげや,2020,Q1,6.646099999999998
いなげや,2020,Q2,9.4097
いなげや,2020,Q3,18.7624
いなげや,2020,Q4,2.7313999999999994
かどや製油,2018,Q1,83.06680000000001
かどや製油,2018,Q2,107.68969999999987
かどや製油,2018,Q3,93.61869999999998
かどや製油,2018,Q4,90.81399999999996
かどや製油,2019,Q1,62.4339
かどや製油,2019,Q2,69.93849999999993
かどや製油,2019,Q3,76.98079999999996
かどや製油,2019,Q4,55.4825
かどや製油,2020,Q1,73.20459999999997
かどや製油,2020,Q2,71.63059999999997
かどや製油,2020,Q3,55.23459999999998
かどや製油,2020,Q4,55.48779999999998
きんでん,2018,Q1,12.360000000000005
きんでん,2018,Q2,30.481100000000016
きんでん,2018,Q3,30.682
きんでん,2018,Q4,57.3551999999999
きんでん,2019,Q1,14.256799999999998
きんでん,2019,Q2,30.20380000000003
きんでん,2019,Q3,33.935499999999976
きんでん,2019,Q4,53.24919999999995
きんでん,2020,Q1,26.651
きんでん,2020,Q2,42.18279999999999
きんでん,2020,Q3,46.905400000000014
きんでん,2020,Q4,58.619800000000005
さくらインターネット,2018,Q1,3.1361000000000017
さくらインターネット,2018,Q2,4.3231000000000055
さくらインターネット,2018,Q3,28.999800000000004
さくらインターネット,2018,Q4,3.158100000000001
さくらインターネット,2019,Q1,4.628400000000003
さくらインターネット,2019,Q2,39.9117
さくらインターネット,2019,Q3,0.7642
さくらインターネット,2019,Q4,1.8236000000000008
さくらインターネット,2020,Q1,2.781400000000001
さくらインターネット,2020,Q2,1.444
さくらインターネット,2020,Q3,2.1032
さくらインターネット,2020,Q4,3.3062000000000005
たけびし,2018,Q1,40.67320000000005
たけびし,2018,Q2,41.965900000000055
たけびし,2018,Q3,41.98690000000002
たけびし,2018,Q4,44.396199999999965
たけびし,2019,Q1,37.76000000000001
たけびし,2019,Q2,35.59970000000003
たけびし,2019,Q3,35.746100000000006
たけびし,2019,Q4,34.475500000000025
たけびし,2020,Q1,28.0255
たけびし,2020,Q2,26.622
たけびし,2020,Q3,25.530000000000005
たけびし,2020,Q4,35.69380000000003
なとり,2018,Q1,34.262
なとり,2018,Q2,27.2203
なとり,2018,Q3,58.582000000000015
なとり,2018,Q4,-21.104600000000016
なとり,2019,Q1,26.351600000000023
