企業名,会計年度,四半期,y_hat_msvm
あらた,2018,Q1,23.36592452246085
あらた,2018,Q2,25.291232450351814
あらた,2018,Q3,27.3336200364007
あらた,2018,Q4,29.19513285225008
あらた,2019,Q1,30.872412222444424
あらた,2019,Q2,33.71522319412673
あらた,2019,Q3,36.4727842859682
あらた,2019,Q4,38.25270953855674
あらた,2020,Q1,51.225816688416586
あらた,2020,Q2,65.65027392619797
あらた,2020,Q3,69.09821808117792
あらた,2020,Q4,73.58747718050142
いすゞ自動車,2018,Q1,26.344896179985295
いすゞ自動車,2018,Q2,27.36835492743254
いすゞ自動車,2018,Q3,26.174256890207637
いすゞ自動車,2018,Q4,27.226382223344416
いすゞ自動車,2019,Q1,26.240962887192197
いすゞ自動車,2019,Q2,27.01995968265222
いすゞ自動車,2019,Q3,26.41460718306556
いすゞ自動車,2019,Q4,27.369172112154036
いすゞ自動車,2020,Q1,26.497354259161803
いすゞ自動車,2020,Q2,25.920365201186243
いすゞ自動車,2020,Q3,25.936489736158627
いすゞ自動車,2020,Q4,26.280783497869
いなげや,2018,Q1,7.877454701216688
いなげや,2018,Q2,7.8031950389259706
いなげや,2018,Q3,7.137339101329024
いなげや,2018,Q4,7.246748400102066
いなげや,2019,Q1,6.780718840884732
いなげや,2019,Q2,6.696877385597111
いなげや,2019,Q3,5.92745289104402
いなげや,2019,Q4,5.938825278144759
いなげや,2020,Q1,5.938750673227663
いなげや,2020,Q2,6.950177432071278
いなげや,2020,Q3,7.146910808063732
いなげや,2020,Q4,7.193392445718729
かどや製油,2018,Q1,48.06149389235431
かどや製油,2018,Q2,48.77893411888021
かどや製油,2018,Q3,49.55509281054283
かどや製油,2018,Q4,50.051697634521666
かどや製油,2019,Q1,49.00049826173932
かどや製油,2019,Q2,49.892443052902934
かどや製油,2019,Q3,52.88162842661807
かどや製油,2019,Q4,53.315047174789576
かどや製油,2020,Q1,52.57241200191395
かどや製油,2020,Q2,52.91014643298057
かどや製油,2020,Q3,55.03359694729685
かどや製油,2020,Q4,56.198081495005404
きんでん,2018,Q1,18.576683055923308
きんでん,2018,Q2,18.814119004612266
きんでん,2018,Q3,19.327956817145598
きんでん,2018,Q4,20.35442134717531
きんでん,2019,Q1,19.637207121936203
きんでん,2019,Q2,19.861243332914352
きんでん,2019,Q3,21.112651043577547
きんでん,2019,Q4,22.235350576228434
きんでん,2020,Q1,22.03359982492462
きんでん,2020,Q2,22.366790618093244
きんでん,2020,Q3,23.972723270353843
きんでん,2020,Q4,25.25365169436038
さくらインターネット,2018,Q1,12.28793249203176
さくらインターネット,2018,Q2,11.578548515143657
さくらインターネット,2018,Q3,10.885096575502853
さくらインターネット,2018,Q4,9.08714421685211
さくらインターネット,2019,Q1,8.192979921161738
さくらインターネット,2019,Q2,7.994815889215001
さくらインターネット,2019,Q3,6.735921687501201
さくらインターネット,2019,Q4,5.080424146936116
さくらインターネット,2020,Q1,4.5946278605265665
さくらインターネット,2020,Q2,4.529600080027041
さくらインターネット,2020,Q3,4.470761414984295
さくらインターネット,2020,Q4,4.545436116416905
たけびし,2018,Q1,24.83700980551662
たけびし,2018,Q2,25.57923266685868
たけびし,2018,Q3,25.73502117125969
たけびし,2018,Q4,25.946846226633088
たけびし,2019,Q1,25.728552751799516
たけびし,2019,Q2,25.692483770041438
たけびし,2019,Q3,26.408446484127907
たけびし,2019,Q4,26.137744698648362
たけびし,2020,Q1,25.68851846054224
たけびし,2020,Q2,26.33872950905786
たけびし,2020,Q3,26.19964222485394
たけびし,2020,Q4,26.42603834415831
なとり,2018,Q1,20.619676304951692
なとり,2018,Q2,21.040410159151868
なとり,2018,Q3,21.99172628434112
なとり,2018,Q4,20.708801042167565
なとり,2019,Q1,21.343341487513705
なとり,2019,Q2,20.461609140605635
なとり,2019,Q3,22.321555772046953
なとり,2019,Q4,20.830794933564693
なとり,2020,Q1,21.38360195725717
なとり,2020,Q2,21.392941991169963
なとり,2020,Q3,23.39409402212995
なとり,2020,Q4,21.536172190133605
はせがわ,2018,Q1,5.664125091330594
はせがわ,2018,Q2,7.306110359632468
はせがわ,2018,Q3,5.760588789271601
はせがわ,2018,Q4,7.203514653255968
はせがわ,2019,Q1,3.97010716610814
はせがわ,2019,Q2,5.610623722291367
はせがわ,2019,Q3,3.7521577990742365
はせがわ,2019,Q4,5.136837150005851
はせがわ,2020,Q1,0.33345967153394307
はせがわ,2020,Q2,2.4415503223078616
はせがわ,2020,Q3,0.7128827879520674
はせがわ,2020,Q4,4.839126737398661
はるやまホールディングス,2018,Q1,5.8370432123625715
はるやまホールディングス,2018,Q2,5.295448846610208
はるやまホールディングス,2018,Q3,6.6577027620990235
はるやまホールディングス,2018,Q4,7.286456946133429
はるやまホールディングス,2019,Q1,5.764472876673025
はるやまホールディングス,2019,Q2,5.264385125317514
はるやまホールディングス,2019,Q3,6.611165673671916
はるやまホールディングス,2019,Q4,7.208144680486987
はるやまホールディングス,2020,Q1,5.5463765220473515
はるやまホールディングス,2020,Q2,3.497112916178617
はるやまホールディングス,2020,Q3,4.874812053154733
はるやまホールディングス,2020,Q4,5.1422979431803
ぴあ,2018,Q1,10.299427435132753
ぴあ,2018,Q2,11.645520845850434
ぴあ,2018,Q3,10.950210155164463
ぴあ,2018,Q4,13.308229511183491
ぴあ,2019,Q1,12.598417309896023
ぴあ,2019,Q2,12.04427427363222
ぴあ,2019,Q3,13.381346192160494
ぴあ,2019,Q4,13.171326775842491
ぴあ,2020,Q1,11.689248402294943
ぴあ,2020,Q2,11.724358748363617
ぴあ,2020,Q3,12.155141903182056
ぴあ,2020,Q4,12.24897622674443
やまや,2018,Q1,43.85554326249976
やまや,2018,Q2,44.80930419292097
やまや,2018,Q3,47.15229904067896
やまや,2018,Q4,50.78550835729375
やまや,2019,Q1,50.38438881418132
やまや,2019,Q2,51.778509211786215
やまや,2019,Q3,52.31191400527213
やまや,2019,Q4,52.3276893917035
やまや,2020,Q1,51.883379042813964
やまや,2020,Q2,51.3677672611959
やまや,2020,Q3,49.83733858926181
やまや,2020,Q4,45.55841288312232
りらいあコミュニケーションズ,2018,Q1,16.416106427573613
りらいあコミュニケーションズ,2018,Q2,15.94826458689504
りらいあコミュニケーションズ,2018,Q3,15.671717477715417
りらいあコミュニケーションズ,2018,Q4,15.416173500421339
りらいあコミュニケーションズ,2019,Q1,14.801552177703021
りらいあコミュニケーションズ,2019,Q2,15.019436161121817
りらいあコミュニケーションズ,2019,Q3,15.342552564060762
りらいあコミュニケーションズ,2019,Q4,15.714825466300285
りらいあコミュニケーションズ,2020,Q1,16.048319828954366
りらいあコミュニケーションズ,2020,Q2,16.264329600070543
りらいあコミュニケーションズ,2020,Q3,16.3481346246666
りらいあコミュニケーションズ,2020,Q4,16.502376053576953
