企業名,会計年度,四半期,y_hat_rw
あらた,2018,Q1,69.34
あらた,2018,Q2,105.42
あらた,2018,Q3,90.44
あらた,2018,Q4,106.24
あらた,2019,Q1,99.22
あらた,2019,Q2,116.85
あらた,2019,Q3,101.76
あらた,2019,Q4,113.93
あらた,2020,Q1,79.9
あらた,2020,Q2,145.23
あらた,2020,Q3,120.68
あらた,2020,Q4,153.35
いすゞ自動車,2018,Q1,27.74
いすゞ自動車,2018,Q2,48.38
いすゞ自動車,2018,Q3,24.15
いすゞ自動車,2018,Q4,50.86
いすゞ自動車,2019,Q1,26.43
いすゞ自動車,2019,Q2,37.13
いすゞ自動車,2019,Q3,16.88
いすゞ自動車,2019,Q4,37.38
いすゞ自動車,2020,Q1,18.75
いすゞ自動車,2020,Q2,-13.23
いすゞ自動車,2020,Q3,10.87
いすゞ自動車,2020,Q4,40.98
いなげや,2018,Q1,-4.88
いなげや,2018,Q2,-7.67
いなげや,2018,Q3,1.87
いなげや,2018,Q4,12.29
いなげや,2019,Q1,-34.61
いなげや,2019,Q2,-7.99
いなげや,2019,Q3,2.09
いなげや,2019,Q4,9.56
いなげや,2020,Q1,11.13
いなげや,2020,Q2,45.75
いなげや,2020,Q3,22.33
いなげや,2020,Q4,30.09
かどや製油,2018,Q1,54.28
かどや製油,2018,Q2,127.07
かどや製油,2018,Q3,101.03
かどや製油,2018,Q4,81.07
かどや製油,2019,Q1,11.46
かどや製油,2019,Q2,98.69
かどや製油,2019,Q3,70.47
かどや製油,2019,Q4,60.82
かどや製油,2020,Q1,47.48
かどや製油,2020,Q2,79.34
かどや製油,2020,Q3,68.44
かどや製油,2020,Q4,61.14
きんでん,2018,Q1,71.24
きんでん,2018,Q2,8.01
きんでん,2018,Q3,27.73
きんでん,2018,Q4,31.43
きんでん,2019,Q1,65.78
きんでん,2019,Q2,15.17
きんでん,2019,Q3,31.97
きんでん,2019,Q4,40.36
きんでん,2020,Q1,62.84
きんでん,2020,Q2,13.2
きんでん,2020,Q3,33.3
きんでん,2020,Q4,47.09
さくらインターネット,2018,Q1,3.47
さくらインターネット,2018,Q2,1.04
さくらインターネット,2018,Q3,1.84
さくらインターネット,2018,Q4,0.98
さくらインターネット,2019,Q1,-1.45
さくらインターネット,2019,Q2,4.37
さくらインターネット,2019,Q3,0.49
さくらインターネット,2019,Q4,-1.35
さくらインターネット,2020,Q1,0.88
さくらインターネット,2020,Q2,4.43
さくらインターネット,2020,Q3,4.54
さくらインターネット,2020,Q4,5.27
たけびし,2018,Q1,45.07
たけびし,2018,Q2,42.78
たけびし,2018,Q3,43.45
たけびし,2018,Q4,55.45
たけびし,2019,Q1,32.96
たけびし,2019,Q2,28.51
たけびし,2019,Q3,37.9
たけびし,2019,Q4,22.81
たけびし,2020,Q1,21.65
たけびし,2020,Q2,26.59
たけびし,2020,Q3,22.84
たけびし,2020,Q4,23.19
なとり,2018,Q1,-14.99
なとり,2018,Q2,21.3
なとり,2018,Q3,19.69
なとり,2018,Q4,65.76
なとり,2019,Q1,-22.13
なとり,2019,Q2,13.46
なとり,2019,Q3,22.43
なとり,2019,Q4,60.8
なとり,2020,Q1,-8.81
なとり,2020,Q2,23.99
なとり,2020,Q3,32.72
なとり,2020,Q4,97.8
はせがわ,2018,Q1,10.8
はせがわ,2018,Q2,-7.11
はせがわ,2018,Q3,25.19
はせがわ,2018,Q4,-5.23
はせがわ,2019,Q1,-5.41
はせがわ,2019,Q2,-23.87
はせがわ,2019,Q3,22.19
はせがわ,2019,Q4,-24.21
はせがわ,2020,Q1,-35.57
はせがわ,2020,Q2,-21.2
はせがわ,2020,Q3,26.24
はせがわ,2020,Q4,6.87
はるやまホールディングス,2018,Q1,75.12
はるやまホールディングス,2018,Q2,-19.79
はるやまホールディングス,2018,Q3,-44.17
はるやまホールディングス,2018,Q4,19.38
