企業名,会計年度,四半期,y_hat_sarima_br
あらた,2018,Q1,122.56573980005238
あらた,2018,Q2,79.89710963331092
あらた,2018,Q3,119.38668047634475
あらた,2018,Q4,60.22204922021412
あらた,2019,Q1,127.20396330555405
あらた,2019,Q2,97.76104048003211
あらた,2019,Q3,113.97225407894639
あらた,2019,Q4,103.67938204129784
あらた,2020,Q1,105.00149515670371
あらた,2020,Q2,120.37041268923191
あらた,2020,Q3,127.45000568739415
あらた,2020,Q4,113.16989073503748
いすゞ自動車,2018,Q1,33.19451556243388
いすゞ自動車,2018,Q2,28.366443973715022
いすゞ自動車,2018,Q3,38.82475591242082
いすゞ自動車,2018,Q4,36.04082437601045
いすゞ自動車,2019,Q1,43.788192954147064
いすゞ自動車,2019,Q2,20.748494904990665
いすゞ自動車,2019,Q3,43.33272734414219
いすゞ自動車,2019,Q4,23.265387708822082
いすゞ自動車,2020,Q1,35.50345605791634
いすゞ自動車,2020,Q2,-14.388446742055319
いすゞ自動車,2020,Q3,36.979928502805365
いすゞ自動車,2020,Q4,21.066606606707424
いなげや,2018,Q1,-0.543752374735643
いなげや,2018,Q2,5.148038213812937
いなげや,2018,Q3,16.64379703238729
いなげや,2018,Q4,-0.20492594541604614
いなげや,2019,Q1,-10.73442991855656
いなげや,2019,Q2,2.750707394909881
いなげや,2019,Q3,13.560954039905171
いなげや,2019,Q4,-24.453428530124935
いなげや,2020,Q1,-2.5869672954117773
いなげや,2020,Q2,24.15386130801098
いなげや,2020,Q3,20.20568901345154
いなげや,2020,Q4,3.9575809191216678
かどや製油,2018,Q1,64.78523710779518
かどや製油,2018,Q2,120.83628539490508
かどや製油,2018,Q3,95.67012763770812
かどや製油,2018,Q4,52.998320555275946
かどや製油,2019,Q1,40.269975661634675
かどや製油,2019,Q2,91.60529232026997
かどや製油,2019,Q3,70.55425277913164
かどや製油,2019,Q4,15.30649424534841
かどや製油,2020,Q1,102.86360859322
かどや製油,2020,Q2,71.49980291446563
かどや製油,2020,Q3,66.30121213389468
かどや製油,2020,Q4,33.36050788685847
きんでん,2018,Q1,11.318075970551988
きんでん,2018,Q2,24.49746174671489
きんでん,2018,Q3,31.587982569348913
きんでん,2018,Q4,70.99903313059197
きんでん,2019,Q1,7.159005488165253
きんでん,2019,Q2,28.838044017264203
きんでん,2019,Q3,32.10549497442117
きんでん,2019,Q4,67.85405758082177
きんでん,2020,Q1,14.628177338023043
きんでん,2020,Q2,31.66593510982697
きんでん,2020,Q3,40.75276086270403
きんでん,2020,Q4,63.83670301032543
さくらインターネット,2018,Q1,327.9474322229468
さくらインターネット,2018,Q2,137.07400098156802
さくらインターネット,2018,Q3,134.41067979978803
さくらインターネット,2018,Q4,64.45005174648973
さくらインターネット,2019,Q1,-0.12093921642713434
さくらインターネット,2019,Q2,4.489746787270846
さくらインターネット,2019,Q3,-3.7663593135073326
さくらインターネット,2019,Q4,1.043029398847024
さくらインターネット,2020,Q1,4.970932672829654
さくらインターネット,2020,Q2,0.48846263027993625
さくらインターネット,2020,Q3,0.44248935099453046
さくらインターネット,2020,Q4,4.22380130703858
たけびし,2018,Q1,37.639623886009176
たけびし,2018,Q2,41.10142071863273
たけびし,2018,Q3,48.8860875079362
たけびし,2018,Q4,50.58505416348394
たけびし,2019,Q1,39.71279312075894
たけびし,2019,Q2,36.949776560540016
たけびし,2019,Q3,53.767820378866105
たけびし,2019,Q4,15.145038725843794
たけびし,2020,Q1,23.66975050067195
たけびし,2020,Q2,35.85501989210479
たけびし,2020,Q3,22.73576192325039
たけびし,2020,Q4,21.16985126490952
なとり,2018,Q1,28.286078215556984
なとり,2018,Q2,19.50364751117315
なとり,2018,Q3,55.402802557621605
なとり,2018,Q4,-21.125666831746948
なとり,2019,Q1,24.900968512493165
なとり,2019,Q2,20.033079331514685
なとり,2019,Q3,59.00453974599319
なとり,2019,Q4,-21.67770746572504
なとり,2020,Q1,19.71034428104081
なとり,2020,Q2,21.44692817011454
なとり,2020,Q3,61.317084561262575
なとり,2020,Q4,-6.517344092500895
はせがわ,2018,Q1,-11.32209249980923
はせがわ,2018,Q2,28.41251605061901
はせがわ,2018,Q3,-0.813678843728261
はせがわ,2018,Q4,14.155829572698131
はせがわ,2019,Q1,-16.25103887624909
はせがわ,2019,Q2,23.487964491991633
はせがわ,2019,Q3,-4.1117204947186545
はせがわ,2019,Q4,1.1139058519289478
はせがわ,2020,Q1,-39.27099578610823
はせがわ,2020,Q2,22.415193972070806
はせがわ,2020,Q3,-15.878197949691998
はせがわ,2020,Q4,-4.562345628769037
はるやまホールディングス,2018,Q1,3.9885050203759627
はるやまホールディングス,2018,Q2,-24.146504421945973
はるやまホールディングス,2018,Q3,23.01136755531992
はるやまホールディングス,2018,Q4,64.32444904440649
はるやまホールディングス,2019,Q1,-8.42577307636485
はるやまホールディングス,2019,Q2,-28.84766454382236
はるやまホールディングス,2019,Q3,18.552994513838044
はるやまホールディングス,2019,Q4,54.92111289079128
はるやまホールディングス,2020,Q1,-1.593451116907005
はるやまホールディングス,2020,Q2,-47.32249043852497
はるやまホールディングス,2020,Q3,6.595219402861326
はるやまホールディングス,2020,Q4,-4.375042490713838
ぴあ,2018,Q1,17.098472739027883
ぴあ,2018,Q2,23.273380529461242
ぴあ,2018,Q3,7.001009176699551
ぴあ,2018,Q4,10.833196746561814
ぴあ,2019,Q1,25.549639962426802
ぴあ,2019,Q2,8.183341438573295
ぴあ,2019,Q3,12.644531606352565
ぴあ,2019,Q4,5.878988761375705
ぴあ,2020,Q1,9.541124793392365
ぴあ,2020,Q2,24.313605905612228
ぴあ,2020,Q3,-78.91552736196032
ぴあ,2020,Q4,-43.698615432839965
りらいあコミュニケーションズ,2018,Q1,8.569426021686532
りらいあコミュニケーションズ,2018,Q2,10.49505696516348
りらいあコミュニケーションズ,2018,Q3,14.662558982234493
りらいあコミュニケーションズ,2018,Q4,13.102332636717003
りらいあコミュニケーションズ,2019,Q1,-127.54543220824905
りらいあコミュニケーションズ,2019,Q2,11.134358215805682
りらいあコミュニケーションズ,2019,Q3,8.570290254960822
りらいあコミュニケーションズ,2019,Q4,-113.54215525498498
りらいあコミュニケーションズ,2020,Q1,26.17351797606513
りらいあコミュニケーションズ,2020,Q2,15.251971930811834
りらいあコミュニケーションズ,2020,Q3,14.951510881660829
りらいあコミュニケーションズ,2020,Q4,3.6716638976564724
わかもと製薬,2018,Q1,0.5054229423967973
わかもと製薬,2018,Q2,-1.9475433988961175
わかもと製薬,2018,Q3,3.115236214267655
わかもと製薬,2018,Q4,2.1835886028192455
わかもと製薬,2019,Q1,0.4513475168153911
わかもと製薬,2019,Q2,-5.405327377655088
わかもと製薬,2019,Q3,-17.546547173505505
わかもと製薬,2019,Q4,-5.158771301415722
わかもと製薬,2020,Q1,-1.9089731142066135
わかもと製薬,2020,Q2,-17.77681742580773
わかもと製薬,2020,Q3,3.5322913379427714
わかもと製薬,2020,Q4,-3.8400545451756987
アイカ工業,2018,Q1,39.943169493772594
アイカ工業,2018,Q2,48.76014578676614
アイカ工業,2018,Q3,50.51107346134056
アイカ工業,2018,Q4,50.01501667701733
アイカ工業,2019,Q1,51.803662189928595
アイカ工業,2019,Q2,50.59289038313847
アイカ工業,2019,Q3,56.448035880607804
アイカ工業,2019,Q4,51.578319682535245
アイカ工業,2020,Q1,33.83154342050022
アイカ工業,2020,Q2,37.253505040645734
アイカ工業,2020,Q3,36.56656702273395
アイカ工業,2020,Q4,46.129169009992935
アイコム,2018,Q1,-2.9258781448124713
アイコム,2018,Q2,16.893200351840456
アイコム,2018,Q3,24.13681467135271
アイコム,2018,Q4,42.90795688317979
アイコム,2019,Q1,25.19351375490758
アイコム,2019,Q2,17.712137039210937
アイコム,2019,Q3,24.274426085202748
アイコム,2019,Q4,47.45231441232707
アイコム,2020,Q1,22.20902079322804
アイコム,2020,Q2,0.3682550626428913
アイコム,2020,Q3,16.411073305039455
アイコム,2020,Q4,72.33593319710339
アイシン,2018,Q1,125.68457273119326
アイシン,2018,Q2,84.78575604252491
アイシン,2018,Q3,147.95120670392174
アイシン,2018,Q4,103.04634692517828
アイシン,2019,Q1,120.6690347595237
アイシン,2019,Q2,54.17071638828782
アイシン,2019,Q3,92.9127300075948
アイシン,2019,Q4,95.42942460143409
アイシン,2020,Q1,-26.826622707602937
アイシン,2020,Q2,-245.9450919439313
アイシン,2020,Q3,86.76444673204315
アイシン,2020,Q4,-119.69876260340456
アイダエンジニアリング,2018,Q1,24.83328167029231
アイダエンジニアリング,2018,Q2,19.496090571026535
アイダエンジニアリング,2018,Q3,10.778205838766256
アイダエンジニアリング,2018,Q4,34.11711679550249
アイダエンジニアリング,2019,Q1,14.114931860109515
アイダエンジニアリング,2019,Q2,12.380308225153957
アイダエンジニアリング,2019,Q3,20.084201387148816
アイダエンジニアリング,2019,Q4,29.47452488591864
アイダエンジニアリング,2020,Q1,10.339721048144172
アイダエンジニアリング,2020,Q2,14.388665232791645
アイダエンジニアリング,2020,Q3,11.824946158179735
アイダエンジニアリング,2020,Q4,18.17865316578081
アイチコーポレーション,2018,Q1,12.124577824318145
アイチコーポレーション,2018,Q2,25.16407435313573
アイチコーポレーション,2018,Q3,14.599222911042094
アイチコーポレーション,2018,Q4,23.912966607310093
アイチコーポレーション,2019,Q1,5.741296153580194
アイチコーポレーション,2019,Q2,16.122475018884202
アイチコーポレーション,2019,Q3,20.245348187453562
アイチコーポレーション,2019,Q4,26.891147454749113
アイチコーポレーション,2020,Q1,12.026542934910967
アイチコーポレーション,2020,Q2,15.923879184188513
アイチコーポレーション,2020,Q3,16.01454794082206
アイチコーポレーション,2020,Q4,23.54613454844408
アイティフォー,2018,Q1,3.7613899525804393
アイティフォー,2018,Q2,7.675107066932862
アイティフォー,2018,Q3,5.354296315060481
アイティフォー,2018,Q4,20.76304452978745
アイティフォー,2019,Q1,3.1020585043174527
アイティフォー,2019,Q2,8.026664366233238
アイティフォー,2019,Q3,7.981435825536565
アイティフォー,2019,Q4,21.300099682629483
アイティフォー,2020,Q1,4.431584672396515
アイティフォー,2020,Q2,10.545718731280123
アイティフォー,2020,Q3,7.765805062552664
アイティフォー,2020,Q4,22.78451868341198
アイティメディア,2018,Q1,5.1972388506059435
アイティメディア,2018,Q2,6.682898361289188
アイティメディア,2018,Q3,7.066531762701836
アイティメディア,2018,Q4,6.304966521362893
アイティメディア,2019,Q1,0.8266428440243274
アイティメディア,2019,Q2,5.560491629472782
アイティメディア,2019,Q3,5.5101252749947776
アイティメディア,2019,Q4,6.207191765238378
アイティメディア,2020,Q1,9.323661050220815
アイティメディア,2020,Q2,7.967111628348155
アイティメディア,2020,Q3,15.991607258122514
アイティメディア,2020,Q4,14.0005300428328
アイネス,2018,Q1,-4.385211668471399
アイネス,2018,Q2,14.2604222427313
アイネス,2018,Q3,2.0080858179333396
アイネス,2018,Q4,31.859317815851526
アイネス,2019,Q1,-3.9190109039429837
アイネス,2019,Q2,11.211223677998893
アイネス,2019,Q3,68.8308185390519
アイネス,2019,Q4,-199.27967818606888
アイネス,2020,Q1,60.47133955203803
アイネス,2020,Q2,-33.9695111448776
アイネス,2020,Q3,68.6679641186445
アイネス,2020,Q4,34.97319067716061
アイネット,2018,Q1,10.14645964532706
アイネット,2018,Q2,27.675531605508827
アイネット,2018,Q3,22.512738621282192
アイネット,2018,Q4,27.709171048446525
アイネット,2019,Q1,13.187024373590358
アイネット,2019,Q2,34.74431178441618
アイネット,2019,Q3,24.067258054618357
アイネット,2019,Q4,29.09742943136529
アイネット,2020,Q1,17.41011407031312
アイネット,2020,Q2,20.224756815293528
アイネット,2020,Q3,19.929568980823255
アイネット,2020,Q4,25.817255754314644
アイホン,2018,Q1,-3.830557158997384
アイホン,2018,Q2,48.3512197635401
アイホン,2018,Q3,13.756656096300032
アイホン,2018,Q4,37.17413876762812
アイホン,2019,Q1,16.679277431219575
アイホン,2019,Q2,53.73890909321183
アイホン,2019,Q3,31.809340259700804
アイホン,2019,Q4,59.075598578122886
アイホン,2020,Q1,4.646283999425409
アイホン,2020,Q2,55.358432956155724
アイホン,2020,Q3,19.728923135584676
アイホン,2020,Q4,43.217970103560184
アイロムグループ,2018,Q1,93.99326516900697
アイロムグループ,2018,Q2,-29.07323138929665
アイロムグループ,2018,Q3,26.033464075243927
アイロムグループ,2018,Q4,36.14851797812593
アイロムグループ,2019,Q1,24.117475753587776
アイロムグループ,2019,Q2,-15.522669802077829
アイロムグループ,2019,Q3,73.41540882420996
アイロムグループ,2019,Q4,76.75819353185719
アイロムグループ,2020,Q1,16.02986679798056
アイロムグループ,2020,Q2,-27.754653829713213
アイロムグループ,2020,Q3,50.74237268128959
アイロムグループ,2020,Q4,78.8901132941919
アキレス,2018,Q1,33.824261887277096
アキレス,2018,Q2,11.55066226342567
アキレス,2018,Q3,33.422681314223134
アキレス,2018,Q4,-16.261002988609025
アキレス,2019,Q1,7.519330205271682
アキレス,2019,Q2,11.028392925744969
アキレス,2019,Q3,15.798787779679607
アキレス,2019,Q4,25.96719188464054
アキレス,2020,Q1,32.45152360816161
アキレス,2020,Q2,89.03255486114233
アキレス,2020,Q3,25.14664267967547
アキレス,2020,Q4,25.57408647713367
アクシアル　リテイリング,2018,Q1,66.74764339187269
アクシアル　リテイリング,2018,Q2,63.17341226498364
アクシアル　リテイリング,2018,Q3,86.58981669005738
アクシアル　リテイリング,2018,Q4,42.23424316870776
アクシアル　リテイリング,2019,Q1,58.54892616073033
アクシアル　リテイリング,2019,Q2,75.7575521546312
アクシアル　リテイリング,2019,Q3,73.44363674729004
アクシアル　リテイリング,2019,Q4,69.07089739234583
アクシアル　リテイリング,2020,Q1,73.1689073977782
アクシアル　リテイリング,2020,Q2,29.55837207072436
アクシアル　リテイリング,2020,Q3,81.71685488982926
アクシアル　リテイリング,2020,Q4,58.52236982016846
アクセル,2018,Q1,-12.165664488030217
アクセル,2018,Q2,-43.65485453747145
アクセル,2018,Q3,-2.2128755366117083
アクセル,2018,Q4,16.67849271724001
アクセル,2019,Q1,-61.38718550268871
アクセル,2019,Q2,-1.1151776542130527
アクセル,2019,Q3,-40.60510112923084
アクセル,2019,Q4,-1.5308261318846768
アクセル,2020,Q1,-12.852010823957325
アクセル,2020,Q2,13.271572632966848
アクセル,2020,Q3,-7.76924989880505
アクセル,2020,Q4,3.5866886550886203
アジアパイルホールディングス,2018,Q1,12.053014635846022
アジアパイルホールディングス,2018,Q2,24.828964485986678
アジアパイルホールディングス,2018,Q3,30.72383059209706
アジアパイルホールディングス,2018,Q4,10.131618063162723
アジアパイルホールディングス,2019,Q1,18.13390727330727
アジアパイルホールディングス,2019,Q2,26.97371865336531
アジアパイルホールディングス,2019,Q3,14.146716711187633
アジアパイルホールディングス,2019,Q4,8.97268376575556
アジアパイルホールディングス,2020,Q1,24.648188475241078
アジアパイルホールディングス,2020,Q2,25.591349527430612
アジアパイルホールディングス,2020,Q3,19.138532533096196
アジアパイルホールディングス,2020,Q4,8.837015984286534
アステラス製薬,2018,Q1,23.028569486850177
アステラス製薬,2018,Q2,21.56272765133564
アステラス製薬,2018,Q3,30.799328508564635
アステラス製薬,2018,Q4,13.45797080924902
アステラス製薬,2019,Q1,25.932409862638593
アステラス製薬,2019,Q2,23.753546657641714
アステラス製薬,2019,Q3,38.70916670375789
アステラス製薬,2019,Q4,15.548416816831182
アステラス製薬,2020,Q1,29.618291860342552
アステラス製薬,2020,Q2,32.457887860662694
アステラス製薬,2020,Q3,35.21847984138994
アステラス製薬,2020,Q4,5.503575332294745
アズビル,2018,Q1,19.991281275510428
アズビル,2018,Q2,57.22570633784965
アズビル,2018,Q3,57.06453099872801
アズビル,2018,Q4,107.58245643253946
アズビル,2019,Q1,-10.868682458181418
アズビル,2019,Q2,51.61123524823242
アズビル,2019,Q3,33.61471747425591
アズビル,2019,Q4,74.0080980309522
アズビル,2020,Q1,1.2193199273223492
アズビル,2020,Q2,46.20063922003026
アズビル,2020,Q3,33.42875052527757
アズビル,2020,Q4,70.56331567083983
