企業名,会計年度,四半期,y_hat_sarima_f
あらた,2018,Q1,122.44952062367487
あらた,2018,Q2,79.99896742446593
あらた,2018,Q3,119.55123248183182
あらた,2018,Q4,59.99694872138272
あらた,2019,Q1,125.13325506370035
あらた,2019,Q2,97.88236134040565
あらた,2019,Q3,113.63280580288489
あらた,2019,Q4,104.24864474023308
あらた,2020,Q1,104.39534650204658
あらた,2020,Q2,119.00634089274726
あらた,2020,Q3,125.4683164106647
あらた,2020,Q4,104.94244878622945
いすゞ自動車,2018,Q1,39.93056553826532
いすゞ自動車,2018,Q2,28.002100356419287
いすゞ自動車,2018,Q3,39.09556039358494
いすゞ自動車,2018,Q4,32.01946353577869
いすゞ自動車,2019,Q1,47.92277312264219
いすゞ自動車,2019,Q2,20.71722281410853
いすゞ自動車,2019,Q3,48.519278051657594
いすゞ自動車,2019,Q4,21.59964421327541
いすゞ自動車,2020,Q1,34.24465865244516
いすゞ自動車,2020,Q2,-7.085954214836281
いすゞ自動車,2020,Q3,35.36731212398623
いすゞ自動車,2020,Q4,19.959099809679287
いなげや,2018,Q1,2.206853465324197
いなげや,2018,Q2,5.675991374328241
いなげや,2018,Q3,14.392625367232672
いなげや,2018,Q4,-5.943614080153462
いなげや,2019,Q1,-15.074635712436983
いなげや,2019,Q2,1.7959238092617937
いなげや,2019,Q3,12.34089000758605
いなげや,2019,Q4,-35.228049458127394
いなげや,2020,Q1,-0.446717070845871
いなげや,2020,Q2,30.431980494136056
いなげや,2020,Q3,19.23293076345869
いなげや,2020,Q4,21.438755902807248
かどや製油,2018,Q1,71.38304496506525
かどや製油,2018,Q2,125.30038411841213
かどや製油,2018,Q3,101.99558178359557
かどや製油,2018,Q4,42.508442106262216
かどや製油,2019,Q1,105.13280525232021
かどや製油,2019,Q2,86.17643419430459
かどや製油,2019,Q3,64.51963920636611
かどや製油,2019,Q4,0.4079361541649753
かどや製油,2020,Q1,117.04362199653913
かどや製油,2020,Q2,61.5454896286996
かどや製油,2020,Q3,59.89328666808324
かどや製油,2020,Q4,47.628046450435725
