企業名,会計年度,四半期,y_hat_sarima_g
あらた,2018,Q1,130.5953610982429
あらた,2018,Q2,94.54450447460123
あらた,2018,Q3,119.28762318165762
あらた,2018,Q4,65.4240727639401
あらた,2019,Q1,126.00446521386122
あらた,2019,Q2,106.68152704359147
あらた,2019,Q3,124.43928030315898
あらた,2019,Q4,95.9283969087004
あらた,2020,Q1,114.93798694317306
あらた,2020,Q2,116.71041794241707
あらた,2020,Q3,135.39122909522257
あらた,2020,Q4,116.57568664749301
いすゞ自動車,2018,Q1,36.2948937074072
いすゞ自動車,2018,Q2,29.226980846396454
いすゞ自動車,2018,Q3,41.291052740395976
いすゞ自動車,2018,Q4,41.55524249824896
いすゞ自動車,2019,Q1,47.50812212440892
いすゞ自動車,2019,Q2,26.811057992730277
いすゞ自動車,2019,Q3,43.72501822434194
いすゞ自動車,2019,Q4,26.274047789332524
いすゞ自動車,2020,Q1,33.38870117620127
いすゞ自動車,2020,Q2,-13.074722682801522
いすゞ自動車,2020,Q3,22.973703901666156
いすゞ自動車,2020,Q4,11.513526122920359
いなげや,2018,Q1,-0.8578553315783237
いなげや,2018,Q2,4.7605496748170815
いなげや,2018,Q3,15.91537286349207
いなげや,2018,Q4,-1.6835478703349178
いなげや,2019,Q1,-11.351431519757686
いなげや,2019,Q2,-2.7757171591456355
いなげや,2019,Q3,8.709605287559997
いなげや,2019,Q4,-26.00411426230671
いなげや,2020,Q1,-8.179856130529132
いなげや,2020,Q2,41.602062591934924
いなげや,2020,Q3,37.5901304331797
いなげや,2020,Q4,17.458147915748665
かどや製油,2018,Q1,81.44638171858709
かどや製油,2018,Q2,115.04152975455527
かどや製油,2018,Q3,110.53192643484195
かどや製油,2018,Q4,70.4476618853152
かどや製油,2019,Q1,49.53758822833253
かどや製油,2019,Q2,83.51520921714685
かどや製油,2019,Q3,77.61441709602867
かどや製油,2019,Q4,27.576184113171443
かどや製油,2020,Q1,75.35547904557359
かどや製油,2020,Q2,75.39103273991942
かどや製油,2020,Q3,70.65554772869963
かどや製油,2020,Q4,37.40779876983338
きんでん,2018,Q1,13.47912731334596
きんでん,2018,Q2,28.58133001206088
きんでん,2018,Q3,34.747849383965566
きんでん,2018,Q4,72.56758327472365
きんでん,2019,Q1,9.814475191020344
きんでん,2019,Q2,30.444114402603272
きんでん,2019,Q3,34.74340031265851
きんでん,2019,Q4,70.86827811630654
きんでん,2020,Q1,17.05895346976234
きんでん,2020,Q2,33.743930922068465
きんでん,2020,Q3,42.912090676007345
きんでん,2020,Q4,66.48257253364332
さくらインターネット,2018,Q1,-422.74877844999804
さくらインターネット,2018,Q2,-294.3231837695057
さくらインターネット,2018,Q3,-16.542473184724276
さくらインターネット,2018,Q4,2.630378250723272
さくらインターネット,2019,Q1,-9.895508509314837
さくらインターネット,2019,Q2,8.962922633190761
さくらインターネット,2019,Q3,-41.88346475162049
さくらインターネット,2019,Q4,0.9341197700062005
さくらインターネット,2020,Q1,6.808072655283268
さくらインターネット,2020,Q2,0.6253293872558183
さくらインターネット,2020,Q3,2.2937808351065874
さくらインターネット,2020,Q4,6.6630707636152104
たけびし,2018,Q1,41.77829361784395
たけびし,2018,Q2,46.492109535775064
たけびし,2018,Q3,53.45701488679917
たけびし,2018,Q4,54.225322160770865
たけびし,2019,Q1,47.61015686915134
たけびし,2019,Q2,33.01533175448276
たけびし,2019,Q3,48.343780938670896
たけびし,2019,Q4,7.53627177284048
たけびし,2020,Q1,17.60458750191685
たけびし,2020,Q2,29.101588930757565
たけびし,2020,Q3,21.79089137572096
たけびし,2020,Q4,17.03394059254763
なとり,2018,Q1,28.83164417290118
なとり,2018,Q2,20.760272745814262
なとり,2018,Q3,56.01897520294951
なとり,2018,Q4,-15.713722328400895
なとり,2019,Q1,26.84322153826893
なとり,2019,Q2,19.348064120842096
なとり,2019,Q3,58.316646192769454
なとり,2019,Q4,-21.814471086313336
なとり,2020,Q1,22.291868742675465
なとり,2020,Q2,22.94156033452674
なとり,2020,Q3,64.08613063662524
なとり,2020,Q4,1.103754221719477
はせがわ,2018,Q1,-10.97850663391535
はせがわ,2018,Q2,27.99892488082613
はせがわ,2018,Q3,-0.7668297609919481
はせがわ,2018,Q4,13.105037834647344
はせがわ,2019,Q1,-19.977478864045906
はせがわ,2019,Q2,15.798132140312662
はせがわ,2019,Q3,-11.220298079386772
はせがわ,2019,Q4,-2.7402267673467975
はせがわ,2020,Q1,-43.22273263570278
はせがわ,2020,Q2,8.166220280854382
はせがわ,2020,Q3,-24.192970258340928
はせがわ,2020,Q4,-2.500682502807404
はるやまホールディングス,2018,Q1,5.960536227056263
はるやまホールディングス,2018,Q2,-24.10114434040188
はるやまホールディングス,2018,Q3,16.782154194915435
はるやまホールディングス,2018,Q4,61.583926745186595
はるやまホールディングス,2019,Q1,-18.667141746387188
はるやまホールディングス,2019,Q2,-42.018719315694646
はるやまホールディングス,2019,Q3,11.009820821863933
はるやまホールディングス,2019,Q4,49.79007534550376
はるやまホールディングス,2020,Q1,-7.414475155934788
はるやまホールディングス,2020,Q2,-54.6984041953507
はるやまホールディングス,2020,Q3,-18.21753632752347
はるやまホールディングス,2020,Q4,-30.035574048832885
ぴあ,2018,Q1,17.750004263137065
ぴあ,2018,Q2,19.562744282361407
ぴあ,2018,Q3,9.309548742322416
ぴあ,2018,Q4,12.266571880059315
ぴあ,2019,Q1,23.984570876332032
ぴあ,2019,Q2,8.988866801124447
ぴあ,2019,Q3,8.567402215011345
ぴあ,2019,Q4,5.031983330560555
ぴあ,2020,Q1,8.149944998478738
ぴあ,2020,Q2,-144.6408981844148
ぴあ,2020,Q3,-130.5091639090328
ぴあ,2020,Q4,-98.16086087381451
やまや,2018,Q1,72.13576290462547
やまや,2018,Q2,73.63706836842346
やまや,2018,Q3,122.43556070015508
やまや,2018,Q4,55.88199885446631
やまや,2019,Q1,71.43754383941699
やまや,2019,Q2,60.94638313879893
やまや,2019,Q3,126.00483538480538
やまや,2019,Q4,23.75644364581955
やまや,2020,Q1,-159.2267352038124
やまや,2020,Q2,-30.47758765270283
やまや,2020,Q3,16.053823770776972
やまや,2020,Q4,-1377.713011740731
りらいあコミュニケーションズ,2018,Q1,9.908640585746642
りらいあコミュニケーションズ,2018,Q2,10.738794921675064
りらいあコミュニケーションズ,2018,Q3,14.698250888100176
りらいあコミュニケーションズ,2018,Q4,12.171625119150765
りらいあコミュニケーションズ,2019,Q1,-174.81640848144434
りらいあコミュニケーションズ,2019,Q2,3.8529539178998604
りらいあコミュニケーションズ,2019,Q3,2.4152050767292064
りらいあコミュニケーションズ,2019,Q4,-123.31409618620748
りらいあコミュニケーションズ,2020,Q1,5.578122437102451
りらいあコミュニケーションズ,2020,Q2,2.390092796291974
りらいあコミュニケーションズ,2020,Q3,2.7542114076302546
りらいあコミュニケーションズ,2020,Q4,-5.9774170181881345
わかもと製薬,2018,Q1,0.12465596577810878
わかもと製薬,2018,Q2,-1.4165233063771163
わかもと製薬,2018,Q3,3.5109350879174457
わかもと製薬,2018,Q4,2.9128864477487735
わかもと製薬,2019,Q1,-0.8422598382741722
わかもと製薬,2019,Q2,-8.326721924749904
わかもと製薬,2019,Q3,-20.188518642968326
わかもと製薬,2019,Q4,-14.549609921197373
わかもと製薬,2020,Q1,-8.752969017644142
わかもと製薬,2020,Q2,-20.45969096548432
わかもと製薬,2020,Q3,-1.4019813251931232
わかもと製薬,2020,Q4,-6.744541767165614
アイカ工業,2018,Q1,43.55231135955667
アイカ工業,2018,Q2,52.53911584478652
アイカ工業,2018,Q3,52.6158284910707
アイカ工業,2018,Q4,51.950332908688445
アイカ工業,2019,Q1,46.767985463897816
アイカ工業,2019,Q2,56.07515398567701
アイカ工業,2019,Q3,56.70784336871604
アイカ工業,2019,Q4,56.191150374454615
アイカ工業,2020,Q1,47.79613850295043
アイカ工業,2020,Q2,40.19407318345202
アイカ工業,2020,Q3,34.8429787052592
アイカ工業,2020,Q4,41.7494639493264
アイコム,2018,Q1,-8.23250792360108
アイコム,2018,Q2,11.86383582928319
アイコム,2018,Q3,24.15484153202275
アイコム,2018,Q4,43.97566703319599
アイコム,2019,Q1,22.038333813323803
アイコム,2019,Q2,26.604700887608224
アイコム,2019,Q3,31.394796011780375
アイコム,2019,Q4,51.214221177038915
アイコム,2020,Q1,23.60392228962053
アイコム,2020,Q2,6.444864002443104
アイコム,2020,Q3,12.631790077689374
アイコム,2020,Q4,68.13861121056345
アイシン,2018,Q1,139.64552363479555
アイシン,2018,Q2,102.70573310536446
アイシン,2018,Q3,162.22723333367793
アイシン,2018,Q4,149.20013921439894
アイシン,2019,Q1,134.22963336202284
アイシン,2019,Q2,46.355200752959455
アイシン,2019,Q3,80.76277574508495
アイシン,2019,Q4,79.1536944607874
アイシン,2020,Q1,-20.14034724580685
アイシン,2020,Q2,-217.07718184153168
アイシン,2020,Q3,16.13716109034391
アイシン,2020,Q4,-175.76797665825023
アイダエンジニアリング,2018,Q1,21.9946458175937
アイダエンジニアリング,2018,Q2,17.15874304910832
アイダエンジニアリング,2018,Q3,10.417245927875276
アイダエンジニアリング,2018,Q4,35.65494710465301
アイダエンジニアリング,2019,Q1,14.471509675079734
アイダエンジニアリング,2019,Q2,11.805605926243512
アイダエンジニアリング,2019,Q3,20.529889518570126
アイダエンジニアリング,2019,Q4,30.02942879882546
アイダエンジニアリング,2020,Q1,11.644295988704823
アイダエンジニアリング,2020,Q2,11.363420625526594
アイダエンジニアリング,2020,Q3,7.098687632107997
アイダエンジニアリング,2020,Q4,15.486713479629255
アイチコーポレーション,2018,Q1,13.297514349234886
アイチコーポレーション,2018,Q2,24.465228704003238
アイチコーポレーション,2018,Q3,16.489590932791312
アイチコーポレーション,2018,Q4,21.63280561723998
アイチコーポレーション,2019,Q1,13.175406462440705
アイチコーポレーション,2019,Q2,27.003974032375826
アイチコーポレーション,2019,Q3,22.50003064702456
アイチコーポレーション,2019,Q4,27.79161824333797
アイチコーポレーション,2020,Q1,12.285832645022287
アイチコーポレーション,2020,Q2,23.168625786936754
アイチコーポレーション,2020,Q3,19.73469748075926
アイチコーポレーション,2020,Q4,22.931099517421842
アイティフォー,2018,Q1,3.7622041758212443
アイティフォー,2018,Q2,8.411598199373305
アイティフォー,2018,Q3,6.059172302099171
アイティフォー,2018,Q4,21.1437702830569
アイティフォー,2019,Q1,4.14122560361931
アイティフォー,2019,Q2,8.8595477422315
アイティフォー,2019,Q3,8.34652922126922
アイティフォー,2019,Q4,22.369021515867264
アイティフォー,2020,Q1,5.774061442849204
アイティフォー,2020,Q2,10.999173378092701
アイティフォー,2020,Q3,8.556499988221175
アイティフォー,2020,Q4,23.833166788069594
アイティメディア,2018,Q1,1.6661687436613257
アイティメディア,2018,Q2,8.173074723204955
アイティメディア,2018,Q3,7.059374300211469
アイティメディア,2018,Q4,4.559314732922454
アイティメディア,2019,Q1,0.43614416374584053
アイティメディア,2019,Q2,9.05687710349701
アイティメディア,2019,Q3,8.322572516531208
アイティメディア,2019,Q4,12.137387444559698
アイティメディア,2020,Q1,12.65734987495702
アイティメディア,2020,Q2,13.035087787732577
アイティメディア,2020,Q3,17.89431167817898
アイティメディア,2020,Q4,16.018433103187448
アイネス,2018,Q1,-3.398811004837441
アイネス,2018,Q2,13.868573987120318
アイネス,2018,Q3,3.4185102487344765
アイネス,2018,Q4,34.925437815083626
アイネス,2019,Q1,-3.1580696039723355
アイネス,2019,Q2,18.263402153807704
アイネス,2019,Q3,11.734233311267225
アイネス,2019,Q4,30.596864581024306
アイネス,2020,Q1,24.847702433822967
アイネス,2020,Q2,-69.8219332051352
アイネス,2020,Q3,119.4090606630063
アイネス,2020,Q4,12.509218589009492
アイネット,2018,Q1,13.293191549278056
アイネット,2018,Q2,28.56728486390567
アイネット,2018,Q3,23.92076339060169
アイネット,2018,Q4,29.42209227403144
アイネット,2019,Q1,14.622890953642136
アイネット,2019,Q2,34.02127803695769
アイネット,2019,Q3,26.581444247015554
アイネット,2019,Q4,32.95793020440535
アイネット,2020,Q1,19.348898213248265
アイネット,2020,Q2,20.84686605065609
アイネット,2020,Q3,16.81647533459105
アイネット,2020,Q4,23.32145870230269
アイホン,2018,Q1,-13.315361187035148
アイホン,2018,Q2,39.20586364383547
アイホン,2018,Q3,12.6960950557616
アイホン,2018,Q4,38.99927550174436
アイホン,2019,Q1,9.12565298807489
アイホン,2019,Q2,56.773309533745234
アイホン,2019,Q3,39.387101037694805
アイホン,2019,Q4,65.21558928165537
アイホン,2020,Q1,9.585618749222693
アイホン,2020,Q2,47.216509260030016
アイホン,2020,Q3,14.828219971474436
アイホン,2020,Q4,43.86585916204752
アイロムグループ,2018,Q1,83.73791573132115
アイロムグループ,2018,Q2,-46.59023711152564
アイロムグループ,2018,Q3,29.342843079698895
アイロムグループ,2018,Q4,55.07269668282776
アイロムグループ,2019,Q1,36.48748870492365
