企業名,会計年度,四半期,y_hat_srw
あらた,2018,Q1,121.17
あらた,2018,Q2,90.92
あらた,2018,Q3,119.88
あらた,2018,Q4,69.34
あらた,2019,Q1,105.42
あらた,2019,Q2,90.44
あらた,2019,Q3,106.24
あらた,2019,Q4,99.22
あらた,2020,Q1,116.85
あらた,2020,Q2,101.76
あらた,2020,Q3,113.93
あらた,2020,Q4,79.9
いすゞ自動車,2018,Q1,41.69
いすゞ自動車,2018,Q2,25.17
いすゞ自動車,2018,Q3,39.57
いすゞ自動車,2018,Q4,27.74
いすゞ自動車,2019,Q1,48.38
いすゞ自動車,2019,Q2,24.15
いすゞ自動車,2019,Q3,50.86
いすゞ自動車,2019,Q4,26.43
いすゞ自動車,2020,Q1,37.13
いすゞ自動車,2020,Q2,16.88
いすゞ自動車,2020,Q3,37.38
いすゞ自動車,2020,Q4,18.75
いなげや,2018,Q1,4.56
いなげや,2018,Q2,8.71
いなげや,2018,Q3,16.18
いなげや,2018,Q4,-4.88
いなげや,2019,Q1,-7.67
いなげや,2019,Q2,1.87
いなげや,2019,Q3,12.29
いなげや,2019,Q4,-34.61
いなげや,2020,Q1,-7.99
いなげや,2020,Q2,2.09
いなげや,2020,Q3,9.56
いなげや,2020,Q4,11.13
かどや製油,2018,Q1,98.13
かどや製油,2018,Q2,110.88
かどや製油,2018,Q3,106.56
かどや製油,2018,Q4,54.28
かどや製油,2019,Q1,127.07
かどや製油,2019,Q2,101.03
かどや製油,2019,Q3,81.07
かどや製油,2019,Q4,11.46
かどや製油,2020,Q1,98.69
かどや製油,2020,Q2,70.47
かどや製油,2020,Q3,60.82
かどや製油,2020,Q4,47.48
きんでん,2018,Q1,9.0
きんでん,2018,Q2,24.55
きんでん,2018,Q3,31.08
きんでん,2018,Q4,71.24
きんでん,2019,Q1,8.01
きんでん,2019,Q2,27.73
きんでん,2019,Q3,31.43
きんでん,2019,Q4,65.78
きんでん,2020,Q1,15.17
きんでん,2020,Q2,31.97
きんでん,2020,Q3,40.36
きんでん,2020,Q4,62.84
さくらインターネット,2018,Q1,0.7
さくらインターネット,2018,Q2,2.1
さくらインターネット,2018,Q3,2.86
さくらインターネット,2018,Q4,3.47
さくらインターネット,2019,Q1,1.04
さくらインターネット,2019,Q2,1.84
さくらインターネット,2019,Q3,0.98
さくらインターネット,2019,Q4,-1.45
さくらインターネット,2020,Q1,4.37
さくらインターネット,2020,Q2,0.49
さくらインターネット,2020,Q3,-1.35
さくらインターネット,2020,Q4,0.88
たけびし,2018,Q1,32.99
たけびし,2018,Q2,36.57
たけびし,2018,Q3,44.8
たけびし,2018,Q4,45.07
たけびし,2019,Q1,42.78
たけびし,2019,Q2,43.45
たけびし,2019,Q3,55.45
たけびし,2019,Q4,32.96
たけびし,2020,Q1,28.51
たけびし,2020,Q2,37.9
たけびし,2020,Q3,22.81
たけびし,2020,Q4,21.65
なとり,2018,Q1,23.68
なとり,2018,Q2,6.97
なとり,2018,Q3,49.29
なとり,2018,Q4,-14.99
なとり,2019,Q1,21.3
なとり,2019,Q2,19.69
