企業名,会計年度,四半期,y_hat_uen,best_hyparam
あらた,2018,Q1,91.79410998655096,[1.e+03 1.e-01]
あらた,2018,Q2,85.37242162533559,[1.e+03 1.e-01]
あらた,2018,Q3,92.288893967482,[1.e+03 1.e-01]
あらた,2018,Q4,86.8190241453545,[1.e+03 1.e-01]
あらた,2019,Q1,96.81236931966104,[1.e+03 1.e-01]
あらた,2019,Q2,99.13906367570787,[1.e+03 1.e-01]
あらた,2019,Q3,103.92762058242155,[1.e+03 1.e-01]
あらた,2019,Q4,103.73800585003906,[1.e+03 1.e-01]
あらた,2020,Q1,100.35190633783276,[1.e+03 1.e-01]
あらた,2020,Q2,103.56701277430425,[1.e+03 1.e-01]
あらた,2020,Q3,118.23545008967004,[1.e+03 1.e-01]
あらた,2020,Q4,119.54881444516758,[1.e+03 1.e-01]
いすゞ自動車,2018,Q1,22.903220732937623,[100.   1.]
いすゞ自動車,2018,Q2,23.55593475870817,[100.   1.]
いすゞ自動車,2018,Q3,25.42547673624357,[100.   1.]
いすゞ自動車,2018,Q4,25.16496907951852,[100.   1.]
いすゞ自動車,2019,Q1,28.102748827445826,[100.   1.]
いすゞ自動車,2019,Q2,25.183781780824937,[100.   1.]
いすゞ自動車,2019,Q3,26.56750176854285,[100.   1.]
いすゞ自動車,2019,Q4,26.001387386576702,[100.   1.]
いすゞ自動車,2020,Q1,26.629517128435964,[100.   1.]
いすゞ自動車,2020,Q2,25.7611200727756,[100.   1.]
いすゞ自動車,2020,Q3,25.653342294997817,[100.   1.]
いすゞ自動車,2020,Q4,26.54639785055337,[100.   1.]
いなげや,2018,Q1,6.295478426406882,[100.    0.5]
いなげや,2018,Q2,6.536424388461127,[100.    0.5]
いなげや,2018,Q3,6.917674611431082,[100.    0.5]
いなげや,2018,Q4,5.139676692414238,[100.    0.5]
いなげや,2019,Q1,2.7677052388807994,[100.    0.5]
いなげや,2019,Q2,4.866413117364598,[100.    0.5]
いなげや,2019,Q3,6.034514489913152,[100.    0.5]
いなげや,2019,Q4,0.2371226477912777,[100.    0.5]
いなげや,2020,Q1,4.133289792303131,[100.    0.5]
いなげや,2020,Q2,6.317777777777777,[100.    0.5]
いなげや,2020,Q3,6.699722222222222,[100.    0.5]
いなげや,2020,Q4,7.260277777777777,[100.    0.5]
かどや製油,2018,Q1,46.51611111111112,[1.e+03 7.e-01]
かどや製油,2018,Q2,48.641666666666666,[1.e+03 7.e-01]
かどや製油,2018,Q3,50.115,[1.e+03 7.e-01]
かどや製油,2018,Q4,51.032777777777774,[1.e+03 7.e-01]
かどや製油,2019,Q1,50.8736111111111,[1.e+03 7.e-01]
かどや製油,2019,Q2,52.30027777777778,[1.e+03 7.e-01]
かどや製油,2019,Q3,53.01722222222222,[1.e+03 7.e-01]
かどや製油,2019,Q4,53.31166666666667,[1.e+03 7.e-01]
かどや製油,2020,Q1,54.083333333333336,[1.e+03 7.e-01]
かどや製油,2020,Q2,54.83055555555555,[1.e+03 7.e-01]
かどや製油,2020,Q3,55.49,[1.e+03 7.e-01]
かどや製油,2020,Q4,56.2575,[1.e+03 7.e-01]
きんでん,2018,Q1,11.038522060393737,[1.  0.6]
きんでん,2018,Q2,26.77443866752953,[1.  0.6]
きんでん,2018,Q3,34.59247348644246,[1.  0.6]
きんでん,2018,Q4,78.18561652014853,[1.  0.6]
きんでん,2019,Q1,10.073339079827122,[1.  0.6]
きんでん,2019,Q2,29.91940909367212,[1.  0.6]
きんでん,2019,Q3,33.434248495370014,[1.  0.6]
きんでん,2019,Q4,69.74797363746778,[1.  0.6]
きんでん,2020,Q1,17.944051282301047,[1.  0.6]
きんでん,2020,Q2,34.67832845055008,[1.  0.6]
きんでん,2020,Q3,42.93011053606599,[1.  0.6]
きんでん,2020,Q4,64.53644182603726,[1.  0.6]
さくらインターネット,2018,Q1,185.9350580666525,[1000.    1.]
さくらインターネット,2018,Q2,167.37358018586968,[1000.    1.]
さくらインターネット,2018,Q3,213.47333814120523,[1000.    1.]
さくらインターネット,2018,Q4,109.7549409961748,[1000.    1.]
さくらインターネット,2019,Q1,2.307516262368216,[1000.    1.]
さくらインターネット,2019,Q2,24.650238800214744,[1000.    1.]
さくらインターネット,2019,Q3,9.422577124054603,[1000.    1.]
さくらインターネット,2019,Q4,3.0127945210251488,[1000.    1.]
さくらインターネット,2020,Q1,31.654253086495316,[1000.    1.]
さくらインターネット,2020,Q2,12.114661543907715,[1000.    1.]
さくらインターネット,2020,Q3,6.443946040379893,[1000.    1.]
さくらインターネット,2020,Q4,6.417990548393581,[1000.    1.]
