企業名,会計年度,四半期,y_hat_ul1_i_tuned_fine,best_hyparam
あらた,2018,Q1,98.31287070018368,[211.35419038]
あらた,2018,Q2,76.29388918542394,[211.35419038]
あらた,2018,Q3,99.60661627370865,[211.35419038]
あらた,2018,Q4,88.69428894329035,[211.35419038]
あらた,2019,Q1,101.6381369530005,[211.35419038]
あらた,2019,Q2,100.85123223723672,[211.35419038]
あらた,2019,Q3,110.01180488531801,[211.35419038]
あらた,2019,Q4,103.45209429084173,[211.35419038]
あらた,2020,Q1,104.34975581789624,[211.35419038]
あらた,2020,Q2,94.03377765869172,[211.35419038]
あらた,2020,Q3,132.33595000847507,[211.35419038]
あらた,2020,Q4,118.82634596987779,[211.35419038]
いすゞ自動車,2018,Q1,23.324187826106815,[94.20323713]
いすゞ自動車,2018,Q2,23.810510725561812,[94.20323713]
いすゞ自動車,2018,Q3,25.95789399144047,[94.20323713]
いすゞ自動車,2018,Q4,25.38832356383783,[94.20323713]
いすゞ自動車,2019,Q1,29.002928922141464,[94.20323713]
いすゞ自動車,2019,Q2,25.265402140534675,[94.20323713]
いすゞ自動車,2019,Q3,27.49497984871352,[94.20323713]
いすゞ自動車,2019,Q4,26.094090958585618,[94.20323713]
いすゞ自動車,2020,Q1,27.084668551623952,[94.20323713]
いすゞ自動車,2020,Q2,25.761120072775597,[94.20323713]
いすゞ自動車,2020,Q3,25.653342294997817,[94.20323713]
いすゞ自動車,2020,Q4,26.546397850553372,[94.20323713]
いなげや,2018,Q1,6.232857979589964,[51.38744795]
いなげや,2018,Q2,6.5729116777895555,[51.38744795]
いなげや,2018,Q3,7.115751934266729,[51.38744795]
いなげや,2018,Q4,4.874026282276441,[51.38744795]
いなげや,2019,Q1,2.0317747301457576,[51.38744795]
いなげや,2019,Q2,4.679389160692261,[51.38744795]
いなげや,2019,Q3,6.285033542264039,[51.38744795]
いなげや,2019,Q4,-1.238924029413952,[51.38744795]
いなげや,2020,Q1,4.012789649324894,[51.38744795]
いなげや,2020,Q2,6.317777777777777,[51.38744795]
いなげや,2020,Q3,6.699722222222222,[51.38744795]
いなげや,2020,Q4,7.260277777777777,[51.38744795]
かどや製油,2018,Q1,46.516111111111115,[710.27808734]
かどや製油,2018,Q2,48.641666666666666,[710.27808734]
かどや製油,2018,Q3,50.114999999999995,[710.27808734]
かどや製油,2018,Q4,51.032777777777774,[710.27808734]
かどや製油,2019,Q1,50.8736111111111,[710.27808734]
かどや製油,2019,Q2,52.30027777777778,[710.27808734]
かどや製油,2019,Q3,53.01722222222222,[710.27808734]
かどや製油,2019,Q4,53.31166666666667,[710.27808734]
かどや製油,2020,Q1,54.083333333333336,[710.27808734]
かどや製油,2020,Q2,54.83055555555555,[710.27808734]
かどや製油,2020,Q3,55.489999999999995,[710.27808734]
かどや製油,2020,Q4,56.2575,[710.27808734]
きんでん,2018,Q1,11.01856714178738,[0.40289032]
きんでん,2018,Q2,26.677619548496846,[0.40289032]
きんでん,2018,Q3,34.61272519043587,[0.40289032]
きんでん,2018,Q4,78.42941760551729,[0.40289032]
きんでん,2019,Q1,10.016862981196592,[0.40289032]
きんでん,2019,Q2,29.92038703640555,[0.40289032]
きんでん,2019,Q3,33.419269911787666,[0.40289032]
きんでん,2019,Q4,69.86898429579804,[0.40289032]
きんでん,2020,Q1,17.94105736764182,[0.40289032]
きんでん,2020,Q2,34.683846674770066,[0.40289032]
きんでん,2020,Q3,42.975750366076205,[0.40289032]
きんでん,2020,Q4,64.5885991251709,[0.40289032]
さくらインターネット,2018,Q1,183.3920221876257,[22026.46579481]
さくらインターネット,2018,Q2,165.40001585095368,[22026.46579481]
さくらインターネット,2018,Q3,211.16197593371228,[22026.46579481]
さくらインターネット,2018,Q4,109.18097142291612,[22026.46579481]
さくらインターネット,2019,Q1,3.8437017463766736,[22026.46579481]
さくらインターネット,2019,Q2,24.558923458140196,[22026.46579481]
さくらインターネット,2019,Q3,5.188743892458042,[22026.46579481]
さくらインターネット,2019,Q4,1.5846764707604897,[22026.46579481]
さくらインターネット,2020,Q1,23.63635548639314,[22026.46579481]
さくらインターネット,2020,Q2,3.200230428710486,[22026.46579481]
さくらインターネット,2020,Q3,6.909722222222222,[22026.46579481]
さくらインターネット,2020,Q4,6.859444444444445,[22026.46579481]
たけびし,2018,Q1,30.557365281835942,[51.38744795]
たけびし,2018,Q2,31.09180713382846,[51.38744795]
たけびし,2018,Q3,31.900290460393116,[51.38744795]
たけびし,2018,Q4,34.86137143409067,[51.38744795]
たけびし,2019,Q1,39.92492613453415,[51.38744795]
たけびし,2019,Q2,28.956403043401004,[51.38744795]
たけびし,2019,Q3,29.396803696334906,[51.38744795]
たけびし,2019,Q4,31.06977817282439,[51.38744795]
たけびし,2020,Q1,25.773114174991452,[51.38744795]
たけびし,2020,Q2,25.677552163725593,[51.38744795]
たけびし,2020,Q3,27.19279656997438,[51.38744795]
たけびし,2020,Q4,26.451376000630695,[51.38744795]
なとり,2018,Q1,23.091347340627966,[141.10368144]
なとり,2018,Q2,10.855966508045263,[141.10368144]
なとり,2018,Q3,41.47187889052088,[141.10368144]
なとり,2018,Q4,-5.578651773566236,[141.10368144]
なとり,2019,Q1,21.650488564831967,[141.10368144]
なとり,2019,Q2,19.983392448163315,[141.10368144]
なとり,2019,Q3,54.18692512193512,[141.10368144]
なとり,2019,Q4,-10.634912548481868,[141.10368144]
なとり,2020,Q1,16.118850290560694,[141.10368144]
なとり,2020,Q2,23.059292811332025,[141.10368144]
なとり,2020,Q3,50.877372521860394,[141.10368144]
なとり,2020,Q4,0.7873614666297017,[141.10368144]
はせがわ,2018,Q1,3.9412182840573013,[141.10368144]
はせがわ,2018,Q2,13.880622131159218,[141.10368144]
はせがわ,2018,Q3,6.713677605003536,[141.10368144]
はせがわ,2018,Q4,9.505936044492161,[141.10368144]
はせがわ,2019,Q1,3.9838450337227567,[141.10368144]
はせがわ,2019,Q2,12.581023923934836,[141.10368144]
はせがわ,2019,Q3,3.8051428354454027,[141.10368144]
はせがわ,2019,Q4,2.5284431839242223,[141.10368144]
はせがわ,2020,Q1,-6.26855034080312,[141.10368144]
はせがわ,2020,Q2,11.559380982146916,[141.10368144]
はせがわ,2020,Q3,-8.38797237681016,[141.10368144]
はせがわ,2020,Q4,-10.725093326389297,[141.10368144]
はるやまホールディングス,2018,Q1,9.658064737488683,[258.67063052]
はるやまホールディングス,2018,Q2,-4.4525716690272645,[258.67063052]
はるやまホールディングス,2018,Q3,31.825785507261024,[258.67063052]
はるやまホールディングス,2018,Q4,49.82556637261779,[258.67063052]
はるやまホールディングス,2019,Q1,-4.280924887905735,[258.67063052]
はるやまホールディングス,2019,Q2,-17.229332558354496,[258.67063052]
はるやまホールディングス,2019,Q3,20.091059077138343,[258.67063052]
はるやまホールディングス,2019,Q4,27.87853194486466,[258.67063052]
はるやまホールディングス,2020,Q1,2.2241522225644275,[258.67063052]
はるやまホールディングス,2020,Q2,-20.386884371565483,[258.67063052]
はるやまホールディングス,2020,Q3,27.84612025523698,[258.67063052]
はるやまホールディングス,2020,Q4,39.88464173050833,[258.67063052]
ぴあ,2018,Q1,11.464400711064954,[141.10368144]
ぴあ,2018,Q2,13.269315238905119,[141.10368144]
ぴあ,2018,Q3,11.225932255121373,[141.10368144]
ぴあ,2018,Q4,11.867407149262137,[141.10368144]
ぴあ,2019,Q1,13.31097317908735,[141.10368144]
ぴあ,2019,Q2,12.519172047528544,[141.10368144]
ぴあ,2019,Q3,12.834999999999999,[141.10368144]
ぴあ,2019,Q4,13.356666666666664,[141.10368144]
ぴあ,2020,Q1,12.421944444444442,[141.10368144]
ぴあ,2020,Q2,-60.7538326101443,[141.10368144]
ぴあ,2020,Q3,-58.73537852952796,[141.10368144]
ぴあ,2020,Q4,-27.503842238763315,[141.10368144]
やまや,2018,Q1,46.278930170930636,[1063.90030765]
やまや,2018,Q2,47.904207948708425,[1063.90030765]
やまや,2018,Q3,49.02781905981953,[1063.90030765]
やまや,2018,Q4,51.75087461537508,[1063.90030765]
やまや,2019,Q1,52.61476350426397,[1063.90030765]
やまや,2019,Q2,53.25754128204175,[1063.90030765]
やまや,2019,Q3,53.81365239315286,[1063.90030765]
やまや,2019,Q4,54.19504128204174,[1063.90030765]
やまや,2020,Q1,50.864485726486194,[1063.90030765]
やまや,2020,Q2,48.80837461537508,[1063.90030765]
やまや,2020,Q3,47.361152393152864,[1063.90030765]
やまや,2020,Q4,-56.783484447282476,[1063.90030765]
りらいあコミュニケーションズ,2018,Q1,19.275339210742114,[115.29277325]
りらいあコミュニケーションズ,2018,Q2,18.871728099631007,[115.29277325]
りらいあコミュニケーションズ,2018,Q3,18.319783655186562,[115.29277325]
りらいあコミュニケーションズ,2018,Q4,17.515894766297674,[115.29277325]
りらいあコミュニケーションズ,2019,Q1,12.504228099631005,[115.29277325]
りらいあコミュニケーションズ,2019,Q2,12.33617254407545,[115.29277325]
りらいあコミュニケーションズ,2019,Q3,12.095616988519895,[115.29277325]
りらいあコミュニケーションズ,2019,Q4,12.367283655186561,[115.29277325]
りらいあコミュニケーションズ,2020,Q1,12.664228099631005,[115.29277325]
りらいあコミュニケーションズ,2020,Q2,12.314783655186561,[115.29277325]
りらいあコミュニケーションズ,2020,Q3,12.19361111111111,[115.29277325]
りらいあコミュニケーションズ,2020,Q4,12.34222222222222,[115.29277325]
わかもと製薬,2018,Q1,0.5997222222222222,[12.49404993]
わかもと製薬,2018,Q2,0.7313888888888889,[12.49404993]
わかもと製薬,2018,Q3,0.5477777777777777,[12.49404993]
わかもと製薬,2018,Q4,0.6452777777777778,[12.49404993]
わかもと製薬,2019,Q1,0.41527777777777775,[12.49404993]
わかもと製薬,2019,Q2,0.2905555555555555,[12.49404993]
わかもと製薬,2019,Q3,-0.6316103333689342,[12.49404993]
わかもと製薬,2019,Q4,-0.49249999999999994,[12.49404993]
わかもと製薬,2020,Q1,-0.49614127769847566,[12.49404993]
わかもと製薬,2020,Q2,-0.5603774319865367,[12.49404993]
わかもと製薬,2020,Q3,-0.3129755006703663,[12.49404993]
わかもと製薬,2020,Q4,-1.4925506473434513,[12.49404993]
アイカ工業,2018,Q1,35.91772720725649,[51.38744795]
アイカ工業,2018,Q2,41.41554232391249,[51.38744795]
アイカ工業,2018,Q3,42.125309091310044,[51.38744795]
アイカ工業,2018,Q4,41.270681866394646,[51.38744795]
アイカ工業,2019,Q1,39.707329359967865,[51.38744795]
アイカ工業,2019,Q2,43.976779784164,[51.38744795]
アイカ工業,2019,Q3,45.64751425144184,[51.38744795]
アイカ工業,2019,Q4,49.07640946415204,[51.38744795]
アイカ工業,2020,Q1,41.34484072880964,[51.38744795]
アイカ工業,2020,Q2,44.67480832693737,[51.38744795]
アイカ工業,2020,Q3,41.86547308349866,[51.38744795]
アイカ工業,2020,Q4,40.38486871992118,[51.38744795]
アイコム,2018,Q1,4.9370258321173175,[18.71439342]
アイコム,2018,Q2,8.230756549232105,[18.71439342]
アイコム,2018,Q3,13.691560633046846,[18.71439342]
アイコム,2018,Q4,34.389382436308196,[18.71439342]
アイコム,2019,Q1,22.212205990801586,[18.71439342]
アイコム,2019,Q2,15.525465250764581,[18.71439342]
アイコム,2019,Q3,23.772925168287756,[18.71439342]
アイコム,2019,Q4,63.129428396819975,[18.71439342]
アイコム,2020,Q1,22.271036076960016,[18.71439342]
アイコム,2020,Q2,17.881108450584186,[18.71439342]
アイコム,2020,Q3,21.997676173460384,[18.71439342]
アイコム,2020,Q4,73.40824822401808,[18.71439342]
アイシン,2018,Q1,76.29418916743587,[1950.33723135]
アイシン,2018,Q2,81.86530027854695,[1950.33723135]
アイシン,2018,Q3,86.3797447229914,[1950.33723135]
アイシン,2018,Q4,85.84780027854697,[1950.33723135]
アイシン,2019,Q1,86.00641138965808,[1950.33723135]
アイシン,2019,Q2,85.67418916743587,[1950.33723135]
アイシン,2019,Q3,84.75224472299142,[1950.33723135]
アイシン,2019,Q4,84.45113361188032,[1950.33723135]
アイシン,2020,Q1,81.612800278547,[1950.33723135]
アイシン,2020,Q2,76.48863361188033,[1950.33723135]
アイシン,2020,Q3,78.41446694521365,[1950.33723135]
アイシン,2020,Q4,83.26391138965809,[1950.33723135]
アイダエンジニアリング,2018,Q1,15.617954068002625,[1.65706921]
アイダエンジニアリング,2018,Q2,25.827646234899827,[1.65706921]
アイダエンジニアリング,2018,Q3,16.522635339610883,[1.65706921]
アイダエンジニアリング,2018,Q4,10.72873462745883,[1.65706921]
アイダエンジニアリング,2019,Q1,18.53145256275708,[1.65706921]
アイダエンジニアリング,2019,Q2,19.13415728482199,[1.65706921]
アイダエンジニアリング,2019,Q3,20.573128616087804,[1.65706921]
