企業名,会計年度,四半期,y_hat_umlp
あらた,2018,Q1,113.819885
あらた,2018,Q2,35.870438
あらた,2018,Q3,111.68224
あらた,2018,Q4,82.33586
あらた,2019,Q1,101.69258
あらた,2019,Q2,96.70746
あらた,2019,Q3,98.6946
あらた,2019,Q4,88.987595
あらた,2020,Q1,104.469604
あらた,2020,Q2,69.35464
あらた,2020,Q3,100.66035
あらた,2020,Q4,68.77553
いすゞ自動車,2018,Q1,27.678352
いすゞ自動車,2018,Q2,23.803938
いすゞ自動車,2018,Q3,37.46358
いすゞ自動車,2018,Q4,21.714083
いすゞ自動車,2019,Q1,41.553497
いすゞ自動車,2019,Q2,25.741161
いすゞ自動車,2019,Q3,22.209394
いすゞ自動車,2019,Q4,41.13702
いすゞ自動車,2020,Q1,44.043896
いすゞ自動車,2020,Q2,23.645597
いすゞ自動車,2020,Q3,30.549887
いすゞ自動車,2020,Q4,30.46677
いなげや,2018,Q1,5.7596264
いなげや,2018,Q2,3.5248027
いなげや,2018,Q3,20.135675
いなげや,2018,Q4,3.8846643
いなげや,2019,Q1,-2.2638805
いなげや,2019,Q2,5.8821597
いなげや,2019,Q3,-0.015045989
いなげや,2019,Q4,-25.520811
いなげや,2020,Q1,-18.470493
いなげや,2020,Q2,0.13789248
いなげや,2020,Q3,1.5376308
いなげや,2020,Q4,4.9698515
かどや製油,2018,Q1,54.569115
かどや製油,2018,Q2,53.564877
かどや製油,2018,Q3,44.309914
かどや製油,2018,Q4,55.69775
かどや製油,2019,Q1,69.47355
かどや製油,2019,Q2,70.52048
かどや製油,2019,Q3,64.311386
かどや製油,2019,Q4,68.83101
かどや製油,2020,Q1,50.10583
かどや製油,2020,Q2,75.61615
かどや製油,2020,Q3,58.44309
かどや製油,2020,Q4,83.49901
きんでん,2018,Q1,10.224725
きんでん,2018,Q2,25.218546
きんでん,2018,Q3,32.217552
きんでん,2018,Q4,64.98493
きんでん,2019,Q1,9.123726
きんでん,2019,Q2,24.367622
きんでん,2019,Q3,29.937677
きんでん,2019,Q4,53.973434
きんでん,2020,Q1,9.56703
きんでん,2020,Q2,26.815691
きんでん,2020,Q3,16.020897
きんでん,2020,Q4,47.477837
さくらインターネット,2018,Q1,34.618065
さくらインターネット,2018,Q2,16.278727
さくらインターネット,2018,Q3,-0.20953894
さくらインターネット,2018,Q4,2.642148
さくらインターネット,2019,Q1,4.373561
さくらインターネット,2019,Q2,12.922678
さくらインターネット,2019,Q3,20.30433
さくらインターネット,2019,Q4,3.7704325
さくらインターネット,2020,Q1,0.13055098
さくらインターネット,2020,Q2,7.506463
さくらインターネット,2020,Q3,3.0615392
さくらインターネット,2020,Q4,4.600206
たけびし,2018,Q1,38.816895
たけびし,2018,Q2,39.342865
たけびし,2018,Q3,34.27122
たけびし,2018,Q4,38.784977
たけびし,2019,Q1,27.639553
たけびし,2019,Q2,25.063963
たけびし,2019,Q3,26.837877
たけびし,2019,Q4,25.05944
