企業名,会計年度,四半期,y_hat_umlp
あらた,2018,Q1,111.25781
あらた,2018,Q2,84.75139
あらた,2018,Q3,114.48496
あらた,2018,Q4,79.35591
あらた,2019,Q1,113.64266
あらた,2019,Q2,109.27501
あらた,2019,Q3,116.77111
あらた,2019,Q4,105.3019
あらた,2020,Q1,104.1351
あらた,2020,Q2,90.54026
あらた,2020,Q3,126.74487
あらた,2020,Q4,72.78643
いすゞ自動車,2018,Q1,25.910357
いすゞ自動車,2018,Q2,26.813747
いすゞ自動車,2018,Q3,40.185104
いすゞ自動車,2018,Q4,22.757215
いすゞ自動車,2019,Q1,39.468372
いすゞ自動車,2019,Q2,26.321236
いすゞ自動車,2019,Q3,23.827162
いすゞ自動車,2019,Q4,27.473133
いすゞ自動車,2020,Q1,28.903553
いすゞ自動車,2020,Q2,26.086172
いすゞ自動車,2020,Q3,25.316912
いすゞ自動車,2020,Q4,15.648832
いなげや,2018,Q1,4.690439
いなげや,2018,Q2,1.9439318
いなげや,2018,Q3,21.344662
いなげや,2018,Q4,6.740109
いなげや,2019,Q1,2.63288
いなげや,2019,Q2,9.870766
いなげや,2019,Q3,20.823063
いなげや,2019,Q4,-9.037592
いなげや,2020,Q1,-12.596479
いなげや,2020,Q2,-18.516766
いなげや,2020,Q3,-4.277463
いなげや,2020,Q4,15.334435
かどや製油,2018,Q1,82.07288
かどや製油,2018,Q2,31.318403
かどや製油,2018,Q3,36.217644
かどや製油,2018,Q4,30.8813
かどや製油,2019,Q1,54.418915
かどや製油,2019,Q2,39.402786
かどや製油,2019,Q3,63.34582
かどや製油,2019,Q4,16.514547
かどや製油,2020,Q1,35.583054
かどや製油,2020,Q2,83.5858
かどや製油,2020,Q3,67.158165
かどや製油,2020,Q4,84.572586
きんでん,2018,Q1,1.7601163
きんでん,2018,Q2,23.628395
きんでん,2018,Q3,31.02752
きんでん,2018,Q4,66.28329
きんでん,2019,Q1,7.891784
きんでん,2019,Q2,21.157904
きんでん,2019,Q3,27.216137
きんでん,2019,Q4,56.438454
きんでん,2020,Q1,3.797912
きんでん,2020,Q2,22.04429
きんでん,2020,Q3,31.357254
きんでん,2020,Q4,55.324833
さくらインターネット,2018,Q1,26.20627
さくらインターネット,2018,Q2,37.55805
さくらインターネット,2018,Q3,-12.048515
さくらインターネット,2018,Q4,10.1193285
さくらインターネット,2019,Q1,289.1957
さくらインターネット,2019,Q2,438.87582
さくらインターネット,2019,Q3,104.29211
さくらインターネット,2019,Q4,246.7453
さくらインターネット,2020,Q1,-97.63931
さくらインターネット,2020,Q2,18.755735
さくらインターネット,2020,Q3,185.17142
さくらインターネット,2020,Q4,17.244972
たけびし,2018,Q1,44.130707
たけびし,2018,Q2,54.752747
たけびし,2018,Q3,44.71391
たけびし,2018,Q4,53.745987
たけびし,2019,Q1,26.17532
たけびし,2019,Q2,34.031372
たけびし,2019,Q3,34.825356
たけびし,2019,Q4,23.149773
たけびし,2020,Q1,31.334827
たけびし,2020,Q2,24.623266
たけびし,2020,Q3,24.609495
たけびし,2020,Q4,33.417255
なとり,2018,Q1,19.83075
なとり,2018,Q2,15.583018
なとり,2018,Q3,63.422535
なとり,2018,Q4,-18.392067
なとり,2019,Q1,24.174587
なとり,2019,Q2,24.542347
なとり,2019,Q3,59.160587
なとり,2019,Q4,-34.019108
なとり,2020,Q1,28.603844
なとり,2020,Q2,14.75265
なとり,2020,Q3,61.021935
なとり,2020,Q4,-16.674925
はせがわ,2018,Q1,-6.5100355
はせがわ,2018,Q2,30.152443
はせがわ,2018,Q3,6.171329
はせがわ,2018,Q4,17.894829
はせがわ,2019,Q1,-1.0358157
はせがわ,2019,Q2,-1.1967041
はせがわ,2019,Q3,-9.405562
はせがわ,2019,Q4,4.1358533
はせがわ,2020,Q1,-34.335457
はせがわ,2020,Q2,-10.863275
はせがわ,2020,Q3,-28.988966
はせがわ,2020,Q4,-12.747436
はるやまホールディングス,2018,Q1,-6.7494817
はるやまホールディングス,2018,Q2,-12.518611
はるやまホールディングス,2018,Q3,14.562978
はるやまホールディングス,2018,Q4,71.20795
はるやまホールディングス,2019,Q1,-6.1486936
はるやまホールディングス,2019,Q2,-24.303528
はるやまホールディングス,2019,Q3,14.949136
はるやまホールディングス,2019,Q4,39.767418
はるやまホールディングス,2020,Q1,-10.402549
はるやまホールディングス,2020,Q2,-37.353874
はるやまホールディングス,2020,Q3,30.61545
はるやまホールディングス,2020,Q4,-27.00348
ぴあ,2018,Q1,11.843397
ぴあ,2018,Q2,32.99359
ぴあ,2018,Q3,1.2064495
ぴあ,2018,Q4,11.8664255
