企業名,会計年度,四半期,y_hat_umlp_sklearn_default,best_hyparam
あらた,2018,Q1,12.371581420629692,"[(16,), 0.0001]"
あらた,2018,Q2,11.207963075926923,"[(16,), 0.0001]"
あらた,2018,Q3,8.772117403230407,"[(16,), 0.0001]"
あらた,2018,Q4,6.92719459303411,"[(16,), 0.0001]"
あらた,2019,Q1,12.39909729084928,"[(16,), 0.0001]"
あらた,2019,Q2,11.750328659216223,"[(16,), 0.0001]"
あらた,2019,Q3,12.014460719413124,"[(16,), 0.0001]"
あらた,2019,Q4,10.570046429039813,"[(16,), 0.0001]"
あらた,2020,Q1,8.176601150643735,"[(16,), 0.0001]"
あらた,2020,Q2,12.626635410434687,"[(16,), 0.0001]"
あらた,2020,Q3,10.136677960771062,"[(16,), 0.0001]"
あらた,2020,Q4,12.589530758312524,"[(16,), 0.0001]"
いすゞ自動車,2018,Q1,11.636182110287528,"[(16,), 1e-05]"
いすゞ自動車,2018,Q2,10.74054374222004,"[(16,), 1e-05]"
いすゞ自動車,2018,Q3,11.934962084646957,"[(16,), 1e-05]"
いすゞ自動車,2018,Q4,13.298883497577513,"[(16,), 1e-05]"
いすゞ自動車,2019,Q1,11.35618546470872,"[(16,), 1e-05]"
いすゞ自動車,2019,Q2,10.505747214274146,"[(16,), 1e-05]"
いすゞ自動車,2019,Q3,10.41798072694134,"[(16,), 1e-05]"
いすゞ自動車,2019,Q4,10.350304719739368,"[(16,), 1e-05]"
いすゞ自動車,2020,Q1,10.460676016019928,"[(16,), 1e-05]"
いすゞ自動車,2020,Q2,10.364479003361785,"[(16,), 1e-05]"
いすゞ自動車,2020,Q3,9.547305724086296,"[(16,), 1e-05]"
いすゞ自動車,2020,Q4,8.9858877006656,"[(16,), 1e-05]"
いなげや,2018,Q1,2.817063669082338,"[(4,), 1e-05]"
いなげや,2018,Q2,0.39064647891221543,"[(4,), 1e-05]"
いなげや,2018,Q3,-0.6302832181419551,"[(4,), 1e-05]"
いなげや,2018,Q4,2.600240185706923,"[(4,), 1e-05]"
いなげや,2019,Q1,0.3406917222615726,"[(4,), 1e-05]"
いなげや,2019,Q2,1.0785125318643667,"[(4,), 1e-05]"
いなげや,2019,Q3,-0.5729551410184478,"[(4,), 1e-05]"
いなげや,2019,Q4,1.3774771383479538,"[(4,), 1e-05]"
いなげや,2020,Q1,2.0120635270902363,"[(4,), 1e-05]"
いなげや,2020,Q2,0.4673359526148351,"[(4,), 1e-05]"
