企業名,会計年度,四半期,y_hat_umlp
あらた,2018,Q1,113.819885
あらた,2018,Q2,35.870438
あらた,2018,Q3,111.68224
あらた,2018,Q4,82.33586
あらた,2019,Q1,101.69258
あらた,2019,Q2,96.70746
あらた,2019,Q3,98.6946
あらた,2019,Q4,88.987595
あらた,2020,Q1,104.469604
あらた,2020,Q2,69.35464
あらた,2020,Q3,100.66035
あらた,2020,Q4,68.77553
いすゞ自動車,2018,Q1,27.678352
いすゞ自動車,2018,Q2,23.803938
いすゞ自動車,2018,Q3,37.46358
いすゞ自動車,2018,Q4,21.714083
いすゞ自動車,2019,Q1,41.553497
いすゞ自動車,2019,Q2,25.741161
いすゞ自動車,2019,Q3,22.209394
いすゞ自動車,2019,Q4,41.13702
いすゞ自動車,2020,Q1,44.043896
いすゞ自動車,2020,Q2,23.645597
いすゞ自動車,2020,Q3,30.549887
いすゞ自動車,2020,Q4,30.46677
