企業名,会計年度,四半期,y_hat_uraf,best_hyparam
あらた,2018,Q1,114.03424999999952,[1000 100]
あらた,2018,Q2,98.78570999999887,[1000 100]
あらた,2018,Q3,110.82407999999948,[1000 100]
あらた,2018,Q4,82.64588999999863,[1000 100]
あらた,2019,Q1,110.09017000000016,[1000 100]
あらた,2019,Q2,110.27387000000023,[1000 100]
あらた,2019,Q3,112.09244000000065,[1000 100]
あらた,2019,Q4,110.86406999999922,[1000 100]
あらた,2020,Q1,106.06246512270913,[1000 100]
あらた,2020,Q2,94.35783999999956,[1000 100]
あらた,2020,Q3,112.36710999999971,[1000 100]
あらた,2020,Q4,103.0089699999992,[1000 100]
いすゞ自動車,2018,Q1,35.138701290479666,[500 10]
いすゞ自動車,2018,Q2,26.26870064523983,[500 10]
いすゞ自動車,2018,Q3,33.228881935719464,[500 10]
いすゞ自動車,2018,Q4,27.49538064523973,[500 10]
いすゞ自動車,2019,Q1,42.959661290479744,[500 10]
いすゞ自動車,2019,Q2,30.43904,[500 10]
いすゞ自動車,2019,Q3,29.288031614317113,[500 10]
いすゞ自動車,2019,Q4,23.386781033357746,[500 10]
いすゞ自動車,2020,Q1,35.623441290479605,[500 10]
いすゞ自動車,2020,Q2,20.10924678719399,[500 10]
いすゞ自動車,2020,Q3,17.291915488191414,[500 10]
いすゞ自動車,2020,Q4,32.69984000000013,[500 10]
いなげや,2018,Q1,-4.018442500000056,[2000 10]
いなげや,2018,Q2,5.0334099999999555,[2000 10]
いなげや,2018,Q3,17.308740000000068,[2000 10]
いなげや,2018,Q4,2.9238099999999707,[2000 10]
いなげや,2019,Q1,-3.3402900000000275,[2000 10]
いなげや,2019,Q2,0.3001549999999993,[2000 10]
いなげや,2019,Q3,16.336900000000224,[2000 10]
いなげや,2019,Q4,-12.787949999999972,[2000 10]
いなげや,2020,Q1,-5.441065000000068,[2000 10]
いなげや,2020,Q2,0.4828250000000035,[2000 10]
いなげや,2020,Q3,8.628634999999969,[2000 10]
いなげや,2020,Q4,27.60484999999981,[2000 10]
かどや製油,2018,Q1,47.773699999999984,[100 100]
かどや製油,2018,Q2,78.1685,[100 100]
かどや製油,2018,Q3,74.3449,[100 100]
かどや製油,2018,Q4,103.40879999999994,[100 100]
かどや製油,2019,Q1,77.77589999999995,[100 100]
かどや製油,2019,Q2,89.3449,[100 100]
かどや製油,2019,Q3,89.05980000000002,[100 100]
かどや製油,2019,Q4,51.52909999999997,[100 100]
かどや製油,2020,Q1,81.29589999999997,[100 100]
かどや製油,2020,Q2,74.01019999999998,[100 100]
かどや製油,2020,Q3,73.52510000000002,[100 100]
かどや製油,2020,Q4,48.9623,[100 100]
きんでん,2018,Q1,8.208284999999929,[2000 100]
きんでん,2018,Q2,25.138000000000364,[2000 100]
きんでん,2018,Q3,31.12554,[2000 100]
きんでん,2018,Q4,62.39378500000184,[2000 100]
きんでん,2019,Q1,9.142089999999994,[2000 100]
きんでん,2019,Q2,26.42227500000071,[2000 100]
きんでん,2019,Q3,31.835240000000443,[2000 100]
きんでん,2019,Q4,63.7304100000004,[2000 100]
きんでん,2020,Q1,17.85583499999983,[2000 100]
きんでん,2020,Q2,42.7966250000005,[2000 100]
きんでん,2020,Q3,48.805930000000274,[2000 100]
きんでん,2020,Q4,63.4320199999986,[2000 100]
さくらインターネット,2018,Q1,3.305989999999989,[2000 100]
さくらインターネット,2018,Q2,2.4052699999999665,[2000 100]
さくらインターネット,2018,Q3,2.900569999999977,[2000 100]
さくらインターネット,2018,Q4,2.5806899999999895,[2000 100]
さくらインターネット,2019,Q1,0.4701399999999986,[2000 100]
さくらインターネット,2019,Q2,2.4985699999999933,[2000 100]
さくらインターネット,2019,Q3,1.6922399999999864,[2000 100]
さくらインターネット,2019,Q4,2.021814999999989,[2000 100]
さくらインターネット,2020,Q1,0.5823299999999967,[2000 100]
さくらインターネット,2020,Q2,1.0639000000000072,[2000 100]
さくらインターネット,2020,Q3,2.9949049999999517,[2000 100]
さくらインターネット,2020,Q4,3.5333249999999508,[2000 100]
たけびし,2018,Q1,43.256300000000046,[100 10]
たけびし,2018,Q2,43.517800000000065,[100 10]
たけびし,2018,Q3,43.30330000000001,[100 10]
たけびし,2018,Q4,47.313999999999965,[100 10]
たけびし,2019,Q1,41.6885,[100 10]
たけびし,2019,Q2,37.5658,[100 10]
たけびし,2019,Q3,38.1882,[100 10]
たけびし,2019,Q4,34.79520000000005,[100 10]
たけびし,2020,Q1,29.488700000000016,[100 10]
たけびし,2020,Q2,26.910400000000013,[100 10]
たけびし,2020,Q3,26.670299999999994,[100 10]
たけびし,2020,Q4,25.073899999999995,[100 10]
なとり,2018,Q1,18.858351166666587,[2000 10]
なとり,2018,Q2,13.920700833333207,[2000 10]
なとり,2018,Q3,57.43825999999858,[2000 10]
なとり,2018,Q4,-22.32910499999944,[2000 10]
なとり,2019,Q1,25.509780952380357,[2000 10]
なとり,2019,Q2,23.71325941666695,[2000 10]
なとり,2019,Q3,65.69076499999784,[2000 10]
なとり,2019,Q4,-19.951604999999645,[2000 10]
なとり,2020,Q1,20.91342995634874,[2000 10]
なとり,2020,Q2,18.798253821428393,[2000 10]
なとり,2020,Q3,65.76918999999893,[2000 10]
なとり,2020,Q4,-24.255224999999403,[2000 10]
はせがわ,2018,Q1,-9.351280000000076,[2000 10]
はせがわ,2018,Q2,29.64039000000039,[2000 10]
はせがわ,2018,Q3,-0.13706499999999872,[2000 10]
はせがわ,2018,Q4,18.885504999999853,[2000 10]
はせがわ,2019,Q1,0.09471624404761726,[2000 10]
はせがわ,2019,Q2,18.58816999999954,[2000 10]
はせがわ,2019,Q3,-2.8338400000000474,[2000 10]
はせがわ,2019,Q4,-4.344204999999997,[2000 10]
はせがわ,2020,Q1,-20.113284999999923,[2000 10]
はせがわ,2020,Q2,17.42417999999953,[2000 10]
はせがわ,2020,Q3,-16.11421499999968,[2000 10]
はせがわ,2020,Q4,-3.480039999999996,[2000 10]
はるやまホールディングス,2018,Q1,0.2479466666666684,[500 10]
はるやまホールディングス,2018,Q2,-21.307659999999935,[500 10]
はるやまホールディングス,2018,Q3,35.4091199999999,[500 10]
はるやまホールディングス,2018,Q4,57.7407799999998,[500 10]
はるやまホールディングス,2019,Q1,-2.9923200000000083,[500 10]
はるやまホールディングス,2019,Q2,-28.513680000000022,[500 10]
はるやまホールディングス,2019,Q3,26.78591999999991,[500 10]
はるやまホールディングス,2019,Q4,29.516900000000057,[500 10]
はるやまホールディングス,2020,Q1,2.63484,[500 10]
はるやまホールディングス,2020,Q2,-31.222600000000032,[500 10]
はるやまホールディングス,2020,Q3,32.70567999999983,[500 10]
はるやまホールディングス,2020,Q4,24.786739999999963,[500 10]
ぴあ,2018,Q1,15.179008250000074,[2000 10]
ぴあ,2018,Q2,22.52552854166668,[2000 10]
ぴあ,2018,Q3,14.837635708333485,[2000 10]
ぴあ,2018,Q4,14.646342047619145,[2000 10]
ぴあ,2019,Q1,15.16464443650801,[2000 10]
ぴあ,2019,Q2,13.428930075396748,[2000 10]
ぴあ,2019,Q3,15.629759321428606,[2000 10]
ぴあ,2019,Q4,5.6694006906565235,[2000 10]
ぴあ,2020,Q1,12.303255000000048,[2000 10]
ぴあ,2020,Q2,-78.12355999999951,[2000 10]
ぴあ,2020,Q3,-91.90811000000069,[2000 10]
ぴあ,2020,Q4,-47.21250499999985,[2000 10]
りらいあコミュニケーションズ,2018,Q1,10.725038461586793,[2000 10]
りらいあコミュニケーションズ,2018,Q2,9.470140000000027,[2000 10]
りらいあコミュニケーションズ,2018,Q3,13.200468857142797,[2000 10]
りらいあコミュニケーションズ,2018,Q4,10.472711249999966,[2000 10]
りらいあコミュニケーションズ,2019,Q1,8.406536999999826,[2000 10]
りらいあコミュニケーションズ,2019,Q2,-4.260945288413296,[2000 10]
りらいあコミュニケーションズ,2019,Q3,13.216265041980146,[2000 10]
りらいあコミュニケーションズ,2019,Q4,27.04563479260773,[2000 10]
りらいあコミュニケーションズ,2020,Q1,26.93797692944612,[2000 10]
りらいあコミュニケーションズ,2020,Q2,18.846308416235946,[2000 10]
りらいあコミュニケーションズ,2020,Q3,23.481972000000034,[2000 10]
りらいあコミュニケーションズ,2020,Q4,33.37905500000044,[2000 10]
わかもと製薬,2018,Q1,1.7524558333333138,[1000 10]
わかもと製薬,2018,Q2,-3.227271428571448,[1000 10]
わかもと製薬,2018,Q3,-1.8126722857143025,[1000 10]
わかもと製薬,2018,Q4,4.678115000000002,[1000 10]
わかもと製薬,2019,Q1,1.629046666666652,[1000 10]
わかもと製薬,2019,Q2,-0.16799999999999932,[1000 10]
わかもと製薬,2019,Q3,-8.322013333333354,[1000 10]
わかもと製薬,2019,Q4,-22.91748199999989,[1000 10]
わかもと製薬,2020,Q1,-2.0397609642857297,[1000 10]
わかもと製薬,2020,Q2,-1.849460357142856,[1000 10]
わかもと製薬,2020,Q3,-5.328627033189026,[1000 10]
わかもと製薬,2020,Q4,-15.4646941666666,[1000 10]
アイカ工業,2018,Q1,41.74789999999999,[100 100]
アイカ工業,2018,Q2,45.670099999999984,[100 100]
アイカ工業,2018,Q3,49.33340000000002,[100 100]
アイカ工業,2018,Q4,49.39990000000001,[100 100]
アイカ工業,2019,Q1,48.55220000000002,[100 100]
アイカ工業,2019,Q2,51.989400000000046,[100 100]
アイカ工業,2019,Q3,53.66940000000002,[100 100]
アイカ工業,2019,Q4,56.544000000000025,[100 100]
アイカ工業,2020,Q1,43.0624,[100 100]
アイカ工業,2020,Q2,46.36919999999999,[100 100]
アイカ工業,2020,Q3,47.3121,[100 100]
アイカ工業,2020,Q4,41.74779999999999,[100 100]
アイコム,2018,Q1,8.305740000000041,[500 10]
アイコム,2018,Q2,9.372231238095257,[500 10]
アイコム,2018,Q3,16.355993333333462,[500 10]
アイコム,2018,Q4,39.032579999999896,[500 10]
アイコム,2019,Q1,6.476826666666671,[500 10]
アイコム,2019,Q2,17.691002380952426,[500 10]
アイコム,2019,Q3,14.875779999999995,[500 10]
アイコム,2019,Q4,55.789600000000114,[500 10]
アイコム,2020,Q1,9.910830000000061,[500 10]
アイコム,2020,Q2,6.554593333333352,[500 10]
アイコム,2020,Q3,22.96039666666661,[500 10]
アイコム,2020,Q4,71.8573199999998,[500 10]
アイシン,2018,Q1,122.67574160379264,[2000 100]
アイシン,2018,Q2,91.32212311414885,[2000 100]
アイシン,2018,Q3,126.85641365206257,[2000 100]
アイシン,2018,Q4,106.72478130187626,[2000 100]
アイシン,2019,Q1,95.78323801040935,[2000 100]
アイシン,2019,Q2,73.44906996554798,[2000 100]
アイシン,2019,Q3,76.02729086911738,[2000 100]
アイシン,2019,Q4,84.04252214336124,[2000 100]
アイシン,2020,Q1,40.71426336319738,[2000 100]
アイシン,2020,Q2,-96.15201575584486,[2000 100]
アイシン,2020,Q3,83.23911634298733,[2000 100]
アイシン,2020,Q4,126.02696804321634,[2000 100]
アイダエンジニアリング,2018,Q1,22.94009999999998,[100 10]
アイダエンジニアリング,2018,Q2,16.681300000000007,[100 10]
アイダエンジニアリング,2018,Q3,17.586399999999994,[100 10]
アイダエンジニアリング,2018,Q4,24.021399999999986,[100 10]
アイダエンジニアリング,2019,Q1,14.631100000000002,[100 10]
アイダエンジニアリング,2019,Q2,19.171199999999992,[100 10]
アイダエンジニアリング,2019,Q3,20.754600000000003,[100 10]
アイダエンジニアリング,2019,Q4,20.821900000000007,[100 10]
アイダエンジニアリング,2020,Q1,17.727199999999968,[100 10]
アイダエンジニアリング,2020,Q2,20.081900000000005,[100 10]
アイダエンジニアリング,2020,Q3,12.964599999999995,[100 10]
アイダエンジニアリング,2020,Q4,18.18400000000001,[100 10]
アイチコーポレーション,2018,Q1,14.035700000000006,[100 10]
アイチコーポレーション,2018,Q2,22.35970000000001,[100 10]
アイチコーポレーション,2018,Q3,20.12030000000004,[100 10]
アイチコーポレーション,2018,Q4,13.437600000000018,[100 10]
アイチコーポレーション,2019,Q1,9.683300000000006,[100 10]
アイチコーポレーション,2019,Q2,21.757200000000008,[100 10]
アイチコーポレーション,2019,Q3,22.395900000000008,[100 10]
アイチコーポレーション,2019,Q4,24.189799999999995,[100 10]
アイチコーポレーション,2020,Q1,18.84060000000003,[100 10]
アイチコーポレーション,2020,Q2,18.73280000000001,[100 10]
アイチコーポレーション,2020,Q3,9.833899999999998,[100 10]
アイチコーポレーション,2020,Q4,19.4199,[100 10]
アイティフォー,2018,Q1,2.2201000000000004,[100 10]
アイティフォー,2018,Q2,5.532200000000004,[100 10]
アイティフォー,2018,Q3,5.298200000000001,[100 10]
アイティフォー,2018,Q4,18.73440000000002,[100 10]
アイティフォー,2019,Q1,3.160200000000002,[100 10]
アイティフォー,2019,Q2,6.633300000000002,[100 10]
アイティフォー,2019,Q3,8.473200000000002,[100 10]
アイティフォー,2019,Q4,18.290900000000008,[100 10]
アイティフォー,2020,Q1,4.464099999999998,[100 10]
アイティフォー,2020,Q2,20.76720000000002,[100 10]
アイティフォー,2020,Q3,6.964899999999997,[100 10]
アイティフォー,2020,Q4,19.35540000000001,[100 10]
アイティメディア,2018,Q1,4.386479150041544,[1000 10]
アイティメディア,2018,Q2,7.621649343531206,[1000 10]
アイティメディア,2018,Q3,6.442158377402137,[1000 10]
アイティメディア,2018,Q4,7.060345104281429,[1000 10]
アイティメディア,2019,Q1,4.925789244033566,[1000 10]
アイティメディア,2019,Q2,5.928816435133345,[1000 10]
アイティメディア,2019,Q3,7.096363971976769,[1000 10]
アイティメディア,2019,Q4,14.149794864789856,[1000 10]
アイティメディア,2020,Q1,8.836425753400466,[1000 10]
アイティメディア,2020,Q2,11.902416774532433,[1000 10]
アイティメディア,2020,Q3,12.080477733255634,[1000 10]
アイティメディア,2020,Q4,9.082321688837364,[1000 10]
アイネス,2018,Q1,-2.557900000000001,[100 100]
アイネス,2018,Q2,17.412000000000006,[100 100]
アイネス,2018,Q3,-1.6949999999999994,[100 100]
アイネス,2018,Q4,14.341899999999983,[100 100]
アイネス,2019,Q1,-3.487600000000003,[100 100]
アイネス,2019,Q2,12.3758,[100 100]
アイネス,2019,Q3,0.5482000000000002,[100 100]
アイネス,2019,Q4,-16.529399999999995,[100 100]
アイネス,2020,Q1,24.51479999999999,[100 100]
アイネス,2020,Q2,7.0756000000000085,[100 100]
アイネス,2020,Q3,28.40110000000001,[100 100]
アイネス,2020,Q4,7.039600000000004,[100 100]
アイネット,2018,Q1,13.009919418874905,[100 100]
アイネット,2018,Q2,25.53494854718732,[100 100]
アイネット,2018,Q3,19.637400000000007,[100 100]
アイネット,2018,Q4,25.254400000000047,[100 100]
アイネット,2019,Q1,13.446329128312366,[100 100]
アイネット,2019,Q2,28.020338837749826,[100 100]
アイネット,2019,Q3,23.722883983031124,[100 100]
アイネット,2019,Q4,28.232009709437413,[100 100]
アイネット,2020,Q1,26.53570970943749,[100 100]
アイネット,2020,Q2,26.833964564156176,[100 100]
アイネット,2020,Q3,21.156199999999995,[100 100]
アイネット,2020,Q4,22.71605485471875,[100 100]
アイホン,2018,Q1,9.354440000000038,[2000 100]
