企業名,会計年度,四半期,y_hat_comb_mall
あらた,2018,Q1,82.83808674771592
あらた,2018,Q2,79.38651538776314
あらた,2018,Q3,86.76103672491374
あらた,2018,Q4,71.74840076618403
あらた,2019,Q1,110.87145878395192
あらた,2019,Q2,110.12160789515102
あらた,2019,Q3,107.47360647656782
あらた,2019,Q4,100.88929311938327
あらた,2020,Q1,131.85463718051588
あらた,2020,Q2,102.13767653814807
あらた,2020,Q3,120.4330172392421
あらた,2020,Q4,109.5264992346367
いすゞ自動車,2018,Q1,35.058564652983385
いすゞ自動車,2018,Q2,31.48608168337058
いすゞ自動車,2018,Q3,40.77740767269638
いすゞ自動車,2018,Q4,36.82444367580896
いすゞ自動車,2019,Q1,43.73161351276392
いすゞ自動車,2019,Q2,27.796893125910533
いすゞ自動車,2019,Q3,36.637247216147315
いすゞ自動車,2019,Q4,22.661629938940514
いすゞ自動車,2020,Q1,19.67273524541995
いすゞ自動車,2020,Q2,20.3275861756315
いすゞ自動車,2020,Q3,38.812547127742775
いすゞ自動車,2020,Q4,28.928458494286343
いなげや,2018,Q1,2.076921107653567
いなげや,2018,Q2,3.2983328181058673
いなげや,2018,Q3,12.706918969760512
いなげや,2018,Q4,2.92615249133031
いなげや,2019,Q1,-8.059076411363666
いなげや,2019,Q2,-4.202404693730715
いなげや,2019,Q3,6.712890370162673
いなげや,2019,Q4,-15.882119151836061
いなげや,2020,Q1,4.2405110927670115
いなげや,2020,Q2,15.108419706755637
いなげや,2020,Q3,17.34783703375897
いなげや,2020,Q4,7.372330396926563
かどや製油,2018,Q1,102.89675396520616
かどや製油,2018,Q2,129.3969330886543
かどや製油,2018,Q3,94.10705615645293
かどや製油,2018,Q4,52.52005610971945
かどや製油,2019,Q1,126.3710966973648
かどや製油,2019,Q2,125.1358942569027
かどや製油,2019,Q3,62.51056849573831
かどや製油,2019,Q4,99.18094433446095
かどや製油,2020,Q1,65.73310465402953
かどや製油,2020,Q2,63.29590668608485
かどや製油,2020,Q3,47.26143233575993
かどや製油,2020,Q4,41.941979801017595
きんでん,2018,Q1,8.960293887052014
きんでん,2018,Q2,26.706990637134265
きんでん,2018,Q3,31.60902407811862
きんでん,2018,Q4,67.29773117423323
きんでん,2019,Q1,14.428201472834976
きんでん,2019,Q2,31.23505841852442
きんでん,2019,Q3,38.28396800002596
きんでん,2019,Q4,64.64022049957728
きんでん,2020,Q1,19.24610596652079
きんでん,2020,Q2,36.88910807313805
きんでん,2020,Q3,41.57700266486393
きんでん,2020,Q4,60.914125967063015
さくらインターネット,2018,Q1,8.323634764328148
さくらインターネット,2018,Q2,6.343673269378787
さくらインターネット,2018,Q3,10.174035149619296
さくらインターネット,2018,Q4,27.652051699320886
さくらインターネット,2019,Q1,24.890246277177205
さくらインターネット,2019,Q2,3.724850286630089
さくらインターネット,2019,Q3,104.699818932932
さくらインターネット,2019,Q4,8.883182126307558
さくらインターネット,2020,Q1,529.946281353855
さくらインターネット,2020,Q2,332.0170703131832
さくらインターネット,2020,Q3,4.835731424723835
さくらインターネット,2020,Q4,7.286662074229471
たけびし,2018,Q1,38.09814124233846
たけびし,2018,Q2,38.251376962082
たけびし,2018,Q3,36.500139663611
たけびし,2018,Q4,37.75355586883662
たけびし,2019,Q1,36.1654127328795
たけびし,2019,Q2,36.49645728103913
たけびし,2019,Q3,28.088790169096335
たけびし,2019,Q4,26.119907142240613
たけびし,2020,Q1,24.2831364227465
たけびし,2020,Q2,26.046731332582926
たけびし,2020,Q3,23.895366430372263
たけびし,2020,Q4,27.037043444921615
なとり,2018,Q1,24.133585644474692
なとり,2018,Q2,19.09073830411644
なとり,2018,Q3,60.21177980412058
なとり,2018,Q4,-18.212284257991442
なとり,2019,Q1,24.62992198495103
なとり,2019,Q2,30.05027516090979
なとり,2019,Q3,59.074779974840155
なとり,2019,Q4,-16.796873723702696
なとり,2020,Q1,23.351085500551402
なとり,2020,Q2,25.472600944556753
なとり,2020,Q3,75.55472312436106
なとり,2020,Q4,-15.336281867993142
はせがわ,2018,Q1,-5.865539336352041
はせがわ,2018,Q2,25.85961825762454
はせがわ,2018,Q3,-0.8898902633761688
はせがわ,2018,Q4,-0.06392021676869
はせがわ,2019,Q1,-14.496276296466965
はせがわ,2019,Q2,16.444198639167933
はせがわ,2019,Q3,-20.269727961525074
はせがわ,2019,Q4,-29.30694104636092
はせがわ,2020,Q1,-22.77767595607771
はせがわ,2020,Q2,8.013658828207598
はせがわ,2020,Q3,-1.3231645893098607
はせがわ,2020,Q4,5.078952697046551
はるやまホールディングス,2018,Q1,1.205804115390374
はるやまホールディングス,2018,Q2,-26.2001803962947
はるやまホールディングス,2018,Q3,29.967011625541033
はるやまホールディングス,2018,Q4,56.8500049696686
はるやまホールディングス,2019,Q1,-14.89139248848665
はるやまホールディングス,2019,Q2,-20.767542980847974
はるやまホールディングス,2019,Q3,4.475639292911197
はるやまホールディングス,2019,Q4,41.20102193444605
はるやまホールディングス,2020,Q1,-34.617202010305256
はるやまホールディングス,2020,Q2,-64.29654981683318
はるやまホールディングス,2020,Q3,-23.121101485110223
はるやまホールディングス,2020,Q4,-34.10470320629427
ぴあ,2018,Q1,20.10444620142841
ぴあ,2018,Q2,17.534273616860922
ぴあ,2018,Q3,11.47683722581819
ぴあ,2018,Q4,20.416563432312948
ぴあ,2019,Q1,16.10484968530457
ぴあ,2019,Q2,12.46742090533726
ぴあ,2019,Q3,0.20417981303580568
ぴあ,2019,Q4,15.903493791025204
ぴあ,2020,Q1,-50.82155185931842
ぴあ,2020,Q2,-76.04469512539512
ぴあ,2020,Q3,-3.427054053523998
ぴあ,2020,Q4,-27.11241457236256
りらいあコミュニケーションズ,2018,Q1,16.783977044017078
りらいあコミュニケーションズ,2018,Q2,14.054939022307954
りらいあコミュニケーションズ,2018,Q3,14.742115133339547
りらいあコミュニケーションズ,2018,Q4,16.452624134353293
りらいあコミュニケーションズ,2019,Q1,-4.6333159892160705
りらいあコミュニケーションズ,2019,Q2,11.828868361003572
りらいあコミュニケーションズ,2019,Q3,-31.667556759646903
りらいあコミュニケーションズ,2019,Q4,9.904432328106067
りらいあコミュニケーションズ,2020,Q1,14.752246027315731
りらいあコミュニケーションズ,2020,Q2,11.894635669029515
りらいあコミュニケーションズ,2020,Q3,7.780087411195086
りらいあコミュニケーションズ,2020,Q4,8.783087618325768
わかもと製薬,2018,Q1,1.0237716574861397
わかもと製薬,2018,Q2,-0.6891034601401029
わかもと製薬,2018,Q3,1.6614245139836608
わかもと製薬,2018,Q4,1.7487661473988065
わかもと製薬,2019,Q1,-1.1777665866776048
わかもと製薬,2019,Q2,-4.846309755647075
わかもと製薬,2019,Q3,-7.658248702076103
わかもと製薬,2019,Q4,-10.165434866223432
わかもと製薬,2020,Q1,-2.3439020259719827
わかもと製薬,2020,Q2,-5.344344352260092
わかもと製薬,2020,Q3,-1.2468426586794221
わかもと製薬,2020,Q4,-2.3705120464197704
アイカ工業,2018,Q1,44.3845894668611
アイカ工業,2018,Q2,53.874724115998845
アイカ工業,2018,Q3,53.9995177925653
アイカ工業,2018,Q4,56.40874455285734
アイカ工業,2019,Q1,54.36218736385304
アイカ工業,2019,Q2,53.64444999039496
アイカ工業,2019,Q3,52.61546235865262
アイカ工業,2019,Q4,56.43693034021847
アイカ工業,2020,Q1,43.25707433276325
アイカ工業,2020,Q2,44.32022424544381
アイカ工業,2020,Q3,55.34785008861966
アイカ工業,2020,Q4,55.91278442555042
アイコム,2018,Q1,9.135000349752744
アイコム,2018,Q2,24.372644003782188
アイコム,2018,Q3,25.10758999502397
アイコム,2018,Q4,95.94788829128177
アイコム,2019,Q1,10.354546581782573
アイコム,2019,Q2,20.094154101155215
アイコム,2019,Q3,37.678068588685754
アイコム,2019,Q4,58.74573950350924
アイコム,2020,Q1,-1.336674255690508
アイコム,2020,Q2,3.322871231157835
アイコム,2020,Q3,26.22143673311056
アイコム,2020,Q4,57.76583482047378
アイシン,2018,Q1,164.02197923268213
アイシン,2018,Q2,67.83067950458624
アイシン,2018,Q3,115.27587357726779
アイシン,2018,Q4,123.82273910177487
アイシン,2019,Q1,114.32697453593335
アイシン,2019,Q2,25.017502455637544
アイシン,2019,Q3,62.14918617971201
アイシン,2019,Q4,42.976504446809585
アイシン,2020,Q1,-85.12830418831933
アイシン,2020,Q2,29.509329015307618
アイシン,2020,Q3,149.9913817586322
アイシン,2020,Q4,105.92803838216905
アイダエンジニアリング,2018,Q1,17.71853961598158
アイダエンジニアリング,2018,Q2,4.448461200545415
アイダエンジニアリング,2018,Q3,8.528858569359187
アイダエンジニアリング,2018,Q4,21.995696036090553
アイダエンジニアリング,2019,Q1,11.20204878376428
アイダエンジニアリング,2019,Q2,19.701503051554504
アイダエンジニアリング,2019,Q3,15.958119764739383
アイダエンジニアリング,2019,Q4,24.357437368116873
アイダエンジニアリング,2020,Q1,6.649129518112543
アイダエンジニアリング,2020,Q2,21.32989841189357
アイダエンジニアリング,2020,Q3,10.546456585317856
アイダエンジニアリング,2020,Q4,21.17161067439643
アイチコーポレーション,2018,Q1,6.090596048926827
アイチコーポレーション,2018,Q2,19.83193524744293
アイチコーポレーション,2018,Q3,19.202748636198933
アイチコーポレーション,2018,Q4,23.167366232280973
アイチコーポレーション,2019,Q1,12.135792735958278
アイチコーポレーション,2019,Q2,19.450357555871964
アイチコーポレーション,2019,Q3,10.372355418163982
アイチコーポレーション,2019,Q4,19.915345250411843
アイチコーポレーション,2020,Q1,9.890544968198892
アイチコーポレーション,2020,Q2,16.354298490290905
アイチコーポレーション,2020,Q3,13.192467160069373
アイチコーポレーション,2020,Q4,20.594488882214513
アイティフォー,2018,Q1,4.938564036092683
アイティフォー,2018,Q2,7.11142689592903
アイティフォー,2018,Q3,6.8865306894010825
アイティフォー,2018,Q4,19.707842463666065
アイティフォー,2019,Q1,5.397613411812851
アイティフォー,2019,Q2,8.838493489592658
アイティフォー,2019,Q3,7.821012248715322
アイティフォー,2019,Q4,18.410596138393995
アイティフォー,2020,Q1,7.726037364020662
アイティフォー,2020,Q2,12.381828885045362
アイティフォー,2020,Q3,10.057914598832898
アイティフォー,2020,Q4,21.14631889306608
アイティメディア,2018,Q1,1.3938677913677786
アイティメディア,2018,Q2,5.115570876629727
アイティメディア,2018,Q3,2.7093552132918974
アイティメディア,2018,Q4,4.295101745540164
アイティメディア,2019,Q1,4.048636082824215
アイティメディア,2019,Q2,7.414955000688823
アイティメディア,2019,Q3,7.570389208313129
アイティメディア,2019,Q4,9.967246858245364
アイティメディア,2020,Q1,9.910785379303098
アイティメディア,2020,Q2,13.931710798505923
アイティメディア,2020,Q3,18.09592345337806
アイティメディア,2020,Q4,20.57894592340262
アイネス,2018,Q1,0.1586725291188996
アイネス,2018,Q2,16.142910877545294
アイネス,2018,Q3,1.461759059126705
アイネス,2018,Q4,17.449216275194065
アイネス,2019,Q1,8.122038264217862
アイネス,2019,Q2,18.112513553402657
アイネス,2019,Q3,5.479752350474614
アイネス,2019,Q4,-25.878701869272493
アイネス,2020,Q1,30.806308482481995
アイネス,2020,Q2,17.117024707397473
アイネス,2020,Q3,35.748284344397426
アイネス,2020,Q4,26.417612086231145
アイネット,2018,Q1,14.538970723591158
アイネット,2018,Q2,23.933982336652754
アイネット,2018,Q3,25.916040104565788
アイネット,2018,Q4,21.86375019780974
アイネット,2019,Q1,19.743280015584332
アイネット,2019,Q2,27.923218830079342
アイネット,2019,Q3,23.530496625671308
アイネット,2019,Q4,26.570296921217306
アイネット,2020,Q1,11.236052687962422
アイネット,2020,Q2,26.94291678733174
アイネット,2020,Q3,23.36847075509518
アイネット,2020,Q4,29.77871590869135
アイホン,2018,Q1,22.175119486956465
アイホン,2018,Q2,66.99020062153912
アイホン,2018,Q3,27.434082257836337
アイホン,2018,Q4,55.70683721949554
アイホン,2019,Q1,31.95476324046937
アイホン,2019,Q2,69.11565974091805
アイホン,2019,Q3,21.579478289366524
アイホン,2019,Q4,33.49485256300505
アイホン,2020,Q1,9.331838090734399
アイホン,2020,Q2,53.96014853321553
アイホン,2020,Q3,40.250592198848274
アイホン,2020,Q4,19.225606274147044
アイロムグループ,2018,Q1,3.8887953610820745
アイロムグループ,2018,Q2,28.113514503463165
アイロムグループ,2018,Q3,29.332366619433127
アイロムグループ,2018,Q4,69.49641673269386
アイロムグループ,2019,Q1,20.184318146884433
アイロムグループ,2019,Q2,-1.1501384751460138
アイロムグループ,2019,Q3,38.04452661342005
アイロムグループ,2019,Q4,39.97797421055842
アイロムグループ,2020,Q1,11.576645523484775
アイロムグループ,2020,Q2,31.310031413651167
アイロムグループ,2020,Q3,79.67494958452033
アイロムグループ,2020,Q4,27.87024040812298
アキレス,2018,Q1,31.564315409766543
アキレス,2018,Q2,28.097418775807775
アキレス,2018,Q3,28.256752265830528
アキレス,2018,Q4,6.92090529463718
アキレス,2019,Q1,12.633596405693456
アキレス,2019,Q2,5.059734028520907
アキレス,2019,Q3,-1.4338936913927411
アキレス,2019,Q4,4.659343108949299
アキレス,2020,Q1,31.235761039319293
アキレス,2020,Q2,62.66823932738383
アキレス,2020,Q3,15.844090408720643
アキレス,2020,Q4,25.896991185042697
アクシアル　リテイリング,2018,Q1,61.51488681909416
アクシアル　リテイリング,2018,Q2,75.1064716382298
アクシアル　リテイリング,2018,Q3,84.0102298184999
アクシアル　リテイリング,2018,Q4,54.9632035005352
アクシアル　リテイリング,2019,Q1,73.5949334452776
アクシアル　リテイリング,2019,Q2,72.72489944806196
アクシアル　リテイリング,2019,Q3,79.99780629818038
アクシアル　リテイリング,2019,Q4,59.96584599094101
アクシアル　リテイリング,2020,Q1,86.09785136458517
アクシアル　リテイリング,2020,Q2,90.13233683226119
アクシアル　リテイリング,2020,Q3,97.23296351551134
アクシアル　リテイリング,2020,Q4,58.37334471153174
アクセル,2018,Q1,-13.436385643186942
アクセル,2018,Q2,-4.901860600157863
アクセル,2018,Q3,-3.461059173628275
アクセル,2018,Q4,1.297705558187856
アクセル,2019,Q1,2.2274651450005143
アクセル,2019,Q2,0.9923521370087268
アクセル,2019,Q3,18.123741532418357
アクセル,2019,Q4,2.4412707010375003
アクセル,2020,Q1,22.365947366727845
アクセル,2020,Q2,4.826297859184713
アクセル,2020,Q3,14.379532954728536
アクセル,2020,Q4,6.4637783012844325
アジアパイルホールディングス,2018,Q1,8.963840533893439
アジアパイルホールディングス,2018,Q2,12.331050221144416
アジアパイルホールディングス,2018,Q3,17.49201177033344
アジアパイルホールディングス,2018,Q4,20.697987560125032
アジアパイルホールディングス,2019,Q1,22.36675983803408
アジアパイルホールディングス,2019,Q2,15.299278025312734
アジアパイルホールディングス,2019,Q3,19.36494709908529
アジアパイルホールディングス,2019,Q4,15.507058200658964
アジアパイルホールディングス,2020,Q1,14.341201238202341
アジアパイルホールディングス,2020,Q2,17.59740687830245
アジアパイルホールディングス,2020,Q3,18.075357912234328
アジアパイルホールディングス,2020,Q4,14.35945254349545
アステラス製薬,2018,Q1,28.80707545086035
アステラス製薬,2018,Q2,25.93078017144823
アステラス製薬,2018,Q3,30.583660130684574
アステラス製薬,2018,Q4,16.893644153603333
アステラス製薬,2019,Q1,31.971705182067204
アステラス製薬,2019,Q2,25.465115301054045
アステラス製薬,2019,Q3,31.413211702495705
アステラス製薬,2019,Q4,18.88762651745524
アステラス製薬,2020,Q1,27.360423119267058
アステラス製薬,2020,Q2,33.26332169189338
アステラス製薬,2020,Q3,32.830532452609496
アステラス製薬,2020,Q4,14.851968056922932
アズビル,2018,Q1,21.308506754013955
アズビル,2018,Q2,48.32508915739392
アズビル,2018,Q3,12.83723965810185
アズビル,2018,Q4,88.2468084013783
アズビル,2019,Q1,27.96766045786247
アズビル,2019,Q2,29.536300910529825
アズビル,2019,Q3,3.6995914508577306
アズビル,2019,Q4,36.36644645807203
アズビル,2020,Q1,9.466969738712152
アズビル,2020,Q2,30.86484568224655
アズビル,2020,Q3,34.07827034374209
アズビル,2020,Q4,49.249876836915256
アズワン,2018,Q1,61.28528623929431
アズワン,2018,Q2,57.7648362470562
アズワン,2018,Q3,66.2053544886714
アズワン,2018,Q4,68.82246451062315
アズワン,2019,Q1,70.65222166078604
アズワン,2019,Q2,65.31396054819912
アズワン,2019,Q3,77.4952228293666
アズワン,2019,Q4,79.72839760626992
アズワン,2020,Q1,71.40371352116583
アズワン,2020,Q2,79.69627612094577
アズワン,2020,Q3,78.87310683105048
アズワン,2020,Q4,83.40253206597383
アツギ,2018,Q1,-27.866183831895977
アツギ,2018,Q2,-38.21334098786541
アツギ,2018,Q3,2.6904488159372666
アツギ,2018,Q4,-22.74499782783289
アツギ,2019,Q1,-90.99384897721525
アツギ,2019,Q2,-67.34468296310817
アツギ,2019,Q3,-30.297516035507776
アツギ,2019,Q4,-121.39049182341473
アツギ,2020,Q1,11.09823548094047
アツギ,2020,Q2,-182.49289654303092
アツギ,2020,Q3,-94.72375065235613
アツギ,2020,Q4,-75.66679314431084
アドウェイズ,2018,Q1,4.528075489078367
アドウェイズ,2018,Q2,1.2765548223898509
アドウェイズ,2018,Q3,2.953487539497721
アドウェイズ,2018,Q4,-2.8985886389602546
アドウェイズ,2019,Q1,-2.729025472636389
アドウェイズ,2019,Q2,-3.5880029494775854
アドウェイズ,2019,Q3,9.023881773747078
アドウェイズ,2019,Q4,3.25695975926523
アドウェイズ,2020,Q1,-0.5875420866369765
アドウェイズ,2020,Q2,0.9154817849932592
アドウェイズ,2020,Q3,3.657536251917226
アドウェイズ,2020,Q4,9.489401269099648
アドソル日進,2018,Q1,16.903861908585167
アドソル日進,2018,Q2,15.29210239299746
アドソル日進,2018,Q3,19.97076328150206
アドソル日進,2018,Q4,15.689087764966704
アドソル日進,2019,Q1,21.307167028014156
アドソル日進,2019,Q2,24.94606689956337
アドソル日進,2019,Q3,22.73846722048671
アドソル日進,2019,Q4,18.22237740666617
アドソル日進,2020,Q1,23.525658335421806
アドソル日進,2020,Q2,24.567289062850193
アドソル日進,2020,Q3,25.177625428085616
アドソル日進,2020,Q4,18.81813971008652
アドバンテスト,2018,Q1,57.12026076408441
アドバンテスト,2018,Q2,63.42205992538335
アドバンテスト,2018,Q3,68.42647042789181
アドバンテスト,2018,Q4,56.11044053708294
アドバンテスト,2019,Q1,48.89053807065827
アドバンテスト,2019,Q2,68.47179067651874
アドバンテスト,2019,Q3,56.04740640328458
アドバンテスト,2019,Q4,54.76480593913167
アドバンテスト,2020,Q1,63.79758219182122
アドバンテスト,2020,Q2,68.41453366802413
アドバンテスト,2020,Q3,63.12378435602021
アドバンテスト,2020,Q4,84.43507411492422
アドヴァングループ,2018,Q1,6.749736936702499
アドヴァングループ,2018,Q2,27.785875312370045
アドヴァングループ,2018,Q3,35.57510574389134
アドヴァングループ,2018,Q4,4.306796902886459
アドヴァングループ,2019,Q1,36.897533793890396
アドヴァングループ,2019,Q2,24.987160995591246
アドヴァングループ,2019,Q3,35.92387307397509
アドヴァングループ,2019,Q4,27.817933597155815
アドヴァングループ,2020,Q1,26.677058803040104
アドヴァングループ,2020,Q2,26.69485105008165
アドヴァングループ,2020,Q3,25.379393731066166
アドヴァングループ,2020,Q4,22.624630405109023
アマダ,2018,Q1,13.085220913007907
