企業名,会計年度,四半期,y_hat_comb_mols
あらた,2018,Q1,173.18760591884248
あらた,2018,Q2,145.16799066665718
あらた,2018,Q3,37.38923195069841
あらた,2018,Q4,76.00230183382837
あらた,2019,Q1,120.42499675365873
あらた,2019,Q2,135.24399981063632
あらた,2019,Q3,126.85802448989178
あらた,2019,Q4,101.85622070431907
あらた,2020,Q1,123.50469109817766
あらた,2020,Q2,85.03212442021977
あらた,2020,Q3,116.62026224281078
あらた,2020,Q4,186.5414075653971
いすゞ自動車,2018,Q1,3.698333898952162
いすゞ自動車,2018,Q2,19.870063579342798
いすゞ自動車,2018,Q3,26.02684987115156
いすゞ自動車,2018,Q4,37.87532211616594
いすゞ自動車,2019,Q1,40.61216533285009
いすゞ自動車,2019,Q2,33.729239056246556
いすゞ自動車,2019,Q3,44.54388833921673
いすゞ自動車,2019,Q4,16.137280998359213
いすゞ自動車,2020,Q1,34.03640456429674
いすゞ自動車,2020,Q2,44.202388363595595
いすゞ自動車,2020,Q3,-12.995448286484825
いすゞ自動車,2020,Q4,92.1885283975732
いなげや,2018,Q1,2.1871488771680845
いなげや,2018,Q2,-3.4294619349381983
いなげや,2018,Q3,0.4247691435939558
いなげや,2018,Q4,3.590979906186097
いなげや,2019,Q1,-12.05908370734962
いなげや,2019,Q2,-14.250503471494008
いなげや,2019,Q3,2.5230015959917487
いなげや,2019,Q4,-37.73262835378455
いなげや,2020,Q1,38.76915681231791
いなげや,2020,Q2,20.70832313847846
いなげや,2020,Q3,30.433084414942282
いなげや,2020,Q4,1.7547759270624954
かどや製油,2018,Q1,95.74493597750143
かどや製油,2018,Q2,131.342622094618
かどや製油,2018,Q3,95.9033309945268
かどや製油,2018,Q4,81.41723364575076
かどや製油,2019,Q1,70.34601588658568
かどや製油,2019,Q2,11.970490426712482
かどや製油,2019,Q3,98.64556564429631
かどや製油,2019,Q4,-14.804746289612845
かどや製油,2020,Q1,54.556563115908524
かどや製油,2020,Q2,13.606898475112757
かどや製油,2020,Q3,33.210562374996776
かどや製油,2020,Q4,25.94538296752709
きんでん,2018,Q1,6.717327201649193
きんでん,2018,Q2,22.857475696662647
きんでん,2018,Q3,28.94246760937462
きんでん,2018,Q4,84.41601782573021
きんでん,2019,Q1,16.349601504787348
きんでん,2019,Q2,32.80449988229068
きんでん,2019,Q3,27.789108247624096
きんでん,2019,Q4,79.28279442672964
きんでん,2020,Q1,18.889183430454626
きんでん,2020,Q2,25.821460499292215
きんでん,2020,Q3,54.63483382380798
きんでん,2020,Q4,67.75418329451354
さくらインターネット,2018,Q1,-125.57713140477047
さくらインターネット,2018,Q2,19.021956856444074
さくらインターネット,2018,Q3,50.88739793860577
さくらインターネット,2018,Q4,153.4880238776733
さくらインターネット,2019,Q1,112.76265075506028
さくらインターネット,2019,Q2,-15.973630410631435
さくらインターネット,2019,Q3,-46.82653632423427
さくらインターネット,2019,Q4,-139.94427960261606
さくらインターネット,2020,Q1,168.80549701074952
さくらインターネット,2020,Q2,537.8132984259813
さくらインターネット,2020,Q3,146.66986356932134
さくらインターネット,2020,Q4,52.74794954990716
たけびし,2018,Q1,45.6152104233793
たけびし,2018,Q2,44.611178564955424
たけびし,2018,Q3,52.10583513772394
たけびし,2018,Q4,51.868881735310175
たけびし,2019,Q1,48.60427024542842
たけびし,2019,Q2,49.93932912025497
たけびし,2019,Q3,43.77151159312003
たけびし,2019,Q4,38.225526561965296
たけびし,2020,Q1,15.117450306986386
たけびし,2020,Q2,50.596015359671355
たけびし,2020,Q3,31.306899445076382
たけびし,2020,Q4,35.52847309797564
なとり,2018,Q1,38.91671871535798
なとり,2018,Q2,15.69711114029254
なとり,2018,Q3,25.85339245370153
なとり,2018,Q4,-6.591928507324535
なとり,2019,Q1,44.27219109502482
なとり,2019,Q2,31.283659522773785
なとり,2019,Q3,58.69079710258461
なとり,2019,Q4,-49.92484771548161
なとり,2020,Q1,19.96820560508172
なとり,2020,Q2,21.94028639589298
なとり,2020,Q3,92.14281787296973
なとり,2020,Q4,-37.21156725562787
はせがわ,2018,Q1,-0.31697246151027453
はせがわ,2018,Q2,28.435571532855068
はせがわ,2018,Q3,5.5224147311624465
はせがわ,2018,Q4,-7.999792404945539
はせがわ,2019,Q1,-6.3287180665020815
はせがわ,2019,Q2,13.267832632746982
はせがわ,2019,Q3,-20.352044547170788
はせがわ,2019,Q4,-25.62577854004955
はせがわ,2020,Q1,-40.73222549385574
はせがわ,2020,Q2,-6.038904661662248
はせがわ,2020,Q3,-40.616776359403126
はせがわ,2020,Q4,-13.692738202321076
はるやまホールディングス,2018,Q1,-28.37833222499171
はるやまホールディングス,2018,Q2,-31.707789549783
はるやまホールディングス,2018,Q3,412.7063306448151
はるやまホールディングス,2018,Q4,25.006297379893947
はるやまホールディングス,2019,Q1,-29.686935064806523
はるやまホールディングス,2019,Q2,-8.904792421112498
はるやまホールディングス,2019,Q3,4.2042873621654735
はるやまホールディングス,2019,Q4,32.553279717827955
はるやまホールディングス,2020,Q1,-64.87853519083508
はるやまホールディングス,2020,Q2,-34.16645580563719
はるやまホールディングス,2020,Q3,-32.87662756395245
はるやまホールディングス,2020,Q4,-8.298246679914579
ぴあ,2018,Q1,-8.625827728982385
ぴあ,2018,Q2,21.420604013653957
ぴあ,2018,Q3,38.79689441980904
ぴあ,2018,Q4,52.39362528428543
ぴあ,2019,Q1,33.16311502197329
ぴあ,2019,Q2,9.793083737879044
ぴあ,2019,Q3,14.419876085534497
ぴあ,2019,Q4,42.137528647356085
ぴあ,2020,Q1,102.71972527240189
ぴあ,2020,Q2,107.79905464760584
ぴあ,2020,Q3,3.0745595268824295
ぴあ,2020,Q4,72.46305816243
りらいあコミュニケーションズ,2018,Q1,1.9816615082352769
りらいあコミュニケーションズ,2018,Q2,35.375889433186636
りらいあコミュニケーションズ,2018,Q3,18.813101038075445
りらいあコミュニケーションズ,2018,Q4,15.614305395337079
りらいあコミュニケーションズ,2019,Q1,-769.1624141708006
りらいあコミュニケーションズ,2019,Q2,-68.96165678126785
りらいあコミュニケーションズ,2019,Q3,-348.1475907186443
りらいあコミュニケーションズ,2019,Q4,-741.2944436682901
りらいあコミュニケーションズ,2020,Q1,20.87755233111051
りらいあコミュニケーションズ,2020,Q2,13.225435430623762
りらいあコミュニケーションズ,2020,Q3,16.88403373213862
りらいあコミュニケーションズ,2020,Q4,-10.627887280135184
わかもと製薬,2018,Q1,1.3566101728108417
わかもと製薬,2018,Q2,-9.093794547284284
わかもと製薬,2018,Q3,1.4770816413365513
わかもと製薬,2018,Q4,-0.924739868958696
わかもと製薬,2019,Q1,-2.5348435677896552
わかもと製薬,2019,Q2,-9.587684866148768
わかもと製薬,2019,Q3,-20.77200472046407
わかもと製薬,2019,Q4,-24.609654048662303
わかもと製薬,2020,Q1,-6.9908114189677235
わかもと製薬,2020,Q2,8.173022326565578
わかもと製薬,2020,Q3,9.422720371850875
わかもと製薬,2020,Q4,-8.08659757840465
アイカ工業,2018,Q1,45.65960552282471
アイカ工業,2018,Q2,47.69748430122436
アイカ工業,2018,Q3,51.846390035307714
アイカ工業,2018,Q4,41.13827632069501
アイカ工業,2019,Q1,54.310197797583434
アイカ工業,2019,Q2,54.55701399412063
アイカ工業,2019,Q3,53.09753035251839
アイカ工業,2019,Q4,55.80690957684474
アイカ工業,2020,Q1,46.734991507330996
アイカ工業,2020,Q2,41.155553989398584
アイカ工業,2020,Q3,42.837277515892076
アイカ工業,2020,Q4,55.6485152212637
アイコム,2018,Q1,0.7848284167174692
アイコム,2018,Q2,17.602481562652184
アイコム,2018,Q3,17.77561239694961
アイコム,2018,Q4,117.7079694620016
アイコム,2019,Q1,-27.81888500373437
アイコム,2019,Q2,55.06182460373035
アイコム,2019,Q3,34.61178001039154
アイコム,2019,Q4,14.892979861091362
アイコム,2020,Q1,30.738789553839297
アイコム,2020,Q2,-30.445265111743385
アイコム,2020,Q3,40.85634122237775
アイコム,2020,Q4,34.662346859690466
アイシン,2018,Q1,202.00096540979726
アイシン,2018,Q2,136.25311578781415
アイシン,2018,Q3,125.81983282053648
アイシン,2018,Q4,165.39601763326075
アイシン,2019,Q1,209.27459676368767
アイシン,2019,Q2,-16.49406106851859
アイシン,2019,Q3,97.86446282177364
アイシン,2019,Q4,99.37799577380504
アイシン,2020,Q1,-72.44823548104016
アイシン,2020,Q2,-288.6346138634496
アイシン,2020,Q3,176.16469509800535
アイシン,2020,Q4,-82.5987838921031
アイダエンジニアリング,2018,Q1,1.2840137125986832
アイダエンジニアリング,2018,Q2,-3.779225533214344
アイダエンジニアリング,2018,Q3,6.743615475599401
アイダエンジニアリング,2018,Q4,14.772687912154623
アイダエンジニアリング,2019,Q1,6.048183338805122
アイダエンジニアリング,2019,Q2,12.921895841443083
アイダエンジニアリング,2019,Q3,16.371860559067574
アイダエンジニアリング,2019,Q4,26.652058628589447
アイダエンジニアリング,2020,Q1,19.15313775296382
アイダエンジニアリング,2020,Q2,32.5582022976977
アイダエンジニアリング,2020,Q3,69.65702902354103
アイダエンジニアリング,2020,Q4,-24.16160476777371
アイチコーポレーション,2018,Q1,17.47947028711715
アイチコーポレーション,2018,Q2,15.383928953575255
アイチコーポレーション,2018,Q3,14.515036050308339
アイチコーポレーション,2018,Q4,21.77603997009365
アイチコーポレーション,2019,Q1,10.363641805923928
アイチコーポレーション,2019,Q2,34.30055646091776
アイチコーポレーション,2019,Q3,21.735977615618406
アイチコーポレーション,2019,Q4,34.52452721755972
アイチコーポレーション,2020,Q1,16.843966451700485
アイチコーポレーション,2020,Q2,18.050185986415052
アイチコーポレーション,2020,Q3,19.62164798310849
アイチコーポレーション,2020,Q4,13.144902331323143
アイティフォー,2018,Q1,-7.089671324469847
アイティフォー,2018,Q2,-2.8151408613308937
アイティフォー,2018,Q3,14.228345127236567
アイティフォー,2018,Q4,23.74759196770543
アイティフォー,2019,Q1,5.387492270421291
アイティフォー,2019,Q2,14.756938973114876
アイティフォー,2019,Q3,17.731669514310692
アイティフォー,2019,Q4,13.597790538420176
アイティフォー,2020,Q1,6.3543674722700985
アイティフォー,2020,Q2,11.161148103533781
アイティフォー,2020,Q3,-24.36453313130627
アイティフォー,2020,Q4,20.691407959934963
アイティメディア,2018,Q1,-22.922017012227837
アイティメディア,2018,Q2,19.798581589500486
アイティメディア,2018,Q3,-12.238287199630273
アイティメディア,2018,Q4,15.888888017822296
アイティメディア,2019,Q1,8.156725006267266
アイティメディア,2019,Q2,28.262768893998327
アイティメディア,2019,Q3,8.199064884192438
アイティメディア,2019,Q4,6.8474348589362215
アイティメディア,2020,Q1,-1.4377463249267137
アイティメディア,2020,Q2,12.101838997724684
アイティメディア,2020,Q3,10.3027810605735
アイティメディア,2020,Q4,3.909407781502807
アイネス,2018,Q1,-0.08934289806320332
アイネス,2018,Q2,11.907628319732282
アイネス,2018,Q3,-3.086317549868587
アイネス,2018,Q4,29.15685942627086
アイネス,2019,Q1,-8.385349673358578
アイネス,2019,Q2,4.319695170223128
アイネス,2019,Q3,117.90914576773628
アイネス,2019,Q4,-160.7861700824679
アイネス,2020,Q1,9.44293817195387
アイネス,2020,Q2,5.257965402345671
アイネス,2020,Q3,36.59592476313541
アイネス,2020,Q4,47.936480903566896
アイネット,2018,Q1,10.113673183129222
アイネット,2018,Q2,23.404885053641454
アイネット,2018,Q3,20.547980731757985
アイネット,2018,Q4,34.50894186692211
アイネット,2019,Q1,15.402859461673811
アイネット,2019,Q2,38.78904137776643
アイネット,2019,Q3,16.384362175578378
アイネット,2019,Q4,34.44086003118121
アイネット,2020,Q1,27.98601664081171
アイネット,2020,Q2,21.238727466295302
アイネット,2020,Q3,15.490811512731
アイネット,2020,Q4,23.76911144086445
アイホン,2018,Q1,29.223732156482622
アイホン,2018,Q2,84.20092097827134
アイホン,2018,Q3,36.099083281974536
アイホン,2018,Q4,75.25709584689695
アイホン,2019,Q1,25.80509619102728
アイホン,2019,Q2,55.78038544998142
アイホン,2019,Q3,41.42556224374436
アイホン,2019,Q4,75.79240513224545
アイホン,2020,Q1,39.00199097020046
アイホン,2020,Q2,76.90993538171891
アイホン,2020,Q3,55.1046999334803
アイホン,2020,Q4,41.33284381665095
アイロムグループ,2018,Q1,15.64123425442157
アイロムグループ,2018,Q2,5.313691402106201
アイロムグループ,2018,Q3,0.6525461021880853
アイロムグループ,2018,Q4,-38.65113854110365
アイロムグループ,2019,Q1,-38.56055427532791
アイロムグループ,2019,Q2,-52.46720388471997
アイロムグループ,2019,Q3,50.76334466180367
アイロムグループ,2019,Q4,25.770389084642943
アイロムグループ,2020,Q1,39.120797547587166
アイロムグループ,2020,Q2,30.59448825467401
アイロムグループ,2020,Q3,54.508212204066695
アイロムグループ,2020,Q4,15.82072238972618
アキレス,2018,Q1,-69.99091087095877
アキレス,2018,Q2,83.96023370883377
アキレス,2018,Q3,14.172205501310279
アキレス,2018,Q4,125.86062545479199
アキレス,2019,Q1,-20.029464256238366
アキレス,2019,Q2,53.1234113430181
アキレス,2019,Q3,-160.16208162035457
アキレス,2019,Q4,120.72059486413337
アキレス,2020,Q1,-212.03218963852092
アキレス,2020,Q2,105.09648422524943
アキレス,2020,Q3,-88.74094703426134
