企業名,会計年度,四半期,y_hat_comb_uall
あらた,2018,Q1,112.46521315328005
あらた,2018,Q2,89.58731172466187
あらた,2018,Q3,111.2202629163902
あらた,2018,Q4,79.85039153005465
あらた,2019,Q1,112.36260211170664
あらた,2019,Q2,104.3364269074171
あらた,2019,Q3,112.61414478338936
あらた,2019,Q4,105.5352851441479
あらた,2020,Q1,105.00882778390974
あらた,2020,Q2,109.46948607110262
あらた,2020,Q3,125.87780911568174
あらた,2020,Q4,110.7664234199353
いすゞ自動車,2018,Q1,31.810496147051158
いすゞ自動車,2018,Q2,29.29212810707636
いすゞ自動車,2018,Q3,34.21795169426119
いすゞ自動車,2018,Q4,32.00999165712031
いすゞ自動車,2019,Q1,39.722531090508454
いすゞ自動車,2019,Q2,26.450082672854414
いすゞ自動車,2019,Q3,34.81288522582483
いすゞ自動車,2019,Q4,26.315147696292986
いすゞ自動車,2020,Q1,31.175265734482867
いすゞ自動車,2020,Q2,8.22867173333113
いすゞ自動車,2020,Q3,25.573124708827166
いすゞ自動車,2020,Q4,24.260119878979765
いなげや,2018,Q1,1.8014952218755105
いなげや,2018,Q2,4.5620353232275965
いなげや,2018,Q3,13.230383764878974
いなげや,2018,Q4,2.5151201867017696
いなげや,2019,Q1,-7.709993288783193
いなげや,2019,Q2,2.1700030211895993
いなげや,2019,Q3,10.731575301574868
いなげや,2019,Q4,-14.396169987605756
いなげや,2020,Q1,-1.6583436456153475
いなげや,2020,Q2,14.873861634220702
いなげや,2020,Q3,13.413776919648559
いなげや,2020,Q4,15.612136499586217
かどや製油,2018,Q1,66.77998136170791
かどや製油,2018,Q2,92.13935736636805
かどや製油,2018,Q3,83.69075410075558
かどや製油,2018,Q4,62.56100700389432
かどや製油,2019,Q1,63.347848553451925
かどや製油,2019,Q2,78.04547940392635
かどや製油,2019,Q3,70.30649560260301
かどや製油,2019,Q4,33.35694253023083
かどや製油,2020,Q1,73.861725646292
かどや製油,2020,Q2,69.39288377330017
かどや製油,2020,Q3,64.25912976650405
かどや製油,2020,Q4,53.114320228928726
きんでん,2018,Q1,15.760015945751565
きんでん,2018,Q2,23.910734724943147
きんでん,2018,Q3,32.2484626330046
きんでん,2018,Q4,68.11338771733134
きんでん,2019,Q1,14.543269630306515
きんでん,2019,Q2,26.785172292406195
きんでん,2019,Q3,32.159479277448284
きんでん,2019,Q4,64.17135242352255
きんでん,2020,Q1,19.992263700461457
きんでん,2020,Q2,31.11451391422397
きんでん,2020,Q3,40.689544624116266
きんでん,2020,Q4,61.64234133542154
さくらインターネット,2018,Q1,49.762299495440224
さくらインターネット,2018,Q2,39.02428631778655
さくらインターネット,2018,Q3,75.67424209463097
さくらインターネット,2018,Q4,41.66200715826269
さくらインターネット,2019,Q1,28.59973723814046
さくらインターネット,2019,Q2,53.752857278491135
さくらインターネット,2019,Q3,9.086023224285224
さくらインターネット,2019,Q4,25.496260217467466
