企業名,会計年度,四半期,y_hat_comb_uml
あらた,2018,Q1,111.12431500270768
あらた,2018,Q2,86.57670642856048
あらた,2018,Q3,108.20825325601706
あらた,2018,Q4,88.65873864875272
あらた,2019,Q1,107.63854188348768
あらた,2019,Q2,105.8688675525354
あらた,2019,Q3,113.50116691222564
あらた,2019,Q4,106.87058943781214
あらた,2020,Q1,105.73524602861619
あらた,2020,Q2,99.31496229665757
あらた,2020,Q3,130.8728574908841
あらた,2020,Q4,109.17930950764845
いすゞ自動車,2018,Q1,26.029071342981382
いすゞ自動車,2018,Q2,26.876763812248257
いすゞ自動車,2018,Q3,31.504816490122657
いすゞ自動車,2018,Q4,26.09725137898132
いすゞ自動車,2019,Q1,35.059140353351665
いすゞ自動車,2019,Q2,26.12625275417867
いすゞ自動車,2019,Q3,28.880949255947368
いすゞ自動車,2019,Q4,26.203904054535514
いすゞ自動車,2020,Q1,29.278100041946583
いすゞ自動車,2020,Q2,23.269148546452605
いすゞ自動車,2020,Q3,23.717096767905613
いすゞ自動車,2020,Q4,24.408031562622607
いなげや,2018,Q1,5.387037239936234
いなげや,2018,Q2,5.990590992329439
いなげや,2018,Q3,12.49832559641941
いなげや,2018,Q4,5.662369940730538
いなげや,2019,Q1,1.420213565729835
いなげや,2019,Q2,6.4372402917174885
いなげや,2019,Q3,10.496850920174307
いなげや,2019,Q4,-5.109539406374642
いなげや,2020,Q1,-0.7672077398416568
いなげや,2020,Q2,1.0569717370312643
いなげや,2020,Q3,4.147595996598916
いなげや,2020,Q4,11.110507564546204
かどや製油,2018,Q1,62.50036245640791
かどや製油,2018,Q2,61.02421859895199
かどや製油,2018,Q3,61.693751287852535
かどや製油,2018,Q4,55.22421137302246
かどや製油,2019,Q1,55.55805409805797
かどや製油,2019,Q2,57.5232395768855
かどや製油,2019,Q3,62.44421173612592
かどや製油,2019,Q4,41.61742769740589
かどや製油,2020,Q1,53.972161706896856
かどや製油,2020,Q2,65.4180781124793
かどや製油,2020,Q3,60.73903778359069
かどや製油,2020,Q4,63.79113729553992
きんでん,2018,Q1,8.734536703354062
きんでん,2018,Q2,25.957953046672866
きんでん,2018,Q3,33.71398397713715
きんでん,2018,Q4,75.3070687233297
きんでん,2019,Q1,9.496389003241504
きんでん,2019,Q2,27.736521323639142
きんでん,2019,Q3,31.88084422343645
きんでん,2019,Q4,66.47062562223985
きんでん,2020,Q1,14.403989489023402
きんでん,2020,Q2,31.522458861790845
きんでん,2020,Q3,40.06037420602637
きんでん,2020,Q4,62.259659856942946
さくらインターネット,2018,Q1,146.03278132024954
さくらインターネット,2018,Q2,134.9427830508173
さくらインターネット,2018,Q3,157.1201979583712
さくらインターネット,2018,Q4,84.85239367750354
さくらインターネット,2019,Q1,74.01114547241043
さくらインターネット,2019,Q2,128.2074053014745
さくらインターネット,2019,Q3,33.19091265457246
さくらインターネット,2019,Q4,63.96278499250362
さくらインターネット,2020,Q1,-0.5731769162990972
さくらインターネット,2020,Q2,13.882101221480196
さくらインターネット,2020,Q3,51.04891162559973
さくらインターネット,2020,Q4,8.843635187615135
たけびし,2018,Q1,33.80558291960155
たけびし,2018,Q2,37.08914598926652
たけびし,2018,Q3,35.47790972819993
たけびし,2018,Q4,39.91173282172136
たけびし,2019,Q1,33.09002407821655
たけびし,2019,Q2,31.624935342930414
たけびし,2019,Q3,33.054819317662094
たけびし,2019,Q4,27.789879005886373
たけびし,2020,Q1,27.85064487495615
たけびし,2020,Q2,26.5492682321971
たけびし,2020,Q3,26.04845203686827
たけびし,2020,Q4,28.127332419898632
なとり,2018,Q1,24.107068426512676
なとり,2018,Q2,11.359634968967097
なとり,2018,Q3,48.742375885706075
なとり,2018,Q4,-12.196933662804017
なとり,2019,Q1,23.038719547778083
なとり,2019,Q2,21.00120906060029
なとり,2019,Q3,58.443887866597784
なとり,2019,Q4,-19.428374524516407
なとり,2020,Q1,18.451336311334035
なとり,2020,Q2,20.14777419700915
