企業名,会計年度,四半期,y_hat_comb_uts
あらた,2018,Q1,113.22412430439404
あらた,2018,Q2,90.15611630647562
あらた,2018,Q3,113.70910722796684
あらた,2018,Q4,72.24461414110738
あらた,2019,Q1,116.59633671662311
あらた,2019,Q2,101.92298577280584
あらた,2019,Q3,112.00886803699807
あらた,2019,Q4,103.40128473804627
あらた,2020,Q1,104.21696572038468
あらた,2020,Q2,120.61543430487924
あらた,2020,Q3,124.58391023865629
あらた,2020,Q4,113.58760523375199
いすゞ自動車,2018,Q1,35.76999496162128
いすゞ自動車,2018,Q2,31.829105035306156
いすゞ自動車,2018,Q3,36.58627380928034
いすゞ自動車,2018,Q4,37.64310608200762
いすゞ自動車,2019,Q1,42.80581764023963
いすゞ自動車,2019,Q2,25.911355142365892
いすゞ自動車,2019,Q3,40.66340472402835
いすゞ自動車,2019,Q4,26.989815942286004
いすゞ自動車,2020,Q1,31.803363177312555
いすゞ自動車,2020,Q2,-6.179824727938625
いすゞ自動車,2020,Q3,28.714188905691554
いすゞ自動車,2020,Q4,22.453846507861414
いなげや,2018,Q1,0.09704915180204603
いなげや,2018,Q2,3.3249158525916522
いなげや,2018,Q3,13.000359052622406
いなげや,2018,Q4,-0.0844175791808853
いなげや,2019,Q1,-15.888099430150245
いなげや,2019,Q2,-0.8698171909947922
いなげや,2019,Q3,9.798289867010244
いなげや,2019,Q4,-22.147118450111808
いなげや,2020,Q1,-1.614708099357356
いなげや,2020,Q2,28.805580878816397
いなげや,2020,Q3,21.78375004201799
いなげや,2020,Q4,16.814896947535516
かどや製油,2018,Q1,74.0049327582895
かどや製油,2018,Q2,119.82563985357449
かどや製油,2018,Q3,103.15752717122912
かどや製油,2018,Q4,60.26088490937067
かどや製油,2019,Q1,66.69407382845748
かどや製油,2019,Q2,92.20338714634428
かどや製油,2019,Q3,72.84566181630528
かどや製油,2019,Q4,23.114122902536963
かどや製油,2020,Q1,88.28654192706654
かどや製油,2020,Q2,71.64926505661694
かどや製油,2020,Q3,65.2220093061355
かどや製油,2020,Q4,45.40327062142552
きんでん,2018,Q1,22.8907455288199
きんでん,2018,Q2,22.027507012547925
きんでん,2018,Q3,31.300630084299492
きんでん,2018,Q4,63.50236345599857
きんでん,2019,Q1,19.661010058019823
きんでん,2019,Q2,26.096672525900935
きんでん,2019,Q3,32.4472351761473
きんでん,2019,Q4,62.420122349253155
きんでん,2020,Q1,24.890168809704228
きんでん,2020,Q2,28.451735739015163
きんでん,2020,Q3,39.569603883411396
きんでん,2020,Q4,60.790550785289
さくらインターネット,2018,Q1,-17.962824065319193
さくらインターネット,2018,Q2,-30.386707805080714
さくらインターネット,2018,Q3,25.072211822565002
さくらインターネット,2018,Q4,14.92596137452254
さくらインターネット,2019,Q1,-2.1034699016474168
さくらインターネット,2019,Q2,4.440076315802676
さくらインターネット,2019,Q3,-8.719131675087514
さくらインターネット,2019,Q4,-0.5820705590679615
さくらインターネット,2020,Q1,4.56306759164267
さくらインターネット,2020,Q2,1.313711415457726
さくらインターネット,2020,Q3,1.4710284995363245
さくらインターネット,2020,Q4,4.484742660397262
たけびし,2018,Q1,39.12678240398133
たけびし,2018,Q2,41.67696021648782
たけびし,2018,Q3,47.97292274579038
たけびし,2018,Q4,51.424171003204286
たけびし,2019,Q1,40.10882463412272
たけびし,2019,Q2,35.73398060342236
たけびし,2019,Q3,49.673830477856434
たけびし,2019,Q4,18.504790871737942
たけびし,2020,Q1,22.888003539729418
たけびし,2020,Q2,33.28812930270415
たけびし,2020,Q3,21.15371699750486
たけびし,2020,Q4,20.973585491978127
なとり,2018,Q1,17.60085489498321
なとり,2018,Q2,15.161116905153529
なとり,2018,Q3,45.50083606787581
なとり,2018,Q4,-0.48397722932502313
なとり,2019,Q1,14.53898517606947
なとり,2019,Q2,18.511440111058068
なとり,2019,Q3,54.23169573157296
なとり,2019,Q4,-5.345966421129326
なとり,2020,Q1,11.880131580009934
なとり,2020,Q2,22.5741585495877
なとり,2020,Q3,55.90304159334708
なとり,2020,Q4,15.606987836758652
はせがわ,2018,Q1,-6.195806975417426
はせがわ,2018,Q2,21.8644814648275
はせがわ,2018,Q3,4.5447822815348475
はせがわ,2018,Q4,8.683085776959043
はせがわ,2019,Q1,-11.428197541242744
はせがわ,2019,Q2,12.609685301625493
はせがわ,2019,Q3,-0.8266979561220229
はせがわ,2019,Q4,-8.064765885719224
はせがわ,2020,Q1,-35.27699810685525
はせがわ,2020,Q2,10.907339229603704
はせがわ,2020,Q3,-12.214913411050027
はせがわ,2020,Q4,-12.269873099501462
はるやまホールディングス,2018,Q1,17.94578251045224
はるやまホールディングス,2018,Q2,-22.780110513577323
はるやまホールディングス,2018,Q3,9.15397861602328
はるやまホールディングス,2018,Q4,59.20339185716564
はるやまホールディングス,2019,Q1,-9.176270168520121
はるやまホールディングス,2019,Q2,-34.57835046794499
はるやまホールディングス,2019,Q3,7.991575352457812
はるやまホールディングス,2019,Q4,34.861405133073774
はるやまホールディングス,2020,Q1,4.817461826176654
はるやまホールディングス,2020,Q2,-50.28759850074728
はるやまホールディングス,2020,Q3,-12.290192862124782
はるやまホールディングス,2020,Q4,-14.26683175206793
ぴあ,2018,Q1,13.95707185600387
ぴあ,2018,Q2,22.76046003932272
ぴあ,2018,Q3,8.72415042657675
ぴあ,2018,Q4,11.038063386645472
ぴあ,2019,Q1,23.163831357455674
ぴあ,2019,Q2,7.551438706523065
ぴあ,2019,Q3,13.26002694613123
ぴあ,2019,Q4,3.929919621918213
ぴあ,2020,Q1,3.507028415030991
ぴあ,2020,Q2,-80.64118313956278
ぴあ,2020,Q3,-80.97087853527039
ぴあ,2020,Q4,-50.740290149801716
りらいあコミュニケーションズ,2018,Q1,10.149876542492223
りらいあコミュニケーションズ,2018,Q2,10.250846241546329
りらいあコミュニケーションズ,2018,Q3,13.922944972935749
りらいあコミュニケーションズ,2018,Q4,12.514249931133538
りらいあコミュニケーションズ,2019,Q1,-107.82040928086155
りらいあコミュニケーションズ,2019,Q2,11.459317921742102
りらいあコミュニケーションズ,2019,Q3,9.479473490425423
りらいあコミュニケーションズ,2019,Q4,-94.66812183686825
りらいあコミュニケーションズ,2020,Q1,30.308308605042498
りらいあコミュニケーションズ,2020,Q2,15.978594487273602
りらいあコミュニケーションズ,2020,Q3,19.20462049066441
りらいあコミュニケーションズ,2020,Q4,22.79193799318627
わかもと製薬,2018,Q1,1.9767598845472136
わかもと製薬,2018,Q2,-2.2143641968562546
わかもと製薬,2018,Q3,1.7203336652496568
わかもと製薬,2018,Q4,3.69447055234063
わかもと製薬,2019,Q1,-1.2661143051178723
わかもと製薬,2019,Q2,-6.329249271778808
わかもと製薬,2019,Q3,-15.816286013605055
わかもと製薬,2019,Q4,-8.1537208044648
わかもと製薬,2020,Q1,-5.582305023414349
わかもと製薬,2020,Q2,-22.254383523314782
