企業名,会計年度,四半期,y_hat_ibes_comb_all
いすゞ自動車,2018,Q1,28.26912863762703
いすゞ自動車,2018,Q2,28.689856714670736
いすゞ自動車,2018,Q3,35.48409301945657
いすゞ自動車,2018,Q4,34.318747153426116
いすゞ自動車,2019,Q1,41.01929935997846
いすゞ自動車,2019,Q2,27.85572257840402
いすゞ自動車,2019,Q3,37.07380883544742
いすゞ自動車,2019,Q4,23.93141260253813
いすゞ自動車,2020,Q1,27.427325848097112
いすゞ自動車,2020,Q2,17.349789897018724
いすゞ自動車,2020,Q3,23.885702515584516
いすゞ自動車,2020,Q4,35.580137267405576
アイシン,2018,Q1,141.6198475301311
アイシン,2018,Q2,94.05337214238948
アイシン,2018,Q3,118.54406017210367
アイシン,2018,Q4,117.22017648745995
アイシン,2019,Q1,126.83905635522935
アイシン,2019,Q2,44.38917999875682
アイシン,2019,Q3,74.97177844067862
アイシン,2019,Q4,72.05472639214825
アイシン,2020,Q1,-29.159786325013478
アイシン,2020,Q2,-92.71312823522425
アイシン,2020,Q3,124.05848376107113
アイシン,2020,Q4,36.737747417661176
アステラス製薬,2018,Q1,29.030092113017073
アステラス製薬,2018,Q2,21.001310951276295
アステラス製薬,2018,Q3,30.772130008670008
アステラス製薬,2018,Q4,18.25496706809758
アステラス製薬,2019,Q1,28.369569545630863
アステラス製薬,2019,Q2,26.744260050271347
アステラス製薬,2019,Q3,36.438136948503235
アステラス製薬,2019,Q4,20.23459294169038
アステラス製薬,2020,Q1,35.2230905256899
アステラス製薬,2020,Q2,30.915032090973572
アステラス製薬,2020,Q3,32.89346047155641
アステラス製薬,2020,Q4,15.212665719576036
アズビル,2018,Q1,39.764856523949746
アズビル,2018,Q2,51.15617387012676
アズビル,2018,Q3,45.961647811065866
アズビル,2018,Q4,85.85789914341782
アズビル,2019,Q1,41.583011116170574
アズビル,2019,Q2,44.752733784316455
アズビル,2019,Q3,23.5005959915384
アズビル,2019,Q4,50.71685982293399
アズビル,2020,Q1,13.070469628726912
アズビル,2020,Q2,36.20187275642584
アズビル,2020,Q3,30.66623074993326
アズビル,2020,Q4,51.609424272454646
アドバンテスト,2018,Q1,36.16845259594666
アドバンテスト,2018,Q2,50.13414614627433
アドバンテスト,2018,Q3,55.67655274661775
アドバンテスト,2018,Q4,63.91455431757638
アドバンテスト,2019,Q1,49.80770066160487
アドバンテスト,2019,Q2,58.08881498715631
