企業名,会計年度,四半期,y_hat_ibes_comb_mml
いすゞ自動車,2018,Q1,35.44880387748616
いすゞ自動車,2018,Q2,31.671734736142145
いすゞ自動車,2018,Q3,42.08117306058031
いすゞ自動車,2018,Q4,35.95370306317413
いすゞ自動車,2019,Q1,44.293011260636604
いすゞ自動車,2019,Q2,27.930744271592108
いすゞ自動車,2019,Q3,37.0477060134561
いすゞ自動車,2019,Q4,23.8180249491171
いすゞ自動車,2020,Q1,19.97727937118329
いすゞ自動車,2020,Q2,17.839655146359583
いすゞ自動車,2020,Q3,36.39378927311898
いすゞ自動車,2020,Q4,27.573715411905287
アイシン,2018,Q1,158.48498269390177
アイシン,2018,Q2,74.4588995871552
アイシン,2018,Q3,120.0132279810565
アイシン,2018,Q4,120.46894925147906
アイシン,2019,Q1,112.68914544661112
アイシン,2019,Q2,33.74791871303129
アイシン,2019,Q3,64.89098848309334
アイシン,2019,Q4,39.51375370567465
アイシン,2020,Q1,-79.39025349026612
アイシン,2020,Q2,19.97444084608968
アイシン,2020,Q3,145.25948479886017
アイシン,2020,Q4,105.04003198514089
アステラス製薬,2018,Q1,28.305896209050292
アステラス製薬,2018,Q2,26.325650142873528
アステラス製薬,2018,Q3,30.61971677557048
アステラス製薬,2018,Q4,16.64470346133611
アステラス製薬,2019,Q1,31.34308765172267
アステラス製薬,2019,Q2,25.787596084211703
アステラス製薬,2019,Q3,31.011009752079755
アステラス製薬,2019,Q4,19.506355431212697
アステラス製薬,2020,Q1,27.61701926605588
アステラス製薬,2020,Q2,32.902768076577814
アステラス製薬,2020,Q3,32.72544371050791
アステラス製薬,2020,Q4,16.326640047435777
アズビル,2018,Q1,19.24042229501163
アズビル,2018,Q2,45.43757429782827
アズビル,2018,Q3,16.03103304841821
アズビル,2018,Q4,82.13900700114858
アズビル,2019,Q1,24.70638371488539
アズビル,2019,Q2,28.91358409210819
アズビル,2019,Q3,9.232992875714777
アズビル,2019,Q4,39.988705381726696
アズビル,2020,Q1,17.572474782260127
アズビル,2020,Q2,30.687371401872127
アズビル,2020,Q3,33.78189195311841
アズビル,2020,Q4,50.72489736409605
アドバンテスト,2018,Q1,52.61688397007035
アドバンテスト,2018,Q2,59.051716604486124
アドバンテスト,2018,Q3,62.888725356576515
アドバンテスト,2018,Q4,52.94203378090245
アドバンテスト,2019,Q1,47.308781725548556
アドバンテスト,2019,Q2,64.54315889709895
アドバンテスト,2019,Q3,53.289505336070484
アドバンテスト,2019,Q4,53.57067161594306
アドバンテスト,2020,Q1,62.21465182651769
アドバンテスト,2020,Q2,65.42877805668678
アドバンテスト,2020,Q3,60.70315363001685
アドバンテスト,2020,Q4,86.57922842910352
アリアケジャパン,2018,Q1,53.634681259200384
アリアケジャパン,2018,Q2,58.15678958092875
アリアケジャパン,2018,Q3,56.560571517851464
アリアケジャパン,2018,Q4,57.57401287610633
アリアケジャパン,2019,Q1,-22.558322733311623
アリアケジャパン,2019,Q2,61.63602909734876
アリアケジャパン,2019,Q3,66.0674673509058
アリアケジャパン,2019,Q4,87.0669105872011
アリアケジャパン,2020,Q1,55.81838414335547
アリアケジャパン,2020,Q2,47.476765034275196
アリアケジャパン,2020,Q3,67.72240019745219
アリアケジャパン,2020,Q4,76.99945877329993
アルプスアルパイン,2018,Q1,43.364635220872735
アルプスアルパイン,2018,Q2,77.80694147738497
アルプスアルパイン,2018,Q3,77.25602054064792
アルプスアルパイン,2018,Q4,-11.103015173311233
アルプスアルパイン,2019,Q1,15.058892580770573
アルプスアルパイン,2019,Q2,59.23403544939626
アルプスアルパイン,2019,Q3,28.902642995127383
アルプスアルパイン,2019,Q4,-9.08945143147398
