企業名,会計年度,四半期,y_test,y_hat_rw,y_hat_srw,y_hat_sarima_br,y_hat_sarima_f,y_hat_sarima_g,y_hat_uen,y_hat_ul1,y_hat_ul2,y_hat_umlp,y_hat_ols1,y_hat_ols2,y_hat_ols3,y_hat_men,y_hat_ml1,y_hat_ml2,y_hat_mraf,y_hat_mmlp,y_hat_comb_all,y_hat_comb_uall,y_hat_comb_uml,y_hat_comb_mall,y_hat_comb_mml,y_hat_ibes
いすゞ自動車,2018,Q1,48.38,27.74,41.69,33.19451556243388,39.93056553826532,36.2948937074072,22.903220732937623,22.903220732937623,32.39948690605027,25.910357,39.551685127269536,19.63138887904799,-48.08807230946104,34.97240076908402,34.756859179386225,35.19718009024746,33.855803226199214,36.51058,27.6090638318709,31.4406955755591,26.029071342981386,23.298478120221677,35.058564652983385,37.4
いすゞ自動車,2018,Q2,24.15,48.38,25.17,28.366443973715025,28.002100356419287,29.22698084639645,23.55593475870817,23.55593475870817,33.58143873157669,26.813747,22.46544017319292,27.054625722535548,10.090124842299929,34.6990164586212,34.93502290790201,27.73677705032968,30.480000000000008,29.579592,28.452539975317947,29.628064491724867,26.876763812248257,27.130074894360163,31.48608168337058,32.6
いすゞ自動車,2018,Q3,50.86,24.15,39.57,38.82475591242082,39.09556039358494,41.291052740395976,25.42547673624357,25.42547673624357,34.9832084880035,40.185104,38.92440864424205,44.97807021910978,-5.821929249897153,45.44720249450097,44.9148904164716,51.821865452509314,34.23560000000002,27.46748,34.759895469637,34.32784833409916,31.504816490122657,35.24594849711708,40.77740767269638,48.6
いすゞ自動車,2018,Q4,26.43,50.86,27.74,36.04082437601045,32.01946353577869,41.55524249824896,25.16496907951852,25.16496907951852,31.30185235688824,22.757215,35.40519799043511,30.287266032667134,47.93350232539558,37.70261258801138,38.2682953348848,37.64053045614861,31.0432,39.46758,34.726630626676815,32.51161510288482,26.09725137898132,37.21852309094282,36.82444367580896,31.6
いすゞ自動車,2019,Q1,37.13,26.43,48.38,43.78819295414706,47.92277312264219,47.50812212440892,28.102748827445826,28.102748827445826,44.562691758515,39.468372,60.094518342857214,38.96756458411164,22.77441307158142,42.3429940924767,41.573211912514935,47.64385155882793,37.61300000000004,49.48501,40.86824783393968,39.36284995717831,35.059140353351665,42.56182044529624,43.73161351276392,47.1
いすゞ自動車,2019,Q2,16.88,37.13,24.15,20.748494904990665,20.71722281410853,26.81105799273028,25.183781780824937,25.183781780824937,27.8162114550648,26.321236,21.630186780710915,24.714056773346627,54.843473614682125,21.895544368073303,22.45795666011174,12.880079601367587,31.04150000000002,50.709385,27.896115854519792,26.00686519206046,26.12625275417867,30.02152284978654,27.796893125910533,28.6
いすゞ自動車,2019,Q3,37.38,16.88,50.86,43.33272734414219,48.5192780516576,43.72501822434194,26.56750176854285,26.56750176854285,38.56163148670376,23.827162,49.16038215286926,41.5320004341165,42.939282430664434,36.58061667799463,36.68251177445358,41.05831562828834,37.06550000000004,31.799292,37.391689514254,35.42675784932569,28.880949255947368,39.60223763729835,36.63724721614732,39.1
いすゞ自動車,2019,Q4,18.75,37.38,26.43,23.26538770882208,21.59964421327541,26.274047789332524,26.001387386576702,26.001387386576702,25.33970844498865,27.473133,34.44184642094115,6.776070319529211,7.193926254607277,19.40019461179661,19.747999067394115,17.949983015511812,27.97950000000003,28.230473,23.616746389373667,26.640521769952453,26.203904054535517,20.214999086222523,22.661629938940514,29.6
いすゞ自動車,2020,Q1,-13.23,18.75,37.13,35.50345605791634,34.24465865244516,33.38870117620127,26.629517128435964,26.629517128435964,34.9498129109144,28.903553,37.531840204729946,25.61480716649185,38.96256632166842,7.593881930138958,7.605413668151355,11.508750628809404,33.213100000000026,38.44253,28.035417998490534,30.68102400603879,29.278100041946583,25.059111239998742,19.67273524541995,21.5
いすゞ自動車,2020,Q2,10.87,-13.23,16.88,-14.38844674205532,-7.085954214836281,-13.074722682801522,25.7611200727756,25.7611200727756,15.468182040259215,26.086172,-91.16537069143028,14.629762347075667,209.1427734351414,17.39764086141916,16.69706231269932,21.71758447783976,23.13710322619924,22.68854,17.4366215597095,6.908607838457477,23.269148546452605,29.28063699611803,20.3275861756315,5.4
いすゞ自動車,2020,Q3,40.98,10.87,37.38,36.979928502805365,35.36731212398623,22.97370390166616,25.653342294997817,25.653342294997817,18.24479048162681,25.316912,26.68049478538319,34.69873549253495,-100.36557513737262,45.219624069837536,44.807134610494224,41.08261995838207,37.15520000000004,25.798157,23.14798366937292,26.49325906667558,23.717096767905613,19.384548847407423,38.812547127742775,24.3
いすゞ自動車,2020,Q4,19.29,40.98,18.75,21.066606606707424,19.959099809679287,11.51352612292036,26.54639785055337,26.54639785055337,28.89049854938369,15.648832,27.628263539422733,27.75426078208525,221.18306087121164,31.1853056534448,31.88017447449336,30.20047934349355,26.5415,24.834833,37.124072732585226,23.32237319886639,24.408031562622607,52.65098470801891,28.928458494286343,20.8
アイシン,2018,Q1,148.85,141.39,112.82,125.68457273119326,126.7934730042626,139.64552363479555,93.42110640256274,93.42110640256274,126.5497051649995,51.41403,166.68532564153747,143.59053122129262,295.7270393665617,171.58487525590346,167.27676924537622,212.7662633987704,131.1148482633606,137.36714,143.3677829254811,112.3488352600418,91.20148699253124,178.26409904910034,164.02197923268213,130.8
アイシン,2018,Q2,90.68,148.85,88.67,84.78575604252491,106.68632544972112,102.70573310536446,88.57661232235232,88.57661232235232,113.51190952491667,47.624016,113.32370287425056,151.66661640990696,143.7690280792849,52.59242402005982,64.0509138308058,30.204185265236063,85.81161440682948,106.49426,95.1705711560944,96.66521830747018,84.57228754240532,93.48909311079667,67.83067950458624,107.6
アイシン,2018,Q3,69.27,90.68,148.24,147.95120670392174,149.43723852602963,162.22723333367793,86.3797447229914,86.3797447229914,90.83437677104403,103.40861,145.800437050445,149.01225956499704,82.64680184616736,99.7670616490245,109.72927038187852,104.54600007641424,119.6995357790217,142.6375,118.78688359580028,118.3931283089618,91.75061905425672,119.22985829349356,115.2758735772678,143.7
アイシン,2018,Q4,99.84,69.27,141.39,103.04634692517828,105.8808217597789,149.20013921439894,85.84780027854697,85.84780027854697,82.89260657661086,85.41117,111.29888524089417,128.2828637763721,256.606303882516,122.90736248668765,113.34606465129362,128.7328547496102,126.61268862128298,127.514725,119.06402549657162,100.97629833700675,84.9998442834262,139.4127185510821,123.82273910177489,103.7
アイシン,2019,Q1,64.57,99.84,148.85,120.6690347595237,131.22232688804743,134.22963336202284,86.00641138965808,86.00641138965808,105.44141716435908,99.91282,156.3586290490946,116.0881920092861,355.3769692326823,122.65512061121504,116.58615667361018,123.68959714863988,110.65452824620164,98.04947,130.09627752494112,112.46422832814102,94.3417649859188,149.9323328713412,114.32697453593336,104.5
アイシン,2019,Q2,48.17,64.57,90.68,54.17071638828782,64.94060093372674,46.355200752959455,85.67418916743587,85.67418916743587,81.07790553721985,67.17498,33.80110779234042,136.18748045502434,-219.47077145292053,-8.046260917352026,7.232486570151309,-32.69156030325013,67.89760292863856,90.695244,42.11312417762927,71.14642021634062,79.9003159680229,9.450666134078991,25.017502455637544,77.4
アイシン,2019,Q3,60.44,48.17,69.27,92.9127300075948,49.1693269307028,80.76277574508495,84.75224472299142,84.75224472299142,63.32673403914369,98.2119,59.44121126856157,136.1514343274839,98.00074286927544,55.46642764393425,61.055431884848446,24.50252303313789,76.30822833663946,93.41332,75.03925150190531,74.59199512983434,82.76078087128164,75.54241492048511,62.14918617971201,78.6
アイシン,2019,Q4,-83.89,60.44,99.84,95.42942460143408,95.8763599204036,79.1536944607874,84.45113361188032,84.45113361188032,78.67670929630687,91.045166,51.791928943416224,86.62375778108253,159.71830059691638,20.329467230736647,34.20578794334075,6.015173669873789,86.97071339009673,67.36138,75.4341253563621,85.4848468336325,84.65603563001687,64.12706369443288,42.97650444680959,22.2
