,決算期,決算月数,連結基準フラグ,決算種別フラグ,決算発表日,１株当たり利益［累計］,１株当たり利益［３ヵ月］
0,2007-06-01,3,2,21,2007-08-03,153.98,153.98
1,2007-09-01,6,2,22,2007-11-07,295.5,141.51
2,2007-12-01,9,2,23,2008-02-05,439.98,144.47
3,2008-03-01,12,2,10,2008-05-08,540.65,100.66999999999996
4,2008-06-01,3,2,21,2008-08-07,112.3,112.3
5,2008-09-01,6,2,22,2008-11-06,156.92,44.53
6,2008-12-01,9,2,23,2009-02-06,104.66,-52.49
7,2009-03-01,12,2,10,2009-05-08,-139.13,-244.18
8,2009-06-01,3,2,21,2009-08-04,-24.82,-24.82
9,2009-09-01,6,2,22,2009-11-05,-17.85,6.96
10,2009-12-01,9,2,23,2010-02-04,31.01,48.86
11,2010-03-01,12,2,10,2010-05-11,66.79,35.79
12,2010-06-01,3,2,21,2010-08-04,60.74,60.74
13,2010-09-01,6,2,22,2010-11-05,92.21,31.47
14,2010-12-01,9,2,23,2011-02-08,122.06,29.86
15,2011-03-01,12,2,10,2011-05-11,130.17,8.1
16,2011-06-01,3,2,21,2011-08-02,0.37,0.37
17,2011-09-01,6,2,22,2011-11-08,26.02,25.65
18,2011-12-01,9,2,23,2012-02-07,51.83,25.81
19,2012-03-01,12,2,10,2012-05-09,90.21,38.22
20,2012-06-01,3,2,21,2012-08-03,91.68,91.68
21,2012-09-01,6,2,22,2012-11-05,173.13,81.45
22,2012-12-01,9,2,23,2013-02-05,204.68,31.55
23,2013-03-01,12,2,10,2013-05-08,303.82,99.14
24,2013-06-01,3,2,21,2013-08-02,177.45,177.45
25,2013-09-01,6,2,22,2013-11-06,315.8,138.35
26,2013-12-01,9,2,23,2014-02-04,481.6,165.8
27,2014-03-01,12,2,10,2014-05-08,575.3,93.71
28,2014-06-01,3,2,21,2014-08-05,185.43,185.43
29,2014-09-01,6,2,22,2014-11-05,356.08,170.62
30,2014-12-01,9,2,23,2015-02-04,545.94,189.87
31,2015-03-01,12,2,10,2015-05-08,688.02,141.92
32,2015-06-01,3,2,21,2015-08-04,205.41,205.41
33,2015-09-01,6,2,22,2015-11-05,399.39,193.97
34,2015-12-01,9,2,23,2016-02-05,601.44,202.06
35,2016-03-01,12,2,10,2016-05-11,741.36,138.9
36,2016-06-01,3,2,21,2016-08-04,181.12,181.12
37,2016-09-01,6,2,22,2016-11-08,311.08,129.77
38,2016-12-01,9,2,23,2017-02-06,472.31,161.26
39,2017-03-01,12,2,10,2017-05-10,605.47,132.94
40,2017-06-01,3,2,21,2017-08-04,205.05,205.05
41,2017-09-01,6,2,22,2017-11-07,359.55,154.28
42,2017-12-01,9,2,23,2018-02-06,677.95,319.01
43,2018-03-01,12,2,10,2018-05-09,842.0,163.54
44,2018-06-01,3,2,21,2018-08-03,224.67,224.67
45,2018-09-01,6,2,22,2018-11-06,427.02,202.2
46,2018-12-01,9,2,23,2019-02-06,489.82,61.85
47,2019-03-01,12,2,10,2019-05-08,650.55,160.74
48,2019-06-01,3,3,21,2020-08-06,218.62,218.62
49,2019-09-01,6,3,22,2020-11-06,407.9,189.08
50,2019-12-01,9,2,23,2020-02-06,712.46,263.41
51,2020-03-01,12,2,10,2020-05-12,735.61,21.22
