,決算期,決算月数,本決算・中間決算フラグ,実績・予想フラグ,連結基準フラグ,データ更新日,一株利益
0,1997/03,12,1,2,1,1996/05/23,101.23
1,1997/03,12,1,2,1,1996/09/14,101.23
2,1997/03,12,1,2,1,1996/12/17,105.87
3,1997/03,12,1,2,1,1997/03/15,119.25
10,1997/03,12,1,0,1,1997/05/21,102.25
82,1997/09,6,2,0,1,1997/11/06,63.37
144,1998/03,12,1,2,1,1997/05/21,118.69
145,1998/03,12,1,2,1,1997/09/05,131.36
146,1998/03,12,1,2,1,1997/09/13,131.36
147,1998/03,12,1,2,1,1997/12/16,131.36
148,1998/03,12,1,2,1,1998/03/14,131.36
154,1998/03,12,1,0,1,1998/05/20,119.43
226,1998/09,6,2,0,1,1999/11/18,50.76
288,1999/03,12,1,2,1,1998/05/20,105.18
289,1999/03,12,1,2,1,1998/08/07,105.18
290,1999/03,12,1,2,1,1998/09/14,113.25
291,1999/03,12,1,2,1,1998/11/20,92.58
292,1999/03,12,1,2,1,1999/03/16,92.84
298,1999/03,12,1,0,1,2000/05/17,94.21
370,1999/09,6,2,0,1,2000/11/15,54.47
432,2000/03,12,1,2,1,1999/05/24,99.72
433,2000/03,12,1,2,1,1999/06/16,99.72
434,2000/03,12,1,2,1,1999/09/14,101.05
435,2000/03,12,1,2,1,1999/11/18,106.36
436,2000/03,12,1,2,1,1999/11/26,106.36
437,2000/03,12,1,2,1,2000/03/15,106.53
442,2000/03,12,1,0,2,2003/08/25,128.27
514,2000/09,6,2,0,2,2003/08/25,78.98
576,2001/03,12,1,2,1,2000/05/17,90.68
577,2001/03,12,1,2,1,2000/09/16,96
578,2001/03,12,1,2,1,2000/11/15,101.5
579,2001/03,12,1,2,1,2000/12/16,101.5
580,2001/03,12,1,2,1,2001/03/13,101.5
581,2001/03,12,1,2,1,2001/03/17,101.5
586,2001/03,12,1,0,2,2010/01/27,180.65
648,2001/09,6,2,2,1,2001/03/21,54.75
649,2001/09,6,2,2,1,2001/05/16,75.98
650,2001/09,6,2,2,1,2001/06/16,75.98
651,2001/09,6,2,2,1,2001/09/11,75.98
652,2001/09,6,2,2,1,2001/09/17,75.98
653,2001/09,6,2,2,1,2001/11/01,76.71
658,2001/09,6,2,0,2,2003/08/25,62.18
720,2002/03,12,1,2,1,2001/05/16,154.68
721,2002/03,12,1,2,1,2001/09/11,154.68
722,2002/03,12,1,2,1,2001/09/17,154.68
723,2002/03,12,1,2,1,2001/11/01,156.16
724,2002/03,12,1,2,1,2001/11/08,150.69
725,2002/03,12,1,2,1,2001/12/15,150.69
726,2002/03,12,1,2,1,2002/03/12,150.69
727,2002/03,12,1,2,1,2002/03/16,150.69
728,2002/03,12,1,2,1,2002/03/29,164.38
730,2002/03,12,1,0,2,2010/01/27,152.26
792,2002/09,6,2,2,1,2001/12/15,82.19
793,2002/09,6,2,2,1,2002/03/16,82.19
794,2002/09,6,2,2,1,2002/03/29,84.93
795,2002/09,6,2,2,1,2002/05/13,95.89
796,2002/09,6,2,2,1,2002/05/20,95.89
797,2002/09,6,2,2,1,2002/09/10,119.11
798,2002/09,6,2,2,1,2002/09/14,119.11
802,2002/09,6,2,0,2,2010/01/27,118.44
864,2003/03,12,1,2,1,2002/05/13,191.78
865,2003/03,12,1,2,1,2002/09/10,227.15
866,2003/03,12,1,2,1,2002/09/14,227.15
867,2003/03,12,1,2,1,2002/10/30,221.05
868,2003/03,12,1,2,1,2002/12/14,252.08
869,2003/03,12,1,2,1,2003/03/11,252.08
870,2003/03,12,1,2,1,2003/03/15,252.08
874,2003/03,12,1,0,2,2008/07/07,211.32
936,2003/09,6,2,2,1,2002/12/14,113.57
937,2003/09,6,2,2,1,2003/03/15,113.57
938,2003/09,6,2,2,1,2003/05/08,102.49
939,2003/09,6,2,2,2,2003/08/25,119.11
940,2003/09,6,2,2,2,2003/09/09,119.11
941,2003/09,6,2,2,2,2003/09/13,119.11
946,2003/09,6,2,0,2,2004/11/01,153.36
1008,2004/03,12,1,2,1,2003/05/08,213.3
1009,2004/03,12,1,2,2,2003/08/25,250.97
1010,2004/03,12,1,2,2,2003/09/09,250.97
1011,2004/03,12,1,2,2,2003/09/13,250.97
1012,2004/03,12,1,2,2,2003/11/05,265.93
1013,2004/03,12,1,2,2,2003/12/13,265.93
1014,2004/03,12,1,2,2,2004/02/05,445.98
1015,2004/03,12,1,2,2,2004/02/06,290.86
1016,2004/03,12,1,2,2,2004/03/09,290.86
1017,2004/03,12,1,2,2,2004/03/13,290.86
1018,2004/03,12,1,0,2,2005/05/10,342.9
1080,2004/09,6,2,2,2,2003/12/13,146.81
1081,2004/09,6,2,2,2,2004/03/13,146.81
1082,2004/09,6,2,2,2,2004/05/11,152.35
1083,2004/09,6,2,2,2,2004/09/13,152.35
1084,2004/09,6,2,2,2,2004/09/14,152.35
1090,2004/09,6,2,0,2,2005/11/04,176.32
1152,2005/03,12,1,2,2,2004/05/11,326.87
1153,2005/03,12,1,2,2,2004/09/13,326.87
1154,2005/03,12,1,2,2,2004/09/14,326.87
1155,2005/03,12,1,2,2,2004/11/01,332.41
1156,2005/03,12,1,2,2,2004/11/17,332.41
1157,2005/03,12,1,2,2,2004/11/25,332.41
1158,2005/03,12,1,2,2,2005/03/09,332.41
1159,2005/03,12,1,2,2,2005/03/15,332.41
1160,2005/03,12,1,2,2,2005/04/27,324.1
1162,2005/03,12,1,0,2,2006/05/10,355.35
1224,2005/09,6,2,2,2,2004/12/14,174.52
1225,2005/09,6,2,2,2,2005/03/15,168.98
1226,2005/09,6,2,2,2,2005/04/27,152.35
1227,2005/09,6,2,2,2,2005/05/10,152.35
1228,2005/09,6,2,2,2,2005/06/15,152.35
1229,2005/09,6,2,2,2,2005/09/07,152.35
1230,2005/09,6,2,2,2,2005/09/14,152.35
1234,2005/09,6,2,0,2,2006/11/07,175.13
1296,2006/03,12,1,2,2,2005/05/10,315.79
1297,2006/03,12,1,2,2,2005/06/15,304.71
1298,2006/03,12,1,2,2,2005/08/04,332.41
1299,2006/03,12,1,2,2,2005/09/07,332.41
1300,2006/03,12,1,2,2,2005/09/14,332.41
1301,2006/03,12,1,2,2,2005/11/04,340.72
1302,2006/03,12,1,2,2,2006/02/08,360.11
1303,2006/03,12,1,2,2,2006/03/08,360.11
1304,2006/03,12,1,2,2,2006/03/15,360.11
1305,2006/03,12,1,2,2,2006/04/25,360.11
1306,2006/03,12,1,0,2,2007/05/09,421.76
1368,2006/09,6,2,2,2,2005/12/14,180.06
1369,2006/09,6,2,2,2,2006/03/15,180.06
1370,2006/09,6,2,2,2,2006/05/10,163.3
1371,2006/09,6,2,2,2,2006/05/23,163.3
1372,2006/09,6,2,2,2,2006/09/05,163.3
1373,2006/09,6,2,2,2,2006/09/13,163.3
1378,2006/09,6,2,0,2,2007/11/07,241.36
1440,2007/03,12,1,2,2,2006/05/10,362.88
1441,2007/03,12,1,2,2,2006/05/23,362.88
1442,2007/03,12,1,2,2,2006/09/05,362.88
1443,2007/03,12,1,2,2,2006/09/13,362.88
1444,2007/03,12,1,2,2,2006/11/07,429.36
1445,2007/03,12,1,2,2,2006/12/13,429.36
1446,2007/03,12,1,2,2,2007/03/07,429.36
1447,2007/03,12,1,2,2,2007/03/14,429.36
1450,2007/03,12,1,0,2,2008/05/08,512.09
1512,2007/09,6,2,2,2,2006/12/13,221.61
1513,2007/09,6,2,2,2,2007/03/14,221.61
1514,2007/09,6,2,2,2,2007/05/09,221.61
1515,2007/09,6,2,2,2,2007/05/24,221.61
1516,2007/09,6,2,2,2,2007/06/14,221.61
1517,2007/09,6,2,2,2,2007/09/05,263.16
1518,2007/09,6,2,2,2,2007/09/13,263.16
1522,2007/09,6,2,0,2,2008/11/06,295.5
1584,2008/03,12,1,2,2,2007/05/09,457.06
1585,2008/03,12,1,2,2,2007/06/14,457.06
1586,2008/03,12,1,2,2,2007/09/05,457.06
