,決算期,決算発表日,決算月数,売上高・営業収益,売上総利益,営業利益,経常利益／税金等調整前当期純利益,当期純利益（連結）,１株当たり利益,販売費及び一般管理費,棚卸資産,資本的支出,期末従業員数,受取手形・売掛金／売掛金及びその他の短期債権
0,2002-06-01,2002-08-07,3.0,4021134.0,980461.0,394518.0,449936.0,,100.8,585942.0,960431.0,1178647.5,247128.42857142858,1292182.0
1,2002-09-01,2002-12-26,6.0,3592288.0,840121.0,290505.0,264525.0,,17.64,549617.0,927040.0,808702.0,250809.14285714287,1245733.0
2,2002-12-01,2003-02-05,9.0,4460037.0,1016004.0,425241.0,449835.0,,103.22999999999999,636567.0,1042173.0,1209465.5,254489.85714285713,1339274.0
3,2003-03-01,2003-07-31,12.0,3428094.0,750722.0,161382.0,62356.0,,-10.349999999999994,543536.0,1025838.0,1610229.0,258170.57142857142,1475797.0
4,2003-06-01,2003-08-05,3.0,4092939.0,953636.0,340772.0,371279.0,,64.83,612864.0,1054208.0,1177102.5,261851.2857142857,1335846.0
5,2003-09-01,2003-11-05,6.0,4131302.0,996241.0,426997.0,440734.0,,88.53000000000002,569244.0,1059824.0,743976.0,265532.0,1325168.0
6,2003-12-01,2004-02-05,9.0,4386059.0,998333.0,401693.0,429706.0,,84.82999999999998,596640.0,1070562.0,1116258.5,264971.0,1313066.0
7,2004-03-01,2004-05-11,12.0,4684460.0,840213.0,497428.0,524074.0,,104.70999999999998,342785.0,1083326.0,1488541.0,264410.0,1560617.0
8,2004-06-01,2004-08-03,3.0,4510316.0,1046536.0,448620.0,470429.0,,86.24,597916.0,1124779.0,1194567.5,266860.0,1383492.0
9,2004-09-01,2004-11-01,6.0,4515349.0,1017608.0,417629.0,442786.0,,90.08,599979.0,1191041.0,900594.0,269310.0,1425716.0
10,2004-12-01,2005-02-03,9.0,4644062.0,956133.0,422900.0,447188.0,,90.34999999999997,533233.0,1181228.0,1411917.0,267531.5,1381343.0
11,2005-03-01,2005-05-10,12.0,4881799.0,1030967.0,383038.0,394234.0,,88.68000000000006,647929.0,1306709.0,1923240.0,265753.0,1832381.0
12,2005-06-01,2005-08-03,3.0,4981785.0,1103698.0,405128.0,421860.0,,81.8,698570.0,1386647.0,1632251.0,272187.5,1427076.0
13,2005-09-01,2005-11-04,6.0,4971375.0,1139194.0,404363.0,434137.0,,93.33,734831.0,1443333.0,1341262.0,278622.0,1631301.0
14,2005-12-01,2006-02-07,9.0,5333387.0,1200452.0,482211.0,639974.0,,122.22000000000003,718241.0,1549685.0,2056251.0,282299.5,1503323.0
15,2006-03-01,2006-05-10,12.0,5750362.0,1258253.0,586640.0,591389.0,,124.40999999999997,671613.0,1620975.0,2771240.0,285977.0,2000171.0
16,2006-06-01,2006-08-04,3.0,5638112.0,1281560.0,512419.0,554648.0,,115.21,769141.0,1642730.0,2122245.5,290984.5,1699145.0
17,2006-09-01,2006-11-07,6.0,5833777.0,1366577.0,581006.0,611486.0,,126.15000000000002,785571.0,1702959.0,1473251.0,295992.0,1769849.0
18,2006-12-01,2007-02-06,9.0,6146584.0,1430467.0,574789.0,615942.0,,133.21000000000004,855678.0,1820605.0,2081723.0,297693.0,1808325.0
