,,,,,,決算期,決算月数,決算種別フラグ,連結基準フラグ,実績・予想フラグ,資料公表日／決算発表日,決算期初日,決算期末日,最新予想フラグ,売上高＜累計＞,営業利益＜累計＞,経常利益＜累計＞,潜在株式調整後１株当たり利益＜累計＞,１株当たり利益＜累計＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜累計＞,当期利益＜累計＞,売上高＜３ヵ月＞,営業利益＜３ヵ月＞,経常利益＜３ヵ月＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜３ヵ月＞,１株当たり利益＜３ヵ月＞,当期利益＜３ヵ月＞
,,,,,,FINHISA'ACC,FINHISA'MACC,FINHISA'HACC,FINHISA'SECFLG,FINHISA'RPFLG,FINHISA'PUBLISHDATE,FINHISA'CE001,FINHISA'CE002,FINHISA'CE066,FINHISA'CE003,FINHISA'CE004,FINHISA'CE005,FINHISA'CE009,FINHISA'CE007,FINHISA'CE006,FINHISA'CE008,FINHISA'CE011,FINHISA'CE012,FINHISA'CE013,FINHISA'CE014,FINHISA'CE015,FINHISA'CE016
,,,,,,年月,ヶ月,2桁コード,1桁コード,1桁コード,年月日,年月日,年月日,1桁コード,百万円,百万円,百万円,円,円,百万円,百万円,百万円,百万円,百万円,百万円,円,百万円
トヨタ自動車,T7203,月次(M),1997/03,#0001,#0001,1997/03,12,10,0,0,1996/11/08,-,-,1,8800000,-,550000,-,-,290000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),1997/09,#0001,#0001,1997/09,6,22,0,0,1997/05/21,-,-,1,3700000,-,310000,-,-,180000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),1998/03,#0001,#0001,1998/03,12,10,0,0,1997/05/21,-,-,0,8000000,-,630000,-,-,360000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),1998/03,#0002,#0002,1998/03,12,10,0,0,1997/11/06,-,-,1,7800000,-,650000,-,-,370000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),1998/09,#0001,#0001,1998/09,6,22,0,0,1998/05/20,-,-,1,3600000,-,230000,-,-,120000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),1999/03,#0001,#0001,1999/03,12,10,0,0,1998/05/20,-,-,0,7700000,-,540000,-,-,300000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),1999/03,#0002,#0002,1999/03,12,10,0,0,1998/11/20,-,-,1,7600000,-,500000,-,-,270000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),1999/09,#0001,#0001,1999/09,6,22,0,0,1999/05/24,-,-,1,3400000,-,200000,-,-,120000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2000/03,#0001,#0001,2000/03,12,10,0,0,1999/05/24,-,-,0,7200000,-,510000,-,-,300000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2000/03,#0002,#0002,2000/03,12,10,0,0,1999/11/18,-,-,1,7400000,-,580000,-,-,350000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2000/09,#0001,#0001,2000/09,6,22,0,0,2000/05/17,-,-,1,3600000,-,170000,-,-,70000,-,-,-,-,-,-,-
