企業名,登記上本店所在地‐住所,登記上本店所在地‐地域コード,本社事務所所在地‐住所,本社事務所所在地‐地域コード,実質上設立年月日,形式上設立年月日,所属団体１,所属団体２,所属団体３,所属商工会議所
あらた,東京都江東区東陽６－３－２,13108,東京都江東区東陽６－３－２　イースト２１タワー,13108,2002/04/02,2002/04/02,全国化粧品日用品卸連合会,-,-,-
いすゞ自動車,東京都品川区南大井６－２６－１　大森ベルポートＡ館,13109,東京都品川区南大井６－２６－１　大森ベルポートＡ館,13109,1937/04/09,1937/04/09,日本自動車工業会,日本自動車研究所,-,東京商工会議所
いなげや,東京都立川市栄町６－１－１,13202,東京都立川市栄町６－１－１,13202,1948/05/20,1948/05/20,日本チェーンストア協会,日本スーパーマーケット協会,新日本スーパーマーケット協会,東京商工会議所
かどや製油,東京都品川区西五反田８－２－８,13109,東京都品川区西五反田８－２－８,13109,1957/05/02,1957/05/02,日本ごま油工業会,日本植物油協会,日本油脂検査協会,東京商工会議所
きんでん,大阪市北区本庄東２－３－４１,27127,大阪市北区本庄東２－３－４１,27127,1944/08/26,1944/08/26,日本電設工業協会,日本計装工業会,日本建築協会,大阪商工会議所
さくらインターネット,大阪市北区梅田１－１２－１２,27127,大阪市北区梅田１－１２－１２,27127,1999/08/17,1999/08/17,ＪＰＮＩＣ,ＪＡｉＰＡ,コンピュータソフトウェア協会,大阪商工会議所
たけびし,京都市右京区西京極豆田町２９,26108,京都市右京区西京極豆田町２９,26108,1926/04/24,1926/04/24,京都工業会,-,-,京都商工会議所
なとり,東京都北区王子５－５－１,13117,東京都北区王子５－５－１,13117,1948/06/11,1948/06/11,全国いか加工業協同組合,関西するめ協同組合,-,東京商工会議所
はせがわ,福岡市博多区上川端町１２－１９２,40132,東京都文京区後楽１－５－３,13105,1966/12/28,1947/06/11,日本専門店協会,全日本宗教用具協同組合,全日本墓園協会,福岡商工会議所
はるやまホールディングス,岡山市北区表町１－２－３,33101,岡山市北区表町１－２－３,33101,1974/11/06,1974/11/06,-,-,-,玉野商工会議所
ぴあ,東京都渋谷区東１－２－２０　住友不動産渋谷ファーストタワー,13113,東京都渋谷区東１－２－２０　住友不動産渋谷ファーストタワー,13113,1974/12/20,1974/12/20,日本雑誌協会,音楽制作者連盟,日本音楽著作権協会,東京商工会議所
やまや,仙台市宮城野区榴岡３－４－１,04102,仙台市宮城野区榴岡３－４－１　アゼリアヒルズ,04102,1970/11/26,1970/11/26,-,-,-,仙台商工会議所
りらいあコミュニケーションズ,東京都渋谷区代々木２－６－５,13113,東京都渋谷区代々木２－２－１　小田急サザンタワー,13113,1987/06/23,1981/05/27,日本コールセンター協会,-,-,-
わかもと製薬,東京都中央区日本橋本町２－２－２,13102,東京都中央区日本橋本町２－２－２,13102,1933/01/15,1933/01/15,日本製薬団体連合会,東京医薬品工業協会,東京都家庭薬工業協同組合,東京商工会議所
アイカ工業,愛知県清須市西堀江２２８８,23233,名古屋市中村区名駅１－１－１　ＪＰタワー名古屋,23105,1936/10/22,1936/10/22,合成樹脂工業会,日本接着剤工業会,-,名古屋商工会議所
アイコム,大阪市平野区加美鞍作１－６－１９,27126,大阪市平野区加美南１－１－３２,27126,1964/07/16,1964/07/16,日本アマチュア無線機器工業会,電子情報技術産業協会,-,大阪商工会議所
アイシン,愛知県刈谷市朝日町２－１,23210,愛知県刈谷市朝日町２－１,23210,1949/06/01,1949/06/01,日本自動車部品工業会,日本縫製機械工業会,全日本ベッド工業会,名古屋商工会議所
アイダエンジニアリング,相模原市緑区大山町２－１０,14151,相模原市緑区大山町２－１０,14151,1937/03/25,1937/03/25,日本鍛圧機械工業会,日本ロボット工業会,日本金属プレス工業協会,相模原商工会議所
アイチコーポレーション,埼玉県上尾市大字領家字山下１１５２－１０,11219,埼玉県上尾市大字領家字山下１１５２－１０,11219,1962/02/02,1943/06/29,日本自動車車体工業会,日本建設機械施工協会,日本建設機械工業会,上尾商工会議所
アイティフォー,東京都千代田区一番町２１,13101,東京都千代田区一番町２１,13101,1959/05/08,1959/05/08,-,-,-,東京商工会議所
アイティメディア,東京都千代田区紀尾井町３－１２,13101,東京都千代田区紀尾井町３－１２,13101,1999/12/28,1999/12/28,日本インタラクティブ広告協会,-,-,東京商工会議所
アイネス,横浜市都筑区牛久保３－９－２,14118,東京都中央区晴海３－１０－１,13102,1964/07/28,1964/07/28,情報サービス産業協会,全国地域情報化推進協会,地方公共団体情報システム機構,東京商工会議所
アイネット,横浜市西区みなとみらい３－３－１,14103,横浜市西区みなとみらい３－３－１,14103,1971/04/22,1971/04/22,情報サービス産業協会,神奈川県情報サービス産業協会,ＩＴＡ,横浜商工会議所
アイホン,名古屋市中区新栄町１－１,23106,名古屋市中区新栄町１－１　明治安田生命名古屋ビル,23106,1959/03/16,1947/03/27,電子情報技術産業協会,日本防犯設備協会,インターホン工業会,名古屋商工会議所
アイロムグループ,東京都千代田区富士見２－１０－２,13101,東京都千代田区富士見２－１０－２　飯田橋グラン・ブルーム,13101,1997/04/09,1997/04/09,-,-,-,-
アキレス,東京都新宿区北新宿２－２１－１,13104,東京都新宿区北新宿２－２１－１　新宿フロントタワー,13104,1947/05/30,1947/05/30,日本ゴム履物協会,日本ビニル工業会,-,東京商工会議所
アクシアル　リテイリング,新潟県長岡市中興野１８－２,15202,新潟県長岡市中興野１８－２,15202,1967/08/15,1967/08/15,-,-,-,長岡商工会議所
アクセル,東京都千代田区外神田４－１４－１　秋葉原ＵＤＸ,13101,東京都千代田区外神田４－１４－１　秋葉原ＵＤＸ,13101,1996/02/01,1996/02/01,-,-,-,-
アジアパイルホールディングス,東京都中央区日本橋箱崎町３６－２,13102,東京都中央区日本橋箱崎町３６－２　Ｄａｉｗａリバーゲート,13102,2005/04/01,2005/04/01,コンクリートポール・パイル協会,コンクリートパイル建設技術協会,日本基礎建設協会,東京商工会議所
アステラス製薬,東京都中央区日本橋本町２－５－１,13102,東京都中央区日本橋本町２－５－１,13102,1939/03/20,1939/03/20,日本製薬工業協会,東京医薬品工業協会,-,東京商工会議所
アズビル,東京都千代田区丸の内２－７－３,13101,東京都千代田区丸の内２－７－３,13101,1949/08/22,1949/08/22,電子情報技術産業協会,日本電気計測器工業会,日本電気制御機器工業会,東京商工会議所
アズワン,大阪市西区江戸堀２－１－２７,27106,大阪市西区江戸堀２－１－２７,27106,1962/06/01,1962/06/01,大阪科学機器協会,東京科学機器協会,中四国科学機器協会,-
アツギ,神奈川県海老名市大谷北１－３－２,14215,神奈川県海老名市大谷北１－３－２,14215,1947/12/24,1947/12/24,日本靴下協会,日本ボディファッション協会,日本アパレル・ファッション産業,海老名商工会議所
アドウェイズ,東京都新宿区西新宿８－１７－１,13104,東京都新宿区西新宿８－１７－１　住友不動産新宿グランドタワー,13104,2001/02/28,2001/02/28,ＪＡＳＫ,ＪＩＡＡ,-,-
アドソル日進,東京都港区港南４－１－８　リバージュ品川,13103,東京都港区港南４－１－８　リバージュ品川,13103,1976/03/13,1976/03/13,情報サービス産業協会,ＺｉｇＢｅｅＡｌｌｉａｎｃｅ,スマートコミュニティ・アライア,東京商工会議所
アドバネクス,東京都北区田端６－１－１　田端アスカタワー,13117,東京都北区田端６－１－１　田端アスカタワー,13117,1946/11/22,1946/11/22,日本ばね工業会,-,-,東京商工会議所
アドバンテスト,東京都千代田区丸の内１－６－２,13101,東京都千代田区丸の内１－６－２　新丸の内センタービルディング,13101,1954/12/02,1946/12/16,電子情報技術産業協会,日本半導体製造装置協会,ＳＥＭＩ,東京商工会議所
アドヴァングループ,東京都渋谷区神宮前４－３２－１４,13113,東京都渋谷区神宮前４－３２－１４,13113,1975/03/01,1975/03/01,-,-,-,東京商工会議所
アネスト岩田,横浜市港北区新吉田町３１７６,14109,横浜市港北区新吉田町３１７６,14109,1957/04/01,1948/06/02,日本産業機械工業会,日本塗装機械工業会,-,横浜商工会議所
アマダ,神奈川県伊勢原市石田２００,14214,神奈川県伊勢原市石田２００,14214,1953/10/25,1948/05/01,日本鍛圧機械工業会,日本工作機械工業会,-,-
アマノ,横浜市港北区大豆戸町２７５,14109,横浜市港北区大豆戸町２７５,14109,1945/11/22,1945/11/22,ＪＢＭＩＡ,-,-,横浜商工会議所
アミューズ,山梨県南都留郡富士河口湖町西湖９９７,19430,東京都渋谷区桜丘町２０－１,13113,1978/10/16,1977/10/11,音楽制作者連盟,-,-,東京商工会議所
アリアケジャパン,東京都渋谷区恵比寿南３－２－１７,13113,東京都渋谷区恵比寿南３－２－１７,13113,1978/05/02,1978/05/02,-,-,-,-
アルインコ,大阪府高槻市三島江１－１－１,27207,大阪市中央区高麗橋４－４－９　淀屋橋ダイビル,27128,1970/07/04,1970/07/04,仮設工業会,軽金属製品協会,日本ＤＩＹ協会,大阪商工会議所
