name,end_month_date,end_month_price
いすゞ自動車,2018-04-27,1674.0
いすゞ自動車,2018-05-31,1459.0
いすゞ自動車,2018-06-29,1471.5
いすゞ自動車,2018-07-31,1508.5
いすゞ自動車,2018-08-31,1607.0
いすゞ自動車,2018-09-28,1791.0
いすゞ自動車,2018-10-31,1482.0
いすゞ自動車,2018-11-30,1616.0
いすゞ自動車,2018-12-28,1548.5
いすゞ自動車,2019-01-31,1616.0
いすゞ自動車,2019-02-28,1595.5
いすゞ自動車,2019-03-29,1454.0
いすゞ自動車,2019-04-26,1595.5
いすゞ自動車,2019-05-31,1200.0
いすゞ自動車,2019-06-28,1227.0
いすゞ自動車,2019-07-31,1211.5
いすゞ自動車,2019-08-30,1143.0
いすゞ自動車,2019-09-30,1190.5
いすゞ自動車,2019-10-31,1267.5
いすゞ自動車,2019-11-29,1280.5
いすゞ自動車,2019-12-30,1299.0
いすゞ自動車,2020-01-31,1093.0
いすゞ自動車,2020-02-28,1016.0
いすゞ自動車,2020-03-31,715.3
いすゞ自動車,2020-04-30,824.9
いすゞ自動車,2020-05-29,1009.5
いすゞ自動車,2020-06-30,973.3
いすゞ自動車,2020-07-31,859.5
いすゞ自動車,2020-08-31,1049.0
いすゞ自動車,2020-09-30,917.4
いすゞ自動車,2020-10-30,843.0
いすゞ自動車,2020-11-30,1018.0
いすゞ自動車,2020-12-30,980.0
いすゞ自動車,2021-01-29,1000.0
いすゞ自動車,2021-02-26,1114.0
いすゞ自動車,2021-03-31,1189.0
アイシン,2018-04-27,5940.0
アイシン,2018-05-31,5480.0
アイシン,2018-06-29,5050.0
アイシン,2018-07-31,5190.0
アイシン,2018-08-31,5140.0
アイシン,2018-09-28,5530.0
アイシン,2018-10-31,4435.0
アイシン,2018-11-30,4490.0
アイシン,2018-12-28,3820.0
アイシン,2019-01-31,4290.0
アイシン,2019-02-28,4345.0
アイシン,2019-03-29,3955.0
アイシン,2019-04-26,4305.0
アイシン,2019-05-31,3605.0
アイシン,2019-06-28,3710.0
アイシン,2019-07-31,3545.0
アイシン,2019-08-30,3150.0
アイシン,2019-09-30,3395.0
アイシン,2019-10-31,4360.0
アイシン,2019-11-29,4140.0
アイシン,2019-12-30,4070.0
アイシン,2020-01-31,3695.0
アイシン,2020-02-28,3500.0
アイシン,2020-03-31,2664.0
アイシン,2020-04-30,3115.0
アイシン,2020-05-29,3395.0
アイシン,2020-06-30,3140.0
アイシン,2020-07-31,3020.0
アイシン,2020-08-31,3645.0
アイシン,2020-09-30,3350.0
アイシン,2020-10-30,3145.0
アイシン,2020-11-30,3095.0
アイシン,2020-12-30,3095.0
アイシン,2021-01-29,3205.0
アイシン,2021-02-26,3625.0
アイシン,2021-03-31,4200.0
アステラス製薬,2018-04-27,1605.5
アステラス製薬,2018-05-31,1664.5
アステラス製薬,2018-06-29,1689.0
アステラス製薬,2018-07-31,1817.5
アステラス製薬,2018-08-31,1882.0
アステラス製薬,2018-09-28,1982.0
アステラス製薬,2018-10-31,1747.0
アステラス製薬,2018-11-30,1744.5
アステラス製薬,2018-12-28,1401.5
アステラス製薬,2019-01-31,1609.5
アステラス製薬,2019-02-28,1718.5
アステラス製薬,2019-03-29,1658.5
アステラス製薬,2019-04-26,1509.0
アステラス製薬,2019-05-31,1462.5
アステラス製薬,2019-06-28,1535.0
アステラス製薬,2019-07-31,1553.5
アステラス製薬,2019-08-30,1472.0
アステラス製薬,2019-09-30,1538.5
アステラス製薬,2019-10-31,1858.5
アステラス製薬,2019-11-29,1867.5
アステラス製薬,2019-12-30,1870.0
アステラス製薬,2020-01-31,1950.5
アステラス製薬,2020-02-28,1699.0
アステラス製薬,2020-03-31,1671.0
アステラス製薬,2020-04-30,1786.5
アステラス製薬,2020-05-29,1914.5
アステラス製薬,2020-06-30,1799.5
アステラス製薬,2020-07-31,1650.0
アステラス製薬,2020-08-31,1664.5
アステラス製薬,2020-09-30,1567.0
アステラス製薬,2020-10-30,1435.0
アステラス製薬,2020-11-30,1483.5
アステラス製薬,2020-12-30,1594.0
アステラス製薬,2021-01-29,1692.5
アステラス製薬,2021-02-26,1674.0
アステラス製薬,2021-03-31,1702.0
アズビル,2018-04-27,5100.0
アズビル,2018-05-31,5330.0
アズビル,2018-06-29,4830.0
アズビル,2018-07-31,4895.0
アズビル,2018-08-31,4845.0
アズビル,2018-09-28,2472.0
アズビル,2018-10-31,2102.0
アズビル,2018-11-30,2450.0
アズビル,2018-12-28,2170.0
アズビル,2019-01-31,2286.0
アズビル,2019-02-28,2458.0
アズビル,2019-03-29,2589.0
アズビル,2019-04-26,2667.0
アズビル,2019-05-31,2552.0
アズビル,2019-06-28,2632.0
アズビル,2019-07-31,2615.0
アズビル,2019-08-30,2710.0
アズビル,2019-09-30,2889.0
アズビル,2019-10-31,3025.0
アズビル,2019-11-29,3100.0
アズビル,2019-12-30,3085.0
アズビル,2020-01-31,2983.0
アズビル,2020-02-28,2673.0
アズビル,2020-03-31,2804.0
アズビル,2020-04-30,2844.0
アズビル,2020-05-29,2749.0
アズビル,2020-06-30,3285.0
アズビル,2020-07-31,3510.0
アズビル,2020-08-31,3330.0
アズビル,2020-09-30,3920.0
アズビル,2020-10-30,4225.0
アズビル,2020-11-30,4685.0
アズビル,2020-12-30,5640.0
アズビル,2021-01-29,5340.0
アズビル,2021-02-26,4525.0
アズビル,2021-03-31,4765.0
アドバンテスト,2018-04-27,2620.0
アドバンテスト,2018-05-31,2557.0
アドバンテスト,2018-06-29,2308.0
アドバンテスト,2018-07-31,2644.0
アドバンテスト,2018-08-31,2664.0
アドバンテスト,2018-09-28,2393.0
アドバンテスト,2018-10-31,2081.0
アドバンテスト,2018-11-30,2436.0
アドバンテスト,2018-12-28,2244.0
アドバンテスト,2019-01-31,2473.0
アドバンテスト,2019-02-28,2629.0
アドバンテスト,2019-03-29,2573.0
アドバンテスト,2019-04-26,3140.0
アドバンテスト,2019-05-31,2551.0
アドバンテスト,2019-06-28,2965.0
アドバンテスト,2019-07-31,4270.0
アドバンテスト,2019-08-30,4365.0
アドバンテスト,2019-09-30,4775.0
アドバンテスト,2019-10-31,4945.0
アドバンテスト,2019-11-29,5350.0
アドバンテスト,2019-12-30,6160.0
アドバンテスト,2020-01-31,5870.0
アドバンテスト,2020-02-28,4915.0
アドバンテスト,2020-03-31,4340.0
アドバンテスト,2020-04-30,5270.0
アドバンテスト,2020-05-29,5320.0
アドバンテスト,2020-06-30,6120.0
アドバンテスト,2020-07-31,5700.0
アドバンテスト,2020-08-31,5070.0
アドバンテスト,2020-09-30,5090.0
アドバンテスト,2020-10-30,6030.0
アドバンテスト,2020-11-30,7260.0
アドバンテスト,2020-12-30,7730.0
アドバンテスト,2021-01-29,8290.0
アドバンテスト,2021-02-26,8750.0
アドバンテスト,2021-03-31,9680.0
アリアケジャパン,2018-04-27,9400.0
アリアケジャパン,2018-05-31,9450.0
アリアケジャパン,2018-06-29,9540.0
アリアケジャパン,2018-07-31,9570.0
アリアケジャパン,2018-08-31,10000.0
アリアケジャパン,2018-09-28,11330.0
アリアケジャパン,2018-10-31,10000.0
アリアケジャパン,2018-11-30,9810.0
アリアケジャパン,2018-12-28,7140.0
アリアケジャパン,2019-01-31,6570.0
アリアケジャパン,2019-02-28,5870.0
アリアケジャパン,2019-03-29,5920.0
アリアケジャパン,2019-04-26,6460.0
アリアケジャパン,2019-05-31,7030.0
アリアケジャパン,2019-06-28,6800.0
アリアケジャパン,2019-07-31,6780.0
アリアケジャパン,2019-08-30,8050.0
アリアケジャパン,2019-09-30,8420.0
アリアケジャパン,2019-10-31,8420.0
アリアケジャパン,2019-11-29,7810.0
アリアケジャパン,2019-12-30,8130.0
アリアケジャパン,2020-01-31,7510.0
アリアケジャパン,2020-02-28,6880.0
アリアケジャパン,2020-03-31,6820.0
