企業名,会計年度,四半期,y_hat_ibes
いすゞ自動車,2018,Q1,37.4
いすゞ自動車,2018,Q2,32.6
いすゞ自動車,2018,Q3,48.6
いすゞ自動車,2018,Q4,31.6
いすゞ自動車,2019,Q1,47.1
いすゞ自動車,2019,Q2,28.6
いすゞ自動車,2019,Q3,39.1
いすゞ自動車,2019,Q4,29.6
いすゞ自動車,2020,Q1,21.5
いすゞ自動車,2020,Q2,5.4
いすゞ自動車,2020,Q3,24.3
いすゞ自動車,2020,Q4,20.8
アイシン,2018,Q1,130.8
アイシン,2018,Q2,107.6
アイシン,2018,Q3,143.7
アイシン,2018,Q4,103.7
アイシン,2019,Q1,104.5
アイシン,2019,Q2,77.4
アイシン,2019,Q3,78.6
アイシン,2019,Q4,22.2
アイシン,2020,Q1,-50.7
アイシン,2020,Q2,-27.7
アイシン,2020,Q3,121.6
アイシン,2020,Q4,100.6
アステラス製薬,2018,Q1,25.8
アステラス製薬,2018,Q2,28.3
アステラス製薬,2018,Q3,30.8
アステラス製薬,2018,Q4,15.4
アステラス製薬,2019,Q1,28.2
アステラス製薬,2019,Q2,27.4
アステラス製薬,2019,Q3,29.0
アステラス製薬,2019,Q4,22.6
アステラス製薬,2020,Q1,28.9
アステラス製薬,2020,Q2,31.1
アステラス製薬,2020,Q3,32.2
アステラス製薬,2020,Q4,23.7
アズビル,2018,Q1,8.9
アズビル,2018,Q2,31.0
アズビル,2018,Q3,32.0
アズビル,2018,Q4,51.6
アズビル,2019,Q1,8.4
アズビル,2019,Q2,25.8
アズビル,2019,Q3,36.9
アズビル,2019,Q4,58.1
アズビル,2020,Q1,58.1
アズビル,2020,Q2,29.8
アズビル,2020,Q3,32.3
アズビル,2020,Q4,58.1
アドバンテスト,2018,Q1,30.1
アドバンテスト,2018,Q2,37.2
アドバンテスト,2018,Q3,35.2
アドバンテスト,2018,Q4,37.1
アドバンテスト,2019,Q1,39.4
アドバンテスト,2019,Q2,44.9
アドバンテスト,2019,Q3,39.5
アドバンテスト,2019,Q4,47.6
アドバンテスト,2020,Q1,54.3
アドバンテスト,2020,Q2,50.5
アドバンテスト,2020,Q3,48.6
アドバンテスト,2020,Q4,97.3
アリアケジャパン,2018,Q1,71.9
アリアケジャパン,2018,Q2,69.3
アリアケジャパン,2018,Q3,71.1
アリアケジャパン,2018,Q4,87.2
アリアケジャパン,2019,Q1,64.4
アリアケジャパン,2019,Q2,65.4
アリアケジャパン,2019,Q3,72.1
アリアケジャパン,2019,Q4,71.0
アリアケジャパン,2020,Q1,58.8
アリアケジャパン,2020,Q2,60.3
アリアケジャパン,2020,Q3,71.5
アリアケジャパン,2020,Q4,70.3
アルプスアルパイン,2018,Q1,22.4
アルプスアルパイン,2018,Q2,55.9
アルプスアルパイン,2018,Q3,94.4
アルプスアルパイン,2018,Q4,10.5
アルプスアルパイン,2019,Q1,21.7
アルプスアルパイン,2019,Q2,53.5
アルプスアルパイン,2019,Q3,52.6
アルプスアルパイン,2019,Q4,57.6
アルプスアルパイン,2020,Q1,-16.2
アルプスアルパイン,2020,Q2,4.1
アルプスアルパイン,2020,Q3,30.3
アルプスアルパイン,2020,Q4,34.4
イビデン,2018,Q1,14.7
イビデン,2018,Q2,16.5
イビデン,2018,Q3,21.8
イビデン,2018,Q4,53.8
イビデン,2019,Q1,7.8
イビデン,2019,Q2,11.7
イビデン,2019,Q3,17.4
イビデン,2019,Q4,11.5
イビデン,2020,Q1,15.8
イビデン,2020,Q2,28.2
イビデン,2020,Q3,44.5
イビデン,2020,Q4,31.4
イリソ電子工業,2018,Q1,147.6
イリソ電子工業,2018,Q2,67.2
イリソ電子工業,2018,Q3,75.4
イリソ電子工業,2018,Q4,40.2
イリソ電子工業,2019,Q1,45.8
イリソ電子工業,2019,Q2,63.1
イリソ電子工業,2019,Q3,58.9
イリソ電子工業,2019,Q4,31.8
イリソ電子工業,2020,Q1,-21.6
イリソ電子工業,2020,Q2,-4.7
イリソ電子工業,2020,Q3,41.9
イリソ電子工業,2020,Q4,47.7
エス・エム・エス,2018,Q1,20.7
エス・エム・エス,2018,Q2,8.7
エス・エム・エス,2018,Q3,3.4
エス・エム・エス,2018,Q4,16.6
エス・エム・エス,2019,Q1,18.4
エス・エム・エス,2019,Q2,9.2
エス・エム・エス,2019,Q3,3.4
エス・エム・エス,2019,Q4,23.9
エス・エム・エス,2020,Q1,21.1
エス・エム・エス,2020,Q2,4.6
エス・エム・エス,2020,Q3,4.7
エス・エム・エス,2020,Q4,22.9
エフピコ,2018,Q1,23.0
エフピコ,2018,Q2,32.2
エフピコ,2018,Q3,50.1
エフピコ,2018,Q4,19.8
エフピコ,2019,Q1,20.1
エフピコ,2019,Q2,32.5
エフピコ,2019,Q3,52.8
エフピコ,2019,Q4,25.2
エフピコ,2020,Q1,21.8
エフピコ,2020,Q2,41.8
エフピコ,2020,Q3,53.9
エフピコ,2020,Q4,29.1
エムスリー,2018,Q1,7.9
エムスリー,2018,Q2,6.8
エムスリー,2018,Q3,10.2
エムスリー,2018,Q4,9.2
エムスリー,2019,Q1,13.3
エムスリー,2019,Q2,6.0
エムスリー,2019,Q3,8.8
エムスリー,2019,Q4,9.6
エムスリー,2020,Q1,9.8
エムスリー,2020,Q2,9.0
エムスリー,2020,Q3,11.2
エムスリー,2020,Q4,13.0
エーザイ,2018,Q1,40.9
エーザイ,2018,Q2,37.7
エーザイ,2018,Q3,37.2
エーザイ,2018,Q4,74.2
エーザイ,2019,Q1,56.1
エーザイ,2019,Q2,40.0
エーザイ,2019,Q3,40.4
エーザイ,2019,Q4,118.1
エーザイ,2020,Q1,41.5
エーザイ,2020,Q2,33.7
エーザイ,2020,Q3,49.7
エーザイ,2020,Q4,38.4
オリンパス,2018,Q1,7.3
オリンパス,2018,Q2,15.1
オリンパス,2018,Q3,11.5
オリンパス,2018,Q4,13.7
オリンパス,2019,Q1,9.7
オリンパス,2019,Q2,12.2
オリンパス,2019,Q3,12.3
オリンパス,2019,Q4,8.3
オリンパス,2020,Q1,4.8
オリンパス,2020,Q2,7.4
オリンパス,2020,Q3,8.7
オリンパス,2020,Q4,4.2
カシオ計算機,2018,Q1,23.1
カシオ計算機,2018,Q2,26.9
カシオ計算機,2018,Q3,27.1
