,,,,決算期,決算月数,連結基準フラグ,決算種別フラグ,決算発表日,売上高・営業収益［累計］,売上総利益［累計］,営業利益［累計］,経常利益／税金等調整前当期純利益［累計］,売上高・営業収益［３ヵ月］,売上総利益［３ヵ月］,営業利益［３ヵ月］,経常利益／税金等調整前当期純利益［３ヵ月］,当期純利益（連結）［累計］,当期純利益（連結）［３ヵ月］,１株当たり利益［累計］,１株当たり利益（遡及調整後）［累計］,１株当たり利益［３ヵ月］,１株当たり利益（遡及調整後）［３ヵ月］,潜在株式調整後１株当たり利益［累計］,潜在株式調整後１株当たり利益（遡及調整後）［累計］,潜在株式調整後１株当たり利益［３ヵ月］,潜在株式調整後１株当たり利益（遡及調整後）［３ヵ月］,棚卸資産,資本的支出,期末従業員数,販売費及び一般管理費［累計］,販売費及び一般管理費［３ヵ月］,受取手形・売掛金／売掛金及びその他の短期債権
,,,,FINFSTA'ACC,FINFSTA'MACC,FINFSTA'A01_SECFLG,FINFSTA'A01_HACC,FINFSTA'A01036,FINFSTA'D01021,FINFSTA'D01026,FINFSTA'D01029,FINFSTA'D01066,FINFSTA'E01021,FINFSTA'E01026,FINFSTA'E01029,FINFSTA'E01066,FINFSTA'D01114,FINFSTA'E01114,FINFSTA'A01059,FINFSTA'A01161,FINFSTA'A01060,FINFSTA'A01162,FINFSTA'A01062,FINFSTA'A01164,FINFSTA'A01063,FINFSTA'A01165,FINFSTA'B01034,FINFSTA'I_A01143,FINFSTA'H01021,FINFSTA'D01027,FINFSTA'E01027,FINFSTA'B01023
,,,,年月,ヶ月,1桁コード,2桁コード,年月日,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,円,円,円,円,円,円,円,円,百万円,百万円,人,百万円,百万円,百万円
月次(M),1997/03,トヨタ自動車,T7203,1997/03,12,1,10,-,12243834,2318060,665114,708299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,561621,-,150736,1652945,-,1237850
月次(M),1997/09,トヨタ自動車,T7203,1997/09,6,0,22,-,3797551,746233,285284,324555,-,-,-,-,-,-,49.34,-,-,-,-,-,-,-,206987,-,71076,460948,-,710989
月次(M),1998/03,トヨタ自動車,T7203,1998/03,12,1,10,-,11678397,2541335,779797,828791,-,-,-,-,-,-,119.43,-,-,-,118.76,-,-,-,735428,-,159035,1761537,-,1162059
月次(M),1998/09,トヨタ自動車,T7203,1998/09,6,1,22,1998/11/20,6189562,1471570,403180,408431,-,-,-,-,-,-,-,-,-,-,-,-,-,-,814296,-,-,1068389,-,1126976
月次(M),1999/03,トヨタ自動車,T7203,1999/03,12,1,10,-,12749008,2916855,774945,771885,-,-,-,-,-,-,94.21,-,-,-,-,-,-,-,773438,-,183879,2141910,-,1216268
月次(M),1999/09,トヨタ自動車,T7203,1999/09,6,1,22,1999/11/18,6225323,1444697,362555,404539,-,-,-,-,-,-,-,-,-,-,-,-,-,-,813636,-,-,1082140,-,1036402
月次(M),2000/03,トヨタ自動車,T7203,2000/03,12,1,10,2000/05/17,12879561,2967143,775982,797058,-,-,-,-,-,-,109.95,-,-,-,-,-,-,-,823756,865865,210709,2191161,-,1310958
月次(M),2000/09,トヨタ自動車,T7203,2000/09,6,1,22,2000/11/15,6423517,1443322,376102,393926,-,-,-,-,-,-,43.2,-,-,-,-,-,-,-,815470,633529,214976,1067220,-,1121777
月次(M),2001/03,トヨタ自動車,T7203,2001/03,12,2,10,2001/07/26,13137070,2918471,790729,1107289,-,-,-,-,-,-,180.65,-,-,-,180.65,-,-,-,876252,1201406,-,2127742,-,1304870
月次(M),2001/09,トヨタ自動車,T7203,2001/09,6,1,22,2001/11/08,6833560,1601882,506581,526649,-,-,-,-,-,-,80.27,-,-,-,-,-,-,-,918718,749193,239767,1095301,-,1407435
月次(M),2002/03,トヨタ自動車,T7203,2002/03,12,2,10,2002/08/07,14316874,3442419,1093632,972101,-,-,-,-,-,-,152.26,-,-,-,152.26,-,-,-,961840,1548593,-,2348787,-,1485117
月次(M),2002/06,トヨタ自動車,T7203,2002/06,3,1,21,2002/08/07,4021134,980461,394518,449936,4021134,980461,394518,449936,-,-,100.8,-,100.8,-,-,-,-,-,960431,-,-,585942,585942,1292182
月次(M),2002/09,トヨタ自動車,T7203,2002/09,6,2,22,2002/12/26,7613422,1820582,685023,714461,-,-,-,-,-,-,118.44,-,-,-,118.44,-,-,-,927040,808702,-,1135559,-,1245733
月次(M),2002/12,トヨタ自動車,T7203,2002/12,9,1,23,2003/02/05,12073459,-,1110264,1164296,4186777,1016004,379436,370268,-,-,221.67,-,62.94,-,221.67,-,62.94,-,1042173,-,-,-,636567,1339274
