,,,,,,決算期,決算月数,本決算・中間決算フラグ,実績・予想フラグ,連結基準フラグ,データ更新日,売上高,営業利益,経常利益,当期利益,一株利益,一株利益（自己株除く）
,,,,,,EARNING'ACC,EARNING'MACC,EARNING'HACC,EARNING'RPFLG,EARNING'CFLAG,EARNING'FLUPDATE,EARNING'ITEM02,EARNING'ITEM03,EARNING'ITEM04,EARNING'ITEM05,EARNING'ITEM06,EARNING'ITEM43
,,,,,,年月,ヶ月,,,,年月日,百万円,百万円,百万円,百万円,円,円
月次(M),1997/03,トヨタ自動車,T7203,#001,#001,1997/03,12,1,2,1,1996/05/23,11000000,-,630000,380000,101.23,-
月次(M),1997/03,トヨタ自動車,T7203,#002,#002,1997/03,12,1,2,1,1996/09/14,11000000,-,630000,380000,101.23,-
月次(M),1997/03,トヨタ自動車,T7203,#003,#003,1997/03,12,1,2,1,1996/12/17,11500000,-,700000,400000,105.87,-
月次(M),1997/03,トヨタ自動車,T7203,#004,#004,1997/03,12,1,2,1,1997/03/15,12500000,-,750000,450000,119.25,-
月次(M),1997/03,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/03,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/03,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/03,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/03,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/03,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/03,トヨタ自動車,T7203,#999,#999,1997/03,12,1,0,1,1997/05/21,12243834,665114,708299,385915,102.25,-
月次(M),1997/03,トヨタ自動車,T7203,,,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1997/04,トヨタ自動車,T7203,,,1997/04,,1,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1997/05,トヨタ自動車,T7203,,,1997/05,,1,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1997/06,トヨタ自動車,T7203,,,1997/06,,1,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1997/07,トヨタ自動車,T7203,,,1997/07,,1,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1997/08,トヨタ自動車,T7203,,,1997/08,,1,,,,,,,,,
月次(M),1997/09,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1997/09,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1997/09,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1997/09,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/09,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/09,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/09,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/09,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/09,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/09,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/09,トヨタ自動車,T7203,#999,#999,1997/09,6,2,0,1,1997/11/06,5557923,-,447808,240897,63.37,-
月次(M),1997/09,トヨタ自動車,T7203,,,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,,,1997/10,,2,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,,,1997/11,,2,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
