,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4,Overall,Overall,Overall
,MAPE,MSPE,Large Forecast Error,MAPE,MSPE,Large Forecast Error,MAPE,MSPE,Large Forecast Error,MAPE,MSPE,Large Forecast Error,MAPE,MSPE,Large Forecast Error
y_hat_rw,0.6710534416590075,0.5749250629011289,0.42944597490052033,0.5355661397204535,0.41562552778723205,0.2623201714110805,0.506072669932628,0.38137789591829097,0.23293541475359658,0.6247808186392446,0.5187307703457049,0.36363636363636365,0.5843682674878335,0.47266481423808926,0.3220844811753903
y_hat_srw,0.5533335663088788,0.44308732592434996,0.28405264768901134,0.512028125691724,0.3986033365762146,0.24670951943679217,0.468831796567153,0.3473918318707032,0.2130394857667585,0.580372972406548,0.4729324363742279,0.3290480563207836,0.5286416152435759,0.41550373268637386,0.2682124273033364
y_hat_sarima_f,0.555795468176484,0.44487791448029057,0.3042546678910315,0.4879344670662494,0.37184122059965163,0.2344658708295072,0.48299191383642787,0.3630373167900574,0.22375267829813283,0.5802736053538355,0.47146352042759254,0.3287419651056015,0.5267488636082492,0.4128049930743981,0.27280379553106826
y_hat_sarima_g,0.5738958201271342,0.46773254286852156,0.3290480563207836,0.488424667053594,0.3757867031679367,0.24670951943679217,0.4975802413144541,0.38175910481158765,0.24793388429752067,0.5763905910783568,0.4683243598757884,0.32200795837159474,0.5340728298933848,0.4234006776809586,0.2864248546066728
y_hat_sarima_br,0.5659738045314627,0.45360267689636596,0.3021120293847567,0.4908387182273029,0.3723099763535513,0.23415977961432508,0.478214322489086,0.35641002143414885,0.21977349250076522,0.5729129000038502,0.4604314268016467,0.30578512396694213,0.5269849363129254,0.41068852537142825,0.2654576063666973
y_hat_mlm1,0.6303596298625728,0.5332054716777312,0.39761248852157943,0.5633383821461538,0.4561935526382816,0.32812978267523724,0.5375670264119318,0.4249806792518312,0.28619528619528617,0.6109073777631037,0.5077263880895823,0.3624119987756351,0.5855431040459406,0.48052652291435655,0.3435873890419345
y_hat_mlm2,0.619795079831606,0.5214591872568232,0.38904193449647995,0.5585404998302433,0.449607675772744,0.3180287725742271,0.5761746443944196,0.4701492029928287,0.33608815426997246,0.6336207866726845,0.5353203673650517,0.39302112029384756,0.5970327526822384,0.49413410834686183,0.3590449954086318
y_hat_mlm4,0.822945205829505,0.771816730625899,0.6835016835016835,0.8027167851379102,0.7444595738082497,0.6461585552494643,0.7951250339134593,0.7338619987004457,0.6293235384144475,0.8007372257199414,0.7382852921942613,0.632996632996633,0.8053810626502039,0.7471058988322139,0.647995102540557
y_hat_ul1_i_tuned_simple,0.5981375615856594,0.4819030723539677,0.29843893480257117,0.5374980809904479,0.4103904023315018,0.2271196816651362,0.5285662937325025,0.3939671037675902,0.19589837771655955,0.6018238091094419,0.4847770286972632,0.29048056320783594,0.5665064363545129,0.4427594017875807,0.2529843893480257
y_hat_ul2_i_tuned_simple,0.583313219509989,0.47779878515673246,0.34282216100397916,0.5155638642239728,0.40201387662455274,0.27333945515763697,0.5091613073627673,0.38568043193198076,0.23630241812059993,0.5847970709556252,0.47480950500598945,0.322620140801959,0.5482088655130886,0.4350756496798139,0.2937710437710438
y_hat_uen_i_tuned_simple,0.5871786515592337,0.47023132568596404,0.2926232017141108,0.5257811456734288,0.39870274451373555,0.22497704315886133,0.5184568022704741,0.3819931619099364,0.1891643709825528,0.6011183043679613,0.4821972892285654,0.28680746862565043,0.5581337259677744,0.43328113033455035,0.24839302112029385
y_hat_umlp,0.6305141748177726,0.5232092064363533,0.35353535353535354,0.586977520004644,0.4690897956420528,0.29231711049892867,0.5625065555784968,0.4403998389301718,0.26966636057545146,0.6321173453394543,0.5234235679172327,0.34618916437098257,0.603028898935092,0.4890306022314526,0.3154269972451791
y_hat_ml1_i_tuned_simple,0.4974013330176787,0.38257922471613914,0.24058769513314968,0.44803942753083287,0.33226645341457894,0.20140801958983778,0.43200983939201254,0.3130537102300418,0.18304254667891032,0.5084052322180838,0.39654385924779817,0.2558922558922559,0.47146395803965196,0.3561108119021395,0.2202326293235384
y_hat_ml2_i_tuned_simple,0.5336126850414811,0.42646014859984266,0.3014998469543924,0.4957257641810993,0.38929325025456746,0.265993265993266,0.48117998964332753,0.3705203787294802,0.2574227119681665,0.546082669449574,0.44186774276502483,0.3143556779920416,0.5141502770788705,0.4070353800872288,0.28481787572696665
y_hat_men_i_tuned_simple,0.48664649690449246,0.3705339092099885,0.22742577288031834,0.43473405655734265,0.31875294966441264,0.19100091827364554,0.42794235596256636,0.30830028882328503,0.17845117845117844,0.5035858489657519,0.39021835946710337,0.24640342822161004,0.46322718959753834,0.34695137679119736,0.21082032445668808
y_hat_mraf_i_tuned_simple,0.504152973335087,0.3912361901240547,0.2662993572084481,0.4228417609491006,0.30626371199911717,0.18824609733700642,0.418611216259754,0.2985690326175525,0.18212427303336395,0.522546892547668,0.40748879224030177,0.26507499234771964,0.46703821077290236,0.3508894317452565,0.22543617998163454
y_hat_mmlp,0.5950560696136178,0.48718372683770045,0.3440465258647077,0.5411630078980755,0.4250027580509843,0.28221610039791856,0.5269036516528568,0.4030065924232909,0.24364860728497093,0.6042315919392677,0.49560972456416225,0.34067952249770433,0.5668385802759545,0.4527007004690345,0.3026476890113254
